Time;Type;Volume;Symbol;Price;Volume;Time;Price;Commission;Swap;Profit
2026.05.29 17:27:01;Sell;0.01;BTCUSD;72547.45;0.01;2026.06.01 14:58:55;72374.11;;-1.23;1.73
2026.05.25 00:44:01;Sell;0.01;BTCUSD;76172.93;0.01;2026.05.26 20:30:19;75944.07;;-0.43;2.29
2026.05.22 18:01:01;Sell;0.01;BTCUSD;76691.57;0.01;2026.05.22 21:46:16;76177.69;;;5.14
2026.05.20 09:53:02;Buy;0.01;BTCUSD;77427.18;0.01;2026.05.20 13:26:09;77588.82;;;1.62
2026.05.15 16:52:02;Sell;0.01;BTCUSD;78687.77;0.01;2026.05.16 09:50:29;78543.59;;-1.32;1.44
2026.05.13 16:41:01;Sell;0.05;BTCUSD;79812.71;0.05;2026.05.13 16:48:09;79655.43;;;7.87
2026.05.11 01:28:01;Buy;0.05;BTCUSD;81704.41;0.05;2026.05.11 01:33:58;82002.84;;;14.92
2026.05.06 11:36:01;Buy;0.05;BTCUSD;81790.91;0.05;2026.05.06 12:41:32;81991.91;;;10.05
2026.05.04 01:16:01;Buy;0.05;BTCUSD;79413.85;0.05;2026.05.04 04:56:08;79152.17;;;-13.08
2026.04.29 12:50:01;Buy;0.01;BTCUSD;77695.79;0.01;2026.04.29 21:09:47;75202.36;;;-24.94
2026.04.27 00:55:01;Buy;0.01;BTCUSD;78541.09;0.01;2026.04.27 00:55:29;78839.55;;;2.99
2026.04.22 05:18:01;Buy;0.05;BTCUSD;77081.13;0.05;2026.04.22 05:30:36;77280.87;;;9.98
2026.04.20 00:53:01;Sell;0.05;BTCUSD;74392.11;0.05;2026.04.20 01:01:00;74118.81;;;13.67
2026.04.16 01:40:02;Buy;0.05;BTCUSD;75314.47;0.05;2026.04.16 23:00:28;75460.74;;;7.32
2026.04.13 01:31:01;Sell;0.01;BTCUSD;70573.16;0.01;2026.04.13 22:31:49;73029.71;;;-24.57
2026.04.10 00:07:01;Buy;0.01;BTCUSD;72588.89;0.01;2026.04.10 01:17:38;73050.91;;;4.62
2026.04.06 01:45:01;Buy;0.01;BTCUSD;67998.99;0.01;2026.04.06 01:46:31;68157.99;;;1.5899999999999999
2026.04.01 08:26:01;Buy;0.01;BTCUSD;68719.56;0.01;2026.04.01 09:37:12;68983.59;;;2.64
2026.03.30 01:42:02;Sell;0.01;BTCUSD;65853.11;0.01;2026.03.30 01:44:12;65704.65;;;1.48
2026.03.26 07:54:01;Sell;0.01;BTCUSD;70125.31;0.01;2026.03.26 08:00:43;69965.79;;;1.5899999999999999
2026.03.23 13:07:01;Buy;0.01;BTCUSD;70795.68;0.01;2026.03.23 13:07:12;70964.21;;;1.6800000000000002
2026.03.18 13:31:01;Sell;0.01;BTCUSD;73209.95;0.01;2026.03.18 13:37:22;73027.35;;;1.83
2026.03.16 00:04:01;Buy;0.01;BTCUSD;72270.89;0.01;2026.03.16 00:43:23;72434.93;;;1.6400000000000001
2026.03.13 02:14:01;Buy;0.01;BTCUSD;71057.47;0.01;2026.03.13 02:15:47;71382.27;;;3.25
2026.03.09 00:04:02;Sell;0.01;BTCUSD;66000.67;0.01;2026.03.09 00:05:00;65816.15;;;1.85
2026.03.06 03:27:02;Sell;0.01;BTCUSD;70563.13;0.01;2026.03.06 06:41:34;70368.39;;;1.95
2026.03.04 09:59:02;Buy;0.01;BTCUSD;69577.03;0.01;2026.03.04 10:43:08;69849.65;;;2.73
2026.02.27 13:20:02;Sell;0.01;BTCUSD;66391.6;0.01;2026.02.27 13:37:54;66237.8;;;1.54
2026.02.25 03:12:01;Buy;0.01;BTCUSD;65446.12;0.01;2026.02.25 03:12:52;65664.9;;;2.19
2026.02.23 02:45:01;Sell;0.01;BTCUSD;67167.28;0.01;2026.02.23 02:58:27;66850.1;;;3.17
2026.02.18 20:43:01;Sell;0.01;BTCUSD;66491.53;0.01;2026.02.18 20:46:27;66303.2;;;1.8900000000000001
2026.02.16 17:32:01;Sell;0.05;BTCUSD;67728.9;0.05;2026.02.16 17:32:52;67573.9;;;7.75
2026.02.13 17:12:02;Buy;0.05;BTCUSD;68578.38;0.05;2026.02.13 17:27:15;68719.59;;;7.06
2026.02.11 13:18:16;Balance;;;;;;;;;-294
2026.02.10 16:41:01;Sell;0.05;BTCUSD;68114.22;0.05;2026.02.11 06:23:43;67807.84;;-1.9100000000000001;15.32
2026.02.10 20:47:52;Balance;;;;;;;;;200
2026.02.04 19:11:01;Sell;0.05;BTCUSD;72847.86;0.05;2026.02.04 19:27:27;72611.67;;;11.81
2026.02.02 01:07:01;Sell;0.05;BTCUSD;76192.28;0.05;2026.02.02 01:08:57;75928.31;;;13.19
2026.01.29 03:26:01;Sell;0.05;BTCUSD;88766.37;0.05;2026.01.29 03:57:02;88636.34;;;6.5
2026.01.26 18:00:04;Balance;;;;;;;;;-403.49
2026.01.26 01:02:01;Sell;0.05;BTCUSD;86080.78;0.05;2026.01.26 16:41:40;88519.24;;;-121.92
2026.01.26 04:59:02;Balance;;;;;;;;;125
2026.01.26 01:25:57;Balance;;;;;;;;;400
2026.01.23 22:25:33;Balance;;;;;;;;;-429
2026.01.23 18:50:01;Buy;0.05;BTCUSD;90436.7;0.05;2026.01.23 19:26:59;90790.87;;;17.7
2026.01.23 19:13:45;Balance;;;;;;;;;200
2026.01.23 19:11:57;Balance;;;;;;;;;169
2026.01.19 01:23:02;Sell;0.01;BTCUSD;94771.67;0.01;2026.01.19 01:30:15;94608.8;;;1.63
2026.01.16 17:20:01;Sell;0.01;BTCUSD;94878.91;0.01;2026.01.16 17:32:41;94701.35;;;1.78
2026.01.12 01:05:01;Sell;0.01;BTCUSD;90345.35;0.01;2026.01.12 16:24:34;90192.85;;;1.52
2026.01.07 17:19:01;Sell;0.01;BTCUSD;91092.79;0.01;2026.01.07 20:57:14;90839.71;;;2.5300000000000002
2025.12.15 00:31:01;Sell;0.01;BTCUSD;88219.81;0.01;2025.12.15 01:13:20;88033.08;;;1.87
2025.12.09 17:51:01;Buy;0.01;BTCUSD;92473.59;0.01;2025.12.09 17:51:45;92663.25;;;1.8900000000000001
2025.12.05 15:26:02;Sell;0.05;BTCUSD;90801.98;0.05;2025.12.05 15:42:34;90437.53;;;18.22
2025.12.03 03:51:02;Buy;0.05;BTCUSD;92414.59;0.05;2025.12.03 04:04:55;92617.33;;;10.14
2025.12.01 01:54:02;Sell;0.05;BTCUSD;90396.77;0.05;2025.12.01 02:04:38;89851.17;;;27.28
2025.11.26 19:41:02;Buy;0.02;BTCUSD;89124.65;0.02;2025.11.26 19:43:03;89352.21;;;4.55
2025.11.24 00:01:01;Buy;0.01;BTCUSD;88049.04;0.01;2025.11.24 16:44:05;85571.27;;;-24.78
