Time;Type;Volume;Symbol;Price;S/L;T/P;Time;Price;Commission;Swap;Profit;Comment
2026.06.02 01:15:41;Buy;0.01;XAUUSD.I;4 484.53;4 394.57;4 493.90;2026.06.02 03:30:05;4 493.97;-0.27;;9.44;[tp]
2026.05.29 20:10:01;Buy;0.01;XAUUSD.I;4 567.93;4 476.01;4 567.18;2026.06.01 16:12:38;4 476.65;-0.27;-0.68;-91.28;[sl]
2026.06.01 15:33:06;Sell;0.01;XAUUSD.I;4 501.29;4 594.84;4 491.33;2026.06.01 15:34:12;4 500.87;-0.27;;0.42;
2026.06.01 15:30:09;Sell;0.01;XAUUSD.I;4 503.40;4 600.00;4 496.38;2026.06.01 15:31:28;4 499.08;-0.27;;4.32;
2026.05.29 13:49:38;Buy;0.01;XAUUSD.I;4 537.91;4 445.74;4 546.22;2026.05.29 17:02:00;4 546.22;-0.27;;8.31;[tp]
2026.05.29 13:25:34;Buy;0.01;XAUUSD.I;4 529.03;4 436.80;4 537.08;2026.05.29 13:33:49;4 538.22;-0.27;;9.19;[tp]
2026.05.29 10:34:17;Buy;0.01;XAUUSD.I;4 520.38;4 428.00;4 528.08;2026.05.29 12:13:23;4 528.34;-0.27;;7.96;[tp]
2026.05.29 09:13:04;Buy;0.01;XAUUSD.I;4 514.86;4 418.95;4 523.35;2026.05.29 09:55:12;4 523.35;-0.27;;8.49;[tp]
2026.05.29 08:45:27;Buy;0.01;XAUUSD.I;4 509.00;4 411.98;4 516.22;2026.05.29 09:00:05;4 517.15;-0.27;;8.15;[tp]
2026.05.28 15:29:13;Sell;0.01;XAUUSD.I;4 384.88;4 477.55;4 376.69;2026.05.28 17:46:05;4 478.82;-0.26;;-93.94;[sl]
2026.05.28 11:39:05;Sell;0.01;XAUUSD.I;4 391.11;4 484.97;4 383.93;2026.05.28 13:49:34;4 383.65;-0.26;;7.46;[tp]
2026.05.27 20:23:19;Sell;0.01;XAUUSD.I;4 445.78;4 539.75;4 445.78;2026.05.27 23:40:59;4 452.05;-0.27;;-6.27;
2026.05.26 12:12:14;Sell;0.01;XAUUSD.I;4 522.84;4 617.83;4 513.80;2026.05.26 12:42:20;4 513.60;-0.27;;9.24;[tp]
2026.05.25 18:10:41;Buy;0.01;XAUUSD.I;4 568.73;4 470.58;4 576.21;2026.05.26 01:54:44;4 576.37;-0.27;-0.68;7.64;[tp]
2026.05.22 15:21:00;Buy;0.01;XAUUSD.I;4 530.62;4 439.41;4 530.60;2026.05.25 01:05:00;4 549.43;-0.27;-0.70;18.81;[tp]
2026.05.22 15:12:17;Buy;0.01;XAUUSD.I;4 526.61;4 430.65;4 530.79;2026.05.22 15:19:09;4 531.22;-0.27;;4.61;[tp]
2026.05.22 08:21:26;Buy;0.01;XAUUSD.I;4 528.87;4 431.40;4 536.10;2026.05.22 13:08:13;4 536.10;-0.27;;7.23;[tp]
2026.05.21 16:07:26;Sell;0.01;XAUUSD.I;4 509.13;4 605.46;4 501.71;2026.05.21 16:14:54;4 501.51;-0.27;;7.62;[tp]
2026.05.21 15:37:10;Sell;0.01;XAUUSD.I;4 510.42;4 608.14;4 504.33;2026.05.21 15:58:15;4 504.33;-0.27;;6.09;[tp]
2026.05.20 16:05:07;Sell;0.01;XAUUSD.I;4 497.96;4 592.17;4 488.72;2026.05.20 16:28:08;4 492.42;-0.27;;5.54;
2026.05.19 15:58:25;Sell;0.01;XAUUSD.I;4 539.04;4 635.21;4 530.79;2026.05.19 16:02:54;4 530.79;-0.27;;8.25;[tp]
2026.05.19 13:16:49;Sell;0.01;XAUUSD.I;4 538.20;4 614.29;4 530.25;2026.05.19 13:43:41;4 529.42;-0.27;;8.78;[tp]
2026.05.18 11:45:44;Buy;0.01;XAUUSD.I;4 551.85;4 457.00;4 557.74;2026.05.18 14:40:18;4 557.79;-0.27;;5.94;[tp]
2026.05.18 12:45:15;Sell;0.01;XAUUSD.I;4 542.48;4 638.23;4 533.74;2026.05.18 13:34:14;4 535.26;-0.27;;7.22;
