Tags,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(GBP),Min(pips),Min(GBP),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(GBP)
,06/02/2026 17:08,06/02/2026 17:08,GBPUSD,Buy,0.300,0.00000,0.00000,1.34670,1.34672,-1.0500,0.0000,0.2,-0.60,-0.05,"",0,00:00:00:04,,,,,,,,,,,,
,06/01/2026 20:04,06/01/2026 20:20,GBPUSD,Sell,0.250,0.00000,0.00000,1.34567,1.34585,-0.8800,0.0000,-1.8,-4.22,-0.37,"",0,00:00:16:36,87.5,14m,4.9,0.58,3.1,5.766000000000001,-1.8,-3.3480000000000003,63.3,0.0,-4.90,-9.11
,06/01/2026 20:04,06/01/2026 20:18,GBPUSD,Sell,0.250,0.00000,1.31814,1.34567,1.34552,-0.8800,0.0000,1.5,1.91,0.17,"",0,00:00:14:40,100.0,14m,2.1,0.32,3.1,5.766000000000001,0.0,0.0,100.0,48.4,-1.60,-2.98
,06/01/2026 20:04,06/01/2026 20:04,GBPUSD,Buy,0.250,0.00000,0.00000,1.34568,1.34569,-0.8800,0.0000,0.1,-0.69,-0.06,"",0,00:00:00:02,,,,,,,,,,,,
,06/01/2026 20:03,06/01/2026 20:04,GBPUSD,Sell,0.100,0.00000,1.31840,1.34571,1.34569,-0.3500,0.0000,0.2,-0.20,-0.02,"",0,00:00:00:33,,,,,,,,,,,,
,06/01/2026 20:04,06/01/2026 20:04,GBPUSD,Buy,0.100,0.00000,0.00000,1.34569,1.34569,-0.3500,0.0000,0.0,-0.35,-0.03,"",0,00:00:00:05,,,,,,,,,,,,
,06/01/2026 14:08,06/01/2026 20:04,GBPUSD,Sell,0.250,1.35638,1.31801,1.34608,1.34569,-0.8800,0.0000,3.9,6.37,0.56,"",0,00:05:55:46,68.3,4h 2m,54.0,0.14,52.8,98.208,-7.6,-14.136,87.4,19.0,-48.90,-90.95
,06/01/2026 20:03,06/01/2026 20:03,GBPUSD,Buy,0.100,0.00000,0.00000,1.34571,1.34570,-0.3500,0.0000,-0.1,-0.42,-0.04,"",0,00:00:00:03,,,,,,,,,,,,
,06/01/2026 20:01,06/01/2026 20:01,GBPUSD,Sell,0.100,0.00000,0.00000,1.34605,1.34608,-0.3500,0.0000,-0.3,-0.57,-0.05,"",0,00:00:00:08,,,,,,,,,,,,
,06/01/2026 20:01,06/01/2026 20:01,GBPUSD,Buy,0.100,0.00000,0.00000,1.34607,1.34606,-0.3500,0.0000,-0.1,-0.42,-0.04,"",0,00:00:00:03,,,,,,,,,,,,
,06/01/2026 14:08,06/01/2026 20:00,GBPUSD,Sell,0.250,1.35656,1.31834,1.34610,1.34618,-0.8800,0.0000,-0.8,-2.37,-0.21,"",0,00:05:51:47,68.2,3h 59m,54.0,0.14,53.0,98.58,-7.4,-13.764000000000001,87.7,10.9,-53.80,-100.07
,06/01/2026 14:08,06/01/2026 14:08,GBPUSD,Buy,0.250,0.00000,0.00000,1.34609,1.34607,-0.8800,0.0000,-0.2,-1.25,-0.11,"",0,00:00:00:06,,,,,,,,,,,,
,06/01/2026 14:06,06/01/2026 14:08,EURUSD,Sell,0.300,0.00000,1.15000,1.16440,1.16436,-1.0500,0.0000,0.4,-0.16,-0.01,"",0,00:00:02:06,,,,,,,,,,,,
,06/01/2026 14:06,06/01/2026 14:08,EURUSD,Sell,0.300,0.00000,1.15000,1.16440,1.16438,-1.0500,0.0000,0.2,-0.60,-0.05,"",0,00:00:02:05,,,,,,,,,,,,
,06/01/2026 14:06,06/01/2026 14:06,EURUSD,Buy,0.300,0.00000,0.00000,1.16440,1.16438,-1.0500,0.0000,-0.2,-1.50,-0.13,"",0,00:00:00:06,,,,,,,,,,,,
,06/01/2026 12:49,06/01/2026 14:05,GBPUSD,Sell,0.550,0.00000,1.32052,1.34593,1.34616,-1.9300,0.0000,-2.3,-11.33,-0.97,"",0,00:01:16:30,31.6,24m,9.2,1.56,3.6,14.724,-5.6,-22.903999999999996,39.1,35.9,-5.90,-24.13
,06/01/2026 12:49,06/01/2026 12:49,GBPUSD,Buy,0.600,0.00000,0.00000,1.34599,1.34591,-2.1000,0.0000,-0.8,-5.67,-0.48,"",0,00:00:00:12,,,,,,,,,,,,
,06/01/2026 12:44,06/01/2026 12:49,GBPUSD,Sell,0.250,0.00000,0.00000,1.34619,1.34593,-0.8800,0.0000,2.6,3.95,0.34,"",0,00:00:05:18,100.0,5m,1.1,0.38,2.6,4.836,0.0,0.0,100.0,100.0,0.00,0.00
