Tags,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
,05/28/2026 07:00,05/28/2026 15:53,GBPUSD,Sell,0.210,1.34262,1.33114,1.33690,1.34261,0.0000,0.0000,-57.1,-119.91,-1.06,"",400000,00:08:52:51,0.0,0s,57.1,57.14,0.0,0.0,-57.1,-119.91000000000001,0.0,0.0,-57.10,-119.91
,05/27/2026 11:00,05/28/2026 04:32,GBPUSD,Sell,0.620,1.34781,1.34081,1.34422,1.34091,0.0000,0.0000,33.1,205.22,1.84,"",400000,00:17:32:36,86.2,15h 7m,26.1,0.43,34.3,212.66,-14.7,-91.14,70.0,97.6,-1.20,-7.44
,05/25/2026 08:00,05/26/2026 18:17,GBPUSD,Buy,0.280,1.34389,1.35269,1.34846,1.34389,0.0000,0.0000,-45.7,-127.96,-1.14,"",400000,01:10:17:21,60.9,20h 52m,70.0,1.88,24.3,68.03999999999999,-45.7,-127.96,34.7,0.0,-70.00,-196.00
,05/19/2026 13:00,05/25/2026 01:01,GBPUSD,Buy,0.200,1.33470,1.34680,1.34070,1.34680,0.0000,0.0000,61.0,122.00,1.09,"",400000,05:12:00:57,79.7,4d 9h ,62.0,0.45,61.5,123.0,-27.4,-54.8,69.2,99.4,-0.50,-1.00
,05/18/2026 12:00,05/18/2026 19:13,GBPUSD,Buy,0.190,1.33130,1.34408,1.33778,1.34408,0.0000,0.0000,63.0,119.70,1.09,"",400000,00:07:13:08,100.0,7h 13m,20.1,0.02,63.0,119.69999999999999,0.0,0.0,100.0,100.0,0.00,0.00
,05/12/2026 17:00,05/14/2026 19:37,GBPUSD,Sell,0.160,1.35844,1.34372,1.35108,1.34380,0.0000,0.0000,72.8,116.48,1.07,"",400000,02:02:37:07,22.9,11h 35m,43.3,0.53,73.9,118.24000000000001,-39.0,-62.400000000000006,65.5,99.0,-1.10,-1.76
,05/12/2026 07:00,05/12/2026 10:04,GBPUSD,Sell,0.270,1.36269,1.35395,1.35830,1.35411,0.0000,0.0000,41.9,113.13,1.05,"",400000,00:03:04:03,100.0,3h 4m,1.5,0.02,43.4,117.18,0.0,0.0,100.0,96.5,-1.50,-4.05
,05/06/2026 08:00,05/11/2026 18:21,GBPUSD,Buy,0.360,1.35324,1.36456,1.35899,1.36454,0.0000,0.0000,55.5,199.80,1.85,"",400000,05:10:21:51,84.1,4d 13h ,90.3,0.71,59.4,213.84,-42.4,-152.64,58.3,96.2,-3.90,-14.04
,12/23/2025 07:05,12/26/2025 20:56,XBRUSD,Buy,0.100,0.00000,0.00000,61.50000,60.46000,0.0000,0.0000,-104.0,-104.00,-0.97,"",0,03:13:50:18,,,,,,,,,,,,
,12/23/2025 07:04,12/23/2025 07:04,XBRUSD,Buy,0.500,0.00000,0.00000,61.47000,61.41000,0.0000,0.0000,-6.0,-30.00,-0.28,"",0,00:00:00:14,,,,,,,,,,,,
,05/28/2025 19:00,06/02/2025 09:27,GBPUSD,Sell,0.210,1.35193,0.00000,1.34602,1.35193,0.0000,0.0000,-59.1,-124.11,-1.14,"[sl 1.35193]",321001,04:14:27:16,9.5,10h 29m,137.7,2.12,44.2,92.82000000000001,-93.5,-196.35,32.1,25.0,-103.30,-216.93
,05/20/2025 09:00,05/21/2025 06:16,GBPUSD,Buy,0.770,0.00000,0.00000,1.33772,1.34281,0.0000,0.0000,50.9,391.93,3.74,"",321001,00:21:16:00,62.0,13h 11m,45.2,0.56,71.7,552.09,-40.3,-310.31,64.0,81.4,-20.80,-160.16
,05/15/2025 15:00,05/19/2025 10:18,GBPUSD,Sell,0.330,1.33386,0.00000,1.32713,1.33387,0.0000,0.0000,-67.4,-222.42,-2.08,"[sl 1.33386]",321001,03:19:17:56,4.3,3h 55m,130.7,6.07,18.5,61.05,-112.2,-370.26,14.2,34.3,-85.90,-283.47
,05/12/2025 11:00,05/13/2025 20:57,GBPUSD,Sell,0.090,1.33020,0.00000,1.31691,1.33024,0.0000,0.0000,-133.3,-119.97,-1.11,"[sl 1.33020]",321001,01:09:56:58,4.2,1h 25m,159.1,9.98,14.5,13.05,-144.6,-130.14,9.1,7.1,-147.80,-133.02
,05/08/2025 12:00,05/12/2025 10:37,GBPUSD,Sell,0.150,0.00000,0.00000,1.32664,1.31838,0.0000,0.0000,82.6,123.90,1.16,"",321001,03:22:37:06,21.9,20h 43m,104.9,0.69,111.1,166.64999999999998,-77.1,-115.64999999999999,59.0,84.9,-28.50,-42.75
,05/08/2025 08:00,05/08/2025 11:57,GBPUSD,Sell,0.580,0.00000,0.00000,1.33318,1.32640,0.0000,0.0000,67.8,393.24,3.82,"",321001,00:03:57:39,100.0,3h 57m,64.9,0.01,68.8,399.03999999999996,0.0,0.0,100.0,98.5,-1.00,-5.80
,04/23/2025 14:00,04/28/2025 17:27,GBPUSD,Sell,0.140,1.33853,0.00000,1.33028,1.33855,0.0000,0.0000,-82.7,-115.78,-1.11,"[sl 1.33853]",321001,05:03:27:06,27.5,1d 9h ,161.5,2.11,52.0,72.8,-109.5,-153.29999999999998,32.2,16.6,-134.70,-188.58
,04/16/2025 04:00,04/21/2025 02:50,GBPUSD,Buy,0.170,0.00000,0.00000,1.32491,1.33159,0.0000,0.0000,66.8,113.56,1.10,"",321001,04:22:49:55,80.5,3d 23h ,84.0,0.35,123.5,209.95,-43.7,-74.29,73.9,66.1,-56.70,-96.39
,04/16/2025 04:00,04/16/2025 04:55,GBPUSD,Buy,0.170,0.00000,0.00000,1.32491,1.32490,0.0000,0.0000,-0.1,-0.17,0.00,"",321001,00:00:55:25,98.2,54m,17.5,0.01,17.4,29.58,-0.1,-0.17,99.4,0.0,-17.50,-29.75
,04/11/2025 04:00,04/11/2025 11:50,GBPUSD,Buy,0.190,0.00000,1.31237,1.30131,1.31237,0.0000,0.0000,110.6,210.14,2.08,"[tp 1.31237]",321001,00:07:50:07,79.4,6h 13m,84.8,0.21,128.1,243.39,-26.7,-50.73,82.8,88.7,-17.50,-33.25
,04/08/2025 11:00,04/09/2025 09:53,GBPUSD,Sell,0.100,1.28589,0.00000,1.27497,1.28589,0.0000,0.0000,-109.2,-109.20,-1.07,"[sl 1.28589]",321001,00:22:53:46,0.8,10m,112.5,33.11,3.3,3.3,-109.2,-109.2,2.9,0.0,-112.50,-112.50
,04/07/2025 10:00,04/07/2025 17:38,GBPUSD,Sell,0.160,0.00000,0.00000,1.29017,1.27805,0.0000,0.0000,121.2,193.92,1.94,"",321001,00:07:38:05,100.0,7h 38m,68.4,0.01,189.6,303.36,0.0,0.0,100.0,63.9,-68.40,-109.44
,12/16/2024 08:48,,,Deposit,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,10000.00,0,"D-IN-153996423: from 220282042",0,00:00:00:00,,,,,,,,,,,,

Open Trades
Tags,Open Date,Symbol,Action,Lots,Open Price,TP,SL,Profit,Pips,Swap
,06/01/2026 22:00,GBPUSD,Sell,0.420,1.34569,1.3406,1.3509,-54.18,-12.9,0.0

