Tags,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
,06/01/2026 16:45,06/01/2026 16:45,XAUUSD,Buy,0.010,0.00000,0.00000,4467.47000,4468.21000,0.0000,0.0000,74.0,0.74,0.07,"8138 Trade 1",1,00:00:00:20,,,,,,,,,,,,
,05/29/2026 16:45,06/01/2026 16:17,EURUSD,Sell,0.010,0.00000,0.00000,1.16504,1.16387,0.0000,0.0300,11.7,1.20,0.12,"12443 Trade 1",2,02:23:31:52,16.7,11h 56m,30.5,0.52,42.2,4.220000000000001,-21.8,-2.18,65.9,52.3,-30.50,-3.05
,05/29/2026 16:45,05/29/2026 16:45,XAUUSD,Sell,0.010,0.00000,0.00000,4532.36000,4531.17000,0.0000,0.0000,119.0,1.19,0.12,"2642 Trade 1",1,00:00:00:06,,,,,,,,,,,,
,05/28/2026 17:00,05/28/2026 17:15,EURUSD,Buy,0.010,0.00000,0.00000,1.16299,1.16438,0.0000,0.0000,13.9,1.39,0.14,"28722 Trade 1",2,00:00:14:49,100.0,14m,13.0,0.04,26.9,2.69,0.0,0.0,100.0,51.7,-13.00,-1.30
,05/28/2026 17:01,05/28/2026 17:06,XAUUSD,Buy,0.030,0.00000,0.00000,4426.32000,4426.53000,0.0000,0.0000,21.0,0.63,0.06,"28354 Trade 3",1,00:00:05:10,100.0,5m,8489.0,0.00,8510.0,255.29999999999998,0.0,0.0,100.0,0.2,-8489.00,-254.67
,05/28/2026 17:03,05/28/2026 17:04,XAUUSD,Buy,0.050,0.00000,0.00000,4424.21000,4425.95000,0.0000,0.0000,174.0,8.70,0.87,"28354 Trade 4",1,00:00:01:28,,,,,,,,,,,,
,05/28/2026 17:00,05/28/2026 17:04,XAUUSD,Buy,0.020,0.00000,0.00000,4428.86000,4426.00000,0.0000,0.0000,-286.0,-5.72,-0.57,"28354 Trade 2",1,00:00:04:05,75.0,3m,8556.0,0.03,8270.0,165.4,-286.0,-5.72,96.7,0.0,-8556.00,-171.12
,05/28/2026 17:03,05/28/2026 17:04,XAUUSD,Buy,0.080,0.00000,0.00000,4422.15000,4423.52000,0.0000,0.0000,137.0,10.96,1.11,"28354 Trade 5",1,00:00:00:59,,,,,,,,,,,,
,05/28/2026 17:00,05/28/2026 17:04,XAUUSD,Buy,0.010,0.00000,0.00000,4432.71000,4423.58000,0.0000,0.0000,-913.0,-9.13,-0.91,"28354 Trade 1",1,00:00:04:09,75.0,3m,8798.0,0.12,7885.0,78.85000000000001,-913.0,-9.13,89.6,0.0,-8798.00,-87.98
,05/15/2026 08:47,05/27/2026 15:23,EURUSD,Buy,0.050,0.00000,0.00000,1.16367,1.16487,0.0000,-5.0000,12.0,1.00,0.10,"30676 Trade 4",2,12:06:36:16,22.0,2d 16h ,74.0,2.27,22.6,11.3,-51.4,-25.7,30.5,85.7,-10.60,-5.30
