Open Date,Close Date,Symbol,Action,Units/Lots,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USC),Min(pips),Min(USC),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USC)
06/04/2026 14:30,06/04/2026 14:48,XAUUSD,Buy,0.150,4490.57000,4503.94000,0.0000,0.0000,1337.0,200.55,5.72,00:00:18:39,5.3,59s,2502.0,1.87,1337.0,200.54999999999998,-2502.0,-375.3,34.8,100.0,0.00,0.00
06/04/2026 08:25,06/04/2026 09:29,XAUUSD,Sell,0.150,4472.49000,4472.37000,0.0000,0.0000,12.0,1.80,0.05,00:01:04:59,100.0,1h 4m,1233.0,0.00,1245.0,186.75,0.0,0.0,100.0,1.0,-1233.00,-184.95
06/04/2026 02:00,06/04/2026 02:46,XAUUSD,Buy,0.150,4449.30000,4464.03000,0.0000,0.0000,1473.0,220.95,6.73,00:00:46:06,100.0,46m,890.0,0.00,1695.0,254.25,0.0,0.0,100.0,86.9,-222.00,-33.30
06/03/2026 22:05,06/04/2026 01:56,XAUUSD,Buy,0.150,4449.41000,4445.61000,0.0000,0.0000,-380.0,-57.00,-1.71,00:03:51:51,54.8,2h 7m,2670.0,1.05,2290.0,343.5,-2406.0,-360.9,48.8,43.1,-2670.00,-400.50
06/03/2026 23:33,06/04/2026 01:56,XAUUSD,Buy,0.230,4434.43000,4445.46000,0.0000,0.0000,1103.0,253.69,8.22,00:02:23:47,100.0,2h 23m,2685.0,0.00,3788.0,871.24,0.0,0.0,100.0,29.1,-2685.00,-617.55
06/03/2026 20:36,,,Withdrawal,0.000,0.00000,0.00000,0.0000,0.0000,0.0,-2500.00,0,00:00:00:00,,,,,,,,,,,,
06/03/2026 13:10,06/03/2026 14:50,XAUUSD,Buy,0.150,4462.07000,4462.23000,0.0000,0.0000,16.0,2.40,0.04,00:01:40:00,5.0,5m,3461.0,217.39,16.0,2.4,-3461.0,-519.15,0.5,100.0,0.00,0.00
06/03/2026 04:05,06/03/2026 04:55,XAUUSD,Sell,0.150,4474.29000,4474.32000,0.0000,0.0000,-3.0,-0.45,-0.01,00:00:50:00,38.0,19m,1260.0,3.09,408.0,61.199999999999996,-1260.0,-189.0,24.5,75.4,-411.00,-61.65
06/02/2026 17:22,06/02/2026 17:38,XAUUSD,Buy,0.800,4491.65000,4504.19000,0.0000,0.0000,1254.0,1003.20,21.90,00:00:15:37,6.3,59s,822.0,0.66,1254.0,1003.2,-822.0,-657.6,60.4,100.0,0.00,0.00
06/02/2026 17:00,06/02/2026 17:38,XAUUSD,Buy,0.530,4500.08000,4504.19000,0.0000,0.0000,411.0,217.83,4.99,00:00:38:16,2.7,1m,1665.0,4.05,411.0,217.83,-1665.0,-882.45,19.8,100.0,0.00,0.00
06/02/2026 16:22,06/02/2026 17:38,XAUUSD,Buy,0.350,4511.03000,4504.19000,0.0000,0.0000,-684.0,-239.40,-5.20,00:01:16:18,0.0,0s,2760.0,3333.33,0.0,0.0,-2760.0,-965.9999999999999,0.0,75.2,-684.00,-239.40
06/02/2026 15:47,06/02/2026 17:38,XAUUSD,Buy,0.230,4521.67000,4504.19000,0.0000,0.0000,-1748.0,-402.04,-8.03,00:01:50:40,0.0,0s,3824.0,5000.00,0.0,0.0,-3824.0,-879.52,0.0,54.3,-1748.00,-402.04
06/02/2026 13:50,06/02/2026 17:38,XAUUSD,Buy,0.150,4530.92000,4504.19000,0.0000,0.0000,-2673.0,-400.95,-7.42,00:03:48:18,0.0,0s,4749.0,5000.00,0.0,0.0,-4749.0,-712.35,0.0,43.7,-2673.00,-400.95
06/02/2026 05:15,06/02/2026 06:28,XAUUSD,Buy,0.150,4480.78000,4494.43000,0.0000,0.0000,1365.0,204.75,3.94,00:01:13:07,100.0,1h 13m,3816.0,0.00,5181.0,777.15,0.0,0.0,100.0,26.3,-3816.00,-572.40
06/02/2026 03:21,06/02/2026 03:49,XAUUSD,Sell,0.230,4488.96000,4481.87000,0.0000,0.0000,709.0,163.07,3.24,00:00:28:12,7.2,2m,1223.0,1.38,709.0,163.07,-976.0,-224.48000000000002,42.1,100.0,0.00,0.00
06/01/2026 22:55,06/02/2026 03:49,XAUUSD,Sell,0.150,4480.26000,4481.87000,0.0000,0.0000,-161.0,-24.15,-0.48,00:04:54:44,20.0,58m,3333.0,1.24,1487.0,223.04999999999998,-1846.0,-276.9,44.6,50.6,-1648.00,-247.20
06/01/2026 19:55,06/01/2026 20:45,XAUUSD,Buy,0.150,4480.23000,4494.02000,0.0000,0.0000,1379.0,206.85,4.26,00:00:50:12,98.1,49m,337.0,0.07,1379.0,206.85,-95.0,-14.25,93.6,100.0,0.00,0.00
06/01/2026 16:00,06/01/2026 16:11,XAUUSD,Sell,0.150,4502.22000,4487.53000,0.0000,0.0000,1469.0,220.35,4.75,00:00:11:25,100.0,11m,2111.0,0.00,3580.0,537.0,0.0,0.0,100.0,41.0,-2111.00,-316.65
06/01/2026 12:31,06/01/2026 13:29,XAUUSD,Buy,0.230,4494.42000,4503.46000,0.0000,0.0000,904.0,207.92,4.70,00:00:57:33,67.3,38m,4419.0,2.24,1365.0,313.95,-3054.0,-702.4200000000001,30.9,89.6,-461.00,-106.03
06/01/2026 12:20,06/01/2026 13:29,XAUUSD,Buy,0.150,4505.88000,4503.46000,0.0000,0.0000,-242.0,-36.30,-0.81,00:01:09:10,18.6,12m,4419.0,19.19,219.0,32.85,-4200.0,-630.0,5.0,89.6,-461.00,-69.15
05/29/2026 21:50,05/29/2026 22:00,XAUUSD,Sell,0.150,4552.86000,4553.43000,0.0000,0.0000,-57.0,-8.55,-0.19,00:00:10:00,,,,,,,,,,,,
05/28/2026 13:45,05/28/2026 13:58,XAUUSD,Sell,0.150,4388.90000,4387.58000,0.0000,0.0000,132.0,19.80,0.44,00:00:13:02,7.2,56s,4447.0,33.78,132.0,19.8,-4447.0,-667.05,2.9,100.0,0.00,0.00
05/28/2026 10:05,05/28/2026 10:33,XAUUSD,Buy,0.150,4387.46000,4389.89000,0.0000,0.0000,243.0,36.45,0.83,00:00:28:39,100.0,28m,1264.0,0.00,1507.0,226.04999999999998,0.0,0.0,100.0,16.1,-1264.00,-189.60
05/27/2026 15:20,05/27/2026 15:22,XAUUSD,Buy,0.150,4446.99000,4460.53000,0.0000,0.0000,1354.0,203.10,4.82,00:00:02:06,,,,,,,,,,,,
05/27/2026 13:05,05/27/2026 13:32,XAUUSD,Sell,0.150,4486.34000,4472.77000,0.0000,0.0000,1357.0,203.55,5.08,00:00:27:52,100.0,27m,6852.0,0.00,8209.0,1231.35,0.0,0.0,100.0,16.5,-6852.00,-1027.80
05/27/2026 11:05,05/27/2026 12:02,XAUUSD,Buy,0.150,4486.97000,4491.75000,0.0000,0.0000,478.0,71.70,1.82,00:00:57:48,1.8,1m,0.0,0.00,478.0,71.7,0.0,0.0,100.0,100.0,0.00,0.00
05/27/2026 07:45,05/27/2026 08:00,XAUUSD,Buy,0.150,4508.80000,4509.03000,0.0000,0.0000,23.0,3.45,0.09,00:00:15:03,6.3,56s,3268.0,142.86,23.0,3.4499999999999997,-3268.0,-490.2,0.7,100.0,0.00,0.00
05/27/2026 03:25,05/27/2026 05:07,XAUUSD,Sell,0.150,4516.25000,4502.55000,0.0000,0.0000,1370.0,205.50,5.51,00:01:42:28,99.1,1h 41m,1980.0,0.04,1904.0,285.59999999999997,-76.0,-11.4,96.2,73.0,-534.00,-80.10
05/27/2026 01:05,05/27/2026 01:06,XAUUSD,Buy,0.150,4504.27000,4506.16000,0.0000,0.0000,189.0,28.35,0.77,00:00:01:04,,,,,,,,,,,,
05/26/2026 21:51,,,Withdrawal,0.000,0.00000,0.00000,0.0000,0.0000,0.0,-14.00,0,00:00:00:00,,,,,,,,,,,,
05/26/2026 17:00,05/26/2026 17:38,XAUUSD,Buy,0.230,4512.43000,4523.51000,0.0000,0.0000,1108.0,254.84,7.37,00:00:38:22,2.7,1m,1469.0,1.33,1108.0,254.84,-1469.0,-337.87,43.0,100.0,0.00,0.00
05/26/2026 16:25,05/26/2026 17:38,XAUUSD,Buy,0.150,4526.50000,4523.49000,0.0000,0.0000,-301.0,-45.15,-1.29,00:01:13:53,0.0,0s,2876.0,3333.33,0.0,0.0,-2876.0,-431.4,0.0,89.5,-301.00,-45.15
05/26/2026 03:05,05/26/2026 03:59,XAUUSD,Sell,0.150,4550.66000,4549.34000,0.0000,0.0000,132.0,19.80,0.57,00:00:54:01,100.0,54m,1226.0,0.00,1358.0,203.7,0.0,0.0,100.0,9.7,-1226.00,-183.90
05/25/2026 15:05,05/25/2026 15:27,XAUUSD,Sell,0.150,4564.37000,4560.16000,0.0000,0.0000,421.0,63.15,1.85,00:00:22:32,20.0,4m,882.0,2.10,421.0,63.15,-882.0,-132.29999999999998,32.3,100.0,0.00,0.00
05/25/2026 03:00,05/25/2026 05:41,XAUUSD,Sell,0.150,4567.49000,4567.41000,0.0000,0.0000,8.0,1.20,0.04,00:02:41:02,100.0,2h 41m,1341.0,0.00,1349.0,202.35,0.0,0.0,100.0,0.6,-1341.00,-201.15
05/25/2026 01:05,05/25/2026 01:48,XAUUSD,Buy,0.150,4551.03000,4565.17000,0.0000,0.0000,1414.0,212.10,6.61,00:00:43:28,100.0,43m,1024.0,0.00,2265.0,339.75,0.0,0.0,100.0,62.4,-851.00,-127.65
05/22/2026 21:05,05/22/2026 22:00,XAUUSD,Sell,0.150,4515.70000,4515.37000,0.0000,0.0000,33.0,4.95,0.15,00:00:55:00,,,,,,,,,,,,
05/22/2026 17:14,05/22/2026 18:11,XAUUSD,Buy,0.350,4497.18000,4511.56000,0.0000,0.0000,1438.0,503.30,18.64,00:00:56:41,100.0,56m,1384.0,0.00,2822.0,987.6999999999999,0.0,0.0,100.0,51.0,-1384.00,-484.40
05/22/2026 16:42,05/22/2026 18:11,XAUUSD,Buy,0.230,4512.79000,4511.58000,0.0000,0.0000,-121.0,-27.83,-1.02,00:01:28:54,98.9,1h 27m,1382.0,0.10,1261.0,290.03000000000003,-121.0,-27.830000000000002,91.2,0.0,-1382.00,-317.86
05/22/2026 16:00,05/22/2026 18:11,XAUUSD,Buy,0.150,4529.76000,4511.57000,0.0000,0.0000,-1819.0,-272.85,-9.09,00:02:11:32,0.0,0s,1819.0,2000.00,0.0,0.0,-1819.0,-272.84999999999997,0.0,0.0,-1819.00,-272.85
05/22/2026 12:43,,,Withdrawal,0.000,0.00000,0.00000,0.0000,0.0000,0.0,-2987.00,0,00:00:00:00,,,,,,,,,,,,
05/22/2026 08:55,05/22/2026 09:06,XAUUSD,Buy,0.230,4522.73000,4521.43000,0.0000,0.0000,-130.0,-29.90,-0.50,00:00:10:47,36.4,3m,391.0,0.50,261.0,60.03,-130.0,-29.900000000000002,66.8,0.0,-391.00,-89.93
05/22/2026 07:30,05/22/2026 09:06,XAUUSD,Buy,0.150,4532.51000,4521.42000,0.0000,0.0000,-1109.0,-166.35,-2.69,00:01:36:23,0.0,0s,1495.0,1666.67,0.0,0.0,-1495.0,-224.25,0.0,25.8,-1109.00,-166.35
05/22/2026 08:57,05/22/2026 09:06,XAUUSD,Buy,0.350,4512.63000,4521.47000,0.0000,0.0000,884.0,309.40,5.27,00:00:08:33,100.0,8m,387.0,0.00,1271.0,444.84999999999997,0.0,0.0,100.0,69.6,-387.00,-135.45
05/21/2026 16:55,05/21/2026 20:15,XAUUSD,Buy,0.150,4518.50000,4532.15000,0.0000,0.0000,1365.0,204.75,3.61,00:03:20:48,95.1,3h 10m,2888.0,0.07,3828.0,574.1999999999999,-286.0,-42.9,93.0,40.1,-2463.00,-369.45
05/20/2026 18:20,05/21/2026 04:11,XAUUSD,Buy,0.150,4543.49000,4557.15000,0.0000,0.0000,1366.0,204.90,3.75,00:09:51:28,52.8,5h 12m,4140.0,0.58,2618.0,392.7,-1522.0,-228.29999999999998,63.2,69.8,-1252.00,-187.80
05/20/2026 15:30,05/20/2026 15:58,XAUUSD,Sell,0.230,4502.10000,4495.72000,0.0000,0.0000,638.0,146.74,2.76,00:00:27:57,20.0,5m,3493.0,5.48,638.0,146.74,-3493.0,-803.39,15.4,100.0,0.00,0.00
05/20/2026 15:20,05/20/2026 15:58,XAUUSD,Sell,0.150,4494.03000,4495.77000,0.0000,0.0000,-174.0,-26.10,-0.49,00:00:38:05,0.0,0s,4370.0,5000.00,0.0,0.0,-4370.0,-655.5,0.0,96.0,-174.00,-26.10
05/20/2026 08:05,05/20/2026 10:12,XAUUSD,Buy,0.150,4471.33000,4485.11000,0.0000,0.0000,1378.0,206.70,4.02,00:02:07:08,100.0,2h 7m,1523.0,0.00,1864.0,279.59999999999997,0.0,0.0,100.0,73.9,-486.00,-72.90
05/20/2026 05:35,05/20/2026 06:06,XAUUSD,Sell,0.150,4470.67000,4455.91000,0.0000,0.0000,1476.0,221.40,4.50,00:00:31:11,42.9,13m,731.0,0.14,1476.0,221.4,-206.0,-30.9,87.8,100.0,0.00,0.00
05/20/2026 03:08,05/20/2026 03:24,XAUUSD,Buy,0.230,4480.60000,4490.99000,0.0000,0.0000,1039.0,238.97,5.11,00:00:16:31,,,,,,,,,,,,
05/20/2026 02:35,05/20/2026 03:24,XAUUSD,Buy,0.150,4493.41000,4491.00000,0.0000,0.0000,-241.0,-36.15,-0.77,00:00:49:57,0.0,0s,3687.0,5000.00,0.0,0.0,-3687.0,-553.05,0.0,93.5,-241.00,-36.15
05/19/2026 16:05,05/19/2026 16:22,XAUUSD,Sell,0.150,4523.51000,4510.41000,0.0000,0.0000,1310.0,196.50,4.35,00:00:17:18,5.6,58s,0.0,0.00,1310.0,196.5,0.0,0.0,100.0,100.0,0.00,0.00
05/18/2026 22:05,05/19/2026 01:01,XAUUSD,Buy,0.150,4554.95000,4569.26000,0.0000,0.0000,1431.0,214.65,4.99,00:02:56:01,100.0,2h 56m,2593.0,0.00,3369.0,505.34999999999997,0.0,0.0,100.0,42.5,-1938.00,-290.70
05/18/2026 14:35,05/18/2026 14:40,XAUUSD,Buy,0.150,4542.60000,4556.70000,0.0000,0.0000,1410.0,211.50,5.17,00:00:05:01,83.4,4m,730.0,0.02,1410.0,211.5,-34.0,-5.1,97.6,100.0,0.00,0.00
05/18/2026 07:25,05/18/2026 10:50,XAUUSD,Sell,0.150,4537.13000,4540.97000,0.0000,0.0000,-384.0,-57.60,-1.39,00:03:25:51,2.0,4m,2178.0,5.19,420.0,63.0,-2178.0,-326.7,16.2,69.1,-804.00,-120.60
05/18/2026 10:30,05/18/2026 10:50,XAUUSD,Sell,0.230,4551.77000,4540.81000,0.0000,0.0000,1096.0,252.08,6.47,00:00:20:47,100.0,20m,1409.0,0.00,1884.0,433.32,0.0,0.0,100.0,58.2,-788.00,-181.24
05/18/2026 04:00,05/18/2026 04:50,XAUUSD,Buy,0.150,4515.58000,4529.41000,0.0000,0.0000,1383.0,207.45,5.62,00:00:50:34,100.0,50m,1722.0,0.00,3105.0,465.75,0.0,0.0,100.0,44.5,-1722.00,-258.30
05/15/2026 22:05,05/15/2026 23:04,XAUUSD,Sell,0.150,4554.39000,4540.92000,0.0000,0.0000,1347.0,202.05,5.80,00:00:59:14,,,,,,,,,,,,
05/15/2026 10:15,05/15/2026 13:09,XAUUSD,Buy,0.150,4586.12000,4559.03000,0.0000,0.0000,-2709.0,-406.35,-10.44,00:02:54:35,0.0,0s,4793.0,5000.00,0.0,0.0,-4793.0,-718.9499999999999,0.0,43.5,-2709.00,-406.35
05/15/2026 12:49,05/15/2026 13:09,XAUUSD,Buy,0.350,4539.20000,4558.96000,0.0000,0.0000,1976.0,691.60,21.61,00:00:20:22,95.0,19m,1714.0,0.05,1976.0,691.5999999999999,-101.0,-35.349999999999994,95.1,100.0,0.00,0.00
