Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
05/29/2026 18:03,06/01/2026 20:44,XAUUSD,Buy,0.010,0.00000,4491.16000,4576.42000,4490.97000,-0.0800,-0.5500,-8545.0,-86.08,-2.23,03:02:41:09,0.6,26m,13994.0,9.01,1399.0,13.99,-12595.0,-125.95,10.0,28.9,-9944.00,-99.44
05/29/2026 18:03,06/01/2026 06:06,XAUUSD,Buy,0.010,4517.89000,0.00000,4574.18000,4517.60000,-0.0800,-0.5500,-5658.0,-57.21,-1.46,02:12:02:54,0.7,25m,7302.0,3.50,1623.0,16.23,-5679.0,-56.79,22.2,0.3,-7281.00,-72.81
05/29/2026 18:08,06/01/2026 06:06,XAUUSD,Buy,0.010,4517.89000,0.00000,4586.61000,4517.60000,-0.0800,-0.5500,-6901.0,-69.64,-1.75,02:11:58:33,0.2,7m,7107.0,37.45,185.0,1.85,-6922.0,-69.22,2.6,0.3,-7086.00,-70.86
05/29/2026 18:05,05/29/2026 20:43,XAUUSD,Buy,0.010,4556.35000,0.00000,4580.20000,4556.01000,-0.0800,0.0000,-2419.0,-24.27,-0.61,00:02:38:06,15.9,25m,3859.0,2.05,1267.0,12.67,-2592.0,-25.92,32.8,4.5,-3686.00,-36.86
05/29/2026 18:05,05/29/2026 18:48,XAUUSD,Buy,0.010,4559.62000,0.00000,4580.94000,4559.72000,-0.0800,0.0000,-2122.0,-21.30,-0.53,00:00:43:11,53.5,23m,3315.0,1.78,1193.0,11.93,-2122.0,-21.22,36.0,0.0,-3315.00,-33.15
05/29/2026 18:03,05/29/2026 18:41,XAUUSD,Buy,0.010,4566.06000,0.00000,4571.97000,4565.90000,-0.0800,0.0000,-607.0,-6.15,-0.15,00:00:38:25,94.8,36m,2783.0,0.33,2090.0,20.900000000000002,-693.0,-6.93,75.1,3.1,-2697.00,-26.97
05/29/2026 18:04,05/29/2026 18:27,XAUUSD,Buy,0.010,4580.73000,0.00000,4578.60000,4579.85000,-0.0800,0.0000,125.0,1.17,0.03,00:00:22:20,95.7,21m,1363.0,0.11,1427.0,14.27,-161.0,-1.61,89.9,18.0,-1302.00,-13.02
05/29/2026 18:04,05/29/2026 18:11,XAUUSD,Buy,0.010,0.00000,4593.05000,4578.60000,4593.96000,-0.0800,0.0000,1536.0,15.28,0.38,00:00:06:17,85.8,5m,161.0,0.10,1536.0,15.36,-161.0,-1.61,90.5,100.0,0.00,0.00
05/29/2026 18:04,05/29/2026 18:11,XAUUSD,Buy,0.010,0.00000,4593.70000,4578.60000,4594.11000,-0.0800,0.0000,1551.0,15.43,0.39,00:00:06:17,85.8,5m,161.0,0.10,1551.0,15.51,-161.0,-1.61,90.6,100.0,0.00,0.00
05/29/2026 18:05,05/29/2026 18:10,XAUUSD,Buy,0.010,4586.14000,0.00000,4579.80000,4586.13000,-0.0800,0.0000,633.0,6.25,0.16,00:00:05:12,100.0,5m,298.0,0.00,931.0,9.31,0.0,0.0,100.0,68.0,-298.00,-2.98
