Tags,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
,05/28/2026 16:30,05/28/2026 16:30,AUDUSD,Buy,0.010,0.00000,0.00000,0.71287,0.71283,-0.0700,0.0000,-0.4,-0.11,-0.07,1779540468,00:00:00:01,,,,,,,,,,,,
,05/28/2026 13:00,05/28/2026 16:00,AUDUSD,Buy,0.010,0.70280,0.71660,0.71202,0.71334,-0.0700,0.0000,13.2,1.25,0.76,1779540467,00:03:00:32,33.2,59m,10.8,0.59,13.5,1.35,-7.9,-0.79,63.1,98.6,-0.30,-0.03
,05/28/2026 10:00,05/28/2026 16:00,AUDUSD,Buy,0.010,0.70290,0.71670,0.71210,0.71333,-0.0700,0.0000,12.3,1.16,0.71,1779540466,00:06:00:32,32.5,1h 57m,14.4,0.69,12.7,1.27,-8.7,-0.87,59.3,98.1,-0.40,-0.04
,05/26/2026 00:30,05/26/2026 07:59,AUDUSD,Sell,0.010,0.72610,0.71230,0.71693,0.71613,-0.0700,0.0000,8.0,0.73,0.45,1779540465,00:07:29:25,53.4,3h 59m,9.7,0.74,8.4,0.8400000000000001,-6.2,-0.6200000000000001,57.5,97.3,-0.40,-0.04
,05/25/2026 20:00,05/26/2026 07:59,AUDUSD,Sell,0.010,0.72650,0.71270,0.71733,0.71614,-0.0700,-0.0400,11.9,1.08,0.67,1779540464,00:11:59:19,59.3,7h 6m,9.7,0.27,12.4,1.2400000000000002,-3.4,-0.34,78.5,96.8,-0.50,-0.05
,05/19/2026 21:00,05/20/2026 13:06,AUDUSD,Buy,0.010,0.70210,0.71590,0.71132,0.71164,-0.0700,-0.0200,3.2,0.23,0.14,1778405948,00:16:06:03,6.2,59m,25.4,5.68,4.3,0.43,-24.4,-2.44,15.0,96.2,-1.10,-0.11
,05/19/2026 14:00,05/20/2026 13:06,AUDUSD,Buy,0.010,0.70250,0.71630,0.71168,0.71164,-0.0700,-0.0200,-0.4,-0.13,-0.08,1778405947,00:23:06:03,6.9,1h 35m,41.6,7.67,4.8,0.48,-36.8,-3.6799999999999997,11.5,87.5,-5.20,-0.52
,05/19/2026 11:45,05/20/2026 13:06,AUDUSD,Buy,0.010,0.70270,0.71650,0.71190,0.71165,-0.0700,-0.0200,-2.5,-0.34,-0.21,1778405946,01:01:21:01,3.7,56m,41.6,15.02,2.6,0.26,-39.0,-3.9000000000000004,6.2,87.7,-5.10,-0.51
,05/15/2026 14:30,05/18/2026 14:39,AUDUSD,Buy,0.010,0.70680,0.72060,0.71595,0.71654,-0.0700,-0.0200,5.9,0.50,0.31,1778405942,03:00:09:41,1.9,1h 22m,44.4,6.73,5.9,0.5900000000000001,-39.7,-3.9700000000000006,12.9,100.0,0.00,0.00
,05/15/2026 10:00,05/18/2026 14:39,AUDUSD,Buy,0.010,0.70690,0.72070,0.71607,0.71655,-0.0700,-0.0200,4.8,0.39,0.24,1778405941,03:04:39:42,4.2,3h 13m,57.7,2.43,16.8,1.6800000000000002,-40.9,-4.09,29.1,79.2,-12.00,-1.20
