Open Date,Close Date,Symbol,Action,Units/Lots,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
06/02/2026 06:45,06/02/2026 13:36,AUDCAD,Sell,0.010,0.99285,0.99173,-0.0800,0.0000,11.2,0.73,0.05,00:06:51:49,7.3,30m,22.3,1.89,11.8,0.8260000000000002,-22.3,-1.5610000000000002,34.6,98.2,-0.60,-0.04
06/01/2026 13:15,06/01/2026 17:29,AUDCAD,Buy,0.010,0.98930,0.99043,-0.0900,0.0000,11.3,0.72,0.05,00:04:14:41,51.4,2h 10m,25.0,0.97,15.9,1.1130000000000002,-15.5,-1.0850000000000002,50.6,85.4,-4.60,-0.32
05/29/2026 13:45,06/01/2026 09:05,NZDCAD,Sell,0.020,0.82667,0.82370,-0.1650,0.0000,29.7,4.14,0.29,02:19:20:46,100.0,2d 19h ,55.278328,0.01,66.778328,9.348965920000001,0.0,0.0,100.0,44.5,-37.08,-5.19
05/29/2026 09:15,06/01/2026 09:05,NZDCAD,Sell,0.010,0.82356,0.82370,-0.0825,0.0000,-1.4,-0.18,-0.01,02:23:50:47,2.3,1h 39m,55.278328,1.00,35.678328,2.49748296,-35.5,-2.4850000000000003,50.1,47.9,-37.08,-2.60
05/29/2026 00:30,06/01/2026 09:05,NZDCAD,Sell,0.010,0.81939,0.82370,-0.0825,0.0000,-43.1,-3.20,-0.22,03:08:35:46,0.0,0s,77.2,77.52,0.0,0.0,-77.2,-5.404000000000001,0.0,44.2,-43.10,-3.02
05/28/2026 03:30,05/28/2026 06:14,AUDCAD,Buy,0.010,0.98546,0.98658,-0.0825,0.0000,11.2,0.73,0.05,00:02:44:37,33.0,54m,12.9,1.12,11.2,0.784,-12.5,-0.8750000000000001,47.3,100.0,0.00,0.00
05/28/2026 05:00,05/28/2026 05:34,NZDCAD,Buy,0.010,0.81305,0.81417,-0.0825,0.0000,11.2,0.73,0.05,00:00:34:04,100.0,34m,2.3,0.09,11.2,0.784,0.0,0.0,100.0,100.0,0.00,0.00
05/27/2026 12:30,05/28/2026 04:46,NZDCAD,Sell,0.010,0.81591,0.81326,-0.0825,0.0000,26.5,1.83,0.13,00:16:16:26,52.6,8h 33m,41.6,0.89,27.1,1.8970000000000002,-24.1,-1.6870000000000003,52.9,98.8,-0.60,-0.04
05/27/2026 05:15,05/28/2026 04:46,NZDCAD,Sell,0.010,0.81185,0.81326,-0.0825,0.0000,-14.1,-1.10,-0.08,00:23:31:17,9.3,2h 11m,70.8,7.75,8.1,0.5670000000000001,-62.7,-4.389,11.4,68.6,-22.20,-1.55
05/26/2026 00:30,05/27/2026 02:02,NZDCAD,Buy,0.010,0.80872,0.80984,-0.0825,0.0000,11.2,0.73,0.05,01:01:32:46,2.7,41m,35.2,1.50,23.2,1.624,-34.7,-2.4290000000000003,40.1,79.3,-12.00,-0.84
