Open Date,Close Date,Symbol,Action,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(EUR),Min(pips),Min(EUR),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(EUR)
05/28/2026 15:00,05/28/2026 16:01,EURUSD,Buy,1.16176,1.16384,-0.0600,0.0000,20.8,1.73,3.01,00:01:00:35,93.5,56m,2.9,0.05,21.8,1.962,-1.0,-0.09,95.6,95.6,-1.00,-0.09
05/22/2026 16:06,05/22/2026 16:07,EURUSD,Sell,1.16040,1.16061,-0.0600,0.0000,-2.1,-0.24,-0.42,00:00:00:21,,,,,,,,,,,,
05/22/2026 15:57,05/22/2026 15:59,EURUSD,Sell,1.16021,1.16047,-0.0600,0.0000,-2.6,-0.28,-0.48,00:00:02:43,,,,,,,,,,,,
05/21/2026 16:08,05/21/2026 16:19,EURUSD,Sell,1.15967,1.15879,-0.0600,0.0000,8.8,0.70,1.22,00:00:11:42,100.0,11m,1.0,0.11,8.8,0.792,0.0,0.0,100.0,100.0,0.00,0.00
05/15/2026 11:43,05/15/2026 11:55,EURUSD,Buy,1.16347,1.16316,-0.0600,0.0000,-3.1,-0.33,-0.57,00:00:11:22,33.4,3m,5.3,4.30,1.0,0.09,-4.3,-0.38699999999999996,18.9,22.6,-4.10,-0.37
05/15/2026 11:34,05/15/2026 11:41,EURUSD,Buy,1.16330,1.16310,-0.0600,0.0000,-2.0,-0.23,-0.40,00:00:07:26,0.0,0s,2.0,2.00,0.0,0.0,-2.0,-0.18,0.0,0.0,-2.00,-0.18
05/15/2026 11:26,05/15/2026 11:30,EURUSD,Buy,1.16342,1.16320,-0.0600,0.0000,-2.2,-0.25,-0.43,00:00:03:27,,,,,,,,,,,,
05/14/2026 15:10,05/14/2026 15:31,EURUSD,Buy,1.17028,1.17008,-0.0600,0.0000,-2.0,-0.23,-0.39,00:00:21:28,85.8,18m,4.6,0.77,2.6,0.23399999999999999,-2.0,-0.18,56.5,0.0,-4.60,-0.41
05/13/2026 15:04,05/13/2026 15:13,EURUSD,Buy,1.17147,1.17127,-0.0600,0.0000,-2.0,-0.23,-0.39,00:00:09:25,33.4,3m,2.9,3.83,0.6,0.054,-2.3,-0.207,20.7,10.3,-2.60,-0.23
05/13/2026 14:20,05/13/2026 14:47,EURUSD,Buy,1.17141,1.17141,-0.0600,0.0000,0.0,-0.06,-0.10,00:00:26:41,63.0,16m,3.4,0.36,2.8,0.0,-1.0,-0.0,73.7,26.3,-2.80,0.00
05/13/2026 14:15,05/13/2026 14:19,EURUSD,Buy,1.17144,1.17124,-0.0600,0.0000,-2.0,-0.23,-0.39,00:00:04:12,0.0,0s,2.1,2.10,0.0,0.0,-2.1,-0.189,0.0,4.8,-2.00,-0.18
05/13/2026 12:44,05/13/2026 12:53,EURUSD,Buy,1.16997,1.17038,-0.0600,0.0000,4.1,0.29,0.50,00:00:09:02,88.9,8m,0.7,0.24,4.1,0.36899999999999994,0.0,0.0,100.0,100.0,0.00,0.00
05/13/2026 12:18,05/13/2026 12:32,EURUSD,Sell,1.16976,1.16998,-0.0600,0.0000,-2.2,-0.25,-0.43,00:00:14:19,64.3,9m,4.7,2.36,1.4,0.126,-3.3,-0.297,29.8,23.4,-3.60,-0.32
05/13/2026 10:29,05/13/2026 10:38,EURUSD,Sell,1.17175,1.17132,-0.0600,0.0000,4.3,0.31,0.53,00:00:08:36,100.0,8m,1.5,0.21,4.7,0.423,0.0,0.0,100.0,91.5,-0.40,-0.04
05/13/2026 10:20,05/13/2026 10:23,EURUSD,Sell,1.17175,1.17196,-0.0600,0.0000,-2.1,-0.24,-0.41,00:00:03:11,,,,,,,,,,,,
05/12/2026 11:16,05/12/2026 11:22,EURUSD,Buy,1.17454,1.17495,-0.0600,0.0000,4.1,0.29,0.50,00:00:05:18,83.4,4m,1.5,0.21,4.7,0.423,0.0,0.0,100.0,87.2,-0.60,-0.05
05/11/2026 15:21,05/11/2026 15:23,EURUSD,Buy,1.17669,1.17710,-0.0600,0.0000,4.1,0.29,0.50,00:00:02:43,,,,,,,,,,,,
05/11/2026 14:53,05/11/2026 14:56,EURUSD,Sell,1.17711,1.17655,-0.0600,0.0000,5.6,0.42,0.73,00:00:03:06,,,,,,,,,,,,
05/11/2026 14:37,05/11/2026 14:47,EURUSD,Sell,1.17718,1.17741,-0.0600,0.0000,-2.3,-0.26,-0.45,00:00:09:30,0.0,0s,2.3,2.30,0.0,0.0,-2.3,-0.207,0.0,0.0,-2.30,-0.21
05/07/2026 20:18,05/07/2026 20:26,EURUSD,Sell,1.17581,1.17540,-0.0600,0.0000,4.1,0.29,0.50,00:00:07:10,100.0,7m,3.1,0.14,7.2,0.648,0.0,0.0,100.0,56.9,-3.10,-0.28
04/29/2026 14:00,04/29/2026 16:19,EURUSD,Buy,1.17076,1.16922,-0.0600,0.0000,-15.4,-1.38,-2.34,00:02:19:08,3.6,5m,16.6,12.84,1.2,0.108,-15.4,-1.386,7.2,0.0,-16.60,-1.49
04/24/2026 10:58,04/24/2026 20:03,EURUSD,Buy,1.16939,1.17185,-0.0600,0.0000,24.6,2.04,3.58,00:09:04:44,74.2,6h 44m,19.3,0.38,25.6,2.304,-9.7,-0.8729999999999999,72.5,97.2,-1.00,-0.09
04/22/2026 15:25,04/22/2026 18:48,EURUSD,Sell,1.17348,1.17159,-0.0600,0.0000,18.9,1.55,2.80,00:03:22:33,82.5,2h 47m,16.0,0.33,21.3,1.917,-7.1,-0.6389999999999999,75.0,91.5,-2.40,-0.22
04/21/2026 18:44,04/21/2026 20:12,EURUSD,Sell,1.17489,1.17239,-0.0600,0.0000,25.0,2.07,3.88,00:01:28:13,66.7,58m,5.0,0.18,25.0,2.25,-4.4,-0.396,85.0,100.0,0.00,0.00
04/16/2026 19:01,04/17/2026 15:25,EURUSD,Buy,1.17811,1.18071,-0.0600,-0.0700,26.0,2.07,4.04,00:20:24:02,51.9,10h 35m,13.2,0.50,26.0,2.08,-12.9,-1.032,66.8,100.0,0.00,0.00
04/15/2026 14:32,04/15/2026 19:21,USDJPY,Buy,158.96800,158.82500,-0.0600,0.0000,-14.3,-0.82,-1.57,00:04:49:17,68.5,3h 18m,36.1,1.07,17.4,0.87,-18.7,-0.935,48.2,12.2,-31.70,-1.58
04/09/2026 15:14,04/09/2026 19:06,EURUSD,Buy,1.16847,1.17060,-0.0600,0.0000,21.3,1.76,3.50,00:03:51:52,75.0,2h 53m,7.8,0.09,29.1,2.619,-2.6,-0.23399999999999999,91.8,75.4,-7.80,-0.70
04/07/2026 18:40,04/07/2026 22:45,EURUSD,Buy,1.15729,1.15925,-0.0600,0.0000,19.6,1.63,3.35,00:04:05:02,75.0,3h 3m,7.3,0.19,22.4,2.016,-4.3,-0.38699999999999996,83.9,89.5,-2.80,-0.25
04/07/2026 15:41,04/07/2026 16:00,EURUSD,Buy,1.15665,1.15603,-0.0600,0.0000,-6.2,-0.60,-1.22,00:00:18:36,,,,,,,,,,,,
03/12/2026 12:52,03/12/2026 13:16,GBPUSD,Buy,1.33935,1.33835,-0.0600,0.0000,-10.0,-0.93,-1.85,00:00:24:17,,,,,,,,,,,,
03/10/2026 21:44,03/11/2026 20:48,USDJPY,Buy,157.91200,158.90400,-0.0600,0.0600,99.2,5.40,12.04,00:23:03:49,100.0,23h 3m,29.4,0.01,99.2,4.960000000000001,0.0,0.0,100.0,100.0,0.00,0.00
03/10/2026 13:08,03/10/2026 20:17,USDJPY,Buy,157.73200,157.43200,-0.0600,0.0000,-30.0,-1.69,-3.63,00:07:09:31,28.6,2h 2m,40.4,2.89,10.4,0.52,-30.0,-1.5,25.7,0.0,-40.40,-2.02
03/09/2026 18:15,03/09/2026 18:54,USDJPY,Sell,158.21200,158.01100,-0.0600,0.0000,20.1,1.04,2.29,00:00:39:22,,,,,,,,,,,,
03/09/2026 16:59,03/09/2026 17:05,USDJPY,Sell,158.33200,158.43700,-0.0600,0.0000,-10.5,-0.63,-1.37,00:00:06:18,,,,,,,,,,,,
03/09/2026 16:21,03/09/2026 16:37,EURUSD,Buy,1.15688,1.15859,-0.0600,0.0000,17.1,1.42,3.18,00:00:15:58,,,,,,,,,,,,
03/06/2026 15:59,03/06/2026 17:03,USDJPY,Buy,157.84800,157.54800,-0.0600,0.0000,-30.0,-1.70,-3.66,00:01:04:27,54.7,35m,49.2,3.24,11.6,0.58,-37.6,-1.8800000000000001,23.6,15.4,-41.60,-2.08
03/06/2026 11:53,03/06/2026 15:30,USDJPY,Buy,157.86600,157.44400,-0.0600,0.0000,-42.2,-2.37,-4.86,00:03:36:21,47.5,1h 42m,62.9,2.04,20.7,1.035,-42.2,-2.1100000000000003,32.9,0.0,-62.90,-3.15
03/06/2026 10:00,03/06/2026 11:19,USDJPY,Sell,157.52400,157.82500,-0.0600,0.0000,-30.1,-1.71,-3.39,00:01:19:17,8.9,7m,32.0,15.85,1.9,0.095,-30.1,-1.5050000000000001,5.9,0.0,-32.00,-1.60
03/04/2026 16:29,03/04/2026 16:42,USDCHF,Sell,0.78018,0.78117,-0.0600,0.0000,-9.9,-1.15,-2.23,00:00:12:17,15.4,1m,10.6,14.14,0.7,0.077,-9.9,-1.089,6.6,0.0,-10.60,-1.17
03/04/2026 11:29,03/04/2026 12:08,EURUSD,Buy,1.16153,1.16356,-0.0600,0.0000,20.3,1.68,3.36,00:00:38:57,2.6,1m,21.2,1.04,20.3,1.827,-21.2,-1.908,48.9,100.0,0.00,0.00
02/27/2026 18:00,02/27/2026 18:43,EURUSD,Buy,1.18073,1.18193,-0.0600,0.0000,12.0,0.96,1.96,00:00:43:03,37.3,16m,7.2,0.60,12.0,1.08,-7.2,-0.648,62.5,100.0,0.00,0.00
02/27/2026 13:59,02/27/2026 15:56,GBPUSD,Sell,1.34670,1.34457,-0.0600,0.0000,21.3,1.75,3.70,00:01:57:08,3.5,4m,13.7,0.64,21.3,1.7040000000000002,-13.7,-1.0959999999999999,60.9,100.0,0.00,0.00
02/27/2026 11:52,02/27/2026 13:03,GBPUSD,Buy,1.34896,1.34684,-0.0600,0.0000,-21.2,-1.86,-3.79,00:01:10:23,63.4,44m,31.4,2.08,10.2,0.816,-21.2,-1.696,32.5,0.0,-31.40,-2.51
02/27/2026 11:12,02/27/2026 11:43,GBPUSD,Buy,1.34938,1.34833,-0.0600,0.0000,-10.5,-0.95,-1.90,00:00:30:54,48.4,14m,14.9,2.39,4.4,0.35200000000000004,-10.5,-0.84,29.5,0.0,-14.90,-1.19
02/26/2026 16:01,02/26/2026 17:15,AUDUSD,Sell,0.71088,0.70884,-0.0600,0.0000,20.4,1.67,3.45,00:01:14:04,16.3,12m,15.1,0.74,20.4,1.632,-15.1,-1.208,57.5,100.0,0.00,0.00
02/24/2026 10:59,02/26/2026 10:00,USDCHF,Sell,0.77452,0.77201,-0.0600,-0.4900,25.1,2.20,4.77,01:23:01:31,87.7,1d 17h ,37.4,0.36,33.7,3.7070000000000003,-12.3,-1.353,73.3,81.3,-8.60,-0.95
02/23/2026 16:37,02/24/2026 03:18,USDJPY,Sell,154.67600,154.98100,-0.0600,-0.0900,-30.5,-1.82,-3.79,00:10:40:53,79.0,8h 26m,71.9,0.74,41.4,2.07,-30.5,-1.5250000000000001,57.6,0.0,-71.90,-3.60
02/20/2026 15:58,02/20/2026 17:01,USDJPY,Buy,155.42100,155.11900,-0.0600,0.0000,-30.2,-1.71,-3.44,00:01:03:33,8.0,5m,32.4,13.74,2.2,0.11000000000000001,-30.2,-1.51,6.8,0.0,-32.40,-1.62
02/19/2026 15:58,02/19/2026 16:04,AUDUSD,Buy,0.70536,0.70434,-0.0600,0.0000,-10.2,-0.93,-1.84,00:00:06:00,0.0,0s,12.2,12.21,0.0,0.0,-12.2,-1.0979999999999999,0.0,16.4,-10.20,-0.92
02/18/2026 10:59,02/18/2026 16:24,USDJPY,Buy,153.72600,154.22600,-0.0600,0.0000,50.0,2.68,5.59,00:05:24:21,43.1,2h 19m,21.6,0.27,50.0,2.5,-13.5,-0.675,78.7,100.0,0.00,0.00
02/13/2026 17:54,02/13/2026 17:55,EURUSD,Buy,1.18611,1.18551,-0.0600,0.0000,-6.0,-0.57,-1.18,00:00:01:06,,,,,,,,,,,,
02/13/2026 13:01,02/13/2026 15:05,EURUSD,Buy,1.18582,1.18654,-0.0600,0.0000,7.2,0.55,1.15,00:02:03:23,27.5,33m,7.5,0.69,7.2,0.5760000000000001,-5.0,-0.4,59.0,100.0,0.00,0.00
02/13/2026 11:48,02/13/2026 11:54,EURUSD,Buy,1.18660,1.18637,-0.0600,0.0000,-2.3,-0.25,-0.52,00:00:06:48,0.0,0s,6.3,6.30,0.0,0.0,-6.3,-0.504,0.0,63.5,-2.30,-0.18
02/12/2026 12:25,02/12/2026 12:46,EURUSD,Sell,1.18800,1.18771,-0.0600,0.0000,2.9,0.18,0.37,00:00:20:31,4.8,59s,7.5,2.59,2.9,0.23199999999999998,-7.5,-0.6,27.9,100.0,0.00,0.00
02/11/2026 16:28,02/11/2026 18:59,EURUSD,Sell,1.18611,1.18832,-0.0600,0.0000,-22.1,-1.92,-3.84,00:02:30:56,41.8,1h 3m,45.3,0.95,23.2,1.8559999999999999,-22.1,-1.7680000000000002,51.2,0.0,-45.30,-3.62
02/11/2026 10:24,02/11/2026 10:33,EURUSD,Buy,1.19173,1.19139,-0.0600,0.0000,-3.4,-0.35,-0.70,00:00:08:23,0.0,0s,4.7,4.70,0.0,0.0,-4.7,-0.423,0.0,27.7,-3.40,-0.31
02/11/2026 10:21,02/11/2026 10:24,EURUSD,Sell,1.19150,1.19171,-0.0600,0.0000,-2.1,-0.24,-0.47,00:00:02:43,,,,,,,,,,,,
02/11/2026 10:13,02/11/2026 10:16,EURUSD,Sell,1.19141,1.19160,-0.0600,0.0000,-1.9,-0.22,-0.43,00:00:02:45,,,,,,,,,,,,
02/10/2026 15:35,02/10/2026 16:14,EURUSD,Buy,1.19069,1.19153,-0.0600,0.0000,8.4,0.64,1.28,00:00:39:13,2.6,1m,16.3,1.94,8.4,0.672,-16.3,-1.304,34.0,100.0,0.00,0.00
02/10/2026 14:57,02/10/2026 15:30,EURUSD,Sell,1.18915,1.18993,-0.0600,0.0000,-7.8,-0.72,-1.42,00:00:32:13,0.0,0s,16.8,16.81,0.0,0.0,-16.8,-1.344,0.0,53.6,-7.80,-0.62
02/10/2026 14:48,02/10/2026 14:56,EURUSD,Sell,1.18926,1.18952,-0.0600,0.0000,-2.6,-0.28,-0.55,00:00:08:10,0.0,0s,10.6,10.60,0.0,0.0,-10.6,-0.848,0.0,75.5,-2.60,-0.21
02/10/2026 11:06,02/10/2026 11:25,EURUSD,Buy,1.19117,1.19182,-0.0600,0.0000,6.5,0.49,0.97,00:00:19:15,5.3,1m,11.4,1.75,6.5,0.52,-11.4,-0.912,36.3,100.0,0.00,0.00
01/30/2026 16:49,01/30/2026 16:55,EURUSD,Buy,1.19149,1.19051,-0.0600,0.0000,-9.8,-0.88,-1.71,00:00:06:08,0.0,0s,10.5,10.50,0.0,0.0,-10.5,-0.84,0.0,6.7,-9.80,-0.78
01/30/2026 15:23,01/30/2026 15:49,EURUSD,Buy,1.19170,1.19067,-0.0600,0.0000,-10.3,-0.93,-1.77,00:00:26:11,96.2,25m,37.9,0.37,27.6,2.208,-10.3,-0.8240000000000001,72.8,0.0,-37.90,-3.03
01/29/2026 17:15,01/29/2026 17:38,USDJPY,Buy,153.32900,153.17700,-0.0600,0.0000,-15.2,-0.89,-1.67,00:00:23:41,0.0,0s,17.6,17.61,0.0,0.0,-17.6,-0.8800000000000001,0.0,13.6,-15.20,-0.76
01/29/2026 15:47,01/29/2026 16:10,USDJPY,Buy,153.40000,153.26300,-0.0600,0.0000,-13.7,-0.81,-1.50,00:00:23:05,0.0,0s,17.5,17.51,0.0,0.0,-17.5,-0.875,0.0,21.7,-13.70,-0.69
01/29/2026 12:46,01/29/2026 14:23,USDJPY,Buy,153.40200,153.41500,-0.0600,0.0000,1.3,0.01,0.02,00:01:36:11,31.0,29m,12.3,0.92,13.3,0.665,-12.3,-0.6150000000000001,52.0,53.1,-12.00,-0.60
