Open Date,Close Date,Symbol,Action,Units/Lots,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USC),Min(pips),Min(USC),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USC)
06/04/2026 10:23,06/04/2026 10:26,XAUUSD,Sell,2.000,4465.77100,4465.50000,0.0000,0.0000,27.1,54.20,0.03,00:00:03:15,,,,,,,,,,,,
06/04/2026 06:19,06/04/2026 06:24,XAUUSD,Sell,3.000,4469.45200,4468.17300,0.0000,0.0000,127.9,383.70,0.22,00:00:04:57,100.0,4m,50.0,0.01,138.2,414.59999999999997,0.0,0.0,100.0,92.5,-10.30,-30.90
06/04/2026 02:15,06/04/2026 02:37,XAUUSD,Sell,1.000,4460.30700,4460.30800,0.0000,0.0000,-0.1,-0.10,0.00,00:00:22:12,36.4,8m,306.0,1.77,156.7,156.7,-277.3,-277.3,36.1,63.9,-156.80,-156.80
06/04/2026 00:38,06/04/2026 02:10,XAUUSD,Buy,1.000,4447.25400,4456.21600,0.0000,0.0000,896.2,896.20,0.50,00:01:32:27,100.0,1h 32m,1367.4,0.00,2263.6,2263.6,0.0,0.0,100.0,39.6,-1367.40,-1367.40
06/03/2026 04:37,06/03/2026 05:04,XAUUSD,Sell,3.000,4471.97800,4470.48300,0.0000,0.0000,149.5,448.50,0.25,00:00:26:28,77.8,20m,248.0,0.47,349.8,1049.4,-165.2,-495.59999999999997,67.9,61.1,-200.30,-600.90
05/28/2026 16:18,06/01/2026 08:20,XAUUSD,Sell,1.000,4494.64600,4494.22700,0.0000,0.0000,41.9,41.90,0.02,03:16:01:47,2.3,2h 1m,10060.0,19.84,483.6,483.6,-9576.4,-9576.4,4.8,95.6,-441.70,-441.70
05/28/2026 15:46,06/01/2026 04:50,XAUUSD,Sell,1.000,4479.73100,4511.33200,0.0000,0.0000,-3160.1,-3160.10,-1.75,03:13:03:17,0.0,0s,11067.9,0.00,0.0,0.0,-11067.9,-11067.9,0.0,71.4,-3160.10,-3160.10
05/29/2026 14:10,06/01/2026 04:49,XAUUSD,Sell,1.000,4550.93000,4510.88900,0.0000,0.0000,4004.1,4004.10,2.27,02:14:39:11,92.2,2d 9h ,6072.0,0.97,4052.0,4052.0,-3948.0,-3948.0,50.7,99.4,-47.90,-47.90
05/26/2026 13:55,05/26/2026 18:00,XAUUSD,Sell,1.000,4516.61700,4490.00000,0.0000,0.0000,2661.7,2661.70,1.53,00:04:04:23,86.6,3h 31m,1430.0,0.27,2661.7,2661.7,-713.3,-713.3,78.9,100.0,0.00,0.00
05/22/2026 15:11,05/26/2026 11:59,XAUUSD,Sell,1.000,4510.27100,4504.55000,0.0000,0.0000,572.1,572.10,0.33,03:20:47:26,55.8,2d 3h ,7403.0,12.03,572.1,572.1,-6876.9,-6876.9,7.7,100.0,0.00,0.00
05/25/2026 07:01,05/25/2026 07:06,XAUUSD,Buy,5.000,4562.65400,4562.75400,0.0000,0.0000,10.0,50.00,0.03,00:00:04:37,80.0,3m,178.0,0.29,137.6,688.0,-40.4,-202.0,77.3,28.3,-127.60,-638.00
05/22/2026 14:25,05/22/2026 14:34,XAUUSD,Buy,2.000,4494.19300,4501.25200,0.0000,0.0000,705.9,1411.80,0.82,00:00:09:07,100.0,9m,125.0,0.00,705.9,1411.8,0.0,0.0,100.0,100.0,0.00,0.00
05/22/2026 11:09,05/22/2026 11:47,XAUUSD,Sell,1.000,4516.16200,4523.46700,0.0000,0.0000,-730.5,-730.50,-0.42,00:00:38:07,57.9,22m,1167.0,2.02,386.2,386.2,-780.8,-780.8,33.1,4.3,-1116.70,-1116.70
05/22/2026 10:20,05/22/2026 11:47,XAUUSD,Sell,1.000,4530.55900,4523.41200,0.0000,0.0000,714.7,714.70,0.42,00:01:27:10,100.0,1h 27m,1261.0,0.00,1919.9,1919.9,0.0,0.0,100.0,37.2,-1205.20,-1205.20
05/22/2026 06:02,05/22/2026 09:26,XAUUSD,Sell,2.000,4518.07200,4518.91500,0.0000,0.0000,-84.3,-168.60,-0.10,00:03:24:27,4.0,8m,1240.0,8.38,137.2,274.4,-1149.8,-2299.6,10.7,82.8,-221.50,-443.00
05/22/2026 03:45,05/22/2026 04:38,XAUUSD,Buy,2.000,4528.00100,4527.49000,0.0000,0.0000,-51.1,-102.20,-0.06,00:00:53:10,81.2,43m,520.0,0.26,413.9,827.8,-106.1,-212.2,79.6,10.6,-465.00,-930.00
05/21/2026 14:15,05/21/2026 19:48,XAUUSD,Buy,1.000,4507.78500,4540.63900,0.0000,0.0000,3285.4,3285.40,1.95,00:05:32:56,84.9,4h 42m,2908.0,0.13,4899.5,4899.5,-620.5,-620.5,88.8,70.8,-1614.10,-1614.10
05/21/2026 11:04,05/21/2026 11:58,XAUUSD,Sell,1.000,4518.84400,4512.27500,0.0000,0.0000,656.9,656.90,0.39,00:00:54:00,96.3,52m,766.0,0.16,910.4,910.4,-147.6,-147.6,86.0,76.0,-253.50,-253.50
05/21/2026 08:35,05/21/2026 09:02,XAUUSD,Buy,2.000,4528.33500,4533.34100,0.0000,0.0000,500.6,1001.20,0.60,00:00:26:31,96.3,25m,231.0,0.02,570.5,1141.0,-12.5,-25.0,97.9,88.0,-69.90,-139.80
