Tags,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
,05/19/2026 03:27,06/05/2026 16:59,XAUUSD,Buy,264.500,0.00000,0.00000,4487.60015,4491.85191,-1058.0000,320.6000,384.8,103314.01,280.90,"",,17:13:32:16,45.3,7d 22h ,8115.0,3.75,1708.0425531914893,461854.70638297865,-6406.95744680851,-1732441.293617021,21.0,83.7,-1323.24,-357804.79
,06/05/2026 16:51,,,Withdrawal,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,-152.20,0,"ADJ-FIXCOMM #306593",0,00:00:00:00,,,,,,,,,,,,
,05/28/2026 13:52,05/28/2026 16:25,XAGUSD,Sell,0.080,0.00000,0.00000,73.04000,73.75650,-0.3200,0.0000,-71.7,-286.92,-0.70,"",0,00:02:33:07,0.0,0s,265.2,270.27,0.0,0.0,-265.2,-1060.8,0.0,73.0,-71.70,-286.80
,05/21/2026 08:30,05/28/2026 04:59,XAGUSD,Sell,0.080,0.00000,0.00000,74.96450,73.13000,-0.3200,12.3700,183.5,745.85,1.86,"",0,06:20:28:58,13.3,21h 52m,401.3,1.22,301.05,1204.2,-368.35,-1473.4,45.0,82.4,-117.55,-470.20
,05/20/2026 14:09,05/21/2026 07:47,XAGUSD,Sell,0.080,0.00000,0.00000,75.78000,75.58900,-0.3200,0.6200,19.1,76.70,0.19,"",0,00:17:37:59,48.6,8h 34m,128.9,0.93,94.7,378.8,-87.6,-350.4,51.9,58.5,-75.60,-302.40
,05/18/2026 14:35,05/19/2026 03:27,XAUUSD,Sell,2.500,0.00000,0.00000,4560.18000,4558.52712,-10.0000,4.8100,165.3,408.01,1.03,"",,00:12:52:30,0.0,0s,297.0691489361702,303.03,0.0,0.0,-297.0691489361702,-742.6728723404256,0.0,155.6,165.30,413.25
,05/18/2026 14:22,05/18/2026 14:35,XAUUSD,Buy,0.420,0.00000,0.00000,4537.00952,4542.37143,-1.6800,0.0000,536.2,223.51,0.57,"",,00:00:13:02,7.7,1m,0.0,0.00,536.1904761904761,225.19999999999996,0.0,0.0,100.0,100.0,0.01,0.00
,05/18/2026 13:49,05/18/2026 14:22,XAUUSD,Sell,0.480,0.00000,0.00000,4542.09333,4537.74500,-1.9200,0.0000,434.8,206.82,0.53,"",0,00:00:32:17,3.2,1m,0.0,0.00,434.8333333333333,208.71999999999997,0.0,0.0,100.0,100.0,-0.03,-0.02
,05/18/2026 13:14,05/18/2026 13:49,XAUUSD,Buy,0.160,0.00000,0.00000,4537.00000,4541.96000,-0.6400,0.0000,496.0,78.72,0.20,"",0,00:00:35:23,2.9,1m,0.0,0.00,496.0,79.36,0.0,0.0,100.0,100.0,0.00,0.00
,05/18/2026 12:41,05/18/2026 13:14,XAUUSD,Sell,0.160,0.00000,0.00000,4544.01000,4536.96500,-0.6400,0.0000,704.5,112.08,0.29,"",0,00:00:32:57,3.1,1m,0.0,0.00,704.5,112.72,0.0,0.0,100.0,100.0,0.00,0.00
,05/18/2026 12:05,05/18/2026 12:41,XAUUSD,Buy,0.160,0.00000,0.00000,4543.55500,4544.03000,-0.6400,0.0000,47.5,6.96,0.02,"",0,00:00:35:36,100.0,35m,1148.0,0.00,1195.5,191.28,0.0,0.0,100.0,4.0,-1148.00,-183.68
,05/18/2026 10:18,05/18/2026 12:05,XAUUSD,Sell,0.480,0.00000,0.00000,4548.38833,4542.81667,-1.9200,0.0000,557.2,265.54,0.69,"",,00:01:47:21,74.8,1h 20m,3349.0,1.13,1573.8333333333333,755.4399999999999,-1775.1666666666667,-852.08,47.0,69.6,-1016.63,-487.98
,05/18/2026 09:44,05/18/2026 10:18,XAUUSD,Buy,0.160,0.00000,0.00000,4539.68000,4543.08000,-0.6400,0.0000,340.0,53.76,0.14,"",0,00:00:33:54,76.5,25m,656.0,0.44,456.0,72.96000000000001,-200.0,-32.0,69.5,82.3,-116.00,-18.56
,05/11/2026 16:01,05/18/2026 09:44,XAUUSD,Buy,65.610,0.00000,0.00000,4678.99285,4676.94133,-262.4400,-354.8400,-205.2,-14077.44,-26.72,"",,06:17:43:17,62.9,4d 5h ,24701.0,1.97,8307.263748419722,544956.5018963338,-16393.736251580278,-1075429.0981036662,33.6,65.5,-8512.46,-558417.62
