Tags,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
,06/01/2026 16:29,06/01/2026 16:30,EURUSD,Buy,1.000,1.16250,0.00000,1.16292,1.16249,-4.5000,0.0000,-4.3,-47.50,-0.51,"[sl]",0,00:00:01:20,,,,,,,,,,,,
,06/01/2026 16:11,06/01/2026 16:30,EURUSD,Buy,0.650,1.16250,1.16859,1.16402,1.16250,-2.9300,0.0000,-15.2,-101.73,-1.08,"[sl]",0,00:00:19:47,0.0,0s,15.3,15.31,0.0,0.0,-15.3,-99.45,0.0,0.7,-15.20,-98.80
,05/25/2026 02:04,05/29/2026 17:51,EURUSD,Sell,0.600,1.16618,1.15763,1.16453,1.16626,-2.7000,14.5800,-17.3,-91.92,-0.97,"[sl]",0,04:15:47:14,80.4,3d 17h ,82.7,0.43,58.0,348.0,-24.7,-148.2,70.1,8.9,-75.30,-451.80
,05/28/2026 18:39,05/28/2026 19:24,EURUSD,Sell,0.500,1.16615,1.15918,1.16519,1.16616,-2.2500,0.0000,-9.7,-50.75,-0.53,"[sl]",0,00:00:45:30,64.5,29m,15.0,1.83,5.3,26.5,-9.7,-48.5,35.3,0.0,-15.00,-75.00
,05/27/2026 15:23,05/28/2026 17:14,EURUSD,Sell,0.100,1.16540,0.00000,1.16549,1.16539,-0.4500,1.2200,1.0,1.77,0.02,"from #6763211",0,01:01:50:55,99.4,1d 1h ,66.6,0.04,67.6,67.6,-2.4,-2.4,96.6,4.9,-66.60,-66.60
,05/27/2026 15:23,05/28/2026 07:41,EURUSD,Sell,0.200,1.16540,0.00000,1.16549,1.15925,-0.9000,2.4300,62.4,126.33,1.34,"to #6772646",0,00:16:18:27,98.3,16h 1m,13.9,0.09,68.3,136.6,-6.1,-12.2,91.8,92.1,-5.90,-11.80
,05/27/2026 02:38,05/27/2026 09:44,EURUSD,Sell,1.400,1.16452,1.16164,1.16378,1.16453,-6.3000,0.0000,-7.5,-111.30,-1.17,"[sl]",0,00:07:06:31,24.0,1h 42m,13.1,1.85,4.6,64.39999999999999,-8.5,-119.0,35.1,7.6,-12.10,-169.40
,05/26/2026 03:00,05/26/2026 07:59,EURUSD,Buy,1.600,1.16296,1.16528,1.16356,1.16296,-7.2000,0.0000,-6.0,-103.20,-1.07,"[sl]",0,00:04:59:45,29.5,1h 28m,10.2,1.43,4.2,67.2,-6.0,-96.0,41.2,0.0,-10.20,-163.20
,05/21/2026 20:52,05/25/2026 02:00,EURUSD,Sell,0.600,1.16452,1.15763,1.16287,1.16451,-2.7000,4.8600,-16.4,-96.24,-0.99,"[sl]",0,03:05:08:49,97.2,3d 2h ,56.9,0.44,39.6,237.60000000000002,-17.3,-103.80000000000001,69.6,1.6,-56.00,-336.00
,05/22/2026 20:00,05/22/2026 20:30,EURUSD,Sell,0.600,1.16185,1.15883,1.16114,1.16190,-2.7000,0.0000,-7.6,-48.30,-0.49,"[sl]",0,00:00:29:59,13.4,4m,9.9,3.30,2.3,13.799999999999999,-7.6,-45.599999999999994,23.2,0.0,-9.90,-59.40
,05/19/2026 12:27,05/19/2026 16:19,EURUSD,Buy,0.500,1.16082,1.16618,1.16195,1.16077,-2.2500,0.0000,-11.8,-61.25,-0.62,"[sl]",0,00:03:51:56,47.9,1h 51m,18.9,1.74,6.9,34.5,-12.0,-60.0,36.5,1.1,-18.70,-93.50
,05/19/2026 08:23,05/19/2026 11:13,EURUSD,Buy,1.100,1.16265,1.16618,1.16354,1.16266,-4.9500,0.0000,-8.8,-101.75,-1.03,"[sl]",0,00:02:50:09,59.5,1h 41m,18.6,0.90,9.8,107.80000000000001,-8.8,-96.80000000000001,52.7,0.0,-18.60,-204.60
,05/18/2026 11:33,05/18/2026 15:46,EURUSD,Sell,0.900,1.16555,1.16082,1.16439,1.16557,-4.0500,0.0000,-11.8,-110.25,-1.10,"[sl]",0,00:04:12:31,78.6,3h 18m,28.9,0.69,17.1,153.9,-11.8,-106.2,59.2,0.0,-28.90,-260.10
,05/13/2026 11:00,05/14/2026 18:00,EURUSD,Buy,0.330,1.16770,1.17967,1.17069,1.16771,-1.4900,-7.6200,-29.8,-107.45,-1.06,"[sl]",0,01:07:00:13,72.4,22h 26m,44.2,2.07,14.4,47.519999999999996,-29.8,-98.34,32.6,0.0,-44.20,-145.86
,05/12/2026 14:03,05/12/2026 18:25,EURUSD,Buy,0.300,1.17224,1.17881,1.17388,1.17225,-1.3500,0.0000,-16.3,-50.25,-0.49,"[sl]",0,00:04:22:16,52.3,2h 17m,26.8,1.55,10.5,31.5,-16.3,-48.900000000000006,39.2,0.0,-26.80,-80.40
