Tags,Open Date,Close Date,Symbol,Action,Units/Lots,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
,03/18/2026 00:27,03/18/2026 01:31,GBPUSD,Sell,0.050,1.33559,1.33535,0.0000,0.0000,2.4,1.20,0.13,"",0,00:01:03:50,81.3,51m,10.7,1.10,5.1,2.55,-5.6,-2.8,47.7,74.8,-2.70,-1.35
,03/17/2026 02:37,03/17/2026 03:49,XAUUSD,Buy,0.010,5023.62000,5027.15000,0.0000,0.0000,353.0,3.53,0.39,"",0,00:01:11:46,80.6,57m,699.0,0.17,887.0,8.870000000000001,-150.0,-1.5,85.5,48.5,-534.00,-5.34
,03/13/2026 18:15,03/17/2026 02:37,XAUUSD,Buy,0.010,5041.82000,5022.88000,0.0000,0.0000,-1894.0,-18.94,-2.03,"",0,03:08:21:08,0.9,43m,7330.0,11.75,575.0,5.75,-6755.0,-67.55,7.8,66.3,-2469.00,-24.69
,03/15/2026 22:28,03/16/2026 12:09,USDJPY,Sell,0.010,159.67800,159.13000,0.0000,0.0000,54.8,3.44,0.37,"",0,00:13:40:53,99.4,13h 35m,33.4,0.00,60.3,3.618,-0.1,-0.006,99.8,90.9,-5.50,-0.33
,03/12/2026 10:02,03/16/2026 12:09,USDJPY,Sell,0.010,158.71000,159.13000,0.0000,0.0000,-42.0,-2.64,-0.28,"",0,04:02:06:16,1.0,58m,115.7,8.11,12.7,0.7619999999999999,-103.0,-6.18,11.0,52.7,-54.70,-3.28
,03/16/2026 00:06,03/16/2026 12:09,GBPUSD,Buy,0.020,1.32539,1.32813,0.0000,0.0000,27.4,5.48,0.59,"",0,00:12:02:34,50.7,6h 6m,29.5,0.67,29.4,5.88,-19.7,-3.94,59.9,95.9,-2.00,-0.40
,03/16/2026 00:05,03/16/2026 12:09,GBPUSD,Buy,0.020,1.32529,1.32813,0.0000,0.0000,28.4,5.68,0.62,"",0,00:12:03:15,57.7,6h 57m,29.5,0.62,30.4,6.08,-18.7,-3.74,61.9,95.9,-2.00,-0.40
,03/16/2026 00:05,03/16/2026 12:09,GBPUSD,Buy,0.020,1.32522,1.32813,0.0000,0.0000,29.1,5.82,0.63,"",0,00:12:03:16,60.5,7h 17m,29.5,0.58,31.1,6.220000000000001,-18.0,-3.6,63.3,95.9,-2.00,-0.40
,03/13/2026 14:18,03/16/2026 12:09,GBPUSD,Buy,0.020,1.32637,1.32813,0.0000,0.0000,17.6,3.52,0.39,"",0,02:21:51:00,3.3,2h 18m,60.1,2.24,19.6,3.9200000000000004,-43.8,-8.76,30.9,96.8,-2.00,-0.40
,03/13/2026 13:42,03/16/2026 12:09,GBPUSD,Buy,0.020,1.32840,1.32813,0.0000,0.0000,-2.7,-0.54,-0.06,"",0,02:22:26:51,0.2,8m,69.1,12.82,5.0,1.0,-64.1,-12.82,7.2,88.9,-7.70,-1.54
,03/12/2026 10:02,03/15/2026 22:27,USDJPY,Sell,0.010,158.73800,159.69800,0.0000,0.0000,-96.0,-6.01,-0.65,"",0,03:12:25:28,1.5,1h 15m,115.7,6.47,15.5,0.9299999999999999,-100.2,-6.012,13.4,3.6,-111.50,-6.69
,03/15/2026 22:10,03/15/2026 22:16,XAUUSD,Buy,0.010,5024.05000,5021.21000,0.0000,0.0000,-284.0,-2.84,-0.31,"",0,00:00:06:00,,,,,,,,,,,,
,03/13/2026 14:15,03/13/2026 14:17,XAUUSD,Buy,0.010,5092.75000,5085.79000,0.0000,0.0000,-696.0,-6.96,-0.75,"",0,00:00:02:20,,,,,,,,,,,,
,03/13/2026 00:30,03/13/2026 06:23,XAUUSD,Sell,0.010,5106.78000,5097.88000,0.0000,0.0000,890.0,8.90,0.97,"",0,00:05:52:46,24.4,1h 26m,2136.0,2.19,976.0,9.76,-2136.0,-21.36,31.4,97.2,-86.00,-0.86
,03/12/2026 12:36,03/12/2026 15:05,GBPUSD,Buy,0.010,1.33695,1.33469,0.0000,0.0000,-22.6,-2.26,-0.24,"",0,00:02:28:35,55.1,1h 21m,43.4,1.09,20.8,2.08,-22.6,-2.2600000000000002,47.9,0.0,-43.40,-4.34
,03/12/2026 12:36,03/12/2026 15:05,GBPUSD,Buy,0.010,1.33695,1.33469,0.0000,0.0000,-22.6,-2.26,-0.24,"",0,00:02:28:35,55.1,1h 21m,43.4,1.09,20.8,2.08,-22.6,-2.2600000000000002,47.9,0.0,-43.40,-4.34
,03/12/2026 10:03,03/12/2026 15:05,GBPUSD,Buy,0.010,1.33966,1.33469,0.0000,0.0000,-49.7,-4.97,-0.53,"",0,00:05:02:15,10.0,30m,62.9,3.77,13.2,1.32,-49.7,-4.970000000000001,21.0,0.0,-62.90,-6.29
,03/12/2026 05:51,03/12/2026 05:58,XAUUSD,Buy,0.010,5155.84000,5155.17000,0.0000,0.0000,-67.0,-0.67,-0.08,"",0,00:00:07:02,28.6,2m,367.0,4.12,89.0,0.89,-367.0,-3.67,19.5,65.8,-156.00,-1.56
,03/12/2026 03:56,03/12/2026 04:32,XAUUSD,Sell,0.010,5152.55000,5152.10000,0.0000,0.0000,45.0,0.45,0.05,"",0,00:00:35:19,58.4,20m,365.0,0.55,236.0,2.36,-129.0,-1.29,64.7,47.7,-191.00,-1.91
,03/12/2026 02:57,03/12/2026 03:00,XAUUSD,Sell,0.010,5153.80000,5149.62000,0.0000,0.0000,418.0,4.18,0.47,"",0,00:00:02:51,,,,,,,,,,,,
,03/12/2026 00:05,03/12/2026 02:47,AUDUSD,Sell,0.010,0.71277,0.71328,0.0000,0.0000,-5.1,-0.51,-0.06,"",0,00:02:41:36,8.1,13m,35.6,8.89,3.6,0.36000000000000004,-32.0,-3.2,10.1,75.6,-8.70,-0.87
,03/12/2026 02:16,03/12/2026 02:47,XAUUSD,Sell,0.010,5172.99000,5151.75000,0.0000,0.0000,2124.0,21.24,2.45,"",0,00:00:30:58,93.6,28m,295.0,0.05,2124.0,21.240000000000002,-106.0,-1.06,95.2,100.0,0.00,0.00
,03/11/2026 08:24,03/11/2026 09:06,XAUUSD,Sell,0.010,5188.03000,5181.83000,0.0000,0.0000,620.0,6.20,0.72,"",0,00:00:41:50,100.0,41m,636.0,0.00,690.0,6.9,0.0,0.0,100.0,89.9,-70.00,-0.70
,03/11/2026 01:57,03/11/2026 07:45,GBPUSD,Sell,0.020,1.34429,1.34319,0.0000,0.0000,11.0,2.20,0.26,"",0,00:05:47:17,21.5,1h 14m,19.9,1.28,11.0,2.2,-14.1,-2.8200000000000003,43.8,100.0,0.00,0.00
