Open Date,Close Date,Symbol,Action,Units/Lots,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(EUR),Min(pips),Min(EUR),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(EUR)
06/02/2026 01:27,06/02/2026 15:46,USDJPY,Buy,0.460,159.64400,159.76200,-3.0000,0.0000,11.8,26.16,0.19,"DVAMA_Churn",00:14:19:31,96.4,13h 48m,8.9,0.16,13.5,33.345000000000006,-2.2,-5.434000000000001,86.0,89.2,-1.70,-4.20
06/02/2026 01:25,06/02/2026 09:10,AUDJPY,Buy,0.460,114.31400,114.47300,-3.0000,0.0000,15.9,36.33,0.26,"DVAMA_Churn",00:07:45:09,80.0,6h 12m,18.5,0.46,15.9,39.273,-7.3,-18.031000000000002,68.5,100.0,0.00,0.00
06/01/2026 01:31,06/01/2026 16:06,EURUSD,Buy,0.290,1.16531,1.16409,-1.8800,0.0000,-12.2,-32.27,-0.23,"DVAMA_Churn",00:14:35:40,27.6,4h 1m,23.9,1.04,11.7,29.133,-12.2,-30.378,49.0,0.0,-23.90,-59.51
06/01/2026 01:35,06/01/2026 16:05,USDJPY,Sell,0.460,159.41800,159.54000,-3.0000,0.0000,-12.2,-33.21,-0.24,"DVAMA_Churn",00:14:30:29,11.3,1h 38m,21.6,1.30,9.4,23.312,-12.2,-30.255999999999997,43.5,0.0,-21.60,-53.57
06/01/2026 01:59,06/01/2026 12:05,NZDCAD,Buy,0.400,0.82488,0.82366,-2.6000,0.0000,-12.2,-32.91,-0.24,"DVAMA_Churn",00:10:06:06,21.8,2h 12m,17.2,2.44,5.0,12.4,-12.2,-30.255999999999997,29.1,0.0,-17.20,-42.66
06/01/2026 01:27,06/01/2026 08:43,GBPUSD,Buy,0.290,1.34488,1.34640,-1.8800,0.0000,15.2,35.95,0.26,"DVAMA_Churn",00:07:16:38,86.5,6h 17m,9.4,0.20,15.2,37.848,-3.0,-7.470000000000001,83.5,100.0,0.00,0.00
06/01/2026 01:29,06/01/2026 04:03,GBPCAD,Buy,0.400,1.85558,1.85719,-2.6000,0.0000,16.1,37.45,0.27,"DVAMA_Churn",00:02:34:09,48.1,1h 14m,5.4,0.20,16.1,40.089000000000006,-3.2,-7.968000000000001,83.4,100.0,0.00,0.00
06/01/2026 01:31,06/01/2026 02:45,EURCAD,Buy,0.400,1.60785,1.60665,-2.6000,0.0000,-12.0,-32.48,-0.23,"DVAMA_Churn",00:01:14:34,25.7,19m,13.5,21.51,0.6,1.494,-12.9,-32.121,4.4,6.7,-12.60,-31.37
05/29/2026 02:01,05/29/2026 02:02,AUDNZD,Buy,0.490,1.20585,1.20467,-3.1800,0.0000,-11.8,-32.69,-0.24,"DVAMA_Churn",00:00:01:40,,,,,,,,,,,,
05/28/2026 01:35,05/28/2026 15:57,EURGBP,Sell,0.220,0.86596,0.86716,-1.4400,0.0000,-12.0,-31.88,-0.23,"DVAMA_Churn",00:14:22:24,9.3,1h 20m,14.0,6.00,2.0,5.08,-12.0,-30.48,14.3,0.0,-14.00,-35.56
05/28/2026 01:31,05/28/2026 15:30,USDJPY,Buy,0.460,159.49700,159.37200,-3.0000,0.0000,-12.5,-34.03,-0.24,"DVAMA_Churn",00:13:59:02,61.0,8h 31m,27.4,0.84,14.9,36.952,-12.5,-31.0,54.4,0.0,-27.40,-67.95
05/28/2026 01:47,05/28/2026 04:40,USDCAD,Sell,0.400,1.38393,1.38514,-2.6000,0.0000,-12.1,-32.68,-0.23,"DVAMA_Churn",00:02:53:23,18.0,31m,13.6,8.07,1.5,3.7350000000000003,-12.1,-30.129,11.0,0.0,-13.60,-33.86
05/28/2026 01:31,05/28/2026 03:51,GBPJPY,Buy,0.460,214.16500,214.04500,-3.0000,0.0000,-12.0,-32.77,-0.23,"DVAMA_Churn",00:02:20:06,30.8,43m,15.5,3.43,3.5,8.68,-12.0,-29.759999999999998,22.6,0.0,-15.50,-38.44
05/28/2026 01:47,05/28/2026 02:52,GBPUSD,Buy,0.290,1.34271,1.34151,-1.8800,0.0000,-12.0,-31.84,-0.23,"DVAMA_Churn",00:01:04:59,40.7,26m,13.9,6.32,1.9,4.75,-12.0,-30.0,13.7,0.0,-13.90,-34.75
05/27/2026 01:53,05/27/2026 14:31,USDJPY,Buy,0.460,159.28600,159.44600,-3.0000,0.0000,16.0,36.66,0.26,"DVAMA_Churn",00:12:38:34,49.3,6h 13m,11.9,0.67,16.0,39.68,-10.7,-26.535999999999998,59.9,100.0,0.00,0.00
05/27/2026 01:59,05/27/2026 10:57,USDCAD,Buy,0.400,1.38101,1.38262,-2.6000,0.0000,16.1,37.41,0.27,"DVAMA_Churn",00:08:58:33,59.2,5h 18m,7.2,0.39,16.1,40.089000000000006,-6.2,-15.438000000000002,72.2,100.0,0.00,0.00
05/27/2026 02:01,05/27/2026 04:31,AUDCAD,Buy,0.400,0.98998,0.98878,-2.6000,0.0000,-12.0,-32.46,-0.23,"DVAMA_Churn",00:02:30:54,78.7,1h 58m,24.1,0.99,12.1,30.129,-12.0,-29.880000000000003,50.2,0.0,-24.10,-60.01
05/27/2026 01:39,05/27/2026 03:52,AUDJPY,Buy,0.460,114.17300,114.33500,-3.0000,0.0000,16.2,37.20,0.27,"DVAMA_Churn",00:02:13:31,56.4,1h 15m,7.4,0.19,16.2,40.175999999999995,-3.0,-7.4399999999999995,84.4,100.0,0.00,0.00
05/26/2026 01:31,05/26/2026 08:55,EURUSD,Buy,0.290,1.16393,1.16273,-1.8800,0.0000,-12.0,-31.81,-0.23,"DVAMA_Churn",00:07:24:35,15.1,1h 7m,15.6,3.33,3.6,8.964,-12.0,-29.880000000000003,23.1,0.0,-15.60,-38.84
05/26/2026 01:29,05/26/2026 04:39,AUDJPY,Buy,0.460,113.99500,113.86700,-3.0000,0.0000,-12.8,-34.84,-0.25,"DVAMA_Churn",00:03:10:48,31.6,1h 0m,16.9,3.12,4.1,10.209,-12.8,-31.872000000000003,24.3,0.0,-16.90,-42.08
05/26/2026 01:31,05/26/2026 03:18,GBPUSD,Buy,0.290,1.35031,1.34912,-1.8800,0.0000,-11.9,-31.54,-0.22,"DVAMA_Churn",00:01:47:25,43.0,46m,14.1,5.71,2.1,5.229000000000001,-12.0,-29.880000000000003,14.9,0.7,-14.00,-34.86
05/26/2026 01:25,05/26/2026 03:02,GBPJPY,Buy,0.460,214.59500,214.47400,-3.0000,0.0000,-12.1,-33.10,-0.23,"DVAMA_Churn",00:01:37:43,51.6,50m,16.1,3.03,4.0,9.96,-12.1,-30.129,24.8,0.0,-16.10,-40.09
05/25/2026 01:25,05/25/2026 21:04,NZDCAD,Sell,0.400,0.81057,0.81067,-2.6000,0.0000,-1.0,-5.09,-0.04,"DVAMA_Churn",00:19:39:25,18.3,3h 35m,14.2,2.00,5.2,12.948000000000002,-10.4,-25.896000000000004,33.3,60.3,-6.20,-15.44
05/25/2026 01:27,05/25/2026 11:57,GBPUSD,Sell,0.290,1.34796,1.34918,-1.8800,0.0000,-12.2,-32.27,-0.23,"DVAMA_Churn",00:10:30:35,28.6,3h 0m,20.6,1.45,8.4,20.916000000000004,-12.2,-30.378,40.8,0.0,-20.60,-51.29
05/25/2026 01:27,05/25/2026 11:10,CADCHF,Buy,0.230,0.56705,0.56585,-1.5000,0.0000,-12.0,-31.83,-0.22,"DVAMA_Churn",00:09:43:03,0.0,0s,12.1,12.11,0.0,0.0,-12.1,-30.612999999999996,0.0,0.8,-12.00,-30.36
05/25/2026 01:31,05/25/2026 10:18,USDCAD,Buy,0.400,1.38012,1.38173,-2.6000,0.0000,16.1,37.47,0.26,"DVAMA_Churn",00:08:47:39,67.6,5h 56m,11.7,0.34,16.1,40.089000000000006,-5.4,-13.446000000000002,74.9,100.0,0.00,0.00
05/25/2026 01:43,05/25/2026 10:04,EURCAD,Sell,0.400,1.60677,1.60798,-2.6000,0.0000,-12.1,-32.70,-0.23,"DVAMA_Churn",00:08:21:37,40.4,3h 22m,20.8,1.39,8.7,21.663,-12.1,-30.129,41.8,0.0,-20.80,-51.79
05/25/2026 01:25,05/25/2026 07:56,GBPCAD,Sell,0.400,1.86054,1.86174,-2.6000,0.0000,-12.0,-32.46,-0.23,"DVAMA_Churn",00:06:31:07,35.3,2h 18m,21.9,1.21,9.9,24.651000000000003,-12.0,-29.880000000000003,45.2,0.0,-21.90,-54.53
05/25/2026 01:25,05/25/2026 04:29,USDJPY,Buy,0.460,158.89100,158.77000,-3.0000,0.0000,-12.1,-33.10,-0.23,"DVAMA_Churn",00:03:04:28,38.1,1h 10m,19.0,1.75,6.9,17.181,-12.1,-30.129,36.3,0.0,-19.00,-47.31
05/25/2026 01:25,05/25/2026 04:27,AUDCAD,Sell,0.400,0.98784,0.98904,-2.6000,0.0000,-12.0,-32.48,-0.23,"DVAMA_Churn",00:03:02:24,16.0,29m,15.8,3.16,3.8,9.462,-12.0,-29.880000000000003,24.1,0.0,-15.80,-39.34
05/25/2026 01:25,05/25/2026 04:13,AUDJPY,Sell,0.460,113.71100,113.83200,-3.0000,0.0000,-12.1,-33.10,-0.23,"DVAMA_Churn",00:02:48:37,12.5,21m,16.9,2.52,4.8,11.952,-12.1,-30.129,28.4,0.0,-16.90,-42.08
05/21/2026 01:43,05/21/2026 05:34,GBPJPY,Buy,0.460,213.43200,213.31100,-3.0000,0.0000,-12.1,-33.15,-0.23,"DVAMA_Churn",00:03:51:40,78.0,3h 0m,24.8,0.95,12.7,31.623,-12.1,-30.129,51.2,0.0,-24.80,-61.75
05/21/2026 01:29,05/21/2026 04:30,AUDCAD,Buy,0.400,0.98288,0.98026,-2.6000,0.0000,-26.2,-68.14,-0.47,"DVAMA_Churn",00:03:00:58,43.9,1h 19m,32.0,4.52,5.8,14.5,-26.2,-65.5,18.1,0.0,-32.00,-80.00
05/21/2026 01:25,05/21/2026 04:30,AUDJPY,Buy,0.460,113.61000,113.28700,-3.0000,0.0000,-32.3,-83.42,-0.58,"DVAMA_Churn",00:03:04:57,32.1,59m,36.8,7.18,4.5,11.205000000000002,-32.3,-80.427,12.2,0.0,-36.80,-91.63
05/20/2026 01:37,05/20/2026 04:28,AUDCAD,Buy,0.400,0.97664,0.97543,-2.6000,0.0000,-12.1,-32.94,-0.23,"DVAMA_Churn",00:02:51:33,54.4,1h 33m,19.3,1.68,7.2,18.072,-12.1,-30.370999999999995,37.3,0.0,-19.30,-48.44
05/20/2026 01:57,05/20/2026 04:08,USDCAD,Buy,0.400,1.37444,1.37607,-2.6000,0.0000,16.3,38.25,0.26,"DVAMA_Churn",00:02:10:57,64.2,1h 24m,4.8,0.13,16.3,40.913,-2.1,-5.271,88.6,100.0,0.00,0.00
05/19/2026 02:01,05/19/2026 03:37,EURAUD,Buy,0.410,1.62526,1.62686,-2.6600,0.0000,16.0,37.66,0.26,"DVAMA_Churn",00:01:36:51,50.0,48m,9.2,0.58,16.0,40.32,-9.2,-23.183999999999997,63.5,100.0,0.00,0.00
05/15/2026 01:37,05/15/2026 03:42,USDCAD,Buy,0.400,1.37172,1.37332,-2.6000,0.0000,16.0,37.39,0.26,"DVAMA_Churn",00:02:05:47,79.3,1h 39m,1.9,0.10,16.0,40.0,-1.6,-4.0,90.9,100.0,0.00,0.00
05/14/2026 01:31,05/14/2026 06:02,USDJPY,Buy,0.460,157.80100,157.96100,-3.0000,0.0000,16.0,36.78,0.26,"DVAMA_Churn",00:04:31:18,88.2,3h 59m,5.8,0.10,16.0,39.84,-1.6,-3.9840000000000004,90.9,100.0,0.00,0.00
05/13/2026 01:55,05/13/2026 04:17,EURAUD,Sell,0.410,1.62131,1.62251,-2.6600,0.0000,-12.0,-32.98,-0.23,"DVAMA_Churn",00:02:22:33,18.4,26m,14.7,4.44,2.7,6.8309999999999995,-12.0,-30.36,18.4,0.0,-14.70,-37.19
05/13/2026 01:51,05/13/2026 03:54,USDJPY,Buy,0.460,157.60200,157.76400,-3.0000,0.0000,16.2,37.26,0.26,"DVAMA_Churn",00:02:03:15,76.7,1h 34m,6.4,0.26,16.2,40.338,-4.2,-10.458000000000002,79.4,100.0,0.00,0.00
05/12/2026 01:47,05/12/2026 09:23,NZDCAD,Sell,0.400,0.81591,0.81430,-2.6000,0.0000,16.1,37.41,0.26,"DVAMA_Churn",00:07:36:50,88.9,6h 46m,15.7,0.13,16.4,40.836,-2.2,-5.478000000000001,88.2,98.4,-0.30,-0.75
05/12/2026 01:27,05/12/2026 07:13,GBPCAD,Buy,0.400,1.86073,1.85953,-2.6000,0.0000,-12.0,-32.42,-0.23,"DVAMA_Churn",00:05:46:51,39.4,2h 16m,17.9,2.31,5.4,13.446000000000002,-12.5,-31.125000000000004,30.2,2.8,-17.40,-43.33
05/12/2026 01:25,05/12/2026 04:33,GBPJPY,Buy,0.460,213.93200,214.09200,-3.0000,0.0000,16.0,36.71,0.26,"DVAMA_Churn",00:03:08:06,52.2,1h 38m,7.4,0.32,16.0,39.68,-5.1,-12.648,75.8,100.0,0.00,0.00
05/12/2026 01:33,05/12/2026 04:16,USDCAD,Buy,0.400,1.36742,1.36906,-2.6000,0.0000,16.4,38.13,0.27,"DVAMA_Churn",00:02:43:37,95.1,2h 35m,2.2,0.02,16.4,40.672,-0.3,-0.744,98.2,100.0,0.00,0.00
05/12/2026 01:35,05/12/2026 03:53,GBPUSD,Buy,0.290,1.36092,1.35972,-1.8800,0.0000,-12.0,-31.44,-0.22,"DVAMA_Churn",00:02:18:52,2.2,3m,12.9,17.45,0.7,1.722,-12.2,-30.011999999999997,5.4,1.6,-12.70,-31.24
05/12/2026 01:27,05/12/2026 03:14,GBPAUD,Buy,0.410,1.87685,1.87844,-2.6600,0.0000,15.9,37.43,0.26,"DVAMA_Churn",00:01:47:57,66.4,1h 11m,5.1,0.11,15.9,40.068,-1.8,-4.5360000000000005,89.8,100.0,0.00,0.00
