Open Date,Close Date,Symbol,Action,Units/Lots,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
05/28/2026 19:22,05/28/2026 23:43,XAUUSD,Sell,0.050,4496.00000,4496.00000,0.0000,0.0000,0.0,0.00,0.00,"",0,00:04:21:48,1.2,3m,1871.0,43.67,43.0,0.0,-1871.0,-0.0,2.2,97.8,-43.00,0.00
05/27/2026 15:04,,,Withdrawal,0.010,0.00000,0.00000,0.0000,0.0000,0.0,-1052.70,0,"Transfer to 23658671 #40130746",0,00:00:00:00,,,,,,,,,,,,
05/12/2026 22:33,05/15/2026 23:52,XAGUSD,Sell,0.020,86.50000,75.91000,0.0000,0.0000,1059.0,1058.70,47.77,"",0,03:01:18:55,49.8,1d 12h ,332.2,0.27,1051.5,1051.5,-279.2,-279.2,79.0,100.6,7.50,7.50
05/11/2026 16:17,05/12/2026 12:25,XAGUSD,Sell,0.020,84.95000,84.09000,0.0000,0.0000,86.0,85.50,4.01,"",0,00:20:07:39,20.4,4h 6m,270.7,1.53,143.0,141.57,-219.0,-216.81,39.5,84.3,-57.00,-56.43
05/05/2026 03:19,05/06/2026 06:34,XAUUSD,Buy,0.050,4524.06000,4644.13000,0.0000,0.0000,12007.0,600.35,39.23,"",0,01:03:14:43,98.8,1d 2h ,3786.0,0.06,12529.0,626.45,-714.0,-35.7,94.6,96.1,-522.00,-26.10
05/04/2026 12:36,05/05/2026 16:09,XAUUSD,Buy,0.050,4583.56000,4580.02000,0.0000,0.0000,-354.0,-17.70,-1.14,"[tp]",0,01:03:32:54,0.0,0s,7451.0,10000.00,0.0,0.0,-7451.0,-372.55,0.0,95.2,-354.00,-17.70
05/04/2026 22:05,05/04/2026 23:54,XAUUSD,Buy,0.050,4511.94000,4520.88000,0.0000,0.0000,894.0,44.70,2.97,"",0,00:01:49:05,100.0,1h 49m,1479.0,0.00,1497.0,74.85000000000001,0.0,0.0,100.0,59.7,-603.00,-30.15
05/01/2026 22:43,05/04/2026 12:36,XAUUSD,Sell,0.050,4612.51000,4583.93000,0.0000,0.0000,2858.0,142.90,10.50,"",0,02:13:52:35,95.3,2d 10h ,2200.0,0.42,3751.0,187.55,-1570.0,-78.5,70.5,83.2,-893.00,-44.65
04/30/2026 01:14,05/01/2026 22:43,XAUUSD,Buy,0.050,4545.96000,4612.23000,0.0000,0.0000,6627.0,331.35,32.20,"",0,01:21:28:27,99.3,1d 21h ,8391.0,0.05,11009.0,550.45,-497.0,-24.85,95.7,61.9,-4382.00,-219.10
04/27/2026 08:02,04/30/2026 01:14,XAUUSD,Sell,0.020,4721.64000,4545.95000,0.0000,0.0000,17569.0,351.38,51.85,"",0,02:17:12:16,100.0,2d 17h ,4942.0,0.00,20756.0,415.12,0.0,0.0,100.0,84.6,-3187.00,-63.74
04/28/2026 03:57,04/30/2026 01:14,XAUUSD,Sell,0.020,4692.81000,4545.93000,0.0000,0.0000,14688.0,293.76,76.50,"",0,01:21:16:56,100.0,1d 21h ,4942.0,0.00,17873.0,357.46,0.0,0.0,100.0,82.2,-3185.00,-63.70
04/13/2026 01:06,04/24/2026 23:54,XAUUSD,Buy,0.010,4669.68000,4708.00000,0.0000,0.0000,3832.0,38.32,11.09,"",0,11:22:48:01,99.7,11d 21h ,22122.0,0.08,21085.0,210.85,-1625.0,-16.25,92.8,24.0,-17253.00,-172.53
04/13/2026 01:26,04/24/2026 23:54,XAUUSD,Buy,0.010,4652.51000,4708.08000,0.0000,0.0000,5557.0,55.57,19.16,"",0,11:22:28:00,100.0,11d 22h ,22122.0,0.00,22802.0,228.02,0.0,0.0,100.0,24.4,-17245.00,-172.45
04/22/2026 20:18,04/24/2026 23:54,XAUUSD,Buy,0.020,4734.56000,4707.67000,0.0000,0.0000,-2689.0,-53.78,-15.64,"",0,02:03:35:40,12.8,6h 36m,8882.0,5.55,1357.0,27.14,-7525.0,-150.5,15.3,54.4,-4046.00,-80.92
04/24/2026 23:22,04/24/2026 23:54,XAUUSD,Buy,0.030,4707.59000,4707.70000,0.0000,0.0000,11.0,0.33,0.10,"",0,00:00:32:02,,,,,,,,,,,,
04/21/2026 21:12,04/21/2026 23:51,XAUUSD,Buy,0.020,4706.40000,4712.43000,0.0000,0.0000,603.0,12.06,3.64,"",0,00:02:38:44,50.0,1h 19m,4242.0,3.18,1093.0,21.86,-3476.0,-69.52,23.9,89.3,-490.00,-9.80
04/08/2026 01:59,04/10/2026 23:52,XAUUSD,Sell,0.020,4813.63000,4749.79000,0.0000,0.0000,6384.0,127.68,62.65,"",0,02:21:53:17,93.6,2d 17h ,9263.0,0.21,10849.0,216.98000000000002,-2281.0,-45.62,82.6,66.0,-4465.00,-89.30
04/09/2026 20:49,04/10/2026 23:43,XAUUSD,Sell,0.010,4800.26000,4751.92000,0.0000,0.0000,4834.0,48.34,31.09,"",0,01:02:54:38,100.0,1d 2h ,4994.0,0.00,5946.0,59.46,0.0,0.0,100.0,81.3,-1112.00,-11.12
04/01/2026 11:51,04/08/2026 01:56,XAUUSD,Sell,0.010,4731.79000,4815.47000,0.0000,0.0000,-8368.0,-83.68,-34.99,"",0,06:14:05:12,90.6,5d 23h ,22357.0,0.63,13756.0,137.56,-8601.0,-86.01,61.5,1.0,-22124.00,-221.24
04/01/2026 14:31,04/08/2026 01:56,XAUUSD,Sell,0.010,4747.16000,4817.02000,0.0000,0.0000,-6986.0,-69.86,-22.61,"",0,06:11:24:38,91.7,5d 22h ,22357.0,0.46,15293.0,152.93,-7064.0,-70.64,68.4,0.3,-22279.00,-222.79
04/08/2026 01:42,04/08/2026 01:56,XAUUSD,Sell,0.010,4776.09000,4808.82000,0.0000,0.0000,-3273.0,-32.73,-9.58,"",0,00:00:13:01,,,,,,,,,,,,
03/30/2026 22:04,04/01/2026 11:50,XAUUSD,Buy,0.010,4501.32000,4731.63000,0.0000,0.0000,23031.0,230.31,206.70,"",0,01:13:46:15,97.3,1d 12h ,5826.0,0.00,23031.0,230.31,0.0,0.0,100.0,100.0,0.00,0.00
