Tags,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
,06/02/2026 02:16,06/02/2026 06:32,USDCHF,Sell,0.010,0.00000,0.00000,0.78675,0.78503,0.0000,0.0000,17.2,2.19,3.42,"",0,00:04:15:14,96.5,4h 6m,4.8,0.02,18.2,2.366,-0.3,-0.039,98.4,94.6,-1.00,-0.13
,06/02/2026 02:16,06/02/2026 06:32,USDCHF,Sell,0.010,0.00000,0.00000,0.78674,0.78503,0.0000,0.0000,17.1,2.18,3.52,"",0,00:04:15:17,96.5,4h 6m,4.8,0.02,18.1,2.353,-0.4,-0.052000000000000005,97.8,94.6,-1.00,-0.13
,06/02/2026 02:14,06/02/2026 06:32,USDCHF,Sell,0.010,0.00000,0.00000,0.78674,0.78503,0.0000,0.0000,17.1,2.18,3.65,"",0,00:04:17:13,95.8,4h 6m,4.8,0.02,18.1,2.353,-0.4,-0.052000000000000005,97.8,94.6,-1.00,-0.13
,06/02/2026 02:14,06/02/2026 06:32,USDCHF,Sell,0.010,0.00000,0.00000,0.78675,0.78503,0.0000,0.0000,17.2,2.19,3.81,"",0,00:04:17:16,96.6,4h 8m,4.8,0.02,18.2,2.366,-0.3,-0.039,98.4,94.6,-1.00,-0.13
,06/02/2026 02:14,06/02/2026 06:32,USDCHF,Sell,0.010,0.00000,0.00000,0.78675,0.78503,0.0000,0.0000,17.2,2.19,3.96,"",0,00:04:17:16,96.6,4h 8m,4.8,0.02,18.2,2.366,-0.3,-0.039,98.4,94.6,-1.00,-0.13
,06/02/2026 02:11,06/02/2026 06:32,USDCHF,Sell,0.010,0.00000,0.00000,0.78674,0.78503,0.0000,0.0000,17.1,2.18,4.10,"",0,00:04:20:28,94.7,4h 6m,4.8,0.03,18.1,2.353,-0.6,-0.078,96.8,94.7,-1.00,-0.13
,06/02/2026 02:09,06/02/2026 06:32,USDCHF,Sell,0.010,0.00000,0.00000,0.78677,0.78503,0.0000,0.0000,17.4,2.22,4.36,"",0,00:04:22:13,97.8,4h 16m,4.8,0.02,18.4,2.392,-0.3,-0.039,98.4,94.7,-1.00,-0.13
,05/26/2026 00:53,05/26/2026 15:00,GBPNZD,Sell,0.010,0.00000,0.00000,2.30329,2.30297,0.0000,0.0000,3.2,0.19,0.37,"",0,00:14:07:11,13.0,1h 50m,42.9,3.82,9.2,0.5519999999999999,-35.1,-2.106,20.8,86.5,-6.00,-0.36
,05/26/2026 00:52,05/26/2026 15:00,GBPNZD,Sell,0.010,0.00000,0.00000,2.30324,2.30297,0.0000,0.0000,2.7,0.16,0.32,"",0,00:14:07:17,12.4,1h 45m,42.9,4.09,8.7,0.5219999999999999,-35.6,-2.136,19.6,86.5,-6.00,-0.36
,05/26/2026 00:52,05/26/2026 15:00,GBPNZD,Sell,0.010,0.00000,0.00000,2.30320,2.30297,0.0000,0.0000,2.3,0.13,0.26,"",0,00:14:07:30,11.2,1h 34m,42.9,4.34,8.3,0.498,-36.0,-2.16,18.7,86.5,-6.00,-0.36
,05/26/2026 00:52,05/26/2026 15:00,GBPNZD,Sell,0.010,0.00000,0.00000,2.30320,2.30297,0.0000,0.0000,2.3,0.13,0.26,"",0,00:14:07:36,11.2,1h 34m,42.9,4.34,8.3,0.498,-36.0,-2.16,18.7,86.5,-6.00,-0.36
,05/26/2026 00:52,05/26/2026 15:00,GBPNZD,Sell,0.010,0.00000,0.00000,2.30319,2.30297,0.0000,0.0000,2.2,0.13,0.26,"",0,00:14:07:41,11.2,1h 34m,42.9,4.40,8.2,0.49199999999999994,-36.1,-2.166,18.5,86.5,-6.00,-0.36
,05/26/2026 00:52,05/26/2026 15:00,GBPNZD,Sell,0.010,0.00000,0.00000,2.30315,2.30297,0.0000,0.0000,1.8,0.11,0.22,"",0,00:14:07:49,10.0,1h 24m,42.9,4.68,7.8,0.46799999999999997,-36.5,-2.19,17.6,86.5,-6.00,-0.36
,05/26/2026 00:52,05/26/2026 15:00,GBPNZD,Sell,0.010,0.00000,0.00000,2.30312,2.30297,0.0000,0.0000,1.5,0.09,0.18,"",0,00:14:07:51,9.5,1h 20m,42.9,4.91,7.5,0.44999999999999996,-36.8,-2.2079999999999997,16.9,86.5,-6.00,-0.36
,05/26/2026 00:21,05/26/2026 00:33,GBPNZD,Sell,0.010,0.00000,0.00000,2.30313,2.30320,0.0000,0.0000,-0.7,0.00,0.00,"#243697099 by #243689521",123456,00:00:11:30,18.2,2m,5.4,3.60,1.5,0.0,-5.4,-0.0,21.7,68.1,-2.20,0.00
,05/26/2026 00:21,05/26/2026 00:33,GBPNZD,Sell,0.010,0.00000,0.00000,2.30311,2.30320,0.0000,0.0000,-0.9,0.00,0.00,"#243697099 by #243689510",123456,00:00:11:31,18.2,2m,5.6,4.31,1.3,0.0,-5.6,-0.0,18.8,68.1,-2.20,0.00
,05/26/2026 00:32,05/26/2026 00:33,GBPNZD,Buy,0.070,0.00000,0.00000,2.30320,2.30312,0.0000,0.0000,-0.8,-0.35,-0.70,"Hedge All#243697099 by #243689510",,00:00:00:01,,,,,,,,,,,,
,05/26/2026 00:21,05/26/2026 00:32,GBPNZD,Sell,0.010,0.00000,0.00000,2.30310,2.30320,0.0000,0.0000,-1.0,0.00,0.00,"#243697099 by #243689559",123456,00:00:11:25,18.2,2m,5.7,4.75,1.2,0.0,-5.7,-0.0,17.4,68.1,-2.20,0.00
,05/26/2026 00:21,05/26/2026 00:32,GBPNZD,Sell,0.010,0.00000,0.00000,2.30310,2.30320,0.0000,0.0000,-1.0,0.00,0.00,"#243697099 by #243689549",123456,00:00:11:26,18.2,2m,5.7,4.75,1.2,0.0,-5.7,-0.0,17.4,68.1,-2.20,0.00
,05/26/2026 00:21,05/26/2026 00:32,GBPNZD,Sell,0.010,0.00000,0.00000,2.30312,2.30320,0.0000,0.0000,-0.8,0.00,0.00,"#243697099 by #243689542",123456,00:00:11:27,18.2,2m,5.5,3.93,1.4,0.0,-5.5,-0.0,20.3,68.1,-2.20,0.00
,05/26/2026 00:21,05/26/2026 00:32,GBPNZD,Sell,0.010,0.00000,0.00000,2.30312,2.30320,0.0000,0.0000,-0.8,0.00,0.00,"#243697099 by #243689537",123456,00:00:11:28,18.2,2m,5.5,3.93,1.4,0.0,-5.5,-0.0,20.3,68.1,-2.20,0.00
,05/26/2026 00:21,05/26/2026 00:32,GBPNZD,Sell,0.010,0.00000,0.00000,2.30313,2.30320,0.0000,0.0000,-0.7,0.00,0.00,"#243697099 by #243689530",123456,00:00:11:28,18.2,2m,5.4,3.60,1.5,0.0,-5.4,-0.0,21.7,68.1,-2.20,0.00
,05/25/2026 12:50,05/26/2026 00:20,GBPCAD,Sell,0.010,0.00000,0.00000,1.86408,1.86258,0.0000,0.0000,15.0,0.00,0.00,"#243689148 by #243316504",123456,00:11:30:06,78.3,9h 0m,21.7,0.19,18.5,0.0,-3.6,-0.0,83.7,84.2,-3.50,0.00
,05/25/2026 12:50,05/26/2026 00:20,GBPCAD,Sell,0.010,0.00000,0.00000,1.86405,1.86258,0.0000,0.0000,14.7,0.00,0.00,"#243689148 by #243316488",123456,00:11:30:07,73.2,8h 25m,21.7,0.21,18.2,0.0,-3.9,-0.0,82.4,84.2,-3.50,0.00
,05/25/2026 12:50,05/26/2026 00:20,GBPCAD,Sell,0.010,0.00000,0.00000,1.86405,1.86258,0.0000,0.0000,14.7,0.00,0.00,"#243689148 by #243316442",123456,00:11:30:10,73.2,8h 25m,21.7,0.21,18.2,0.0,-3.9,-0.0,82.4,84.2,-3.50,0.00
,05/25/2026 12:50,05/26/2026 00:20,GBPCAD,Sell,0.010,0.00000,0.00000,1.86403,1.86258,0.0000,0.0000,14.5,0.00,0.00,"#243689148 by #243316427",123456,00:11:30:12,72.5,8h 20m,21.7,0.23,18.0,0.0,-4.1,-0.0,81.4,84.2,-3.50,0.00
,05/25/2026 12:50,05/26/2026 00:20,GBPCAD,Sell,0.010,0.00000,0.00000,1.86412,1.86258,0.0000,0.0000,15.4,0.00,0.00,"#243689148 by #243316316",123456,00:11:30:25,84.1,9h 40m,21.7,0.17,18.9,0.0,-3.2,-0.0,85.5,84.2,-3.50,0.00
,05/26/2026 00:20,05/26/2026 00:20,GBPCAD,Buy,0.050,0.00000,0.00000,1.86258,1.86407,0.0000,0.0000,14.9,5.38,11.96,"Hedge All#243689148 by #243316316",,00:00:00:01,,,,,,,,,,,,
,05/22/2026 20:57,05/24/2026 22:00,GBPNZD,Sell,0.010,0.00000,0.00000,2.29608,2.29369,0.0000,0.0000,23.9,1.40,3.21,"",0,02:01:03:23,2.4,1h 10m,70.8,0.01,87.2,5.232,0.0,0.0,100.0,27.4,-63.30,-3.80
,05/22/2026 20:57,05/24/2026 22:00,GBPNZD,Sell,0.040,0.00000,0.00000,2.29604,2.29327,0.0000,0.0000,27.7,6.50,17.53,"",0,02:01:03:11,2.4,1h 10m,70.8,0.01,86.8,19.964,0.0,0.0,100.0,31.9,-59.10,-13.59
,05/22/2026 20:55,05/22/2026 20:56,GBPCAD,Sell,0.050,0.00000,0.00000,1.85669,1.85665,0.0000,0.0000,0.4,0.14,0.38,"",0,00:00:01:27,,,,,,,,,,,,
,05/22/2026 19:57,05/22/2026 20:54,GBPNZD,Sell,0.010,0.00000,0.00000,2.29560,2.29711,0.0000,0.0000,-15.1,0.00,0.00,"#242407010 by #242389028",123456,00:00:56:45,0.0,0s,15.1,15.11,0.0,0.0,-15.1,-0.0,0.0,0.0,-15.10,0.00
,05/22/2026 19:57,05/22/2026 20:54,GBPNZD,Sell,0.050,0.00000,0.00000,2.29565,2.29711,0.0000,0.0000,-14.6,0.00,0.00,"#242407010 by #242388798",123456,00:00:57:21,1.8,1m,15.0,36.63,0.4,0.0,-14.6,-0.0,2.7,0.0,-15.00,0.00
