Tags,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
,06/02/2026 15:15,06/02/2026 15:21,XAUUSD,Sell,0.110,4529.15000,0.00000,4524.40000,4529.55000,-0.6600,0.0000,-515.0,-57.31,-5.49,"L[sl 4529.15]",4000,00:00:05:17,83.4,4m,2636.0,0.24,2121.0,233.31,-515.0,-56.65,80.5,0.0,-2636.00,-289.96
,06/01/2026 16:11,06/01/2026 16:11,XAUUSD,Sell,0.260,0.00000,4486.33000,4488.90000,4485.48000,-1.5600,0.0000,342.0,87.36,9.13,"D1 Short[tp 4486.33]",2000,00:00:00:02,,,,,,,,,,,,
,06/01/2026 16:10,06/01/2026 16:11,XAUUSD,Sell,0.230,4493.45000,0.00000,4494.63000,4493.54000,-1.3800,0.0000,109.0,23.69,2.54,"L[sl 4493.45]",4000,00:00:00:05,,,,,,,,,,,,
,05/29/2026 17:01,05/29/2026 17:01,XAUUSD,Buy,0.230,4544.41000,0.00000,4543.34000,4544.32000,-1.3800,0.0000,98.0,21.16,2.32,"H[sl 4544.41]",4000,00:00:00:03,,,,,,,,,,,,
,05/29/2026 15:20,05/29/2026 15:20,XAUUSD,Sell,0.230,4524.71000,0.00000,4525.48000,4524.83000,-1.3800,0.0000,65.0,13.57,1.51,"L[sl 4524.71]",4000,00:00:00:15,,,,,,,,,,,,
,05/29/2026 04:15,05/29/2026 04:15,XAUUSD,Buy,0.250,4517.15000,0.00000,4516.64000,4517.12000,-1.5000,0.0000,48.0,10.50,1.18,"D1 Long[sl 4517.15]",2000,00:00:00:04,,,,,,,,,,,,
,05/28/2026 15:46,05/28/2026 15:46,XAUUSD,Buy,0.230,4405.70000,0.00000,4404.80000,4405.63000,-1.3800,0.0000,83.0,17.71,2.03,"H[sl 4405.70]",4000,00:00:00:12,,,,,,,,,,,,
,05/28/2026 05:12,05/28/2026 05:12,XAUUSD,Sell,0.250,4400.56000,0.00000,4401.07000,4400.90000,-1.5000,0.0000,17.0,2.75,0.32,"D1 Short[sl 4400.56]",2000,00:00:00:01,,,,,,,,,,,,
,05/27/2026 16:06,05/27/2026 16:06,XAUUSD,Sell,0.230,4423.03000,0.00000,4423.60000,4423.12000,-1.3800,0.0000,48.0,9.66,1.13,"L[sl 4423.03]",4000,00:00:00:01,,,,,,,,,,,,
,05/27/2026 09:31,05/27/2026 09:31,XAUUSD,Sell,0.230,4480.61000,0.00000,4482.48000,4480.68000,-1.3800,0.0000,180.0,40.02,4.89,"D1 Short",2000,00:00:00:03,,,,,,,,,,,,
,05/26/2026 15:28,05/26/2026 15:30,XAUUSD,Sell,0.220,4503.33000,0.00000,4503.84000,4503.30000,-1.3200,0.0000,54.0,10.56,1.31,"L[sl 4503.33]",4000,00:00:02:04,,,,,,,,,,,,
,05/26/2026 07:37,05/26/2026 07:42,XAUUSD,Sell,0.220,4525.92000,0.00000,4526.43000,4526.12000,-1.3200,0.0000,31.0,5.50,0.69,"D1 Short[sl 4525.92]",2000,00:00:05:26,100.0,5m,332.0,0.00,363.0,79.86,0.0,0.0,100.0,8.5,-332.00,-73.04
,05/26/2026 02:18,05/26/2026 02:21,XAUUSD,Buy,0.220,4575.67000,0.00000,4580.76000,4575.67000,-1.3200,0.0000,-509.0,-113.30,-12.38,"D1 Long[sl 4575.67]",2000,00:00:03:09,,,,,,,,,,,,
,05/25/2026 20:13,05/25/2026 20:23,XAUUSD,Buy,0.160,4572.62000,0.00000,4577.35000,4572.45000,-0.9600,0.0000,-490.0,-79.36,-7.98,"H[sl 4572.62]",4000,00:00:10:01,,,,,,,,,,,,
,05/25/2026 15:00,05/25/2026 15:01,XAUUSD,Sell,0.160,4565.36000,0.00000,4566.70000,4565.36000,-0.9600,0.0000,134.0,20.48,2.10,"L[sl 4565.36]",4000,00:00:00:43,,,,,,,,,,,,
,05/22/2026 17:00,05/22/2026 17:00,XAUUSD,Sell,0.160,0.00000,4507.49000,4509.37000,4507.46000,-0.9600,0.0000,191.0,29.60,3.13,"L[tp 4507.49]",4000,00:00:00:19,,,,,,,,,,,,
,05/21/2026 20:16,05/21/2026 20:16,XAUUSD,Buy,0.120,4535.86000,0.00000,4535.34000,4535.68000,-0.7200,0.0000,34.0,3.36,0.36,"H[sl 4535.86]",4000,00:00:00:14,,,,,,,,,,,,
,05/21/2026 15:25,05/21/2026 15:31,XAUUSD,Sell,0.120,4509.41000,0.00000,4504.96000,4509.45000,-0.7200,0.0000,-449.0,-54.60,-5.48,"L[sl 4509.41]",4000,00:00:05:33,66.7,3m,645.0,2.29,196.0,23.52,-449.0,-53.879999999999995,30.4,0.0,-645.00,-77.40
,05/21/2026 03:15,05/21/2026 03:16,XAUUSD,Buy,0.110,4548.45000,0.00000,4552.97000,4548.34000,-0.6600,0.0000,-463.0,-51.59,-4.93,"D1 Long[sl 4548.45]",2000,00:00:00:46,,,,,,,,,,,,
,05/20/2026 20:19,,,Deposit,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,100.00,0,"Deposit PR",0,00:00:00:00,,,,,,,,,,,,
,05/20/2026 16:41,05/20/2026 16:42,XAUUSD,Sell,0.110,4483.77000,0.00000,4484.42000,4483.73000,-0.6600,0.0000,69.0,6.93,0.74,"L[sl 4483.77]",4000,00:00:00:40,,,,,,,,,,,,
,05/20/2026 15:02,05/20/2026 15:04,XAUUSD,Buy,0.110,4496.70000,0.00000,4501.20000,4496.63000,-0.6600,0.0000,-457.0,-50.93,-5.14,"H[sl 4496.70]",4000,00:00:01:47,,,,,,,,,,,,
,05/20/2026 04:36,05/20/2026 04:36,XAUUSD,Sell,0.100,4463.38000,0.00000,4463.95000,4463.41000,-0.6000,0.0000,54.0,4.80,0.49,"D1 Short[sl 4463.38]",2000,00:00:00:06,,,,,,,,,,,,
,05/19/2026 16:31,05/19/2026 16:31,XAUUSD,Sell,0.190,0.00000,4477.75000,4477.75000,4476.51000,-1.1400,0.0000,124.0,22.42,2.33,"D1 Short[tp 4477.75]",2000,00:00:00:01,,,,,,,,,,,,
,05/19/2026 16:04,05/19/2026 16:04,XAUUSD,Sell,0.190,0.00000,4522.75000,4524.48000,4522.68000,-1.1400,0.0000,180.0,33.06,3.55,"L[tp 4522.75]",4000,00:00:00:21,,,,,,,,,,,,
,05/19/2026 02:13,05/19/2026 02:13,XAUUSD,Buy,0.190,4586.32000,0.00000,4584.60000,4586.31000,-1.1400,0.0000,171.0,31.35,3.48,"D1 Long[sl 4586.32]",2000,00:00:00:02,,,,,,,,,,,,
,05/18/2026 15:42,05/18/2026 15:43,XAUUSD,Buy,0.190,4568.57000,0.00000,4567.21000,4568.47000,-1.1400,0.0000,126.0,22.80,2.60,"H[sl 4568.57]",4000,00:00:00:36,,,,,,,,,,,,
,05/18/2026 03:33,05/18/2026 03:33,XAUUSD,Sell,0.190,4510.02000,0.00000,4510.63000,4510.59000,-1.1400,0.0000,4.0,-0.38,-0.04,"D1 Short",2000,00:00:00:02,,,,,,,,,,,,
