Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
05/15/2026 04:51,06/02/2026 18:27,EURAUD,Sell,0.010,1.71869,0.00000,1.61950,1.61979,-0.0500,0.1800,-2.9,-0.08,0.00,"",0,18:13:35:48,0.0,0s,171.2,172.41,0.0,0.0,-171.2,-11.984,0.0,98.3,-2.90,-0.20
05/12/2026 10:32,06/02/2026 13:11,GBPCAD,Buy,0.010,1.77715,0.00000,1.85342,1.86596,-0.0500,0.4200,125.4,9.42,0.19,"",0,21:02:38:53,53.6,11d 7h ,272.0,1.81,125.4,8.778,-227.5,-15.925,35.5,100.0,0.00,0.00
05/14/2026 17:24,06/02/2026 11:06,AUDJPY,Buy,0.010,100.59900,0.00000,114.17300,114.74000,-0.0300,0.5100,56.7,4.04,0.08,"",0,18:17:42:28,24.2,4d 12h ,170.2,2.61,56.7,3.402,-147.7,-8.861999999999998,27.7,100.0,0.00,0.00
04/08/2026 03:28,06/01/2026 16:45,GBPNZD,Buy,0.010,2.21612,0.00000,2.30957,2.26569,-0.0500,0.5400,-438.8,-25.51,-0.52,"",0,54:13:16:58,1.3,17h 1m,657.3,32.57,19.6,1.176,-637.7,-38.262,3.0,30.3,-458.40,-27.50
05/06/2026 13:47,06/01/2026 16:45,GBPNZD,Buy,0.010,2.21612,0.00000,2.27882,2.26582,-0.0500,0.2600,-130.0,-7.49,-0.15,"",0,26:02:58:15,70.5,18d 10h ,604.4,1.18,277.7,16.662,-326.7,-19.602,45.9,32.5,-407.70,-24.46
05/29/2026 03:44,06/01/2026 16:45,GBPNZD,Buy,0.010,2.21612,0.00000,2.25971,2.26582,-0.0500,0.0100,61.1,3.58,0.07,"",0,03:13:01:03,5.8,4h 55m,185.5,2.56,69.7,4.182,-178.3,-10.698,28.1,96.5,-8.60,-0.52
05/29/2026 15:00,06/01/2026 16:45,GBPNZD,Buy,0.020,2.21612,0.00000,2.24688,2.26583,-0.1100,0.0200,189.5,22.36,0.46,"",0,03:01:45:26,30.6,22h 34m,92.8,0.25,198.0,23.759999999999998,-50.0,-6.0,79.8,96.6,-8.50,-1.02
05/26/2026 09:46,06/01/2026 01:00,EURCHF,Sell,0.010,0.93206,0.00000,0.91253,0.91123,-0.0500,-0.7500,13.0,0.86,0.02,"",0,05:15:14:00,46.1,2d 14h ,43.4,1.36,31.0,4.03,-42.3,-5.499,42.3,75.4,-18.00,-2.34
04/24/2026 01:39,05/29/2026 18:09,NZDUSD,Buy,0.010,0.54945,0.00000,0.58574,0.59917,-0.0200,-1.4500,134.3,11.96,0.25,"",0,35:16:29:57,73.4,26d 4h ,161.4,0.27,134.3,13.430000000000001,-36.0,-3.6,78.9,100.0,0.00,0.00
05/26/2026 10:26,05/29/2026 15:45,CADCHF,Sell,0.010,0.58757,0.00000,0.56840,0.56558,-0.0300,-0.4100,28.2,3.17,0.07,"",0,03:05:19:26,31.2,1d ,22.9,0.50,28.4,3.6919999999999997,-14.2,-1.8459999999999999,66.7,99.5,-0.20,-0.03
04/23/2026 16:04,05/29/2026 13:00,NZDJPY,Buy,0.010,84.32700,0.00000,93.72100,95.00200,-0.0200,0.3100,128.1,8.33,0.17,"",0,35:20:55:40,14.8,5d 7h ,253.9,1.52,130.1,7.805999999999999,-197.7,-11.861999999999998,39.7,99.4,-2.00,-0.12
05/08/2026 02:28,05/29/2026 12:49,EURNZD,Sell,0.010,2.13525,0.00000,1.97480,1.95166,-0.0500,-0.3900,231.4,13.36,0.28,"",0,21:10:21:15,22.3,4d 18h ,247.3,0.78,238.5,14.309999999999999,-185.3,-11.118,56.3,98.3,-7.10,-0.43
05/04/2026 11:42,05/25/2026 19:41,EURGBP,Sell,0.010,0.91121,0.00000,0.86412,0.86203,-0.0500,0.4200,20.9,3.19,0.07,"",0,21:07:59:00,26.2,5d 14h ,105.3,4.23,20.9,2.717,-88.4,-11.492,19.1,100.0,0.00,0.00
05/12/2026 14:27,05/22/2026 16:33,CADCHF,Sell,0.010,0.58892,0.00000,0.56967,0.56886,-0.0300,-0.9800,8.1,0.02,0.00,"",0,10:02:05:41,1.8,4h 21m,50.5,5.91,8.1,1.053,-47.9,-6.227,14.5,100.0,0.00,0.00
05/06/2026 10:59,05/22/2026 10:37,EURCHF,Sell,0.010,0.93699,0.00000,0.91517,0.91277,-0.0500,-2.2600,24.0,0.74,0.02,"",0,15:23:37:44,61.1,9d 18h ,39.1,0.89,25.6,3.3280000000000003,-22.7,-2.951,53.0,96.7,-1.60,-0.21
05/19/2026 02:08,05/19/2026 16:19,EURUSD,Sell,0.010,1.25174,0.00000,1.16572,1.16079,-0.0500,0.0000,49.3,4.88,0.10,"",0,00:14:10:51,98.8,14h 0m,11.1,0.02,49.7,4.970000000000001,-1.1,-0.11000000000000001,97.8,99.2,-0.40,-0.04
03/17/2026 15:23,05/15/2026 03:38,EURUSD,Sell,0.010,1.22644,0.00000,1.15389,1.16552,-0.0500,1.7400,-116.3,-9.94,-0.21,"",0,58:12:15:03,17.7,10d 8h ,359.0,3.22,85.0,8.5,-274.0,-27.400000000000002,23.7,43.9,-201.30,-20.13
04/14/2026 10:01,05/15/2026 03:38,EURUSD,Sell,0.010,1.22644,0.00000,1.17797,1.16552,-0.0500,0.9400,124.5,13.34,0.28,"",0,30:17:37:00,81.3,24d 23h ,129.8,0.45,124.5,12.450000000000001,-55.7,-5.57,69.1,100.0,0.00,0.00
05/05/2026 19:06,05/14/2026 17:00,GBPJPY,Sell,0.010,223.28500,0.00000,214.05000,213.16700,-0.0500,-2.1000,88.3,3.45,0.07,"",0,08:21:54:01,94.8,8d 10h ,264.9,0.15,230.9,13.854,-34.0,-2.04,87.2,46.2,-142.60,-8.56
04/29/2026 21:11,05/13/2026 18:36,AUDJPY,Buy,0.010,100.57800,0.00000,114.06100,114.72100,-0.0300,0.4200,66.0,4.57,0.10,"",0,13:21:25:05,10.4,1d 10h ,252.7,3.34,66.0,3.96,-220.5,-13.229999999999999,23.0,100.0,0.00,0.00
04/29/2026 19:20,05/13/2026 17:16,AUDCHF,Buy,0.010,0.52045,0.00000,0.56372,0.56728,-0.0300,0.4300,35.6,4.95,0.10,"",0,13:21:56:01,22.4,3d 2h ,52.4,1.01,37.7,4.901000000000001,-37.9,-4.927,49.9,97.2,-2.10,-0.27
05/08/2026 01:07,05/13/2026 10:37,EURAUD,Sell,0.010,1.72705,0.00000,1.62818,1.61843,-0.0500,0.0300,97.5,7.03,0.15,"",0,05:09:29:50,99.1,5d 8h ,61.4,0.10,97.5,6.825000000000001,-9.8,-0.6860000000000002,90.9,100.0,0.00,0.00
05/08/2026 11:55,05/12/2026 10:39,GBPAUD,Sell,0.010,2.00009,0.00000,1.88212,1.87405,-0.0500,-0.1400,80.7,5.64,0.12,"",0,03:22:44:17,100.0,3d 22h ,55.0,0.01,90.5,6.335000000000001,0.0,0.0,100.0,89.2,-9.80,-0.69
05/08/2026 01:40,05/08/2026 16:35,USDCHF,Sell,0.010,0.83100,0.00000,0.78063,0.77663,-0.0400,0.0000,40.0,5.11,0.11,"",0,00:14:54:50,90.0,13h 25m,10.3,0.06,40.0,5.2,-2.2,-0.28600000000000003,94.8,100.0,0.00,0.00
04/16/2026 11:45,05/08/2026 15:37,GBPCAD,Buy,0.010,1.76127,0.00000,1.86129,1.86404,-0.0500,0.4400,27.5,2.40,0.05,"",0,22:03:52:47,0.2,1h 3m,207.6,7.55,27.5,1.9250000000000003,-207.6,-14.532000000000002,11.7,100.0,0.00,0.00
05/08/2026 01:02,05/08/2026 15:32,AUDCAD,Buy,0.010,0.93571,0.00000,0.98440,0.98975,-0.0300,0.0000,53.5,3.88,0.08,"",0,00:14:30:10,88.7,12h 51m,13.2,0.11,53.6,3.7520000000000007,-6.1,-0.427,89.8,99.8,-0.10,-0.01
04/15/2026 19:38,05/08/2026 15:30,CADCHF,Sell,0.010,0.58858,0.00000,0.56884,0.56915,-0.0300,-2.0400,-3.1,-2.47,-0.05,"",0,22:19:52:14,0.3,1h 38m,102.5,11.64,8.7,1.131,-101.2,-13.156,7.9,89.3,-11.80,-1.53
