Tags,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
,05/26/2026 08:30,05/26/2026 12:35,XAUUSD,Sell,0.010,0.00000,0.00000,4532.68000,4516.92000,0.0000,0.0000,1576.0,15.76,0.68,"Hoko GOLD",00:04:05:14,84.5,3h 27m,1541.0,0.34,1592.0,15.92,-544.0,-5.44,74.5,99.3,-16.00,-0.16
,05/26/2026 08:00,05/26/2026 09:25,XAUUSD,Sell,0.010,0.00000,0.00000,4525.31000,4536.03000,0.0000,0.0000,-1072.0,-10.72,-0.46,"Hoko GOLD",00:01:25:27,3.5,2m,1183.0,9.66,111.0,1.11,-1072.0,-10.72,9.4,0.0,-1183.00,-11.83
,05/25/2026 22:55,,,Deposit,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,485.02,0,"Transfer In from 15545259",00:00:00:00,,,,,,,,,,,,
,05/25/2026 02:04,05/25/2026 02:07,XAUUSD,Sell,0.010,0.00000,0.00000,4567.96000,4572.16000,0.0000,0.0000,-420.0,-4.20,-0.23,"Hoko GOLD",00:00:02:55,,,,,,,,,,,,
,05/21/2026 02:32,05/21/2026 03:01,XAUUSD,Sell,0.010,0.00000,0.00000,4539.59000,4548.22000,0.0000,0.0000,-863.0,-8.63,-0.46,"Hoko GOLD",00:00:28:17,0.0,0s,863.0,909.09,0.0,0.0,-863.0,-8.63,0.0,0.0,-863.00,-8.63
,05/19/2026 16:31,05/19/2026 16:50,XAUUSD,Sell,0.010,0.00000,0.00000,4476.61000,4488.45000,0.0000,0.0000,-1184.0,-11.84,-0.63,"Hoko GOLD",00:00:19:00,31.6,6m,1484.0,3.95,300.0,3.0,-1184.0,-11.84,20.2,0.0,-1484.00,-14.84
,05/19/2026 16:04,05/19/2026 16:30,XAUUSD,Sell,0.010,0.00000,0.00000,4524.33000,4489.88000,0.0000,0.0000,3445.0,34.45,1.87,"Hoko GOLD",00:00:25:36,92.4,23m,891.0,0.05,3445.0,34.45,-163.0,-1.6300000000000001,95.5,100.0,0.00,0.00
,05/19/2026 15:03,05/19/2026 15:10,XAUUSD,Sell,0.010,0.00000,0.00000,4535.06000,4543.02000,0.0000,0.0000,-796.0,-7.96,-0.43,"Hoko GOLD",00:00:06:59,14.3,59s,880.0,9.48,84.0,0.84,-796.0,-7.96,9.5,0.0,-880.00,-8.80
,05/19/2026 04:35,05/19/2026 04:43,XAUUSD,Sell,0.010,0.00000,0.00000,4562.08000,4570.99000,0.0000,0.0000,-891.0,-8.91,-0.48,"Hoko GOLD",00:00:08:36,0.0,0s,891.0,909.09,0.0,0.0,-891.0,-8.91,0.0,0.0,-891.00,-8.91
,05/18/2026 14:41,05/18/2026 15:04,XAUUSD,Sell,0.010,0.00000,0.00000,4563.41000,4548.19000,0.0000,0.0000,1522.0,15.22,0.83,"Hoko GOLD",00:00:22:30,100.0,22m,318.0,0.00,1522.0,15.22,0.0,0.0,100.0,100.0,0.00,0.00
,05/18/2026 06:35,05/18/2026 06:36,XAUUSD,Sell,0.010,0.00000,0.00000,4525.35000,4536.18000,0.0000,0.0000,-1083.0,-10.83,-0.58,"Hoko GOLD",00:00:01:05,,,,,,,,,,,,
,05/18/2026 06:35,05/18/2026 06:36,XAUUSD,Sell,0.010,0.00000,0.00000,4525.34000,4535.73000,0.0000,0.0000,-1039.0,-10.39,-0.56,"Hoko GOLD",00:00:01:05,,,,,,,,,,,,
,05/15/2026 12:50,05/15/2026 12:56,XAUUSD,Sell,0.010,0.00000,0.00000,4533.35000,4543.52000,0.0000,0.0000,-1017.0,-10.17,-0.54,"Hoko GOLD",00:00:05:47,0.0,0s,1017.0,1111.11,0.0,0.0,-1017.0,-10.17,0.0,0.0,-1017.00,-10.17
,05/15/2026 12:50,05/15/2026 12:56,XAUUSD,Sell,0.010,0.00000,0.00000,4533.05000,4543.82000,0.0000,0.0000,-1077.0,-10.77,-0.57,"Hoko GOLD",00:00:05:46,0.0,0s,1077.0,1111.11,0.0,0.0,-1077.0,-10.77,0.0,0.0,-1077.00,-10.77
,05/15/2026 08:32,05/15/2026 09:00,XAUUSD,Sell,0.010,0.00000,0.00000,4573.56000,4559.72000,0.0000,0.0000,1384.0,13.84,0.74,"Hoko GOLD",00:00:27:46,100.0,27m,882.0,0.00,1488.0,14.88,0.0,0.0,100.0,93.0,-104.00,-1.04
,05/14/2026 19:14,05/14/2026 19:22,XAUUSD,Sell,0.010,0.00000,0.00000,4678.29000,4677.72000,0.0000,0.0000,57.0,0.57,0.03,"Hoko GOLD",00:00:07:25,25.0,1m,261.0,4.21,62.0,0.62,-261.0,-2.61,19.2,98.5,-5.00,-0.05
,05/14/2026 19:04,05/14/2026 19:15,XAUUSD,Buy,0.010,0.00000,0.00000,4678.80000,4680.02000,0.0000,0.0000,122.0,1.22,0.07,"Hoko GOLD",00:00:10:59,18.2,1m,401.0,3.29,122.0,1.22,-401.0,-4.01,23.3,100.0,0.00,0.00
,05/14/2026 19:06,05/14/2026 19:09,XAUUSD,Buy,0.010,0.00000,0.00000,4677.70000,4677.81000,0.0000,0.0000,11.0,0.11,0.01,"Hoko GOLD",00:00:02:54,,,,,,,,,,,,
,05/14/2026 17:07,05/14/2026 17:08,XAUUSD,Sell,0.010,0.00000,0.00000,4683.19000,4682.29000,0.0000,0.0000,90.0,0.90,0.05,"Hoko GOLD",00:00:00:56,,,,,,,,,,,,
,05/14/2026 10:00,05/14/2026 10:35,XAUUSD,Sell,0.010,0.00000,0.00000,4698.94000,4710.91000,0.0000,0.0000,-1197.0,-11.97,-0.64,"Hoko GOLD",00:00:35:03,36.2,12m,1561.0,3.29,364.0,3.64,-1197.0,-11.97,23.3,0.0,-1561.00,-15.61
,05/14/2026 03:17,05/14/2026 04:08,XAUUSD,Sell,0.010,0.00000,0.00000,4702.99000,4687.65000,0.0000,0.0000,1534.0,15.34,0.82,"Hoko GOLD",00:00:51:46,88.3,45m,1178.0,0.14,1620.0,16.2,-226.0,-2.2600000000000002,87.8,95.3,-86.00,-0.86
,05/14/2026 02:44,05/14/2026 02:45,XAUUSD,Buy,0.010,0.00000,0.00000,4695.32000,4695.56000,0.0000,0.0000,24.0,0.24,0.01,"Hoko GOLD",00:00:00:28,,,,,,,,,,,,
,05/13/2026 20:36,05/13/2026 20:39,XAUUSD,Buy,0.010,0.00000,0.00000,4692.19000,4690.72000,0.0000,0.0000,-147.0,-1.47,-0.08,"Hoko GOLD",00:00:03:41,,,,,,,,,,,,
,05/13/2026 20:34,05/13/2026 20:37,XAUUSD,Sell,0.010,0.00000,0.00000,4694.54000,4692.54000,0.0000,0.0000,200.0,2.00,0.11,"Hoko GOLD",00:00:02:54,,,,,,,,,,,,
,05/13/2026 02:00,05/13/2026 09:08,XAUUSD,Sell,0.010,0.00000,0.00000,4716.78000,4710.30000,0.0000,0.0000,648.0,6.48,0.35,"Hoko GOLD",00:07:08:04,74.8,5h 20m,2098.0,0.32,2746.0,27.46,-879.0,-8.790000000000001,75.8,42.1,-2098.00,-20.98
,05/12/2026 18:22,05/12/2026 18:33,XAUUSD,Sell,0.010,0.00000,0.00000,4651.64000,4661.41000,0.0000,0.0000,-977.0,-9.77,-0.52,"Hoko GOLD",00:00:10:34,36.4,3m,1845.0,1.13,868.0,8.68,-977.0,-9.77,47.0,0.0,-1845.00,-18.45
,05/12/2026 18:22,05/12/2026 18:33,XAUUSD,Sell,0.010,0.00000,0.00000,4651.64000,4661.54000,0.0000,0.0000,-990.0,-9.90,-0.53,"Hoko GOLD",00:00:10:34,36.4,3m,1858.0,1.14,868.0,8.68,-990.0,-9.9,46.7,0.0,-1858.00,-18.58
,05/12/2026 17:08,,,Deposit,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,1277.44,0,"Transfer In from 25007687",00:00:00:00,,,,,,,,,,,,
,05/12/2026 08:30,05/12/2026 09:16,XAUUSD,Sell,0.010,0.00000,0.00000,4717.48000,4702.78000,0.0000,0.0000,1470.0,14.70,2.51,"Hoko GOLD",00:00:45:53,91.4,41m,616.0,0.15,1509.0,15.09,-232.0,-2.32,86.7,97.8,-39.00,-0.39
,05/11/2026 21:25,05/11/2026 21:45,XAUUSD,Buy,0.010,0.00000,0.00000,4724.32000,4725.32000,0.0000,0.0000,100.0,1.00,0.17,"Hoko GOLD",00:00:20:17,100.0,20m,396.0,0.00,485.0,4.8500000000000005,0.0,0.0,100.0,20.6,-385.00,-3.85
,05/11/2026 21:22,05/11/2026 21:25,XAUUSD,Sell,0.010,0.00000,0.00000,4722.63000,4724.16000,0.0000,0.0000,-153.0,-1.53,-0.26,"Hoko GOLD",00:00:02:49,,,,,,,,,,,,
,05/11/2026 21:23,05/11/2026 21:25,XAUUSD,Sell,0.010,0.00000,0.00000,4721.91000,4724.34000,0.0000,0.0000,-243.0,-2.43,-0.41,"Hoko GOLD",00:00:01:24,,,,,,,,,,,,
,05/11/2026 18:00,05/11/2026 18:23,XAUUSD,Sell,0.010,0.00000,0.00000,4725.55000,4736.22000,0.0000,0.0000,-1067.0,-10.67,-1.78,"Hoko GOLD",00:00:23:17,0.0,0s,1067.0,1111.11,0.0,0.0,-1067.0,-10.67,0.0,0.0,-1067.00,-10.67
,05/11/2026 07:20,05/11/2026 09:00,XAUUSD,Sell,0.010,0.00000,0.00000,4671.77000,4653.76000,0.0000,0.0000,1801.0,18.01,3.10,"Hoko GOLD",00:01:39:43,28.1,28m,997.0,0.30,2324.0,23.240000000000002,-700.0,-7.0,76.9,82.7,-523.00,-5.23
,05/11/2026 04:33,05/11/2026 04:55,XAUUSD,Sell,0.010,0.00000,0.00000,4700.70000,4685.28000,0.0000,0.0000,1542.0,15.42,2.72,"Hoko GOLD",00:00:21:50,100.0,21m,318.0,0.00,1542.0,15.42,0.0,0.0,100.0,100.0,0.00,0.00
,05/08/2026 14:04,05/08/2026 15:07,XAUUSD,Sell,0.010,0.00000,0.00000,4726.24000,4710.93000,0.0000,0.0000,1531.0,15.31,2.78,"Hoko GOLD",00:01:02:20,100.0,1h 2m,506.0,0.00,1531.0,15.31,0.0,0.0,100.0,100.0,0.00,0.00
,05/08/2026 10:37,05/08/2026 11:21,XAUUSD,Sell,0.010,0.00000,0.00000,4711.69000,4720.53000,0.0000,0.0000,-884.0,-8.84,-1.58,"Hoko GOLD",00:00:44:21,72.8,32m,1335.0,1.96,451.0,4.51,-884.0,-8.84,33.8,0.0,-1335.00,-13.35
,05/07/2026 12:17,05/07/2026 12:57,XAUUSD,Buy,0.010,0.00000,0.00000,4736.41000,4727.63000,0.0000,0.0000,-878.0,-8.78,-1.54,"Hoko GOLD",00:00:40:22,32.5,13m,1137.0,3.39,259.0,2.59,-878.0,-8.78,22.8,0.0,-1137.00,-11.37
,05/07/2026 12:17,05/07/2026 12:57,XAUUSD,Buy,0.010,0.00000,0.00000,4736.55000,4727.52000,0.0000,0.0000,-903.0,-9.03,-1.56,"Hoko GOLD",00:00:40:22,32.5,13m,1148.0,3.69,245.0,2.45,-903.0,-9.03,21.3,0.0,-1148.00,-11.48
,05/07/2026 09:29,05/07/2026 10:02,XAUUSD,Buy,0.010,0.00000,0.00000,4717.83000,4736.80000,0.0000,0.0000,1897.0,18.97,3.40,"Hoko GOLD",00:00:32:47,100.0,32m,1241.0,0.00,3127.0,31.27,0.0,0.0,100.0,60.7,-1230.00,-12.30
,05/06/2026 20:01,05/06/2026 22:15,XAUUSD,Sell,0.010,0.00000,0.00000,4681.83000,4696.75000,0.0000,0.0000,-1492.0,-14.92,-2.60,"Hoko GOLD",00:02:13:44,20.9,27m,1727.0,6.35,235.0,2.35,-1492.0,-14.92,13.6,0.0,-1727.00,-17.27
,05/05/2026 17:48,05/05/2026 17:48,XAUUSD,Sell,0.010,0.00000,0.00000,4576.67000,4578.85000,0.0000,0.0000,-218.0,-2.18,-0.38,"Hoko GOLD",00:00:00:18,,,,,,,,,,,,
,05/05/2026 15:24,05/05/2026 16:09,XAUUSD,Sell,0.010,0.00000,0.00000,4571.18000,4580.64000,0.0000,0.0000,-946.0,-9.46,-1.62,"Hoko GOLD",00:00:44:35,73.4,32m,1816.0,1.09,870.0,8.700000000000001,-946.0,-9.46,47.9,0.0,-1816.00,-18.16
,05/05/2026 14:24,05/05/2026 14:33,XAUUSD,Sell,0.010,0.00000,0.00000,4554.21000,4558.13000,0.0000,0.0000,-392.0,-3.92,-0.67,"Hoko GOLD",00:00:08:21,0.0,0s,392.0,400.00,0.0,0.0,-392.0,-3.92,0.0,0.0,-392.00,-3.92
,05/05/2026 14:15,05/05/2026 14:20,XAUUSD,Sell,0.010,0.00000,0.00000,4552.90000,4551.75000,0.0000,0.0000,115.0,1.15,0.20,"Hoko GOLD",00:00:05:46,100.0,5m,168.0,0.00,283.0,2.83,0.0,0.0,100.0,40.6,-168.00,-1.68
,05/04/2026 20:47,05/04/2026 20:51,XAUUSD,Sell,0.010,0.00000,0.00000,4525.06000,4524.32000,0.0000,0.0000,74.0,0.74,0.13,"Hoko GOLD",00:00:04:21,100.0,4m,202.0,0.00,276.0,2.7600000000000002,0.0,0.0,100.0,26.8,-202.00,-2.02
,05/04/2026 19:22,05/04/2026 19:30,XAUUSD,Sell,0.010,0.00000,0.00000,4521.97000,4517.38000,0.0000,0.0000,459.0,4.59,0.79,"Hoko GOLD",00:00:08:40,75.0,6m,332.0,0.04,791.0,7.91,-30.0,-0.3,96.3,59.6,-332.00,-3.32
,05/04/2026 17:26,05/04/2026 17:30,XAUUSD,Sell,0.010,0.00000,0.00000,4573.14000,4576.34000,0.0000,0.0000,-320.0,-3.20,-0.55,"Hoko GOLD",00:00:04:21,25.0,1m,535.0,1.49,215.0,2.15,-320.0,-3.2,40.2,0.0,-535.00,-5.35
,05/04/2026 13:03,05/04/2026 13:29,XAUUSD,Sell,0.010,0.00000,0.00000,4556.76000,4545.37000,0.0000,0.0000,1139.0,11.39,1.98,"Hoko GOLD",00:00:26:05,100.0,26m,1558.0,0.00,2697.0,26.97,0.0,0.0,100.0,42.2,-1558.00,-15.58
