Open Date,Close Date,Symbol,Action,SL,TP,Open Price,Close Price,Pips,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USC),Min(pips),Min(USC),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USC)
05/20/2026 18:50,06/01/2026 02:25,USDJPY,Buy,156.80000,160.80000,158.75000,159.37700,62.7,0.42,11:07:34:59,100.0,11d 7h ,45.4,0.01,86.8,,0.0,,100.0,72.2,-24.10,
05/19/2026 22:13,06/01/2026 02:25,GBPUSD,Buy,1.33200,1.36000,1.34026,1.34482,45.6,0.39,12:04:12:19,91.3,11d 2h ,139.1,0.32,105.3,,-33.8,,75.7,57.1,-59.70,
05/25/2026 17:59,06/01/2026 02:25,EURUSD,Buy,1.14932,1.18100,1.16432,1.16533,10.1,0.34,06:08:26:11,54.1,3d 10h ,69.3,1.61,34.8,,-55.9,,38.4,72.8,-24.70,
05/21/2026 20:51,06/01/2026 02:25,EURUSD,Sell,1.17400,1.14600,1.16265,1.16549,-28.4,-0.28,10:05:33:26,38.3,3d 22h ,90.7,1.31,39.2,,-51.5,,43.2,25.5,-67.60,
05/22/2026 18:58,06/01/2026 02:25,AUDUSD,Buy,0.70200,0.73300,0.71314,0.71811,49.7,0.46,09:07:27:04,72.0,6d 16h ,77.9,0.47,66.3,,-31.0,,68.1,82.9,-16.60,
04/28/2026 22:23,,,Withdrawal,0.00000,0.00000,0.00000,0.00000,0.0,0,00:00:00:00,,,,,,,,,,,,
04/21/2026 10:52,04/28/2026 22:22,USDJPY,Sell,0.00000,154.37500,158.90700,159.65700,-75.0,-0.03,07:11:29:51,0.0,0s,92.3,92.59,0.0,,-92.3,,0.0,18.7,-75.00,
04/17/2026 22:28,04/28/2026 22:22,USDJPY,Sell,0.00000,154.37500,158.46900,159.65800,-118.9,-0.05,10:23:53:41,0.0,0s,135.5,15.22,-8.9,,-135.5,,-7.0,13.1,-110.00,
04/16/2026 23:33,04/28/2026 22:22,USDJPY,Sell,0.00000,154.37500,159.14800,159.65900,-51.1,-0.02,11:22:48:24,35.7,4d 6h ,197.3,0.52,129.7,,-67.6,,65.7,8.4,-180.80,
04/15/2026 22:40,04/28/2026 22:21,USDJPY,Sell,0.00000,154.37500,158.97000,159.66200,-69.2,-0.03,12:23:40:58,31.4,4d 1h ,197.3,0.76,111.9,,-85.4,,56.7,8.2,-181.10,
04/14/2026 23:32,04/28/2026 22:21,USDJPY,Sell,0.00000,154.37500,158.80200,159.66200,-86.0,-1.57,13:22:49:33,21.6,3d ,197.3,1.07,95.1,,-102.2,,48.2,8.2,-181.10,
07/30/2025 23:17,04/28/2026 22:21,NZDCHF,Buy,0.00000,0.48562,0.47995,0.46437,-155.8,-0.16,271:23:04:23,2.6,7d 1h ,340.8,14.08,22.6,,-318.2,,6.6,47.7,-178.40,
10/17/2025 10:16,04/28/2026 22:21,NZDCHF,Buy,0.00000,0.48562,0.45062,0.46436,137.4,0.82,193:12:05:28,98.5,190d 14h ,141.4,0.14,177.4,,-24.9,,87.7,80.2,-40.00,
