Tags,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
,06/01/2026 03:53,06/01/2026 15:21,USDCHF,Buy,0.310,0.00000,0.00000,0.78281,0.78375,0.0000,0.0000,9.4,37.18,0.06,"Currency Strength USDCHF",999,00:11:28:27,81.7,9h 22m,13.1,0.48,16.0,63.36,-7.6,-30.096,67.8,72.0,-6.60,-26.14
,06/01/2026 03:53,06/01/2026 15:21,AUDCHF,Buy,0.310,0.00000,0.00000,0.56230,0.56200,0.0000,0.0000,-3.0,-11.86,-0.02,"Currency Strength AUDCHF",999,00:11:28:24,81.0,9h 17m,13.9,1.22,6.5,25.675,-7.9,-31.205000000000002,45.1,34.0,-9.50,-37.52
,06/01/2026 03:53,06/01/2026 15:21,GBPCHF,Buy,0.310,0.00000,0.00000,1.05278,1.05529,0.0000,0.0000,25.1,99.28,0.17,"Currency Strength GBPCHF",999,00:11:28:25,99.6,11h 25m,10.4,0.04,29.9,118.404,-1.3,-5.148,95.8,84.6,-4.80,-19.01
,06/01/2026 03:53,06/01/2026 15:21,EURCHF,Buy,0.310,0.00000,0.00000,0.91171,0.91279,0.0000,0.0000,10.8,42.71,0.07,"Currency Strength EURCHF",999,00:11:28:25,92.5,10h 36m,9.1,0.10,19.5,77.025,-1.9,-7.505,91.1,59.3,-8.70,-34.37
,06/01/2026 03:53,06/01/2026 15:21,CADCHF,Buy,0.310,0.00000,0.00000,0.56715,0.56667,0.0000,0.0000,-4.8,-18.98,-0.03,"Currency Strength CADCHF",999,00:11:28:22,14.7,1h 41m,9.6,1.64,4.5,17.775000000000002,-7.4,-29.230000000000004,37.8,21.8,-9.30,-36.74
,06/01/2026 03:53,06/01/2026 15:21,NZDCHF,Buy,0.310,0.00000,0.00000,0.46800,0.46659,0.0000,0.0000,-14.1,-55.77,-0.09,"Currency Strength NZDCHF",999,00:11:28:23,0.0,0s,14.9,14.90,0.0,0.0,-14.9,-59.004,0.0,5.4,-14.10,-55.84
,06/01/2026 07:57,,,Deposit,0.010,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,2.74,0,"Rebate",0,00:00:00:00,,,,,,,,,,,,
,05/29/2026 03:10,05/29/2026 13:53,AUDUSD,Sell,0.310,0.00000,0.00000,0.71619,0.71570,0.0000,0.0000,4.9,15.19,0.03,"Currency Strength AUDUSD",999,00:10:43:01,74.1,7h 56m,13.0,0.44,11.8,36.580000000000005,-5.2,-16.12,69.4,59.4,-6.90,-21.39
,05/29/2026 03:10,05/29/2026 13:53,EURAUD,Buy,0.310,0.00000,0.00000,1.62703,1.62670,0.0000,0.0000,-3.3,-7.32,-0.01,"Currency Strength EURAUD",999,00:10:43:00,19.0,2h 2m,30.9,5.18,5.0,11.100000000000001,-25.9,-57.498000000000005,16.2,73.1,-8.30,-18.43
,05/29/2026 03:10,05/29/2026 13:53,AUDCAD,Sell,0.310,0.00000,0.00000,0.98699,0.98830,0.0000,0.0000,-13.1,-29.40,-0.05,"Currency Strength AUDCAD",999,00:10:42:58,28.7,3h 4m,20.3,2.12,6.5,14.560000000000002,-13.8,-30.912000000000006,32.0,3.4,-19.60,-43.90
,05/29/2026 03:10,05/29/2026 13:53,AUDJPY,Sell,0.310,0.00000,0.00000,114.09800,113.99500,0.0000,0.0000,10.3,20.04,0.03,"Currency Strength AUDJPY",999,00:10:42:58,80.6,8h 38m,19.1,0.42,20.1,39.195,-8.5,-16.575,70.3,65.7,-9.80,-19.11
,05/29/2026 03:10,05/29/2026 13:53,GBPAUD,Buy,0.310,0.00000,0.00000,1.87710,1.87411,0.0000,0.0000,-29.9,-66.33,-0.11,"Currency Strength GBPAUD",999,00:10:42:59,29.4,3h 9m,40.9,3.45,9.2,20.424,-31.7,-70.37400000000001,22.5,4.4,-39.10,-86.80
,05/29/2026 03:10,05/29/2026 13:53,AUDCHF,Sell,0.310,0.00000,0.00000,0.56134,0.56051,0.0000,0.0000,8.3,32.86,0.06,"Currency Strength AUDCHF",999,00:10:42:56,73.5,7h 52m,8.7,0.45,11.0,43.56,-4.9,-19.404,69.2,83.0,-2.70,-10.69
,05/28/2026 03:54,05/28/2026 15:03,AUDUSD,Sell,0.310,0.00000,0.00000,0.71286,0.71209,0.0000,0.0000,7.7,23.87,0.04,"Currency Strength AUDUSD",999,00:11:08:30,96.2,10h 43m,28.5,0.13,30.4,94.24,-4.0,-12.4,88.4,34.0,-22.70,-70.37
,05/28/2026 03:54,05/28/2026 15:03,EURAUD,Buy,0.310,0.00000,0.00000,1.62977,1.63180,0.0000,0.0000,20.3,44.80,0.08,"Currency Strength EURAUD",999,00:11:08:30,88.5,9h 51m,34.6,0.27,28.6,63.206,-7.8,-17.238,78.6,77.2,-8.30,-18.34
,05/28/2026 03:54,05/28/2026 15:03,AUDJPY,Sell,0.310,0.00000,0.00000,113.77200,113.53600,0.0000,0.0000,23.6,45.88,0.08,"Currency Strength AUDJPY",999,00:11:08:27,98.0,10h 55m,38.8,0.07,49.7,96.418,-3.7,-7.178,93.1,51.1,-26.10,-50.63
,05/28/2026 03:54,05/28/2026 15:03,GBPAUD,Buy,0.310,0.00000,0.00000,1.88128,1.88290,0.0000,0.0000,16.2,35.76,0.06,"Currency Strength GBPAUD",999,00:11:08:28,87.2,9h 42m,31.1,0.44,24.5,54.144999999999996,-10.7,-23.647,69.6,76.4,-8.30,-18.34
,05/28/2026 03:54,05/28/2026 15:03,AUDCHF,Sell,0.310,0.00000,0.00000,0.56171,0.56178,0.0000,0.0000,-0.7,-2.75,0.00,"Currency Strength AUDCHF",999,00:11:08:25,74.3,8h 16m,15.9,0.53,10.4,40.872,-5.5,-21.615000000000002,65.4,30.2,-11.10,-43.62
,05/28/2026 03:54,05/28/2026 15:03,AUDCAD,Sell,0.310,0.00000,0.00000,0.98709,0.98608,0.0000,0.0000,10.1,22.61,0.04,"Currency Strength AUDCAD",999,00:11:08:26,91.1,10h 8m,31.9,0.18,28.8,64.51200000000001,-5.1,-11.424,85.0,44.8,-18.70,-41.89
,05/27/2026 20:13,05/27/2026 22:11,AUDUSD,Sell,0.500,0.00000,0.00000,0.71322,0.71423,0.0000,0.0000,-10.1,-50.50,-0.09,"Currency Strength AUDUSD",999,00:01:58:14,0.0,0s,10.1,10.10,0.0,0.0,-10.1,-50.5,0.0,0.0,-10.10,-50.50
,05/27/2026 20:13,05/27/2026 22:11,EURAUD,Buy,0.500,0.00000,0.00000,1.62971,1.62847,0.0000,0.0000,-12.4,-44.28,-0.07,"Currency Strength EURAUD",999,00:01:58:14,0.0,0s,12.4,12.41,0.0,0.0,-12.4,-44.268,0.0,0.0,-12.40,-44.27
,05/27/2026 20:13,05/27/2026 22:11,AUDCAD,Sell,0.500,0.00000,0.00000,0.98656,0.98771,0.0000,0.0000,-11.5,-41.57,-0.07,"Currency Strength AUDCAD",999,00:01:58:11,8.5,10m,13.1,10.92,1.1,3.971,-12.0,-43.32,8.4,3.8,-12.60,-45.49
,05/27/2026 20:13,05/27/2026 22:11,AUDJPY,Sell,0.500,0.00000,0.00000,113.79500,113.93300,0.0000,0.0000,-13.8,-43.26,-0.07,"Currency Strength AUDJPY",999,00:01:58:12,0.0,0s,13.8,13.81,0.0,0.0,-13.8,-43.194,0.0,0.0,-13.80,-43.19
,05/27/2026 20:13,05/27/2026 22:11,GBPAUD,Buy,0.500,0.00000,0.00000,1.88148,1.88046,0.0000,0.0000,-10.2,-36.42,-0.06,"Currency Strength GBPAUD",999,00:01:58:12,26.3,31m,13.0,3.64,2.8,9.995999999999999,-10.2,-36.413999999999994,21.5,0.0,-13.00,-46.41
,05/27/2026 20:13,05/27/2026 22:11,AUDCHF,Sell,0.500,0.00000,0.00000,0.56150,0.56191,0.0000,0.0000,-4.1,-26.06,-0.04,"Currency Strength AUDCHF",999,00:01:58:09,6.0,7m,4.3,20.53,0.2,1.2720000000000002,-4.1,-26.076,4.7,0.0,-4.30,-27.35
,05/27/2026 03:02,05/27/2026 13:34,GBPJPY,Buy,0.310,0.00000,0.00000,214.28000,214.20200,0.0000,0.0000,-7.8,-15.17,-0.03,"Currency Strength GBPJPY",999,00:10:31:31,35.3,3h 42m,24.5,1.08,11.8,22.892,-12.7,-24.637999999999998,48.2,20.0,-19.60,-38.02
,05/27/2026 03:02,05/27/2026 13:34,GBPUSD,Buy,0.310,0.00000,0.00000,1.34575,1.34396,0.0000,0.0000,-17.9,-55.49,-0.09,"Currency Strength GBPUSD",999,00:10:31:31,0.2,1m,20.6,68.03,0.3,0.9299999999999999,-20.3,-62.93000000000001,1.5,11.7,-18.20,-56.42
,05/27/2026 03:02,05/27/2026 13:34,GBPCAD,Buy,0.310,0.00000,0.00000,1.85814,1.85873,0.0000,0.0000,5.9,13.22,0.02,"Currency Strength GBPCAD",999,00:10:31:28,43.7,4h 35m,15.9,0.58,15.9,35.61600000000001,-9.2,-20.608,63.3,60.2,-10.00,-22.40
,05/27/2026 03:02,05/27/2026 13:34,GBPAUD,Buy,0.310,0.00000,0.00000,1.87649,1.88220,0.0000,0.0000,57.1,126.37,0.21,"Currency Strength GBPAUD",999,00:10:31:28,87.7,9h 13m,28.6,0.27,80.5,177.905,-22.1,-48.841,78.5,77.2,-23.40,-51.71
,05/27/2026 03:02,05/27/2026 13:34,GBPCHF,Buy,0.310,0.00000,0.00000,1.05653,1.05641,0.0000,0.0000,-1.2,-4.73,-0.01,"Currency Strength GBPCHF",999,00:10:31:29,23.9,2h 30m,15.4,1.90,7.1,27.973999999999997,-13.5,-53.19,34.5,59.7,-8.30,-32.70
,05/27/2026 03:02,05/27/2026 13:34,GBPNZD,Buy,0.310,0.00000,0.00000,2.30308,2.28539,0.0000,0.0000,-176.9,-322.48,-0.54,"Currency Strength GBPNZD",999,00:10:31:26,0.7,4m,189.2,45.25,4.1,7.462,-185.1,-336.882,2.2,4.3,-181.00,-329.42
,05/26/2026 02:07,05/26/2026 15:41,USDCHF,Buy,0.310,0.00000,0.00000,0.78287,0.78514,0.0000,0.0000,22.7,89.63,0.15,"Currency Strength USDCHF",999,00:13:34:06,97.7,13h 15m,10.9,0.05,25.6,101.12,-1.4,-5.53,94.8,89.3,-2.90,-11.46
,05/26/2026 02:07,05/26/2026 15:41,GBPCHF,Buy,0.310,0.00000,0.00000,1.05726,1.05759,0.0000,0.0000,3.3,13.03,0.02,"Currency Strength GBPCHF",999,00:13:34:04,26.0,3h 31m,13.5,1.47,9.2,36.339999999999996,-13.5,-53.325,40.5,74.0,-5.90,-23.30
