Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
06/02/2026 18:30,06/03/2026 02:03,NAS100,Buy,0.010,30656.10000,30805.60000,30641.00000,30656.00000,0.0000,0.0000,15.0,1.54,0.26,"MTL-8315M0FF buy-main",00:07:33:53,,,,,,,,,,,,
06/01/2026 18:30,06/01/2026 22:31,NAS100,Buy,0.010,30581.90000,30705.50000,30451.00000,30582.00000,0.0000,0.0000,131.0,13.03,2.22,"MTL-8315M0FF buy-main",00:04:01:30,,,,,,,,,,,,
05/29/2026 18:30,05/29/2026 20:59,NAS100,Buy,0.010,30260.90000,30510.90000,30357.00000,30261.00000,0.0000,0.0000,-96.0,-9.57,-1.60,"MTL-8315M0FF buy-main",00:02:29:05,,,,,,,,,,,,
05/28/2026 18:30,05/29/2026 03:03,NAS100,Buy,0.010,30240.70000,30389.40000,30224.00000,30241.00000,0.0000,0.0000,17.0,1.63,0.27,"MTL-8315M0FF buy-main",00:08:33:21,,,,,,,,,,,,
05/27/2026 18:30,05/27/2026 19:50,NAS100,Sell,0.010,30008.20000,29758.20000,29908.00000,30008.00000,0.0000,0.0000,-100.0,-10.02,-1.66,"MTL-8315M0FF sell-main",00:01:20:04,,,,,,,,,,,,
05/26/2026 18:30,05/26/2026 18:54,NAS100,Buy,0.010,29855.70000,30105.70000,29956.00000,29855.00000,0.0000,0.0000,-101.0,-10.04,-1.63,"MTL-8315M0FF buy-main",00:00:24:44,,,,,,,,,,,,
05/25/2026 18:30,05/26/2026 03:06,NAS100,Buy,0.010,29786.80000,30036.80000,29887.00000,29786.00000,0.0000,0.0000,-101.0,-10.11,-1.62,"MTL-8315M0FF buy-main",00:08:36:56,,,,,,,,,,,,
05/22/2026 18:30,05/22/2026 22:02,NAS100,Buy,0.010,29555.50000,29805.50000,29655.00000,29553.00000,0.0000,0.0000,-102.0,-10.18,-1.60,"MTL-8315M0FF buy-main",00:03:32:59,,,,,,,,,,,,
05/21/2026 18:30,05/21/2026 20:23,NAS100,Buy,0.010,29345.70000,29477.30000,29177.00000,29344.00000,0.0000,0.0000,167.0,16.70,2.70,"MTL-8315M0FF buy-main",00:01:53:20,,,,,,,,,,,,
05/20/2026 18:30,05/20/2026 23:33,NAS100,Buy,0.010,29251.90000,29401.40000,29236.00000,29251.00000,0.0000,0.0000,15.0,1.46,0.24,"MTL-8315M0FF buy-main",00:05:03:48,,,,,,,,,,,,
05/19/2026 18:30,05/19/2026 18:42,NAS100,Sell,0.010,28806.70000,28556.70000,28704.00000,28807.00000,0.0000,0.0000,-103.0,-10.35,-1.65,"MTL-8315M0FF sell-main[sl]",00:00:12:15,,,,,,,,,,,,
05/18/2026 18:30,05/18/2026 18:37,NAS100,Sell,0.010,28995.60000,28745.60000,28894.00000,28997.00000,0.0000,0.0000,-103.0,-10.24,-1.61,"MTL-8315M0FF sell-main[sl]",00:00:07:58,,,,,,,,,,,,
05/15/2026 18:30,05/15/2026 18:59,NAS100,Sell,0.010,29214.30000,29065.90000,29262.00000,29214.00000,0.0000,0.0000,48.0,4.73,0.75,"MTL-8315M0FF sell-main[sl]",00:00:29:25,,,,,,,,,,,,
05/14/2026 18:30,05/14/2026 20:14,NAS100,Buy,0.010,29585.70000,29835.70000,29686.00000,29585.00000,0.0000,0.0000,-101.0,-10.05,-1.56,"MTL-8315M0FF buy-main",00:01:44:47,,,,,,,,,,,,
05/13/2026 18:30,05/13/2026 21:58,NAS100,Buy,0.010,29407.10000,29553.90000,29239.00000,29407.00000,0.0000,0.0000,168.0,16.82,2.69,"MTL-8315M0FF buy-main",00:03:28:57,,,,,,,,,,,,
05/12/2026 18:30,05/12/2026 20:06,NAS100,Sell,0.010,28749.50000,28600.30000,28795.00000,28750.00000,0.0000,0.0000,45.0,4.58,0.74,"MTL-8315M0FF sell-main",00:01:36:47,,,,,,,,,,,,
05/11/2026 18:30,05/11/2026 23:11,NAS100,Buy,0.010,29247.40000,29497.40000,29347.00000,29247.00000,0.0000,0.0000,-100.0,-10.01,-1.58,"MTL-8315M0FF buy-main",00:04:41:53,,,,,,,,,,,,
05/08/2026 18:30,05/11/2026 01:00,NAS100,Buy,0.010,29221.10000,29367.00000,29097.00000,29204.00000,0.0000,0.0000,107.0,10.68,1.72,"MTL-8315M0FF buy-main",02:06:30:00,,,,,,,,,,,,
05/07/2026 18:30,05/07/2026 19:00,NAS100,Buy,0.010,28669.20000,28919.20000,28769.00000,28669.00000,0.0000,0.0000,-100.0,-10.04,-1.59,"MTL-8315M0FF buy-main[sl]",00:00:30:17,,,,,,,,,,,,
05/06/2026 18:30,05/06/2026 23:45,NAS100,Buy,0.010,28627.60000,28774.50000,28490.00000,28627.00000,0.0000,0.0000,137.0,13.78,2.23,"MTL-8315M0FF buy-main",00:05:15:25,,,,,,,,,,,,
05/05/2026 18:30,05/06/2026 01:53,NAS100,Buy,0.010,28246.10000,28338.10000,28038.00000,28245.00000,0.0000,0.0000,207.0,20.68,3.47,"MTL-8315M0FF buy-main",00:07:23:13,,,,,,,,,,,,
05/04/2026 18:30,05/04/2026 19:07,NAS100,Buy,0.010,27582.40000,27832.40000,27682.00000,27579.00000,0.0000,0.0000,-103.0,-10.33,-1.70,"MTL-8315M0FF buy-main",00:00:37:53,,,,,,,,,,,,
05/01/2026 18:30,05/01/2026 23:57,NAS100,Buy,0.010,27663.70000,27913.70000,27764.00000,27661.00000,0.0000,0.0000,-103.0,-10.27,-1.66,"MTL-8315M0FF buy-main",00:05:27:56,,,,,,,,,,,,
04/30/2026 18:30,05/01/2026 01:57,NAS100,Buy,0.010,27461.10000,27588.30000,27306.00000,27460.00000,0.0000,0.0000,154.0,15.48,2.57,"MTL-8315M0FF buy-main",00:07:27:28,,,,,,,,,,,,
04/29/2026 18:30,04/29/2026 19:31,NAS100,Buy,0.010,27075.30000,27325.30000,27176.00000,27075.00000,0.0000,0.0000,-101.0,-10.08,-1.65,"MTL-8315M0FF buy-main[sl]",00:01:01:00,,,,,,,,,,,,
04/28/2026 18:30,04/28/2026 20:57,NAS100,Sell,0.010,27041.00000,26791.00000,26941.00000,27041.00000,0.0000,0.0000,-100.0,-10.01,-1.61,"MTL-8315M0FF sell-main",00:02:27:13,,,,,,,,,,,,
04/27/2026 18:30,04/28/2026 04:50,NAS100,Buy,0.010,27334.60000,27479.90000,27240.00000,27331.00000,0.0000,0.0000,91.0,9.14,1.49,"MTL-8315M0FF buy-main",00:10:20:30,,,,,,,,,,,,
04/24/2026 18:30,04/27/2026 01:03,NAS100,Buy,0.010,27265.20000,27394.80000,27215.00000,27265.00000,0.0000,0.0000,50.0,4.97,0.82,"MTL-8315M0FF buy-main",02:06:33:22,,,,,,,,,,,,
04/23/2026 18:30,04/23/2026 20:01,NAS100,Buy,0.010,26918.00000,27168.00000,27018.00000,26918.00000,0.0000,0.0000,-100.0,-10.00,-1.62,"MTL-8315M0FF buy-main",00:01:31:46,,,,,,,,,,,,
04/22/2026 18:30,04/23/2026 03:09,NAS100,Buy,0.010,26940.50000,27085.20000,26876.00000,26941.00000,0.0000,0.0000,65.0,6.44,1.05,"MTL-8315M0FF buy-main",00:08:39:44,,,,,,,,,,,,
04/21/2026 18:30,04/21/2026 20:34,NAS100,Sell,0.010,26554.00000,26406.60000,26602.00000,26555.00000,0.0000,0.0000,47.0,4.69,0.77,"MTL-8315M0FF sell-main",00:02:04:23,,,,,,,,,,,,
04/20/2026 18:30,04/21/2026 15:43,NAS100,Buy,0.010,26702.60000,26848.80000,26580.00000,26702.00000,0.0000,0.0000,122.0,12.29,2.07,"MTL-8315M0FF buy-main",00:21:13:55,,,,,,,,,,,,
04/17/2026 18:30,04/17/2026 20:24,NAS100,Buy,0.010,26615.40000,26865.40000,26715.00000,26615.00000,0.0000,0.0000,-100.0,-10.03,-1.66,"MTL-8315M0FF buy-main",00:01:54:38,,,,,,,,,,,,
04/16/2026 18:30,04/16/2026 19:33,NAS100,Buy,0.010,26359.30000,26508.40000,26328.00000,26359.00000,0.0000,0.0000,31.0,3.09,0.51,"MTL-8315M0FF buy-main",00:01:03:05,,,,,,,,,,,,
04/15/2026 18:30,04/16/2026 13:33,NAS100,Buy,0.010,26276.90000,26421.10000,26061.00000,26276.00000,0.0000,0.0000,215.0,21.52,3.71,"MTL-8315M0FF buy-main",00:19:03:50,,,,,,,,,,,,
04/14/2026 18:30,04/14/2026 21:21,NAS100,Buy,0.010,25760.10000,25909.20000,25699.00000,25760.00000,0.0000,0.0000,61.0,6.09,1.06,"MTL-8315M0FF buy-main",00:02:51:24,,,,,,,,,,,,
04/13/2026 18:30,04/13/2026 19:42,NAS100,Buy,0.010,25208.60000,25355.70000,25176.00000,25207.00000,0.0000,0.0000,31.0,3.13,0.55,"MTL-8315M0FF buy-main",00:01:12:37,,,,,,,,,,,,
