Tags,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
,06/02/2026 15:54,06/02/2026 17:00,XAUUSD,Buy,0.010,4499.58000,0.00000,4517.28000,4496.91000,-0.0500,0.0000,-2037.0,-20.42,-1.02,"{3908204}                      ",99,00:01:06:01,9.0,5m,2475.0,4.65,438.0,4.38,-2037.0,-20.37,17.7,0.0,-2475.00,-24.75
,06/02/2026 11:49,06/02/2026 16:21,XAUUSD,Buy,0.010,4511.36000,0.00000,4528.46000,4511.36000,-0.0500,0.0000,-1710.0,-17.15,-0.85,"{3904426}                      ",99,00:04:32:55,42.2,1h 55m,2404.0,2.87,622.0,6.22,-1782.0,-17.82,25.9,3.0,-2332.00,-23.32
,06/02/2026 10:31,06/02/2026 15:53,XAUUSD,Buy,0.010,4516.46000,0.00000,4533.04000,4516.21000,-0.0500,0.0000,-1683.0,-16.88,-0.83,"{3903233}                      ",99,00:05:22:24,15.8,50m,2108.0,3.96,425.0,4.25,-1683.0,-16.830000000000002,20.2,0.0,-2108.00,-21.08
,06/02/2026 08:37,06/02/2026 09:23,XAUUSD,Buy,0.010,4509.75000,0.00000,4527.31000,4530.23000,-0.0500,0.0000,292.0,2.87,0.14,"{3901679}                      ",99,00:00:46:01,8.6,3m,1055.0,3.54,298.0,2.98,-1055.0,-10.55,22.0,99.6,-6.00,-0.06
,06/02/2026 08:51,06/02/2026 09:23,XAUUSD,Buy,0.010,4503.87000,0.00000,4521.57000,4530.45000,-0.0500,0.0000,888.0,8.83,0.44,"{3901768}                      ",99,00:00:32:00,34.4,11m,590.0,0.54,888.0,8.88,-481.0,-4.8100000000000005,64.9,100.0,0.00,0.00
,06/02/2026 07:51,06/02/2026 08:16,XAUUSD,Buy,0.010,4512.68000,0.00000,4514.02000,4518.58000,-0.0500,0.0000,456.0,4.51,0.22,"{3901268}                      ",99,00:00:25:00,80.0,20m,246.0,0.40,463.0,4.63,-187.0,-1.87,71.2,98.9,-7.00,-0.07
,06/02/2026 07:18,06/02/2026 07:26,XAUUSD,Buy,0.010,4504.33000,0.00000,4508.57000,4504.46000,-0.0500,0.0000,-411.0,-4.16,-0.21,"{3901072}                      ",99,00:00:08:16,0.0,0s,411.0,416.67,0.0,0.0,-411.0,-4.11,0.0,0.0,-411.00,-4.11
,06/02/2026 06:18,06/02/2026 06:29,XAUUSD,Buy,0.010,4473.16000,0.00000,4490.35000,4494.89000,-0.0500,0.0000,454.0,4.49,0.22,"{3900831}                      ",99,00:00:11:00,45.5,5m,391.0,0.76,514.0,5.14,-391.0,-3.91,56.8,93.4,-60.00,-0.60
,06/01/2026 03:02,,,Deposit,0.010,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,214.45,0,"APF06.26TRFfr3107389N0",0,00:00:00:00,,,,,,,,,,,,
,05/28/2026 09:09,05/28/2026 09:21,XAUUSD,Buy,0.010,4362.49000,0.00000,4379.82000,4382.08000,-0.0500,0.0000,226.0,2.21,0.12,"{3844124}                      ",99,00:00:12:01,38.5,4m,555.0,2.24,226.0,2.2600000000000002,-507.0,-5.07,30.8,100.0,0.00,0.00
