Open Date,Close Date,Symbol,Action,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USC),Min(pips),Min(USC),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USC)
06/02/2026 08:30,06/02/2026 16:00,XAUUSD,Buy,4524.94000,4517.21000,-0.4800,0.0000,-773.0,-62.32,-1.45,00:07:29:30,53.6,4h 0m,4280.0,3.39,974.0,77.92,-3306.0,-264.48,22.8,59.2,-1747.00,-139.76
05/29/2026 18:05,05/29/2026 18:48,XAUUSD,Buy,4580.39000,4558.44000,-0.2400,0.0000,-2195.0,-88.04,-2.01,00:00:43:46,0.0,0s,2195.0,2500.00,0.0,0.0,-2195.0,-87.8,0.0,0.0,-2195.00,-87.80
05/29/2026 18:05,05/29/2026 18:27,XAUUSD,Buy,4580.46000,4579.33000,-0.2400,0.0000,-113.0,-4.76,-0.11,00:00:22:15,0.0,0s,113.0,113.64,0.0,0.0,-113.0,-4.5200000000000005,0.0,0.0,-113.00,-4.52
05/29/2026 18:04,05/29/2026 18:11,XAUUSD,Buy,4578.38000,4593.93000,-0.2400,0.0000,1555.0,61.96,1.43,00:00:06:18,14.3,54s,0.0,0.00,1555.0,62.2,0.0,0.0,100.0,100.0,0.00,0.00
05/29/2026 18:04,05/29/2026 18:11,XAUUSD,Buy,4578.38000,4593.03000,-0.2400,0.0000,1465.0,58.36,1.37,00:00:06:17,14.3,53s,0.0,0.00,1465.0,58.6,0.0,0.0,100.0,100.0,0.00,0.00
05/28/2026 17:14,05/28/2026 22:30,XAUUSD,Buy,4466.38000,4500.83000,-0.2400,0.0000,3445.0,137.56,3.33,00:05:15:19,100.0,5h 15m,1970.0,0.00,4685.0,187.4,0.0,0.0,100.0,73.5,-1240.00,-49.60
05/27/2026 13:46,05/27/2026 13:53,XAUUSD,Sell,4457.70000,4446.30000,-0.2400,0.0000,1140.0,45.36,1.11,00:00:06:57,100.0,6m,2610.0,0.00,3750.0,150.0,0.0,0.0,100.0,30.4,-2610.00,-104.40
05/27/2026 13:46,05/27/2026 13:53,XAUUSD,Sell,4458.09000,4446.24000,-0.2400,0.0000,1185.0,47.16,1.17,00:00:06:58,100.0,6m,2604.0,0.00,3789.0,151.56,0.0,0.0,100.0,31.3,-2604.00,-104.16
05/27/2026 13:46,05/27/2026 13:53,XAUUSD,Sell,4456.18000,4447.39000,-0.2400,0.0000,879.0,34.92,0.87,00:00:06:52,100.0,6m,2719.0,0.00,3598.0,143.92000000000002,0.0,0.0,100.0,24.4,-2719.00,-108.76
05/27/2026 13:46,05/27/2026 13:53,XAUUSD,Sell,4456.18000,4447.80000,-0.2400,0.0000,838.0,33.28,0.84,00:00:06:51,100.0,6m,2760.0,0.00,3598.0,143.92000000000002,0.0,0.0,100.0,23.3,-2760.00,-110.40
05/27/2026 13:46,05/27/2026 13:53,XAUUSD,Sell,4455.56000,4447.43000,-0.2400,0.0000,813.0,32.28,0.82,00:00:06:51,100.0,6m,2723.0,0.00,3536.0,141.44,0.0,0.0,100.0,23.0,-2723.00,-108.92
05/27/2026 13:46,05/27/2026 13:53,XAUUSD,Sell,4456.18000,4447.72000,-0.2400,0.0000,846.0,33.60,0.86,00:00:06:48,100.0,6m,2752.0,0.00,3598.0,143.92000000000002,0.0,0.0,100.0,23.5,-2752.00,-110.08
05/27/2026 13:46,05/27/2026 13:53,XAUUSD,Sell,4457.70000,4447.67000,-0.2400,0.0000,1003.0,39.88,1.03,00:00:06:51,100.0,6m,2747.0,0.00,3750.0,150.0,0.0,0.0,100.0,26.7,-2747.00,-109.88
05/27/2026 13:30,05/27/2026 13:53,XAUUSD,Sell,4475.86000,4447.39000,-0.2400,0.0000,2847.0,113.64,3.03,00:00:22:47,100.0,22m,3201.0,0.00,6048.0,241.92000000000002,0.0,0.0,100.0,47.1,-3201.00,-128.04
05/27/2026 13:46,05/27/2026 13:46,XAUUSD,Sell,4454.48000,4457.35000,-0.1800,0.0000,-287.0,-8.79,-0.23,00:00:00:28,,,,,,,,,,,,
05/26/2026 02:18,05/26/2026 04:37,XAUUSD,Buy,4580.02000,4534.00000,-0.2400,0.0000,-4602.0,-184.32,-4.67,00:02:19:17,0.0,0s,5394.0,10000.00,0.0,0.0,-5394.0,-215.76,0.0,14.7,-4602.00,-184.08
05/26/2026 02:10,05/26/2026 03:18,XAUUSD,Buy,4577.95000,4543.08000,-0.0600,0.0000,-3487.0,-34.93,-0.88,00:01:08:20,0.0,0s,4579.0,5000.00,0.0,0.0,-4579.0,-45.79,0.0,23.8,-3487.00,-34.87
05/25/2026 02:02,05/25/2026 02:58,XAUUSD,Buy,4568.54000,4569.87000,-0.0600,0.0000,133.0,1.27,0.03,00:00:56:04,3.6,2m,930.0,6.99,133.0,1.33,-930.0,-9.3,12.5,100.0,0.00,0.00
05/25/2026 02:00,05/25/2026 02:58,XAUUSD,Buy,4568.58000,4569.58000,-0.0600,0.0000,100.0,0.94,0.02,00:00:58:18,3.5,2m,934.0,9.35,100.0,1.0,-934.0,-9.34,9.7,100.0,0.00,0.00
05/25/2026 02:07,05/25/2026 02:56,XAUUSD,Buy,4571.90000,4572.47000,-0.0600,0.0000,57.0,0.51,0.01,00:00:49:41,2.1,1m,1266.0,22.22,57.0,0.5700000000000001,-1266.0,-12.66,4.3,100.0,0.00,0.00
05/22/2026 17:00,05/22/2026 22:30,XAUUSD,Sell,4508.14000,4506.90000,-0.2400,0.0000,124.0,4.72,0.12,00:05:29:29,21.0,1h 9m,1726.0,4.95,349.0,13.96,-1726.0,-69.04,16.8,89.2,-225.00,-9.00
05/21/2026 13:27,05/21/2026 20:52,XAUUSD,Sell,4513.61000,4556.91000,-0.2400,0.0000,-4330.0,-173.44,-4.18,00:07:24:59,33.1,2h 27m,6629.0,1.88,2299.0,91.96000000000001,-4330.0,-173.20000000000002,34.7,0.0,-6629.00,-265.16
05/21/2026 04:15,05/21/2026 04:20,XAUUSD,Sell,4560.43000,4559.85000,-0.2400,0.0000,58.0,2.08,0.05,00:00:05:00,100.0,5m,2514.0,0.00,2572.0,102.88,0.0,0.0,100.0,2.3,-2514.00,-100.56
05/20/2026 17:22,05/20/2026 18:03,XAUUSD,Buy,4510.45000,4531.70000,-0.2400,0.0000,2125.0,84.76,2.09,00:00:40:57,100.0,40m,552.0,0.00,2560.0,102.4,0.0,0.0,100.0,83.0,-435.00,-17.40
