Open Date,Close Date,Symbol,Action,Units/Lots,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
05/11/2026 16:00,,,Withdrawal,0.010,0.00000,0.00000,0.0000,0.0000,0.0,-155.29,0,00:00:00:00,,,,,,,,,,,,
05/11/2026 07:00,05/11/2026 15:22,XAUUSD,Buy,0.100,4679.49000,4685.08000,0.0000,0.0000,559.0,55.90,0.55,00:08:22:41,0.8,4m,3096.0,5.27,588.0,58.800000000000004,-3096.0,-309.6,16.0,99.2,-29.00,-2.90
05/11/2026 08:16,,,Withdrawal,0.010,0.00000,0.00000,0.0000,0.0000,0.0,-178.30,0,00:00:00:00,,,,,,,,,,,,
05/11/2026 01:08,05/11/2026 01:10,XAUUSD,Buy,0.100,4683.60000,4688.70000,0.0000,0.0000,510.0,51.00,0.50,00:00:01:55,,,,,,,,,,,,
05/11/2026 00:02,,,Deposit,0.010,0.00000,0.00000,0.0000,0.0000,0.0,102.79,0,00:00:00:00,,,,,,,,,,,,
05/08/2026 10:04,05/08/2026 13:39,XAUUSD,Buy,0.100,4723.72000,4727.61000,0.0000,0.0000,389.0,38.90,0.39,00:03:35:03,2.8,6m,2363.0,6.05,389.0,38.900000000000006,-2354.0,-235.4,14.2,100.0,0.00,0.00
05/05/2026 08:13,05/05/2026 08:34,XAUUSD,Buy,0.100,4541.62000,4546.25000,0.0000,0.0000,463.0,46.30,0.46,00:00:21:01,19.1,4m,534.0,0.95,563.0,56.300000000000004,-534.0,-53.400000000000006,51.3,90.9,-100.00,-10.00
05/04/2026 11:00,05/04/2026 12:14,XAUUSD,Buy,0.100,4578.24000,4582.11000,0.0000,0.0000,387.0,38.70,0.39,00:01:13:20,46.0,33m,524.0,0.56,577.0,57.7,-324.0,-32.4,64.0,78.9,-190.00,-19.00
05/04/2026 08:13,,,Withdrawal,0.010,0.00000,0.00000,0.0000,0.0000,0.0,-111.22,0,00:00:00:00,,,,,,,,,,,,
05/04/2026 00:07,,,Deposit,0.010,0.00000,0.00000,0.0000,0.0000,0.0,111.22,0,00:00:00:00,,,,,,,,,,,,
04/29/2026 08:45,,,Withdrawal,0.010,0.00000,0.00000,0.0000,0.0000,0.0,-139.10,0,00:00:00:00,,,,,,,,,,,,
04/28/2026 08:43,04/28/2026 09:05,XAUUSD,Buy,0.100,4628.88000,4635.72000,0.0000,0.0000,684.0,68.40,0.68,00:00:21:32,63.7,13m,804.0,0.56,858.0,85.80000000000001,-482.0,-48.2,64.0,87.0,-174.00,-17.40
04/27/2026 17:10,04/27/2026 17:12,XAUUSD,Buy,0.100,4689.16000,4692.65000,0.0000,0.0000,349.0,34.90,0.35,00:00:01:41,,,,,,,,,,,,
04/27/2026 16:03,04/27/2026 16:16,XAUUSD,Buy,0.100,4696.22000,4699.80000,0.0000,0.0000,358.0,35.80,0.36,00:00:13:15,46.2,6m,233.0,0.46,424.0,42.400000000000006,-196.0,-19.6,68.4,89.4,-66.00,-6.60
04/23/2026 15:43,,,Withdrawal,0.010,0.00000,0.00000,0.0000,0.0000,0.0,-196.31,0,00:00:00:00,,,,,,,,,,,,
04/23/2026 11:32,04/23/2026 15:00,XAUUSD,Buy,0.100,4712.28000,4721.00000,0.0000,0.0000,872.0,87.20,0.86,00:03:27:27,4.9,10m,2697.0,3.09,872.0,87.2,-2697.0,-269.7,24.4,100.0,0.00,0.00
04/22/2026 09:18,04/22/2026 09:29,XAUUSD,Buy,0.100,4761.34000,4767.00000,0.0000,0.0000,566.0,56.60,0.56,00:00:11:35,100.0,11m,116.0,0.00,595.0,59.5,0.0,0.0,100.0,95.1,-29.00,-2.90
04/20/2026 12:30,04/20/2026 12:47,XAUUSD,Buy,0.100,4789.90000,4795.15000,0.0000,0.0000,525.0,52.50,0.52,00:00:16:36,41.2,6m,461.0,0.84,550.0,55.0,-461.0,-46.1,54.4,97.5,-25.00,-2.50
04/20/2026 09:55,,,Withdrawal,0.010,0.00000,0.00000,0.0000,0.0000,0.0,-263.70,0,00:00:00:00,,,,,,,,,,,,
04/17/2026 09:43,04/17/2026 10:09,XAUUSD,Buy,0.100,4786.04000,4790.40000,0.0000,0.0000,436.0,43.60,0.43,00:00:25:16,53.9,13m,217.0,0.40,436.0,43.6,-175.0,-17.5,71.4,100.0,0.00,0.00
04/16/2026 16:55,04/16/2026 16:56,XAUUSD,Buy,0.100,4790.13000,4796.68000,0.0000,0.0000,655.0,65.50,0.65,00:00:00:44,,,,,,,,,,,,
04/16/2026 11:27,04/16/2026 14:00,XAUUSD,Buy,0.100,4811.57000,4817.25000,0.0000,0.0000,568.0,56.80,0.56,00:02:33:01,48.4,1h 14m,1210.0,0.93,627.0,62.7,-583.0,-58.300000000000004,51.8,95.1,-59.00,-5.90
