Tags,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
,06/02/2026 09:21,06/02/2026 09:21,XAUUSD,Buy,0.010,0.00000,0.00000,4524.95000,4528.08000,-0.0800,0.0000,313.0,3.05,0.57,"",0,00:00:00:28,,,,,,,,,,,,
,06/02/2026 05:04,06/02/2026 05:15,XAUUSD,Sell,0.010,4481.13000,0.00000,4475.28000,4481.38000,-0.0800,0.0000,-610.0,-6.18,-1.13,"GoldCraft EA - GCEA[sl 4481.13]",123456,00:00:11:10,0.0,0s,4337.0,5000.00,0.0,0.0,-4337.0,-43.37,0.0,85.9,-610.00,-6.10
,06/01/2026 03:05,06/01/2026 03:34,XAUUSD,Buy,0.010,4537.49000,0.00000,4545.16000,4536.55000,-0.0800,0.0000,-861.0,-8.69,-1.57,"GoldCraft EA - GCEA[sl 4537.49]",123456,00:00:29:02,0.0,0s,2859.0,3333.33,0.0,0.0,-2859.0,-28.59,0.0,69.9,-861.00,-8.61
,06/01/2026 02:42,06/01/2026 03:00,XAUUSD,Buy,0.010,4538.63000,0.00000,4542.60000,4538.09000,-0.0800,0.0000,-451.0,-4.59,-0.82,"GoldCraft EA - GCEA[sl 4538.63]",123456,00:00:18:05,0.0,0s,2116.0,2500.00,0.0,0.0,-2116.0,-21.16,0.0,78.7,-451.00,-4.51
,05/30/2026 02:34,,,Deposit,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,27.25,0,"Transfer In from 27861097",0,00:00:00:00,,,,,,,,,,,,
,05/29/2026 19:59,05/29/2026 20:30,XAUUSD,Buy,0.010,4560.91000,0.00000,4567.35000,4560.91000,-0.0800,0.0000,-644.0,-6.52,-1.21,"GoldCraft EA - GCEA[sl 4560.91]",123456,00:00:31:38,0.0,0s,2539.0,3333.33,0.0,0.0,-2539.0,-25.39,0.0,74.6,-644.00,-6.44
,05/29/2026 14:00,05/29/2026 14:06,XAUUSD,Buy,0.010,4535.43000,0.00000,4538.69000,4535.04000,-0.0800,0.0000,-365.0,-3.73,-0.69,"GoldCraft EA - GCEA[sl 4535.43]",123456,00:00:06:25,85.8,5m,1526.0,0.31,1161.0,11.61,-365.0,-3.65,76.1,0.0,-1526.00,-15.26
,05/29/2026 12:29,05/29/2026 13:35,XAUUSD,Buy,0.010,0.00000,0.00000,4528.74000,4538.80000,-0.0800,0.0000,1006.0,9.98,1.88,"GoldCraft EA - GCEA",123456,00:01:06:26,6.0,3m,1534.0,1.52,1006.0,10.06,-1534.0,-15.34,39.6,100.0,0.00,0.00
,05/29/2026 11:37,,,Deposit,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,12.68,0,"Transfer In from 27861097",0,00:00:00:00,,,,,,,,,,,,
,05/29/2026 10:08,05/29/2026 10:12,XAUUSD,Buy,0.010,4518.06000,0.00000,4520.64000,4518.06000,-0.0800,0.0000,-258.0,-2.66,-0.51,"GoldCraft EA - GCEA[sl 4518.06]",123456,00:00:04:22,80.0,3m,1055.0,0.32,797.0,7.97,-258.0,-2.58,75.5,0.0,-1055.00,-10.55
,05/28/2026 17:13,05/28/2026 17:15,XAUUSD,Sell,0.010,0.00000,0.00000,4458.30000,4458.28000,-0.0800,0.0000,2.0,-0.06,-0.01,"",0,00:00:02:21,,,,,,,,,,,,
,05/28/2026 09:44,05/28/2026 10:00,XAUUSD,Sell,0.010,4385.50000,0.00000,4381.15000,4385.50000,-0.0800,0.0000,-435.0,-4.43,-0.84,"GoldCraft EA - GCEA[sl 4385.50]",123456,00:00:16:03,0.0,0s,1405.0,1428.57,0.0,0.0,-1405.0,-14.05,0.0,69.0,-435.00,-4.35
,05/28/2026 09:30,05/28/2026 09:32,XAUUSD,Sell,0.010,4384.87000,0.00000,4380.44000,4385.10000,-0.0800,0.0000,-466.0,-4.74,-0.89,"GoldCraft EA - GCEA[sl 4384.87]",123456,00:00:02:42,,,,,,,,,,,,
,05/28/2026 09:22,05/28/2026 09:22,XAUUSD,Sell,0.010,4382.48000,0.00000,4381.72000,4382.48000,-0.0800,0.0000,-76.0,-0.84,-0.16,"GoldCraft EA - GCEA[sl 4382.48]",123456,00:00:00:15,,,,,,,,,,,,
,05/28/2026 07:15,05/28/2026 08:30,XAUUSD,Sell,0.010,4382.10000,0.00000,4376.44000,4382.32000,-0.0800,0.0000,-588.0,-5.96,-1.11,"GoldCraft EA - GCEA[sl 4382.10]",123456,00:01:15:38,0.0,0s,1863.0,2000.00,0.0,0.0,-1863.0,-18.63,0.0,68.4,-588.00,-5.88
,05/28/2026 07:50,05/28/2026 08:11,XAUUSD,Sell,0.010,4375.20000,0.00000,4369.87000,4375.20000,-0.0800,0.0000,-533.0,-5.41,-1.00,"GoldCraft EA - GCEA[sl 4375.20]",123456,00:00:21:45,0.0,0s,2361.0,2500.00,0.0,0.0,-2361.0,-23.61,0.0,77.4,-533.00,-5.33
,05/28/2026 08:02,05/28/2026 08:11,XAUUSD,Sell,0.010,4374.89000,0.00000,4371.86000,4374.89000,-0.0800,0.0000,-303.0,-3.11,-0.57,"GoldCraft EA - GCEA[sl 4374.89]",123456,00:00:09:42,0.0,0s,2162.0,2500.00,0.0,0.0,-2162.0,-21.62,0.0,86.0,-303.00,-3.03
,05/28/2026 08:10,05/28/2026 08:11,XAUUSD,Sell,0.010,4374.30000,0.00000,4371.93000,4374.30000,-0.0800,0.0000,-237.0,-2.45,-0.45,"GoldCraft EA - GCEA[sl 4374.30]",123456,00:00:01:35,,,,,,,,,,,,
,05/28/2026 07:41,05/28/2026 07:43,XAUUSD,Sell,0.010,4373.77000,0.00000,4371.18000,4374.22000,-0.0800,0.0000,-304.0,-3.12,-0.57,"GoldCraft EA - GCEA[sl 4373.77]",123456,00:00:02:36,,,,,,,,,,,,
,05/28/2026 07:00,05/28/2026 07:00,XAUUSD,Sell,0.010,4376.96000,0.00000,4374.86000,4376.96000,-0.0800,0.0000,-210.0,-2.18,-0.39,"GoldCraft EA - GCEA[sl 4376.96]",123456,00:00:00:12,,,,,,,,,,,,
,05/28/2026 06:12,05/28/2026 06:19,XAUUSD,Sell,0.010,0.00000,4384.82000,4393.52000,4384.82000,-0.0800,0.0000,870.0,8.62,1.58,"GoldCraft EA - GCEA[tp 4384.82]",123456,00:00:07:12,100.0,7m,1007.0,0.00,1877.0,18.77,0.0,0.0,100.0,46.4,-1007.00,-10.07
,05/28/2026 06:15,05/28/2026 06:18,XAUUSD,Sell,0.010,0.00000,4386.92000,4394.22000,4386.92000,-0.0800,0.0000,730.0,7.22,1.34,"GoldCraft EA - GCEA[tp 4386.92]",123456,00:00:03:59,,,,,,,,,,,,
,05/28/2026 05:32,05/28/2026 05:46,XAUUSD,Sell,0.010,0.00000,4394.48000,4405.12000,4394.48000,-0.0800,0.0000,1064.0,10.56,2.00,"GoldCraft EA - GCEA[tp 4394.48]",123456,00:00:14:09,100.0,14m,833.0,0.00,1897.0,18.97,0.0,0.0,100.0,56.1,-833.00,-8.33
,05/28/2026 05:42,05/28/2026 05:45,XAUUSD,Sell,0.010,0.00000,4397.36000,4405.98000,4397.36000,-0.0800,0.0000,862.0,8.54,1.65,"GoldCraft EA - GCEA[tp 4397.36]",123456,00:00:03:57,,,,,,,,,,,,
,05/28/2026 03:24,05/28/2026 03:45,XAUUSD,Sell,0.010,4453.98000,0.00000,4448.03000,4453.98000,-0.0800,0.0000,-595.0,-6.03,-1.15,"GoldCraft EA - GCEA[sl 4453.98]",123456,00:00:21:07,0.0,0s,595.0,625.00,0.0,0.0,-595.0,-5.95,0.0,0.0,-595.00,-5.95
,05/28/2026 03:11,05/28/2026 03:18,XAUUSD,Sell,0.010,4452.57000,0.00000,4448.34000,4452.94000,-0.0800,0.0000,-460.0,-4.68,-0.88,"GoldCraft EA - GCEA[sl 4452.57]",123456,00:00:07:52,0.0,0s,460.0,476.19,0.0,0.0,-460.0,-4.6000000000000005,0.0,0.0,-460.00,-4.60
,05/28/2026 03:08,05/28/2026 03:18,XAUUSD,Sell,0.010,4452.57000,0.00000,4448.19000,4452.94000,-0.0800,0.0000,-475.0,-4.83,-0.90,"GoldCraft EA - GCEA[sl 4452.57]",123456,00:00:10:52,0.0,0s,475.0,476.19,0.0,0.0,-475.0,-4.75,0.0,0.0,-475.00,-4.75
,05/28/2026 03:06,05/28/2026 03:18,XAUUSD,Sell,0.010,4452.57000,0.00000,4448.30000,4452.94000,-0.0800,0.0000,-464.0,-4.72,-0.88,"GoldCraft EA - GCEA[sl 4452.57]",123456,00:00:12:52,0.0,0s,464.0,476.19,0.0,0.0,-464.0,-4.64,0.0,0.0,-464.00,-4.64
,05/28/2026 03:15,05/28/2026 03:17,XAUUSD,Sell,0.010,4450.08000,0.00000,4444.67000,4450.08000,-0.0800,0.0000,-541.0,-5.49,-1.01,"GoldCraft EA - GCEA[sl 4450.08]",123456,00:00:02:54,,,,,,,,,,,,
,05/28/2026 02:58,05/28/2026 03:01,XAUUSD,Sell,0.010,4449.95000,0.00000,4448.22000,4449.95000,-0.0800,0.0000,-173.0,-1.81,-0.33,"GoldCraft EA - GCEA[sl 4449.95]",123456,00:00:03:28,,,,,,,,,,,,
,05/28/2026 02:45,05/28/2026 02:52,XAUUSD,Sell,0.010,0.00000,4444.22000,4450.78000,4444.22000,-0.0800,0.0000,656.0,6.48,1.20,"GoldCraft EA - GCEA[tp 4444.22]",123456,00:00:07:00,14.3,1m,0.0,0.00,656.0,6.5600000000000005,0.0,0.0,100.0,100.0,0.00,0.00
,05/27/2026 23:06,05/27/2026 23:08,XAUUSD,Sell,0.010,4453.55000,0.00000,4451.85000,4453.55000,-0.0800,0.0000,-170.0,-1.78,-0.33,"GoldCraft EA - GCEA[sl 4453.55]",123456,00:00:02:43,,,,,,,,,,,,
,05/27/2026 22:27,05/27/2026 22:37,XAUUSD,Sell,0.010,4454.11000,0.00000,4451.52000,4454.11000,-0.0800,0.0000,-259.0,-2.67,-0.49,"GoldCraft EA - GCEA[sl 4454.11]",123456,00:00:10:02,0.0,0s,938.0,1000.00,0.0,0.0,-938.0,-9.38,0.0,72.4,-259.00,-2.59
,05/27/2026 20:26,05/27/2026 20:29,XAUUSD,Sell,0.010,4448.32000,0.00000,4446.15000,4448.32000,-0.0800,0.0000,-217.0,-2.25,-0.41,"GoldCraft EA - GCEA[sl 4448.32]",123456,00:00:03:08,,,,,,,,,,,,
,05/27/2026 20:22,05/27/2026 20:24,XAUUSD,Sell,0.010,4448.08000,0.00000,4446.48000,4448.08000,-0.0800,0.0000,-160.0,-1.68,-0.31,"GoldCraft EA - GCEA[sl 4448.08]",123456,00:00:02:03,,,,,,,,,,,,
,05/27/2026 15:04,05/27/2026 15:13,XAUUSD,Sell,0.010,0.00000,0.00000,4434.03000,4429.25000,-0.0800,0.0000,478.0,4.70,0.87,"GoldCraft EA - GCEA",123456,00:00:09:53,70.0,6m,209.0,0.26,478.0,4.78,-124.0,-1.24,79.4,100.0,0.00,0.00
,05/27/2026 15:08,05/27/2026 15:13,XAUUSD,Sell,0.010,0.00000,4429.50000,4434.90000,4429.50000,-0.0800,0.0000,540.0,5.32,0.99,"GoldCraft EA - GCEA[tp 4429.50]",123456,00:00:05:51,100.0,5m,209.0,0.00,559.0,5.59,0.0,0.0,100.0,96.6,-19.00,-0.19
,05/27/2026 14:49,05/27/2026 14:52,XAUUSD,Sell,0.010,0.00000,0.00000,4441.21000,4437.01000,-0.0800,0.0000,420.0,4.12,0.77,"GoldCraft EA - GCEA",123456,00:00:03:02,,,,,,,,,,,,
,05/27/2026 14:21,05/27/2026 14:30,XAUUSD,Sell,0.010,0.00000,0.00000,4447.25000,4438.33000,-0.0800,0.0000,892.0,8.84,1.69,"GoldCraft EA - GCEA",123456,00:00:09:29,90.0,8m,578.0,0.09,892.0,8.92,-82.0,-0.8200000000000001,91.6,100.0,0.00,0.00
,05/27/2026 14:06,05/27/2026 14:22,XAUUSD,Sell,0.010,0.00000,4441.66000,4449.44000,4441.66000,-0.0800,0.0000,778.0,7.70,1.49,"GoldCraft EA - GCEA[tp 4441.66]",123456,00:00:16:59,58.9,10m,1273.0,0.55,821.0,8.21,-452.0,-4.5200000000000005,64.5,96.6,-43.00,-0.43
,05/27/2026 14:10,05/27/2026 14:22,XAUUSD,Sell,0.010,0.00000,0.00000,4449.68000,4443.41000,-0.0800,0.0000,627.0,6.19,1.21,"GoldCraft EA - GCEA",123456,00:00:12:50,46.2,5m,792.0,0.68,627.0,6.2700000000000005,-428.0,-4.28,59.4,100.0,0.00,0.00
