Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
03/11/2026 05:58,,,Withdrawal,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,-1570.44,0,00:00:00:00,,,,,,,,,,,,
03/11/2026 05:55,,,Withdrawal,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,-500.00,0,00:00:00:00,,,,,,,,,,,,
03/03/2026 20:29,03/11/2026 05:53,XPDUSD,Buy,1.000,0.00000,0.00000,1662.84000,1664.72000,0.0000,0.0000,188.0,1.88,0.09,07:09:23:21,34.4,2d 13h ,12740.0,1.65,4816.0,48.160000000000004,-7924.0,-79.24,37.8,63.7,-4628.00,-46.28
03/11/2026 00:17,,,Withdrawal,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,-0.76,0,00:00:00:00,,,,,,,,,,,,
03/10/2026 00:21,,,Withdrawal,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,-0.76,0,00:00:00:00,,,,,,,,,,,,
03/09/2026 00:11,03/09/2026 17:26,XPDUSD,Buy,1.000,0.00000,1662.14000,1612.14000,1662.36000,0.0000,0.0000,5022.0,50.22,2.49,00:17:15:15,25.2,4h 20m,5994.0,0.67,5022.0,50.22,-3369.0,-33.69,59.8,100.0,0.00,0.00
03/07/2026 00:19,,,Withdrawal,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,-2.27,0,00:00:00:00,,,,,,,,,,,,
03/06/2026 00:20,,,Withdrawal,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,-0.76,0,00:00:00:00,,,,,,,,,,,,
03/05/2026 00:19,,,Withdrawal,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,-0.76,0,00:00:00:00,,,,,,,,,,,,
03/04/2026 00:19,,,Withdrawal,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,-0.76,0,00:00:00:00,,,,,,,,,,,,
03/02/2026 03:29,03/02/2026 05:16,OILCAS,Buy,0.030,0.00000,70.49000,70.00000,70.49000,0.0000,0.0000,0.5,1.47,0.07,00:01:47:08,,,,,,,,,,,,
03/02/2026 03:53,03/02/2026 03:56,OILCAS,Buy,0.030,0.00000,70.00000,69.51000,70.01000,0.0000,0.0000,0.5,1.50,0.07,00:00:03:20,,,,,,,,,,,,
02/23/2026 17:17,03/02/2026 01:05,OILCAS,Buy,0.030,0.00000,67.95000,67.44000,72.45000,0.0000,0.0000,5.0,15.03,0.75,06:07:47:09,,,,,,,,,,,,
02/28/2026 00:17,,,Withdrawal,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,-0.05,0,00:00:00:00,,,,,,,,,,,,
02/27/2026 17:00,02/27/2026 22:44,OILCAS,Buy,0.030,0.00000,67.44000,66.95000,67.44000,0.0000,0.0000,0.5,1.47,0.07,00:05:43:17,,,,,,,,,,,,
02/27/2026 19:32,02/27/2026 20:04,OILCAS,Buy,0.030,0.00000,66.92000,66.43000,66.92000,0.0000,0.0000,0.5,1.47,0.07,00:00:32:45,,,,,,,,,,,,
02/23/2026 17:58,02/27/2026 15:08,OILCAS,Buy,0.030,0.00000,67.44000,66.94000,67.44000,0.0000,0.0000,0.5,1.50,0.07,03:21:10:02,,,,,,,,,,,,
02/24/2026 17:07,02/27/2026 13:54,OILCAS,Buy,0.030,0.00000,66.93000,66.42000,66.93000,0.0000,0.0000,0.5,1.53,0.08,02:20:47:25,,,,,,,,,,,,
