Open Date,Close Date,Symbol,Action,Units/Lots,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
06/01/2026 11:16,06/01/2026 13:47,XAUUSD,Sell,0.050,4492.61000,4508.14000,0.0000,0.0000,-1553.0,-77.65,-0.99,100,00:02:31:08,24.6,37m,4641.0,0.62,3088.0,154.4,-1907.0,-95.35000000000001,61.8,7.1,-4641.00,-232.05
06/01/2026 10:15,06/01/2026 13:47,XAUUSD,Sell,0.040,4507.89000,4508.04000,0.0000,0.0000,-15.0,-0.60,-0.01,100,00:03:31:29,85.0,2h 59m,4631.0,0.08,4616.0,184.64000000000001,-379.0,-15.16,92.4,7.3,-4631.00,-185.24
06/01/2026 09:41,06/01/2026 13:47,XAUUSD,Sell,0.040,4505.49000,4508.18000,0.0000,0.0000,-269.0,-10.76,-0.14,100,00:04:06:22,65.2,2h 40m,4645.0,0.14,4376.0,175.04,-619.0,-24.76,87.6,7.0,-4645.00,-185.80
05/29/2026 20:59,06/01/2026 13:47,XAUUSD,Sell,0.040,4553.68000,4508.04000,0.0000,0.7600,4564.0,183.32,2.38,100,02:16:48:05,24.6,15h 56m,4347.0,0.00,8911.0,356.44,0.0,0.0,100.0,51.2,-4347.00,-173.88
05/29/2026 19:07,05/29/2026 22:03,XAUUSD,Buy,0.030,4567.80000,4553.69000,0.0000,0.0000,-1411.0,-42.33,-0.55,100,00:02:56:07,0.0,0s,2877.0,3333.33,0.0,0.0,-2877.0,-86.31,0.0,51.0,-1411.00,-42.33
05/25/2026 13:39,05/26/2026 03:01,XAUUSD,Buy,0.040,4571.77000,4549.01000,0.0000,-2.4000,-2276.0,-93.44,-1.19,100,00:13:22:36,16.1,2h 9m,5026.0,5.39,787.0,31.48,-4239.0,-169.56,15.7,39.1,-3063.00,-122.52
05/25/2026 11:45,05/25/2026 13:03,XAUUSD,Sell,0.050,4553.75000,4569.76000,0.0000,0.0000,-1601.0,-80.05,-1.01,100,00:01:17:40,0.0,0s,1601.0,1666.67,0.0,0.0,-1601.0,-80.05000000000001,0.0,0.0,-1601.00,-80.05
05/25/2026 10:50,05/25/2026 13:03,XAUUSD,Sell,0.040,4562.96000,4569.76000,0.0000,0.0000,-680.0,-27.20,-0.34,100,00:02:12:27,19.3,25m,1549.0,1.51,869.0,34.76,-1311.0,-52.44,39.9,28.9,-1549.00,-61.96
05/22/2026 13:22,05/25/2026 01:05,XAUUSD,Sell,0.040,4528.52000,4551.58000,0.0000,0.7600,-2306.0,-91.48,-1.14,100,02:11:42:12,94.9,2d 8h ,8425.0,1.37,3551.0,142.04,-4874.0,-194.96,42.1,30.5,-5857.00,-234.28
05/22/2026 12:40,05/25/2026 01:05,XAUUSD,Sell,0.040,4523.85000,4551.58000,0.0000,0.7600,-2773.0,-110.16,-1.35,100,02:12:24:16,94.1,2d 8h ,8425.0,1.73,3084.0,123.36,-5341.0,-213.64000000000001,36.6,30.5,-5857.00,-234.28
05/22/2026 12:03,05/25/2026 01:05,XAUUSD,Sell,0.040,4524.80000,4551.58000,0.0000,0.7600,-2678.0,-106.36,-1.29,100,02:13:01:48,94.0,2d 9h ,8425.0,1.65,3179.0,127.16,-5246.0,-209.84,37.7,30.5,-5857.00,-234.28
05/22/2026 11:11,05/25/2026 01:05,XAUUSD,Sell,0.040,4528.31000,4551.58000,0.0000,0.7600,-2327.0,-92.32,-1.11,100,02:13:53:45,94.7,2d 10h ,8425.0,1.39,3530.0,141.20000000000002,-4895.0,-195.8,41.9,30.5,-5857.00,-234.28
05/22/2026 10:39,05/25/2026 01:05,XAUUSD,Sell,0.030,4518.83000,4551.58000,0.0000,0.5700,-3275.0,-97.68,-1.16,100,02:14:25:22,89.9,2d 8h ,8425.0,2.26,2582.0,77.46,-5843.0,-175.29,30.6,30.5,-5857.00,-175.71
05/22/2026 09:44,05/25/2026 01:05,XAUUSD,Sell,0.040,4523.72000,4551.58000,0.0000,0.7600,-2786.0,-110.68,-1.29,100,02:15:20:51,92.7,2d 10h ,8425.0,1.74,3071.0,122.84,-5354.0,-214.16,36.5,30.5,-5857.00,-234.28
05/21/2026 21:03,05/21/2026 21:55,XAUUSD,Buy,0.020,4548.95000,4529.01000,0.0000,0.0000,-1994.0,-39.88,-0.46,100,00:00:52:49,0.0,0s,1994.0,2000.00,0.0,0.0,-1994.0,-39.88,0.0,0.0,-1994.00,-39.88
05/21/2026 16:39,05/21/2026 16:53,XAUUSD,Sell,0.040,4492.05000,4515.37000,0.0000,0.0000,-2332.0,-93.28,-1.07,100,00:00:13:11,0.0,0s,2817.0,3333.33,0.0,0.0,-2817.0,-112.68,0.0,17.2,-2332.00,-93.28
05/21/2026 15:56,05/21/2026 16:53,XAUUSD,Sell,0.040,4504.94000,4515.47000,0.0000,0.0000,-1053.0,-42.12,-0.48,100,00:00:57:03,0.0,0s,1528.0,1666.67,0.0,0.0,-1528.0,-61.120000000000005,0.0,31.1,-1053.00,-42.12
05/21/2026 15:12,05/21/2026 16:53,XAUUSD,Sell,0.030,4515.81000,4515.47000,0.0000,0.0000,34.0,1.02,0.01,100,00:01:40:20,51.5,51m,1722.0,0.34,1281.0,38.43,-441.0,-13.229999999999999,74.4,27.6,-1247.00,-37.41
05/21/2026 14:37,05/21/2026 16:53,XAUUSD,Sell,0.030,4509.73000,4515.47000,0.0000,0.0000,-574.0,-17.22,-0.20,100,00:02:15:20,49.3,1h 6m,2185.0,0.92,1136.0,34.08,-1049.0,-31.47,52.0,21.7,-1710.00,-51.30
05/20/2026 13:51,05/20/2026 17:21,XAUUSD,Sell,0.040,4490.96000,4504.96000,0.0000,0.0000,-1400.0,-56.00,-0.64,100,00:03:30:18,11.5,24m,8322.0,2.78,2199.0,87.96000000000001,-6123.0,-244.92000000000002,26.4,56.8,-3599.00,-143.96
