Open Date,Close Date,Symbol,Action,Units/Lots,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USC),Min(pips),Min(USC),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USC)
06/03/2026 00:45,06/03/2026 00:46,XAUUSD,Sell,0.120,4495.55000,4492.55000,0.0000,0.0000,300.0,36.00,0.13,00:00:01:35,,,,,,,,,,,,
06/02/2026 22:15,06/03/2026 00:40,XAUUSD,Buy,0.260,4489.52000,4492.52000,0.0000,0.0000,300.0,78.00,0.27,00:02:25:15,6.9,10m,2794.0,8.80,300.0,78.0,-2637.0,-685.62,10.2,100.0,0.00,0.00
06/02/2026 23:15,06/03/2026 00:22,XAUUSD,Buy,0.240,4477.44000,4481.22000,0.0000,0.0000,378.0,90.70,0.32,00:01:07:23,17.7,11m,1429.0,3.78,378.0,90.72,-1429.0,-342.96,20.9,100.0,0.00,0.00
06/02/2026 20:45,06/02/2026 22:45,XAUUSD,Sell,0.120,4489.00000,4486.00000,0.0000,0.0000,300.0,36.00,0.13,00:02:00:36,74.4,1h 29m,502.0,1.28,300.0,36.0,-384.0,-46.08,43.9,100.0,0.00,0.00
06/02/2026 03:30,06/02/2026 14:22,XAUUSD,Sell,0.120,4494.93000,4491.93000,0.0000,0.0000,300.0,36.00,0.13,00:10:52:38,1.1,7m,4628.0,14.79,305.0,36.6,-4506.0,-540.72,6.3,99.9,-5.00,-0.60
06/01/2026 23:15,06/02/2026 00:22,XAUUSD,Buy,0.240,4486.50000,4489.03000,0.0000,0.0000,253.0,60.60,0.21,00:01:07:25,22.4,15m,1079.0,3.49,259.0,62.16,-904.0,-216.95999999999998,22.3,99.5,-6.00,-1.44
06/01/2026 22:15,06/01/2026 23:03,XAUUSD,Buy,0.260,4484.61000,4487.61000,0.0000,0.0000,300.0,78.00,0.27,00:00:48:44,25.0,12m,429.0,1.27,300.0,78.0,-380.0,-98.8,44.1,100.0,0.00,0.00
06/01/2026 17:30,06/01/2026 19:52,XAUUSD,Sell,0.120,4483.50000,4480.50000,0.0000,0.0000,300.0,36.00,0.13,00:02:22:54,9.8,14m,1405.0,3.48,337.0,40.44,-1172.0,-140.64,22.3,97.5,-37.00,-4.44
06/01/2026 17:00,06/01/2026 17:01,XAUUSD,Sell,0.120,4480.73000,4477.73000,0.0000,0.0000,300.0,36.00,0.13,00:00:01:12,,,,,,,,,,,,
05/28/2026 16:15,06/01/2026 13:12,XAUUSD,Sell,0.120,4484.68000,4481.68000,0.0000,0.0000,300.0,36.00,0.13,03:20:57:27,0.2,11m,10573.0,35.34,300.0,36.0,-10573.0,-1268.76,2.8,100.0,0.00,0.00
05/31/2026 23:15,05/31/2026 23:30,XAUUSD,Buy,0.240,4542.67000,4545.07000,0.0000,0.0000,240.0,57.53,0.20,00:00:15:41,60.0,9m,215.0,0.70,240.0,57.599999999999994,-168.0,-40.32,58.8,100.0,0.00,0.00
05/31/2026 22:15,05/31/2026 22:46,XAUUSD,Buy,0.250,4534.33000,4537.33000,0.0000,0.0000,300.0,75.00,0.27,00:00:31:06,50.0,15m,450.0,0.66,346.0,86.5,-229.0,-57.25,60.2,92.0,-46.00,-11.50
05/25/2026 23:15,05/29/2026 15:07,XAUUSD,Buy,0.240,4579.13000,4582.13000,0.0000,0.0000,300.0,72.00,0.26,03:15:52:54,0.6,31m,21041.0,18.66,1128.0,270.71999999999997,-21041.0,-5049.84,5.1,96.3,-828.00,-198.72
