Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
06/02/2026 03:55,06/02/2026 09:25,USDCAD,Sell,0.020,1.38772,1.38132,1.38452,1.38396,-0.1100,0.0000,5.6,0.70,0.75,7199174,00:05:29:54,45.5,2h 30m,4.8,0.45,5.6,0.784,-2.5,-0.35000000000000003,69.1,100.0,0.00,0.00
06/02/2026 03:54,06/02/2026 07:30,GBPUSD,Buy,0.010,1.34233,1.34873,1.34553,1.34612,-0.0600,0.0000,5.9,0.53,0.57,7199174,00:03:36:13,54.2,1h 57m,9.9,0.73,5.9,0.5900000000000001,-4.3,-0.43,57.8,100.0,0.00,0.00
06/02/2026 03:55,06/02/2026 06:13,CADCHF,Sell,0.010,0.57169,0.56529,0.56849,0.56809,-0.0600,0.0000,4.0,0.44,0.48,7199174,00:02:18:42,100.0,2h 18m,3.3,0.22,4.5,0.585,0.0,0.0,100.0,88.9,-0.50,-0.07
06/02/2026 03:55,06/02/2026 04:14,USDCHF,Sell,0.010,0.79025,0.78385,0.78705,0.78658,-0.0600,0.0000,4.7,0.54,0.59,7199174,00:00:18:37,100.0,18m,0.7,0.21,4.7,0.6110000000000001,0.0,0.0,100.0,100.0,0.00,0.00
06/02/2026 03:59,06/02/2026 04:13,GBPCAD,Buy,0.020,1.85930,1.86570,1.86250,1.86329,-0.1100,0.0000,7.9,1.03,1.13,7199174,00:00:14:08,100.0,14m,1.3,0.13,7.9,1.106,0.0,0.0,100.0,100.0,0.00,0.00
06/02/2026 03:55,06/02/2026 04:12,EURUSD,Buy,0.010,1.15978,1.16618,1.16298,1.16353,-0.0600,0.0000,5.5,0.49,0.54,7199174,00:00:16:38,100.0,16m,0.7,0.18,5.5,0.55,0.0,0.0,100.0,100.0,0.00,0.00
05/29/2026 03:57,05/29/2026 12:03,GBPCHF,Buy,0.010,1.05041,1.05681,1.05361,1.05172,-0.0600,0.0000,-18.9,-2.47,-2.66,7199174,00:08:06:16,33.4,2h 42m,22.7,9.32,2.2,0.28600000000000003,-20.5,-2.665,9.7,7.0,-21.10,-2.74
05/29/2026 03:55,05/29/2026 06:17,EURCHF,Buy,0.010,0.90997,0.91637,0.91317,0.91300,-0.0600,0.0000,-1.7,-0.28,-0.30,7199174,00:02:21:26,0.0,0s,4.2,4.20,0.0,0.0,-4.2,-0.546,0.0,59.5,-1.70,-0.22
05/29/2026 03:55,05/29/2026 04:14,GBPUSD,Buy,0.010,1.34086,1.34726,1.34406,1.34467,-0.0600,0.0000,6.1,0.55,0.59,7199174,00:00:19:07,73.7,14m,2.8,0.28,6.1,0.61,-1.7,-0.17,78.2,100.0,0.00,0.00
05/29/2026 03:55,05/29/2026 04:10,EURUSD,Buy,0.010,1.16164,1.16804,1.16484,1.16542,-0.0600,0.0000,5.8,0.52,0.57,7199174,00:00:14:48,80.0,11m,1.3,0.12,5.8,0.58,-0.7,-0.06999999999999999,89.2,100.0,0.00,0.00
05/27/2026 03:55,05/27/2026 09:44,EURCHF,Sell,0.010,0.91712,0.91072,0.91392,0.91411,-0.0600,0.0000,-1.9,-0.31,-0.34,7199174,00:05:49:10,30.1,1h 45m,7.6,2.62,2.1,0.273,-5.5,-0.7150000000000001,27.6,47.4,-4.00,-0.52
05/27/2026 03:55,05/27/2026 04:09,GBPCHF,Sell,0.010,1.05983,1.05343,1.05663,1.05632,-0.0600,0.0000,3.1,0.34,0.37,7199174,00:00:14:01,100.0,14m,0.7,0.26,3.8,0.494,0.0,0.0,100.0,81.6,-0.70,-0.09
05/20/2026 03:58,05/20/2026 11:52,USDCHF,Sell,0.010,0.79258,0.78618,0.78938,0.79028,-0.0600,0.0000,-9.0,-1.20,-1.29,7199174,00:07:53:09,4.1,19m,12.6,8.70,1.3,0.169,-11.3,-1.469,10.3,18.3,-10.30,-1.34
05/20/2026 03:58,05/20/2026 07:02,EURUSD,Buy,0.010,1.15695,1.16335,1.16015,1.16067,-0.0600,0.0000,5.2,0.46,0.50,7199174,00:03:04:01,23.4,43m,7.5,1.40,5.2,0.52,-7.3,-0.73,41.6,100.0,0.00,0.00
05/20/2026 03:58,05/20/2026 05:23,GBPUSD,Buy,0.010,1.33560,1.34200,1.33880,1.33944,-0.0600,0.0000,6.4,0.58,0.63,7199174,00:01:24:52,37.7,31m,12.3,1.52,6.4,0.6400000000000001,-9.7,-0.97,39.8,100.0,0.00,0.00
05/19/2026 03:55,05/19/2026 13:35,USDCAD,Sell,0.020,1.37797,1.37157,1.37477,1.37666,-0.1100,0.0000,-18.9,-2.86,-3.01,7199174,00:09:40:00,40.9,3h 57m,23.7,4.27,4.5,0.6749999999999999,-19.2,-2.88,19.0,1.3,-23.40,-3.51
