Tags,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Pips,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(EUR),Min(pips),Min(EUR),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(EUR)
,06/02/2026 17:17,06/02/2026 17:21,XAGUSD,Sell,0.400,0.00000,0.00000,75.40000,75.40000,0.0,0.01,"",0,00:00:03:26,,,,,,,,,,,,
,05/28/2026 17:13,05/28/2026 17:14,XAGUSD,Buy,0.400,0.00000,0.00000,74.05000,74.33000,28.0,0.72,"",0,00:00:00:24,,,,,,,,,,,,
,05/22/2026 17:16,05/22/2026 17:24,XAGUSD,Sell,0.400,0.00000,0.00000,75.28000,75.05000,23.0,0.60,"",0,00:00:07:03,87.5,6m,8.3,0.15,26.0,,-3.9,,87.0,90.0,-3.00,
,05/20/2026 16:36,05/20/2026 16:39,XAGUSD,Sell,0.400,0.00000,0.00000,74.82000,74.83000,-1.0,-0.02,"",0,00:00:03:19,,,,,,,,,,,,
,05/18/2026 15:35,05/18/2026 15:43,XAGUSD,Buy,0.400,0.00000,0.00000,77.06000,77.32000,26.0,0.67,"",0,00:00:08:47,62.5,5m,14.9,0.52,27.1,,-14.1,,65.8,97.3,-1.10,
,05/15/2026 14:20,,,Withdrawal,0.000,0.00000,0.00000,0.00000,0.00000,0.0,0,"AutoTrf 88051020/to EUR13675581",0,00:00:00:00,,,,,,,,,,,,
,05/13/2026 09:41,,,Withdrawal,0.000,0.00000,0.00000,0.00000,0.00000,0.0,0,"AutoTrf 87941250/to EUR13675581",0,00:00:00:00,,,,,,,,,,,,
,05/11/2026 10:38,,,Withdrawal,0.000,0.00000,0.00000,0.00000,0.00000,0.0,0,"AutoTrf 87839073/to EUR13675581",0,00:00:00:00,,,,,,,,,,,,
,05/07/2026 15:49,05/07/2026 16:05,XAUUSD,Buy,0.200,0.00000,0.00000,4752.70000,4737.79000,-1491.0,-1.71,"",0,00:00:15:19,0.0,0s,1491.0,1666.67,0.0,,-1491.0,,0.0,0.0,-1491.00,
,05/04/2026 18:51,05/04/2026 19:02,XAUUSD,Sell,0.200,0.00000,0.00000,4516.97000,4519.49000,-252.0,-0.29,"",0,00:00:11:15,0.0,0s,1116.0,1250.00,0.0,,-1116.0,,0.0,77.4,-252.00,
,05/04/2026 17:32,,,Withdrawal,0.000,0.00000,0.00000,0.00000,0.00000,0.0,0,"AutoTrf 87570242/to EUR13675581",0,00:00:00:00,,,,,,,,,,,,
,04/27/2026 16:01,04/27/2026 16:38,XAUUSD,Sell,0.200,0.00000,0.00000,4694.05000,4694.04000,1.0,0.00,"",0,00:00:36:55,10.9,4m,835.0,6.23,134.0,,-835.0,,13.8,86.3,-133.00,
,04/21/2026 16:14,04/21/2026 16:30,XAUUSD,Sell,0.200,0.00000,0.00000,4765.09000,4777.39000,-1230.0,-1.35,"",0,00:00:15:08,0.0,0s,1230.0,1250.00,0.0,,-1230.0,,0.0,0.0,-1230.00,
,04/21/2026 11:12,,,Withdrawal,0.000,0.00000,0.00000,0.00000,0.00000,0.0,0,"AutoTrf 87042866/to EUR13675581",0,00:00:00:00,,,,,,,,,,,,
,04/20/2026 16:29,04/20/2026 16:48,XAUUSD,Buy,0.200,0.00000,0.00000,4823.19000,4819.09000,-410.0,-0.43,"",0,00:00:19:25,15.8,3m,541.0,17.48,30.0,,-524.0,,5.4,20.6,-440.00,
,04/16/2026 17:40,04/16/2026 17:40,XAUUSD,Sell,0.200,0.00000,0.00000,4780.96000,4775.21000,575.0,0.61,"",0,00:00:00:04,,,,,,,,,,,,
