Tags,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
,05/29/2026 17:20,,,Withdrawal,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,-720.00,0,"Wdr-CD1 #y3N17G6Z9R",0,00:00:00:00,,,,,,,,,,,,
,05/18/2026 20:14,05/27/2026 11:52,GBPNZD,Buy,0.570,2.28745,0.00000,2.28695,2.28745,-2.5600,7.0700,5.0,21.26,0.63,"[sl 2.28745]",0,08:15:37:41,90.9,7d 20h ,239.9,0.21,197.8,662.6300000000001,-42.1,-141.035,82.5,19.6,-192.80,-645.88
,05/18/2026 16:00,05/19/2026 07:26,AUDCHF,Buy,0.860,0.56040,0.00000,0.56360,0.56036,-3.8800,4.2300,-32.4,-354.31,-9.53,"[sl 0.56040]",0,00:15:25:37,0.0,0s,36.1,36.10,0.0,0.0,-36.1,-395.295,0.0,10.2,-32.40,-354.78
,05/11/2026 16:54,05/13/2026 18:47,GBPAUD,Sell,0.660,0.00000,0.00000,1.87820,1.86103,-2.9800,-1.7000,171.7,819.05,28.25,"",1521226331,02:01:52:12,83.9,1d 17h ,41.5,0.19,178.5,856.8,-33.9,-162.72,84.0,96.8,-6.80,-32.64
,05/12/2026 13:36,05/13/2026 18:40,EURAUD,Sell,0.890,0.00000,1.61128,1.62581,1.61126,-4.0000,4.3800,145.5,941.99,48.12,"[tp 1.61128]",1521853248,01:05:03:11,100.0,1d 5h ,26.2,0.01,145.5,941.385,0.0,0.0,100.0,100.0,0.00,0.00
,04/29/2026 15:55,04/30/2026 13:26,GBPJPY,Buy,0.400,0.00000,0.00000,215.96800,214.84000,-1.8000,7.8800,-112.8,-277.56,-16.01,"",1512835854,00:21:30:56,71.4,15h 21m,573.8,8.29,61.8,155.11799999999997,-512.0,-1285.12,10.8,69.6,-174.60,-438.25
,05/06/2026 10:21,04/27/2026 11:37,AUDNZD,Sell,0.940,0.00000,0.00000,1.21703,1.21578,-4.2400,16.3600,12.5,12.12,0.83,"",1510252447,0-8:0-22:0-43:0-31,,,,,,,,,,,,
,05/08/2026 23:06,04/27/2026 02:37,GBPUSD,Sell,0.370,0.00000,0.00000,1.36305,1.35145,-1.6600,-8.6200,116.0,-10.28,-0.67,"",1510283271,0-11:0-20:0-28:0-32,,,,,,,,,,,,
,04/23/2026 08:01,04/24/2026 22:29,AUDNZD,Buy,0.940,0.00000,0.00000,1.21450,1.21585,-4.2400,2.3100,13.5,72.71,4.37,"",0,01:14:27:32,100.0,1d 14h ,33.2,0.03,39.2,216.77600000000004,0.0,0.0,100.0,34.4,-25.70,-142.12
,04/20/2026 20:46,04/23/2026 06:23,AUDJPY,Buy,0.880,113.90000,0.00000,113.84700,113.90000,-3.9600,17.6000,5.3,42.88,2.65,"[sl 113.900]",0,02:09:37:14,94.4,2d 6h ,45.4,0.33,42.1,232.392,-13.9,-76.728,75.2,34.3,-36.80,-203.14
,04/07/2026 12:00,04/15/2026 20:46,AUDJPY,Buy,0.460,0.00000,113.94500,110.77400,113.94600,-2.0800,14.7600,317.2,929.82,134.54,"[tp 113.945]",0,08:08:46:28,100.0,8d 8h ,102.4,0.00,331.5,958.0350000000001,0.0,0.0,100.0,95.7,-14.30,-41.33
,04/13/2026 12:04,04/15/2026 20:46,AUDJPY,Buy,0.020,0.00000,0.00000,112.63300,113.94400,-0.1000,0.1600,131.1,16.54,2.45,"",1499930514,02:08:41:50,96.8,2d 6h ,53.7,0.18,146.4,19.032,-27.0,-3.5100000000000002,84.4,91.2,-15.30,-1.99
,04/13/2026 11:59,04/15/2026 20:46,AUDJPY,Buy,0.020,0.00000,0.00000,112.63900,113.94400,-0.1000,0.1600,130.5,16.47,2.50,"",1499928282,02:08:47:29,96.7,2d 6h ,53.7,0.19,145.8,18.954,-27.6,-3.5880000000000005,84.1,91.2,-15.30,-1.99
,04/13/2026 12:13,04/13/2026 12:14,XAUUSD,Buy,0.020,0.00000,0.00000,4720.59000,4718.92000,-0.1000,0.0000,-167.0,-3.44,-0.52,"",1089532799,00:00:01:33,,,,,,,,,,,,
,04/01/2026 15:58,04/08/2026 01:51,GBPNZD,Buy,0.240,2.31000,0.00000,2.30943,2.30982,-1.0800,1.6700,3.9,6.00,0.91,"[sl 2.31000]",0,06:09:52:43,98.8,6d 8h ,211.4,0.36,156.0,216.83999999999997,-55.4,-77.00599999999999,73.8,28.1,-152.10,-211.42
,03/23/2026 14:01,03/23/2026 14:06,USDCAD,Buy,1.030,1.37091,0.00000,1.37493,1.37092,-4.6400,0.0000,-40.1,-305.92,-31.82,"[sl 1.37091]",0,00:00:04:55,,,,,,,,,,,,
,03/20/2026 01:02,03/23/2026 08:33,AUDJPY,Buy,0.590,111.05500,0.00000,111.85300,111.05500,-2.6600,2.4300,-79.8,-295.36,-23.50,"[sl 111.055]",0,03:07:31:30,21.4,17h 1m,148.5,1.99,49.6,183.52,-98.9,-365.93000000000006,33.4,12.9,-129.40,-478.78
,03/18/2026 16:25,03/19/2026 16:51,EURUSD,Sell,0.500,1.15030,0.00000,1.15038,1.15029,-2.2600,5.0700,0.9,7.31,0.59,"[sl 1.15030]",0,01:00:25:58,79.9,19h 31m,88.1,0.52,57.9,289.5,-30.2,-151.0,65.7,35.3,-57.00,-285.00
,03/16/2026 13:50,03/19/2026 16:03,EURAUD,Sell,0.410,1.63835,0.00000,1.62813,1.63835,-1.8400,7.5900,-102.2,-287.97,-18.74,"[sl 1.63835]",0,03:02:13:30,67.1,2d 1h ,205.4,1.70,76.2,218.69400000000002,-129.2,-370.804,37.1,13.1,-178.40,-512.01
,03/04/2026 11:58,03/05/2026 17:11,BTCUSD,Buy,0.030,71700.00000,0.00000,71493.00000,71648.00000,0.0000,-0.9200,155.0,3.73,0.24,"[sl 71700.00]",0,01:05:13:08,87.2,1d 1h ,2888.4,0.36,2407.4,72.222,-861.0,-25.83,73.7,31.1,-2252.40,-67.57
,03/03/2026 14:44,,,Withdrawal,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,-200.00,0,"Wdr-BW #kbh76E4Via",0,00:00:00:00,,,,,,,,,,,,
,02/17/2026 20:14,03/03/2026 11:27,AUDJPY,Buy,0.480,111.07600,0.00000,108.44100,111.07400,-2.1600,22.2200,263.3,821.62,89.96,"[sl 111.076]",0,13:15:12:22,99.9,13d 14h ,135.1,0.00,356.9,1084.9759999999999,-0.3,-0.9119999999999999,99.9,73.8,-93.60,-284.54
,02/23/2026 16:58,02/24/2026 15:59,XAUUSD,Buy,0.030,5112.33000,0.00000,5192.33000,5115.56000,-0.1400,-2.2000,-7677.0,-232.65,-20.30,"[sl 5112.33]",0,00:23:00:40,33.7,7h 45m,13899.0,1.68,5190.0,155.7,-8709.0,-261.27,37.3,7.4,-12867.00,-386.01
,02/19/2026 11:39,02/20/2026 14:44,GBPCAD,Sell,0.560,1.84550,0.00000,1.84584,1.84551,-2.5200,-5.2600,3.3,5.72,0.50,"[sl 1.84550]",0,01:03:05:39,92.6,1d 1h ,64.7,0.11,58.1,237.629,-6.6,-26.993999999999996,89.8,15.3,-54.80,-224.13
,02/09/2026 13:58,02/11/2026 15:30,USDCAD,Sell,0.550,1.35782,0.00000,1.36338,1.35873,-2.4800,-6.7400,46.5,179.01,18.62,"[sl 1.35782]",0,02:01:31:46,100.0,2d 1h ,102.0,0.01,125.5,508.275,0.0,0.0,100.0,37.1,-79.00,-319.95
,02/09/2026 17:58,02/11/2026 14:41,XAUUSD,Buy,0.020,5060.00000,0.00000,5057.54000,5058.99000,-0.1000,-2.7300,145.0,0.07,0.01,"[sl 5060.00]",0,01:20:42:34,26.7,11h 56m,7219.0,0.91,5433.0,108.66,-4947.0,-98.94,52.3,49.1,-5288.00,-105.76
,02/09/2026 01:01,02/09/2026 02:12,EURJPY,Buy,0.520,185.43400,0.00000,186.07400,185.42700,-2.3400,0.0000,-64.7,-217.06,-18.42,"[sl 185.434]",0,00:01:11:01,,,,,,,,,,,,
,02/02/2026 03:58,02/06/2026 02:01,EURJPY,Buy,0.330,184.50000,0.00000,184.09000,184.49700,-1.4800,3.9300,40.7,88.18,8.09,"[sl 184.500]",0,03:22:03:30,55.8,2d 4h ,86.0,0.67,126.7,267.337,-84.4,-178.084,60.0,59.3,-86.00,-181.46
,01/22/2026 19:27,01/29/2026 17:09,XAUUSD,Buy,0.010,5410.00000,0.00000,4890.45000,5411.59000,-0.0400,-4.8400,52114.0,516.26,89.98,"[sl 5410.00]",0,06:21:41:55,100.0,6d 21h ,37989.0,0.00,67165.0,671.65,0.0,0.0,100.0,77.6,-15051.00,-150.51
,01/27/2026 11:59,01/27/2026 18:50,USDCAD,Sell,0.310,1.36028,0.00000,1.37078,1.36028,-1.4000,0.0000,105.0,237.89,70.83,"[sl 1.36028]",0,00:06:51:08,100.0,6h 51m,11.9,0.01,109.7,250.11599999999999,0.0,0.0,100.0,95.7,-4.70,-10.72
,01/19/2026 17:58,01/22/2026 08:49,NZDJPY,Buy,0.230,0.00000,0.00000,91.53800,92.96600,-1.0400,-4.9900,142.8,200.85,148.78,"",0,02:14:51:05,100.0,2d 14h ,42.4,0.01,152.9,221.705,0.0,0.0,100.0,93.4,-10.10,-14.64
,01/16/2026 20:01,01/19/2026 15:30,USDCAD,Buy,0.180,1.38784,0.00000,1.39244,1.38779,-0.8200,0.4500,-46.5,-60.68,-31.01,"[sl 1.38784]",0,02:19:28:10,0.0,0s,59.0,59.17,0.0,0.0,-59.0,-76.7,0.0,21.2,-46.50,-60.45
,01/15/2026 10:56,01/16/2026 16:53,AUDJPY,Buy,0.140,105.58800,0.00000,106.13800,105.58800,-0.6400,0.4100,-55.0,-49.01,-20.03,"[sl 105.588]",0,01:05:57:15,33.4,10h 0m,72.3,4.06,14.3,12.727,-58.0,-51.62,19.8,4.1,-69.30,-61.68
,01/15/2026 16:12,01/16/2026 09:50,NZDUSD,Sell,0.060,0.57616,0.00000,0.57336,0.57617,-0.2800,0.0400,-28.1,-17.10,-6.53,"[sl 0.57616]",0,00:17:38:41,0.0,0s,28.1,28.17,0.0,0.0,-28.1,-16.86,0.0,0.0,-28.10,-16.86
