Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(GBP),Min(pips),Min(GBP),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(GBP)
06/02/2026 16:18,06/02/2026 16:48,EURUSD,Sell,2.870,1.16624,1.16279,1.16484,1.16421,-15.7900,0.0000,6.3,118.42,0.74,"",00:00:30:31,86.7,26m,3.2,0.11,6.4,136.32000000000002,-0.7,-14.91,90.1,98.6,-0.10,-2.13
06/02/2026 12:00,06/02/2026 13:00,EURUSD,Sell,2.360,1.16618,1.16098,1.16435,1.16429,-12.9800,0.0000,0.6,-2.47,-0.02,"Easy Order",00:01:00:23,71.7,43m,3.9,0.39,2.8,49.056,-1.1,-19.272000000000002,71.8,43.6,-2.20,-38.54
06/02/2026 11:30,06/02/2026 11:59,USDCHF,Buy,1.820,0.78358,0.78721,0.78542,0.78605,-10.0100,0.0000,6.3,98.34,0.62,"Easy Order",00:00:29:37,100.0,29m,1.7,0.13,7.5,129.0,0.0,0.0,100.0,84.0,-1.20,-20.64
06/01/2026 12:02,06/01/2026 12:31,GBPAUD,Sell,2.360,1.87774,1.87199,1.87516,1.87543,-12.9800,0.0000,-2.7,-46.96,-0.29,"Easy Order",00:00:28:48,34.5,9m,6.1,1.96,2.8,35.251999999999995,-5.5,-69.245,33.7,33.7,-5.50,-69.25
06/01/2026 11:47,06/01/2026 12:12,USDCHF,Sell,2.840,0.78429,0.78068,0.78308,0.78380,-15.6200,0.0000,-7.2,-209.33,-1.29,"Easy Order",00:00:25:38,8.0,2m,8.4,6.00,1.2,32.279999999999994,-7.2,-193.68,14.3,0.0,-8.40,-225.96
05/29/2026 16:31,05/29/2026 17:17,USDCAD,Sell,2.420,1.38355,1.37865,1.38111,1.38076,-13.3100,0.0000,3.5,32.34,0.20,"",00:00:45:52,65.3,29m,13.7,0.50,10.6,138.224,-5.3,-69.112,66.7,55.3,-7.10,-92.58
05/29/2026 11:00,05/29/2026 15:13,EURAUD,Sell,1.790,1.62879,1.62204,1.62546,1.62322,-9.8500,0.0000,22.4,204.34,1.28,"Easy Order",00:04:12:55,14.3,36m,18.1,0.74,23.9,228.484,-17.8,-170.168,57.3,96.4,-1.50,-14.34
05/29/2026 13:00,05/29/2026 13:50,EURUSD,Buy,1.860,1.16182,1.16607,1.16411,1.16422,-10.2300,0.0000,1.1,5.03,0.03,"Easy Order",00:00:49:45,82.0,40m,4.6,0.70,4.0,55.48,-2.8,-38.836,58.8,57.4,-2.90,-40.22
05/28/2026 16:45,05/28/2026 17:14,GBPAUD,Buy,2.520,1.88000,1.88800,1.88300,1.87996,-13.8600,0.0000,-30.4,-421.36,-2.58,"[sl]",00:00:28:23,0.0,0s,32.4,32.47,0.0,0.0,-32.4,-434.15999999999997,0.0,6.2,-30.40,-407.36
05/28/2026 16:47,05/28/2026 17:13,GBPCAD,Sell,3.020,1.85934,1.85458,1.85710,1.85930,-16.6100,0.0000,-22.0,-373.95,-2.24,"[sl]",00:00:26:25,42.4,11m,28.0,7.49,3.3,53.59199999999999,-24.7,-401.12799999999993,11.8,9.6,-25.30,-410.87
05/28/2026 12:15,05/28/2026 12:24,UK100,Buy,6.000,10368.56000,10455.69000,10417.00000,10433.00000,0.0000,0.0000,16.0,97.80,0.59,"Easy Order",00:00:09:35,,,,,,,,,,,,
05/27/2026 17:15,05/27/2026 17:29,CADCHF,Sell,3.020,0.56873,0.56650,0.56763,0.56772,-16.6100,0.0000,-0.9,-42.35,-0.25,"",00:00:13:27,35.8,4m,2.7,1.08,1.3,37.18,-1.4,-40.04,48.1,18.5,-2.20,-62.92
