Tags,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USC),Min(pips),Min(USC),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USC)
,04/29/2026 10:10,04/29/2026 10:10,XAUUSD,Sell,0.130,4580.74000,0.00000,4578.84000,4580.83000,-0.7800,0.0000,-199.0,-26.65,-0.76,"[sl 4580.74]",0,00:00:00:14,,,,,,,,,,,,
,04/28/2026 15:01,04/28/2026 15:01,XAUUSD,Sell,0.100,4557.09000,0.00000,4555.14000,4557.38000,-0.6000,0.0000,-224.0,-23.00,-0.65,"[sl 4557.09]",0,00:00:00:12,,,,,,,,,,,,
,04/28/2026 14:31,04/28/2026 14:33,XAUUSD,Sell,0.100,4591.61000,0.00000,4593.31000,4591.91000,-0.6000,0.0000,140.0,13.40,0.38,"[sl 4591.61]",0,00:00:02:34,,,,,,,,,,,,
,04/28/2026 14:07,04/28/2026 14:13,XAUUSD,Sell,0.130,4599.50000,0.00000,4601.24000,4599.50000,-0.7800,0.0000,174.0,21.84,0.62,"[sl 4599.50]",0,00:00:06:06,100.0,6m,3143.0,0.00,3317.0,431.21000000000004,0.0,0.0,100.0,5.2,-3143.00,-408.59
,04/28/2026 13:58,04/28/2026 13:59,XAUUSD,Sell,0.100,4606.04000,0.00000,4603.76000,4605.43000,-0.6000,0.0000,-167.0,-17.30,-0.49,"[sl 4606.04]",0,00:00:01:14,,,,,,,,,,,,
,04/28/2026 12:56,04/28/2026 12:57,XAUUSD,Sell,0.160,4605.59000,0.00000,4607.30000,4605.61000,-0.9600,0.0000,169.0,26.08,0.75,"[sl 4605.59]",0,00:00:01:19,,,,,,,,,,,,
,04/28/2026 12:23,04/28/2026 12:24,XAUUSD,Sell,0.130,4616.13000,0.00000,4613.78000,4616.23000,-0.7800,0.0000,-245.0,-32.63,-0.93,"[sl 4616.13]",0,00:00:01:14,,,,,,,,,,,,
,04/28/2026 11:11,04/28/2026 11:12,XAUUSD,Sell,0.100,4617.64000,0.00000,4614.91000,4617.72000,-0.6000,0.0000,-281.0,-28.70,-0.81,"[sl 4617.64]",0,00:00:00:11,,,,,,,,,,,,
,04/28/2026 11:02,04/28/2026 11:03,XAUUSD,Sell,0.160,4617.94000,0.00000,4620.16000,4618.11000,-0.9600,0.0000,205.0,31.84,0.90,"[sl 4617.94]",0,00:00:01:23,,,,,,,,,,,,
,04/28/2026 10:55,04/28/2026 10:56,XAUUSD,Sell,0.130,4624.92000,0.00000,4621.39000,4625.14000,-0.7800,0.0000,-375.0,-49.53,-1.39,"[sl 4624.92]",0,00:00:00:19,,,,,,,,,,,,
,04/28/2026 09:52,04/28/2026 09:53,XAUUSD,Sell,0.100,4625.44000,0.00000,4623.48000,4625.13000,-0.6000,0.0000,-165.0,-17.10,-0.48,"[sl 4625.44]",0,00:00:00:21,,,,,,,,,,,,
,04/28/2026 08:35,04/28/2026 08:36,XAUUSD,Sell,0.100,4640.07000,0.00000,4642.27000,4640.00000,-0.6000,0.0000,227.0,22.10,0.62,"[sl 4640.07]",0,00:00:01:00,,,,,,,,,,,,
,04/28/2026 08:30,04/28/2026 08:30,XAUUSD,Sell,0.100,4645.86000,0.00000,4647.92000,4646.44000,-0.6000,0.0000,148.0,14.20,0.40,"[sl 4645.86]",0,00:00:00:05,,,,,,,,,,,,
,04/28/2026 08:00,04/28/2026 08:03,XAUUSD,Sell,0.100,4662.28000,0.00000,4665.62000,4662.62000,-0.6000,0.0000,300.0,29.40,0.84,"[sl 4662.28]",0,00:00:03:17,,,,,,,,,,,,
,04/27/2026 17:53,04/27/2026 17:53,XAUUSD,Sell,0.200,4680.55000,0.00000,4683.10000,4680.99000,-1.2000,0.0000,211.0,41.00,1.18,"[sl 4680.55]",0,00:00:00:19,,,,,,,,,,,,
,04/27/2026 17:27,04/27/2026 17:27,XAUUSD,Sell,0.160,4689.50000,0.00000,4687.34000,4689.61000,-0.9600,0.0000,-227.0,-37.28,-1.06,"[sl 4689.50]",0,00:00:00:06,,,,,,,,,,,,
,04/27/2026 17:09,04/27/2026 17:11,XAUUSD,Sell,0.130,4690.78000,0.00000,4688.70000,4690.81000,-0.7800,0.0000,-211.0,-28.21,-0.80,"[sl 4690.78]",0,00:00:01:17,,,,,,,,,,,,
,04/27/2026 16:35,04/27/2026 16:35,XAUUSD,Sell,0.100,4694.89000,0.00000,4692.56000,4694.90000,-0.6000,0.0000,-234.0,-24.00,-0.67,"[sl 4694.89]",0,00:00:00:11,,,,,,,,,,,,
,04/27/2026 16:01,04/27/2026 16:01,XAUUSD,Sell,0.160,4694.04000,0.00000,4696.53000,4694.20000,-0.9600,0.0000,233.0,36.32,1.03,"[sl 4694.04]",0,00:00:00:06,,,,,,,,,,,,
,04/27/2026 15:41,04/27/2026 15:43,XAUUSD,Sell,0.130,4701.09000,0.00000,4698.88000,4701.16000,-0.7800,0.0000,-228.0,-30.42,-0.85,"[sl 4701.09]",0,00:00:02:14,,,,,,,,,,,,
,04/27/2026 07:34,04/27/2026 07:34,XAUUSD,Buy,0.100,4728.04000,0.00000,4729.93000,4727.94000,-0.6000,0.0000,-199.0,-20.50,-0.57,"[sl 4728.04]",0,00:00:00:19,,,,,,,,,,,,
,04/27/2026 06:38,04/27/2026 06:41,XAUUSD,Buy,0.100,4725.87000,0.00000,4723.64000,4725.91000,-0.6000,0.0000,227.0,22.10,0.62,"[sl 4725.87]",0,00:00:02:57,,,,,,,,,,,,
,04/27/2026 05:37,04/27/2026 05:38,XAUUSD,Buy,0.160,4714.11000,0.00000,4710.57000,4714.41000,-0.9600,0.0000,384.0,60.48,1.73,"[sl 4714.11]",0,00:00:01:22,,,,,,,,,,,,
,04/27/2026 03:07,04/27/2026 03:10,XAUUSD,Sell,0.130,4676.60000,0.00000,4673.90000,4676.97000,-0.7800,0.0000,-307.0,-40.69,-1.15,"[sl 4676.60]",0,00:00:02:53,,,,,,,,,,,,
,04/27/2026 02:30,04/27/2026 02:30,XAUUSD,Sell,0.100,4679.17000,0.00000,4676.91000,4679.27000,-0.6000,0.0000,-236.0,-24.20,-0.68,"[sl 4679.17]",0,00:00:00:44,,,,,,,,,,,,
,04/24/2026 17:09,04/24/2026 17:09,XAUUSD,Buy,0.100,4730.54000,0.00000,4728.41000,4729.90000,-0.6000,0.0000,149.0,14.30,0.40,"[sl 4730.54]",0,00:00:00:17,,,,,,,,,,,,
,04/24/2026 17:05,04/24/2026 17:05,XAUUSD,Buy,0.100,4721.61000,0.00000,4719.07000,4721.39000,-0.6000,0.0000,232.0,22.60,0.64,"[sl 4721.61]",0,00:00:00:17,,,,,,,,,,,,
,04/24/2026 14:22,04/24/2026 14:23,XAUUSD,Buy,0.100,4707.22000,0.00000,4705.17000,4707.45000,-0.6000,0.0000,228.0,22.20,0.63,"[sl 4707.22]",0,00:00:01:05,,,,,,,,,,,,
,04/24/2026 14:07,04/24/2026 14:07,XAUUSD,Buy,0.100,4700.34000,0.00000,4698.59000,4700.08000,-0.6000,0.0000,149.0,14.30,0.41,"[sl 4700.34]",0,00:00:00:15,,,,,,,,,,,,
,04/24/2026 11:20,04/24/2026 11:21,XAUUSD,Buy,0.100,4697.17000,0.00000,4695.20000,4696.98000,-0.6000,0.0000,178.0,17.20,0.50,"[sl 4697.17]",0,00:00:00:26,,,,,,,,,,,,
,04/24/2026 07:22,04/24/2026 07:22,XAUUSD,Sell,0.130,4663.98000,0.00000,4666.79000,4664.59000,-0.7800,0.0000,220.0,27.82,0.81,"[sl 4663.98]",0,00:00:00:07,,,,,,,,,,,,
,04/24/2026 07:00,04/24/2026 07:00,XAUUSD,Sell,0.100,4670.23000,0.00000,4667.53000,4670.49000,-0.6000,0.0000,-296.0,-30.20,-0.87,"[sl 4670.23]",0,00:00:00:29,,,,,,,,,,,,
,04/23/2026 20:46,04/23/2026 20:46,XAUUSD,Sell,0.100,4666.68000,0.00000,4669.77000,4666.41000,-0.6000,0.0000,336.0,33.00,0.96,"[sl 4666.68]",0,00:00:00:03,,,,,,,,,,,,
,04/23/2026 20:42,04/23/2026 20:43,XAUUSD,Sell,0.100,4678.67000,0.00000,4682.25000,4679.34000,-0.6000,0.0000,291.0,28.50,0.83,"[sl 4678.67]",0,00:00:00:09,,,,,,,,,,,,
,04/23/2026 20:36,04/23/2026 20:36,XAUUSD,Sell,0.200,4700.06000,0.00000,4702.59000,4699.74000,-1.2000,0.0000,285.0,55.80,1.66,"[sl 4700.06]",0,00:00:00:04,,,,,,,,,,,,
,04/23/2026 15:58,04/23/2026 15:58,XAUUSD,Buy,0.160,4741.09000,0.00000,4743.27000,4740.76000,-0.9600,0.0000,-251.0,-41.12,-1.21,"[sl 4741.09]",0,00:00:00:23,,,,,,,,,,,,
,04/23/2026 15:31,04/23/2026 15:31,XAUUSD,Buy,0.130,4737.14000,0.00000,4740.00000,4736.96000,-0.7800,0.0000,-304.0,-40.30,-1.17,"[sl 4737.14]",0,00:00:00:13,,,,,,,,,,,,
,04/23/2026 13:23,04/23/2026 13:23,XAUUSD,Sell,0.100,4686.65000,0.00000,4684.94000,4686.45000,-0.6000,0.0000,-151.0,-15.70,-0.45,"[sl 4686.65]",0,00:00:00:32,,,,,,,,,,,,
