Tags,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
,04/29/2026 16:25,,,Withdrawal,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,-10000.00,0,"Transfer to us52-live_60268233 ",0,00:00:00:00,,,,,,,,,,,,
,04/29/2026 15:48,,,Withdrawal,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,-62331.05,0,"Transfer to imslive_038FC1M9PET",0,00:00:00:00,,,,,,,,,,,,
,04/29/2026 15:38,04/29/2026 15:45,XAUUSD,Buy,0.500,0.00000,0.00000,4554.31000,4557.04000,-2.2500,0.0000,273.0,134.25,0.19,"",0,00:00:07:11,14.3,1m,0.0,0.00,273.0,136.5,0.0,0.0,100.0,100.0,0.00,0.00
,04/29/2026 15:35,04/29/2026 15:45,XAUUSD,Buy,0.500,0.00000,0.00000,4557.66000,4557.07000,-2.2500,0.0000,-59.0,-31.75,-0.04,"",0,00:00:09:18,0.0,0s,59.0,59.17,0.0,0.0,-59.0,-29.5,0.0,0.0,-59.00,-29.50
,04/29/2026 15:35,04/29/2026 15:45,XAUUSD,Buy,0.500,0.00000,0.00000,4557.64000,4556.99000,-2.2500,0.0000,-65.0,-34.75,-0.05,"",0,00:00:09:20,0.0,0s,65.0,65.36,0.0,0.0,-65.0,-32.5,0.0,0.0,-65.00,-32.50
,04/29/2026 15:35,04/29/2026 15:45,XAUUSD,Buy,0.500,0.00000,0.00000,4557.83000,4557.07000,-2.2500,0.0000,-76.0,-40.25,-0.06,"",0,00:00:09:24,0.0,0s,76.0,76.34,0.0,0.0,-76.0,-38.0,0.0,0.0,-76.00,-38.00
,04/29/2026 13:18,04/29/2026 13:58,XAUUSD,Sell,1.000,0.00000,0.00000,4571.29000,4566.20000,-4.5000,0.0000,509.0,504.50,0.70,"",0,00:00:39:14,2.5,58s,0.0,0.00,509.0,509.0,0.0,0.0,100.0,100.0,0.00,0.00
,04/29/2026 13:11,04/29/2026 13:58,XAUUSD,Sell,1.000,0.00000,0.00000,4564.78000,4566.20000,-4.5000,0.0000,-142.0,-146.50,-0.20,"",0,00:00:46:51,0.0,0s,142.0,142.86,0.0,0.0,-142.0,-142.0,0.0,0.0,-142.00,-142.00
,04/29/2026 13:11,04/29/2026 13:58,XAUUSD,Sell,1.000,0.00000,0.00000,4564.65000,4566.20000,-4.5000,0.0000,-155.0,-159.50,-0.22,"",0,00:00:46:53,0.0,0s,155.0,156.25,0.0,0.0,-155.0,-155.0,0.0,0.0,-155.00,-155.00
,04/29/2026 13:08,04/29/2026 13:58,XAUUSD,Sell,1.000,0.00000,0.00000,4561.81000,4566.20000,-4.5000,0.0000,-439.0,-443.50,-0.61,"",0,00:00:49:56,0.0,0s,439.0,454.55,0.0,0.0,-439.0,-439.0,0.0,0.0,-439.00,-439.00
,04/29/2026 13:33,04/29/2026 13:58,XAUUSD,Sell,1.000,0.00000,0.00000,4575.22000,4566.20000,-4.5000,0.0000,902.0,897.50,1.25,"",0,00:00:24:35,4.0,59s,0.0,0.00,902.0,902.0,0.0,0.0,100.0,100.0,0.00,0.00
,04/29/2026 13:08,04/29/2026 13:58,XAUUSD,Sell,1.000,0.00000,0.00000,4561.58000,4566.20000,-4.5000,0.0000,-462.0,-466.50,-0.65,"",0,00:00:49:53,0.0,0s,462.0,476.19,0.0,0.0,-462.0,-462.0,0.0,0.0,-462.00,-462.00
,04/29/2026 13:08,04/29/2026 13:58,XAUUSD,Sell,1.000,0.00000,0.00000,4561.80000,4566.19000,-4.5000,0.0000,-439.0,-443.50,-0.61,"",0,00:00:49:57,0.0,0s,439.0,454.55,0.0,0.0,-439.0,-439.0,0.0,0.0,-439.00,-439.00
,04/29/2026 13:25,04/29/2026 13:57,XAUUSD,Sell,1.000,0.00000,0.00000,4571.16000,4565.00000,-4.5000,0.0000,616.0,611.50,0.85,"",0,00:00:31:58,3.2,1m,0.0,0.00,616.0,616.0,0.0,0.0,100.0,100.0,0.00,0.00
