Open Date,Close Date,Symbol,Action,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
05/29/2026 18:08,05/29/2026 18:08,GOLD#,Buy,4589.28000,4586.74000,0.0000,0.0000,-254.0,-147.32,-1.71,"{76539820}                 [sl]",00:00:00:24,,,,,,,,,,,,
05/29/2026 18:05,05/29/2026 18:05,GOLD#,Buy,4580.55000,4577.74000,0.0000,0.0000,-281.0,-162.98,-1.86,"{76539651}                 [sl]",00:00:00:22,,,,,,,,,,,,
05/29/2026 04:15,05/29/2026 04:24,GOLD#,Buy,4516.86000,4514.13000,0.0000,0.0000,-273.0,-158.34,-1.78,"{76524491}                 [sl]",00:00:09:03,44.5,4m,638.0,1.68,238.0,138.04,-400.0,-231.99999999999997,37.3,19.9,-511.00,-296.38
05/26/2026 18:00,05/28/2026 19:24,USDJPY,Buy,159.33800,159.10400,0.0000,0.0000,-23.4,-85.30,-0.95,"{76448798}                     ",02:01:24:13,65.6,1d 8h ,53.9,0.77,30.5,111.325,-23.4,-85.41,56.6,0.0,-53.90,-196.73
05/28/2026 05:12,05/28/2026 05:14,GOLD#,Sell,4401.05000,4403.68000,0.0000,0.0000,-263.0,-152.54,-1.67,"{76499699}                 [sl]",00:00:02:05,,,,,,,,,,,,
05/27/2026 13:46,05/27/2026 13:46,GOLD#,Sell,4451.56000,4456.19000,0.0000,0.0000,-463.0,-268.54,-2.85,"{76482899}                 [sl]",00:00:00:28,,,,,,,,,,,,
05/27/2026 09:31,05/27/2026 09:33,GOLD#,Sell,4482.12000,4484.78000,0.0000,0.0000,-266.0,-154.28,-1.61,"{76477513}                 [sl]",00:00:02:01,,,,,,,,,,,,
05/26/2026 20:58,05/26/2026 21:25,GOLD#,Sell,4491.70000,4494.27000,0.0000,0.0000,-257.0,-149.06,-1.53,"{76468604}                     ",00:00:27:00,74.1,20m,1081.0,0.38,786.0,455.88,-295.0,-171.1,72.7,3.5,-1043.00,-604.94
05/26/2026 21:02,05/26/2026 21:10,GOLD#,Sell,4486.39000,4491.02000,0.0000,0.0000,-463.0,-268.54,-2.69,"{76469385}                 [sl]",00:00:08:38,50.0,4m,718.0,1.82,255.0,147.89999999999998,-463.0,-268.53999999999996,35.5,0.0,-718.00,-416.44
05/26/2026 02:18,05/26/2026 02:19,GOLD#,Buy,4580.28000,4577.58000,0.0000,0.0000,-270.0,-156.60,-1.54,"{76448797}                 [sl]",00:00:00:53,,,,,,,,,,,,
