Tags,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
,05/28/2026 17:13,05/29/2026 03:41,US500_,Buy,53.300,7025.12000,0.00000,7552.27000,7567.22000,-5.3300,-63.3100,1495.0,728.20,0.54,"Buy AI Trader 2.0",86257458,00:10:28:06,,,,,,,,,,,,
,05/21/2026 20:16,05/21/2026 21:01,US500_,Buy,53.780,6919.63000,0.00000,7440.84000,7456.71000,-5.3800,0.0000,1587.0,848.11,0.64,"Buy AI Trader 2.0",86257458,00:00:45:00,,,,,,,,,,,,
,05/18/2026 16:56,05/21/2026 11:20,US500_,Buy,53.910,6916.31000,0.00000,7437.52000,7439.45000,-5.3900,-184.3900,193.0,-85.73,-0.06,"Buy AI Trader 2.0",86257458,02:18:23:31,,,,,,,,,,,,
,05/18/2026 14:40,05/18/2026 16:30,US500_,Buy,53.720,6889.56000,0.00000,7408.53000,7422.63000,-5.3700,0.0000,1410.0,752.08,0.57,"Buy AI Trader 2.0",86257458,00:01:49:42,,,,,,,,,,,,
,05/15/2026 17:17,05/15/2026 21:18,US500_,Buy,53.460,6919.14000,0.00000,7440.32000,7442.69000,-5.3500,0.0000,237.0,121.35,0.09,"Buy AI Trader 2.0",86257458,00:04:01:22,,,,,,,,,,,,
,05/06/2026 17:45,05/07/2026 01:01,US500_,Buy,53.890,6834.14000,0.00000,7348.92000,7359.74000,-5.3900,-62.2200,1082.0,515.48,0.39,"Buy AI Trader 2.0",86257458,00:07:15:53,,,,,,,,,,,,
,05/06/2026 11:55,05/06/2026 14:44,US500_,Buy,53.970,6808.79000,0.00000,7321.68000,7329.78000,-5.4000,0.0000,810.0,431.76,0.33,"Buy AI Trader 2.0",86257458,00:02:48:25,,,,,,,,,,,,
,05/01/2026 17:00,05/06/2026 03:16,US500_,Buy,54.230,6761.78000,0.00000,7271.11000,7283.90000,-5.4200,-307.7200,1279.0,380.46,0.29,"Buy AI Trader 2.0",86257458,04:10:16:04,,,,,,,,,,,,
,04/30/2026 17:55,05/01/2026 01:53,US500_,Buy,53.720,6666.81000,0.00000,7169.49000,7224.81000,-5.3700,-60.9300,5532.0,2905.49,2.27,"Buy AI Trader 2.0",86257458,00:07:57:47,,,,,,,,,,,,
,04/29/2026 23:03,04/30/2026 16:30,US500_,Buy,53.530,6662.21000,0.00000,7163.38000,7171.69000,-5.3500,-60.0600,831.0,379.42,0.30,"Buy AI Trader 2.0",86257458,00:17:27:16,,,,,,,,,,,,
,04/24/2026 14:22,04/24/2026 18:46,US500_,Buy,53.690,6652.05000,0.00000,7153.14000,7153.38000,-5.3700,0.0000,24.0,7.52,0.01,"Buy AI Trader 2.0",86257458,00:04:24:11,,,,,,,,,,,,
,04/23/2026 20:53,04/23/2026 21:49,US500_,Buy,53.090,6589.76000,0.00000,7086.14000,7108.64000,-5.3100,0.0000,2250.0,1189.22,0.94,"Buy AI Trader 2.0",86257458,00:00:56:04,,,,,,,,,,,,
,04/23/2026 03:19,04/23/2026 04:30,US500_,Buy,53.100,6614.25000,0.00000,7113.31000,7114.35000,-5.3100,0.0000,104.0,49.91,0.04,"Buy AI Trader 2.0",86257458,00:01:11:08,,,,,,,,,,,,
,04/21/2026 20:43,04/22/2026 11:33,US500_,Buy,53.460,6604.91000,0.00000,7102.43000,7103.07000,-5.3500,-59.6600,64.0,-30.80,-0.02,"Buy AI Trader 2.0",86257458,00:14:49:17,,,,,,,,,,,,
,04/17/2026 15:50,04/17/2026 18:19,US500_,Buy,53.040,6603.52000,0.00000,7101.21000,7126.57000,-5.3000,0.0000,2536.0,1339.79,1.07,"Buy AI Trader 2.0",86257458,00:02:29:06,,,,,,,,,,,,
,04/13/2026 16:50,04/13/2026 19:42,US500_,Buy,54.870,6341.94000,0.00000,6819.67000,6834.29000,-5.4900,0.0000,1462.0,796.71,0.64,"Buy AI Trader 2.0",86257458,00:02:51:06,,,,,,,,,,,,
,04/08/2026 23:00,04/09/2026 19:38,US500_,Buy,54.400,6312.58000,0.00000,6788.10000,6819.83000,-5.4400,-58.0200,3173.0,1662.65,1.36,"Buy AI Trader 2.0",86257458,00:20:38:18,,,,,,,,,,,,
,04/08/2026 18:50,04/08/2026 20:27,US500_,Buy,54.350,6300.95000,0.00000,6775.35000,6776.97000,-5.4400,0.0000,162.0,82.61,0.07,"Buy AI Trader 2.0",86257458,00:01:37:19,,,,,,,,,,,,
,04/08/2026 02:25,04/08/2026 10:01,US500_,Buy,54.380,6304.75000,0.00000,6779.51000,6785.33000,-5.4400,0.0000,582.0,311.05,0.25,"Buy AI Trader 2.0",86257458,00:07:35:59,,,,,,,,,,,,
,04/08/2026 01:58,04/08/2026 02:06,US500_,Buy,54.000,6273.83000,0.00000,6746.51000,6747.80000,-5.4000,0.0000,129.0,64.26,0.05,"Buy AI Trader 2.0",86257458,00:00:07:58,,,,,,,,,,,,
,04/08/2026 01:32,04/08/2026 01:42,US500_,Buy,54.000,6231.17000,0.00000,6700.64000,6717.80000,-5.4000,0.0000,1716.0,921.24,0.76,"Buy AI Trader 2.0",86257458,00:00:09:47,,,,,,,,,,,,
,04/07/2026 23:41,04/08/2026 01:00,US500_,Buy,53.720,6167.31000,0.00000,6631.48000,6681.69000,-5.3700,-56.1000,5021.0,2635.81,2.22,"Buy AI Trader 2.0",86257458,00:01:18:44,,,,,,,,,,,,
,04/07/2026 15:55,04/07/2026 22:46,US500_,Buy,53.880,6134.91000,0.00000,6596.70000,6602.19000,-5.3900,0.0000,549.0,290.41,0.25,"Buy AI Trader 2.0",86257458,00:06:50:26,,,,,,,,,,,,
,04/06/2026 17:00,04/07/2026 13:09,US500_,Buy,53.800,6149.58000,0.00000,6613.08000,6610.68000,-5.3800,-55.9600,-240.0,-190.46,-0.16,"Buy AI Trader 2.0",86257458,00:20:08:55,,,,,,,,,,,,
,04/02/2026 04:11,04/02/2026 17:38,US500_,Buy,53.890,6124.88000,0.00000,6586.35000,6587.68000,-5.3900,0.0000,133.0,66.28,0.06,"Buy AI Trader 2.0",86257458,00:13:26:59,,,,,,,,,,,,
,04/01/2026 15:44,04/01/2026 20:57,US500_,Buy,53.850,6132.54000,0.00000,6594.53000,6596.77000,-5.3900,0.0000,224.0,115.23,0.10,"Buy AI Trader 2.0",86257458,00:05:12:13,,,,,,,,,,,,
,03/31/2026 20:03,03/31/2026 22:51,US500_,Buy,54.120,6050.59000,0.00000,6506.39000,6525.51000,-5.4100,0.0000,1912.0,1029.36,0.88,"Buy AI Trader 2.0",86257458,00:02:48:49,,,,,,,,,,,,
,03/31/2026 18:06,03/31/2026 19:42,US500_,Buy,53.220,5984.79000,0.00000,6435.64000,6500.26000,-5.3200,0.0000,6462.0,3433.76,3.02,"Buy AI Trader 2.0",86257458,00:01:35:29,,,,,,,,,,,,
,03/31/2026 16:49,03/31/2026 17:06,US500_,Buy,53.180,5988.05000,0.00000,6439.14000,6440.38000,-5.3200,0.0000,124.0,60.62,0.05,"Buy AI Trader 2.0",86257458,00:00:16:54,,,,,,,,,,,,
