Tags,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Pips,Gain,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
,06/02/2026 16:20,06/02/2026 16:26,USTEC,Buy,0.020,30480.00000,0.00000,30460.24000,30479.45000,1921.0,0.09,0,00:00:05:52,,,,,,,,,,,,
,06/01/2026 20:37,06/01/2026 21:49,USTEC,Buy,0.020,30555.00000,0.00000,30527.83000,30555.03000,2720.0,0.12,0,00:01:11:52,,,,,,,,,,,,
,06/01/2026 20:37,06/01/2026 20:43,USTEC,Buy,0.020,30497.00000,30560.00000,30528.24000,30560.89000,3265.0,0.15,0,00:00:05:15,,,,,,,,,,,,
,05/28/2026 16:57,05/28/2026 17:10,USTEC,Buy,0.020,29941.54000,0.00000,29922.75000,29940.98000,1823.0,0.08,0,00:00:13:00,,,,,,,,,,,,
,05/27/2026 16:51,05/27/2026 17:07,USTEC,Buy,0.020,29973.10000,0.00000,29965.86000,29952.91000,-1295.0,-0.06,0,00:00:16:48,,,,,,,,,,,,
,05/27/2026 16:51,05/27/2026 17:02,USTEC,Buy,0.020,29934.01000,0.00000,29967.79000,29997.51000,2972.0,0.14,0,00:00:11:18,,,,,,,,,,,,
,05/26/2026 16:40,05/26/2026 16:44,USTEC,Buy,0.020,29830.83000,0.00000,29797.74000,29830.83000,3309.0,0.15,0,00:00:03:22,,,,,,,,,,,,
,05/26/2026 16:40,05/26/2026 16:42,USTEC,Buy,0.020,0.00000,0.00000,29800.84000,29827.64000,2680.0,0.12,0,00:00:01:40,,,,,,,,,,,,
,05/21/2026 16:59,05/21/2026 17:04,USTEC,Buy,0.020,29217.00000,0.00000,29187.01000,29216.18000,2917.0,0.13,0,00:00:04:23,,,,,,,,,,,,
,05/21/2026 16:59,05/21/2026 17:02,USTEC,Buy,0.020,0.00000,0.00000,29191.52000,29235.59000,4407.0,0.20,0,00:00:02:41,,,,,,,,,,,,
,05/20/2026 16:30,05/20/2026 16:35,USTEC,Buy,0.020,29035.00000,0.00000,29016.32000,29034.33000,1801.0,0.08,0,00:00:04:34,,,,,,,,,,,,
,05/19/2026 16:48,05/19/2026 16:55,USTEC,Buy,0.020,28816.00000,0.00000,28871.56000,28905.61000,3405.0,0.16,0,00:00:06:59,,,,,,,,,,,,
,05/18/2026 17:06,05/18/2026 17:11,USTEC,Buy,0.020,29152.96000,0.00000,29106.45000,29154.97000,4852.0,0.23,0,00:00:05:00,,,,,,,,,,,,
,05/18/2026 17:06,05/18/2026 17:11,USTEC,Buy,0.020,29108.00000,29164.00000,29106.12000,29163.87000,5775.0,0.27,0,00:00:04:17,,,,,,,,,,,,
,05/15/2026 16:48,05/15/2026 16:54,USTEC,Buy,0.020,0.00000,0.00000,29079.18000,29160.96000,8178.0,0.39,0,00:00:06:01,,,,,,,,,,,,
,05/15/2026 16:40,05/15/2026 16:45,USTEC,Buy,0.020,29043.00000,0.00000,29128.58000,29039.74000,-8884.0,-0.42,0,00:00:04:25,,,,,,,,,,,,
,05/15/2026 16:40,05/15/2026 16:45,USTEC,Buy,0.020,29043.00000,0.00000,29124.02000,29040.49000,-8353.0,-0.39,0,00:00:04:26,,,,,,,,,,,,
,05/14/2026 19:41,05/14/2026 19:56,USTEC,Buy,0.020,29588.00000,0.00000,29623.60000,29587.77000,-3583.0,-0.17,0,00:00:15:00,,,,,,,,,,,,
,05/14/2026 19:41,05/14/2026 19:45,USTEC,Buy,0.020,29588.00000,0.00000,29623.48000,29587.13000,-3635.0,-0.17,0,00:00:04:18,,,,,,,,,,,,
,05/13/2026 16:42,05/13/2026 16:46,USTEC,Buy,0.020,0.00000,0.00000,29148.66000,29056.72000,-9194.0,-0.43,0,00:00:03:56,,,,,,,,,,,,
,05/13/2026 16:42,05/13/2026 16:45,USTEC,Buy,0.020,0.00000,0.00000,29152.53000,29057.93000,-9460.0,-0.44,0,00:00:03:54,,,,,,,,,,,,
,05/12/2026 16:39,05/12/2026 16:46,USTEC,Buy,0.020,29148.00000,0.00000,29116.49000,29139.22000,2273.0,0.10,0,00:00:06:28,,,,,,,,,,,,
,05/12/2026 16:39,05/12/2026 16:43,USTEC,Buy,0.020,0.00000,0.00000,29117.21000,29168.56000,5135.0,0.24,0,00:00:03:43,,,,,,,,,,,,
,05/11/2026 17:36,05/11/2026 17:56,USTEC,Buy,0.020,29277.58000,0.00000,29207.36000,29277.56000,7020.0,0.32,0,00:00:19:56,,,,,,,,,,,,
,05/11/2026 17:36,05/11/2026 17:49,USTEC,Buy,0.020,0.00000,0.00000,29206.70000,29251.48000,4478.0,0.21,0,00:00:12:58,,,,,,,,,,,,
,05/08/2026 17:44,05/08/2026 18:10,USTEC,Buy,0.020,29032.99000,0.00000,29014.42000,29032.70000,1828.0,0.09,0,00:00:25:39,,,,,,,,,,,,
,05/08/2026 17:44,05/08/2026 17:59,USTEC,Buy,0.020,28970.00000,0.00000,29014.36000,29043.66000,2930.0,0.14,0,00:00:14:25,,,,,,,,,,,,
,05/07/2026 16:39,05/07/2026 16:46,USTEC,Buy,0.020,0.00000,0.00000,28649.51000,28592.45000,-5706.0,-0.26,0,00:00:07:02,,,,,,,,,,,,
,05/05/2026 17:23,05/05/2026 17:27,USTEC,Buy,0.020,0.00000,0.00000,27969.11000,28000.12000,3101.0,0.14,0,00:00:03:38,,,,,,,,,,,,
,05/05/2026 17:23,05/05/2026 17:27,USTEC,Buy,0.020,0.00000,0.00000,27970.26000,27997.65000,2739.0,0.13,0,00:00:03:38,,,,,,,,,,,,
,04/27/2026 16:37,04/27/2026 16:47,USTEC,Buy,0.020,0.00000,0.00000,27260.51000,27198.78000,-6173.0,-0.29,0,00:00:09:35,,,,,,,,,,,,
,04/27/2026 16:37,04/27/2026 16:47,USTEC,Buy,0.020,0.00000,0.00000,27259.86000,27203.78000,-5608.0,-0.26,0,00:00:09:32,,,,,,,,,,,,
,04/22/2026 18:36,04/24/2026 18:45,XTIUSD,Buy,1.000,91.98000,98.40000,91.95000,91.96000,1.0,0.05,0,02:00:08:58,,,,,,,,,,,,
,04/24/2026 16:34,04/24/2026 16:54,USTEC,Buy,0.020,27032.00000,27117.00000,27094.44000,27031.02000,-6342.0,-0.29,0,00:00:19:35,,,,,,,,,,,,
,04/21/2026 16:48,04/21/2026 17:02,USTEC,Buy,0.020,26647.06000,0.00000,26621.35000,26672.29000,5094.0,0.24,0,00:00:14:38,,,,,,,,,,,,
,04/21/2026 16:48,04/21/2026 16:56,USTEC,Buy,0.020,0.00000,0.00000,26620.66000,26653.31000,3265.0,0.15,0,00:00:08:47,,,,,,,,,,,,
,04/20/2026 16:34,04/20/2026 16:40,USTEC,Buy,0.020,0.00000,0.00000,26653.75000,26580.97000,-7278.0,-0.34,0,00:00:05:23,,,,,,,,,,,,
,04/17/2026 01:04,04/17/2026 01:46,USTEC,Buy,0.020,26316.87000,0.00000,26308.55000,26316.18000,763.0,0.03,0,00:00:41:48,,,,,,,,,,,,
,04/15/2026 16:44,04/15/2026 16:44,USTEC,Buy,0.020,25848.00000,0.00000,25862.75000,25847.93000,-1482.0,-0.07,0,00:00:00:30,,,,,,,,,,,,
,04/15/2026 16:31,04/15/2026 16:43,USTEC,Buy,0.020,25865.00000,0.00000,25864.35000,25865.52000,117.0,0.00,0,00:00:12:17,,,,,,,,,,,,
,04/15/2026 16:31,04/15/2026 16:39,USTEC,Buy,0.020,25845.00000,0.00000,25866.63000,25878.62000,1199.0,0.06,0,00:00:08:18,,,,,,,,,,,,
,04/14/2026 16:30,04/14/2026 16:32,USTEC,Buy,0.020,0.00000,0.00000,25516.24000,25546.16000,2992.0,0.14,0,00:00:01:34,,,,,,,,,,,,
,04/09/2026 16:33,04/09/2026 16:43,USTEC,Sell,0.020,0.00000,0.00000,24868.83000,24934.38000,-6555.0,-0.30,0,00:00:10:23,,,,,,,,,,,,
,04/08/2026 18:00,04/08/2026 18:40,USTEC,Buy,0.020,24870.00000,0.00000,24830.86000,24868.91000,3805.0,0.18,0,00:00:40:10,,,,,,,,,,,,
,04/08/2026 17:49,04/08/2026 17:53,USTEC,Buy,0.020,0.00000,0.00000,24859.70000,24821.93000,-3777.0,-0.18,0,00:00:04:19,,,,,,,,,,,,
