Tags,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
,06/01/2026 09:36,06/01/2026 20:00,USDJPY,Buy,0.240,0.00000,0.00000,159.49900,159.59800,-1.6800,0.0000,9.9,13.21,1.69,"Buy Stop by EA",5555,00:10:23:36,39.6,4h 6m,14.6,0.31,23.7,35.55,-7.4,-11.100000000000001,76.2,55.6,-13.80,-20.70
,05/29/2026 06:02,05/29/2026 09:54,USDJPY,Buy,0.440,159.22300,0.00000,159.33000,159.22300,-3.0800,0.0000,-10.7,-32.65,-4.01,"Buy Stop by EA[sl 159.223]",5555,00:03:52:18,38.0,1h 28m,15.1,2.43,4.4,12.144,-10.7,-29.531999999999996,29.1,0.0,-15.10,-41.68
,05/28/2026 06:34,05/28/2026 09:38,USDJPY,Buy,0.380,159.48300,0.00000,159.60700,159.48000,-2.6600,0.0000,-12.7,-32.92,-3.89,"Buy Stop by EA[sl 159.483]",5555,00:03:04:17,13.6,25m,16.6,3.26,3.9,9.282,-12.7,-30.225999999999996,23.5,0.0,-16.60,-39.51
,05/27/2026 08:45,05/27/2026 20:00,USDJPY,Buy,0.350,0.00000,0.00000,159.31800,159.49800,-2.4600,0.0000,18.0,37.04,4.58,"Buy Stop by EA",5555,00:11:14:28,98.6,11h 5m,11.8,0.09,20.2,44.238,-1.8,-3.942,91.8,90.0,-2.20,-4.82
,05/26/2026 07:58,05/26/2026 20:00,USDJPY,Buy,0.500,0.00000,0.00000,159.00500,159.31000,-3.5000,0.0000,30.5,92.23,12.84,"Buy Stop by EA",5555,00:12:01:07,94.2,11h 19m,11.7,0.06,37.1,116.49400000000001,-2.1,-6.594,94.6,83.2,-6.60,-20.72
,05/22/2026 08:56,05/22/2026 20:00,USDJPY,Buy,0.320,0.00000,0.00000,159.13200,159.17200,-2.2400,0.0000,4.0,5.80,0.81,"Buy Stop by EA",5555,00:11:03:26,31.3,3h 27m,14.4,1.38,9.3,18.692999999999998,-12.8,-25.727999999999998,42.1,76.0,-5.30,-10.65
,05/21/2026 06:00,05/21/2026 20:00,USDJPY,Buy,0.270,0.00000,0.00000,158.98500,159.14400,-1.9000,0.0000,15.9,25.08,3.65,"Buy Stop by EA",5555,00:13:59:27,74.3,10h 23m,18.8,0.16,34.5,58.65,-5.6,-9.52,86.0,53.6,-18.60,-31.62
,05/20/2026 07:00,05/20/2026 16:59,USDJPY,Sell,0.180,159.10500,0.00000,158.84200,159.10500,-1.2600,0.0000,-26.3,-31.01,-4.32,"Sell Stop by EA[sl 159.105]",5555,00:09:58:31,0.0,0s,26.3,26.32,0.0,0.0,-26.3,-29.718999999999998,0.0,0.0,-26.30,-29.72
,05/19/2026 08:58,05/19/2026 15:41,USDJPY,Buy,0.200,158.79300,0.00000,159.03000,158.76800,-1.4000,0.0000,-26.2,-34.40,-4.57,"Buy Stop by EA[sl 158.793]",5555,00:06:42:45,92.6,6h 12m,40.0,1.90,13.8,17.388,-26.2,-33.012,34.5,0.0,-40.00,-50.40
,05/18/2026 06:48,05/18/2026 14:39,USDJPY,Buy,0.250,158.76600,0.00000,158.95700,158.76400,-1.7600,0.0000,-19.3,-32.15,-4.10,"Buy Stop by EA",5555,00:07:51:35,20.0,1h 34m,30.0,1.80,10.7,16.799,-19.3,-30.301000000000002,35.7,0.0,-30.00,-47.10
