Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Pips,Gain,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
06/01/2026 20:47,06/01/2026 21:01,XAUUSD,Buy,0.030,4487.06000,0.00000,4495.11000,4486.94000,-817.0,-0.84,123456,00:00:14:37,0.0,0s,1234.0,1250.00,0.0,,-1234.0,,0.0,33.8,-817.00,
06/01/2026 18:32,06/01/2026 19:10,XAUUSD,Buy,0.030,4466.26000,0.00000,4474.47000,4466.11000,-836.0,-0.86,123456,00:00:38:25,97.5,37m,2230.0,0.60,1394.0,,-836.0,,62.5,0.0,-2230.00,
05/29/2026 17:54,05/29/2026 17:54,XAUUSD,Buy,0.030,4555.97000,0.00000,4564.58000,4555.75000,-883.0,-0.90,123456,00:00:00:54,,,,,,,,,,,,
05/27/2026 13:14,05/27/2026 13:32,XAUUSD,Buy,0.020,4473.00000,0.00000,4484.93000,4472.93000,-1200.0,-0.80,0,00:00:18:44,0.0,0s,8068.0,10000.00,0.0,,-8068.0,,0.0,85.1,-1200.00,
05/27/2026 01:01,05/27/2026 01:01,XAUUSD,Buy,0.030,4524.86000,0.00000,4508.10000,4507.05000,-105.0,-0.11,123456,00:00:00:01,,,,,,,,,,,,
05/26/2026 16:53,05/26/2026 19:17,XAUUSD,Buy,0.020,4500.00000,0.00000,4513.45000,4500.00000,-1345.0,-0.89,0,00:02:23:25,0.0,0s,2961.0,3333.33,0.0,,-2961.0,,0.0,54.6,-1345.00,
05/26/2026 14:25,05/26/2026 14:35,XAUUSD,Buy,0.020,4515.00000,0.00000,4524.71000,4514.93000,-978.0,-0.64,0,00:00:10:29,0.0,0s,978.0,1000.00,0.0,,-978.0,,0.0,0.0,-978.00,
05/25/2026 01:01,05/26/2026 04:21,XAUUSD,Buy,0.030,4542.48000,0.00000,4541.57000,4542.12000,55.0,-0.01,123456,01:03:20:40,93.3,1d 1h ,4908.0,0.31,3747.0,,-1161.0,,76.3,24.8,-3692.00,
05/22/2026 12:51,05/22/2026 13:31,XAUUSD,Buy,0.030,4522.90000,0.00000,4531.23000,4522.78000,-845.0,-0.83,123456,00:00:40:36,9.8,3m,1141.0,6.75,169.0,,-1141.0,,12.9,22.6,-1014.00,
05/21/2026 13:25,05/21/2026 13:27,XAUUSD,Buy,0.020,4511.00000,0.00000,4529.00000,4511.76000,-1724.0,-1.11,0,00:00:01:41,,,,,,,,,,,,
05/06/2026 11:31,05/13/2026 18:30,AUDNZD,Sell,0.060,1.22400,0.00000,1.21620,1.22400,-78.0,-0.97,7864234,07:06:58:59,83.3,6d 1h ,121.8,1.78,43.8,,-78.0,,36.0,0.0,-121.80,
04/30/2026 14:49,05/13/2026 14:26,AUDNZD,Sell,0.070,1.22250,0.00000,1.21893,1.22250,-35.7,-0.60,,12:23:36:05,59.8,7d 18h ,111.9,0.61,69.6,,-42.3,,62.2,5.9,-105.30,
05/12/2026 22:37,05/13/2026 04:57,XAUUSD,Buy,0.030,4701.32000,0.00000,4709.92000,4701.32000,-860.0,-0.88,123456,00:06:20:36,40.7,2h 34m,3625.0,1.32,1565.0,,-2060.0,,43.2,33.1,-2425.00,
05/13/2026 00:06,,,Deposit,0.000,0.00000,0.00000,0.00000,0.00000,0.0,0,0,00:00:00:00,,,,,,,,,,,,
05/12/2026 00:06,,,Deposit,0.000,0.00000,0.00000,0.00000,0.00000,0.0,0,0,00:00:00:00,,,,,,,,,,,,
