Open Date,Close Date,Symbol,Action,Units/Lots,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(EUR),Min(pips),Min(EUR),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(EUR)
06/02/2026 03:32,06/02/2026 10:36,XAUUSD,Buy,0.010,4496.95000,4532.07000,-0.0600,0.0000,3512.0,30.09,0.77,"XAUUSD_H1_Strategy 2.12.22",207,00:07:04:17,55.7,3h 56m,3156.0,0.73,4304.0,43.04,-3156.0,-31.560000000000002,57.7,89.4,-792.00,-7.92
06/01/2026 20:43,06/01/2026 23:30,XAUUSD,Buy,0.010,4491.34000,4483.16000,-0.0600,0.0000,-818.0,-7.09,-0.18,"XAUUSD_H1_Strategy 2.12.22",207,00:02:46:31,4.3,7m,1594.0,3.11,388.0,3.88,-1206.0,-12.06,24.3,24.3,-1206.00,-12.06
06/01/2026 06:00,06/01/2026 16:11,USTEC,Buy,0.200,30489.90000,30314.40000,0.0000,0.0000,-17550.0,-30.17,-0.77,"USTEC_H1_Strategy 8.14.17",204,00:10:11:49,,,,,,,,,,,,
05/29/2026 02:00,05/29/2026 23:30,USTEC,Buy,0.200,30218.90000,30321.30000,0.0000,0.0000,10240.0,17.56,0.45,"USTEC_H1_Strategy 9.2.15",205,00:21:30:00,,,,,,,,,,,,
05/29/2026 18:05,05/29/2026 22:47,XAUUSD,Buy,0.010,4580.85000,4550.19000,-0.0600,0.0000,-3066.0,-26.34,-0.67,"Master EA|XAUUSD|15m|High-Low B",0,00:04:42:55,8.2,23m,4123.0,2.43,1202.0,12.02,-2921.0,-29.21,29.2,3.5,-4268.00,-42.68
05/29/2026 13:36,05/29/2026 20:50,USTEC,Buy,0.200,30264.50000,30262.50000,0.0000,0.0000,-200.0,-0.34,-0.01,"USTEC_H1_Strategy 14.2.24",202,00:07:13:23,,,,,,,,,,,,
05/29/2026 18:11,05/29/2026 20:43,XAUUSD,Buy,0.010,4592.05000,4553.57000,-0.0600,0.0000,-3848.0,-33.05,-0.83,"XAUUSD_H1_Strategy 1.2.24",206,00:02:32:33,0.7,1m,3930.0,46.95,82.0,0.8200000000000001,-3848.0,-38.480000000000004,2.1,0.0,-3930.00,-39.30
05/29/2026 17:02,05/29/2026 18:48,XAUUSD,Buy,0.010,4548.96000,4560.20000,-0.0600,0.0000,1124.0,9.56,0.24,"XAUUSD_H1_Strategy 2.12.22",207,00:01:46:04,60.4,1h 4m,3267.0,0.49,4391.0,43.910000000000004,-2166.0,-21.66,67.0,50.2,-3267.00,-32.67
05/29/2026 18:05,05/29/2026 18:48,XAUUSD,Buy,0.020,4580.85000,4560.05000,-0.1400,0.0000,-2080.0,-35.76,-0.89,"Master EA|XAUUSD|1h|High-Low Br",1,00:00:43:14,53.5,23m,3282.0,1.73,1202.0,24.04,-2080.0,-41.6,36.6,0.0,-3282.00,-65.64
05/29/2026 04:15,05/29/2026 10:00,XAUUSD,Buy,0.010,4516.99000,4523.28000,-0.0600,0.0000,629.0,5.34,0.13,"XAUUSD_H1_Strategy 9.5.23",208,00:05:44:42,11.7,40m,2417.0,3.45,636.0,6.36,-2192.0,-21.92,22.5,99.8,-7.00,-0.07
05/29/2026 04:09,05/29/2026 08:03,XAUUSD,Buy,0.010,4508.53000,4510.23000,-0.0600,0.0000,170.0,1.40,0.04,"XAUUSD_H1_Strategy 2.12.22",207,00:03:54:12,27.0,1h 3m,2417.0,1.26,1071.0,10.71,-1346.0,-13.46,44.3,62.7,-901.00,-9.01
05/28/2026 17:12,05/28/2026 19:03,XAUUSD,Buy,0.010,4447.60000,4477.87000,-0.0600,0.0000,3027.0,25.93,0.65,"XAUUSD_H1_Strategy 2.12.22",207,00:01:50:21,100.0,1h 50m,1336.0,0.00,3663.0,36.63,0.0,0.0,100.0,82.6,-636.00,-6.36
05/28/2026 05:00,05/28/2026 17:12,XAUUSD,Sell,0.010,4410.35000,4450.61000,-0.0600,0.0000,-4026.0,-34.65,-0.87,"Master EA|XAUUSD|1h|RSI",6,00:12:12:56,88.6,10h 49m,8256.0,0.95,4230.0,42.300000000000004,-4026.0,-40.26,51.2,0.0,-8256.00,-82.56
05/27/2026 13:46,05/28/2026 05:13,XAUUSD,Sell,0.020,4453.13000,4397.93000,-0.1400,2.3300,5520.0,97.26,2.49,"Master EA|XAUUSD|1h|High-Low Br",1,00:15:27:21,73.2,11h 18m,5883.0,0.21,5520.0,110.4,-1149.0,-22.98,82.8,100.0,0.00,0.00
05/27/2026 19:32,05/27/2026 20:08,XAUUSD,Buy,0.010,4449.64000,4447.03000,-0.0600,0.0000,-261.0,-2.31,-0.06,"XAUUSD_H1_Strategy 2.12.22",207,00:00:35:46,77.8,27m,559.0,1.01,278.0,2.7800000000000002,-281.0,-2.81,49.7,3.6,-539.00,-5.39
05/27/2026 16:00,05/27/2026 16:32,USTEC,Buy,0.200,30193.70000,30085.90000,0.0000,0.0000,-10780.0,-18.52,-0.47,"NASDAQ_H1_Long_Strategy_2_2_21",100002,00:00:32:23,,,,,,,,,,,,
05/27/2026 15:19,05/27/2026 16:32,USTEC,Buy,0.200,30242.20000,30085.90000,0.0000,0.0000,-15630.0,-26.85,-0.68,"NASDAQ_H1_Long_Strategy_14_2_2",100003,00:01:13:20,,,,,,,,,,,,
05/27/2026 15:30,05/27/2026 16:04,BTCUSD,Buy,0.090,75834.00000,75534.00000,0.0000,0.0000,-300.0,-23.20,-0.58,"Master EA|BTCUSD|15m|Engulfing",3,00:00:34:16,14.3,4m,393.42,3.24,92.9,7.432,-300.52,-24.0416,23.6,0.1,-392.90,-31.43
05/27/2026 11:22,05/27/2026 13:00,USTEC,Buy,0.100,30133.50000,30141.80000,0.0000,0.0000,830.0,0.71,0.02,"NASDAQ_H1_Long_Strategy_15_2_1",100004,00:01:37:34,,,,,,,,,,,,
05/27/2026 10:23,05/27/2026 11:00,USTEC,Buy,0.200,30053.20000,30067.20000,0.0000,0.0000,1400.0,2.41,0.06,"NASDAQ_H1_Long_Strategy_28_2_1",100005,00:00:36:56,,,,,,,,,,,,
05/27/2026 05:00,05/27/2026 06:00,USTEC,Buy,0.200,30058.00000,30065.50000,0.0000,0.0000,750.0,1.29,0.03,"NASDAQ_H1_Long_Strategy_2_2_21",100002,00:00:59:37,,,,,,,,,,,,
05/27/2026 02:00,05/27/2026 03:00,USTEC,Buy,0.200,29972.60000,30029.10000,0.0000,0.0000,5650.0,9.71,0.25,"NASDAQ_H1_Long_Strategy_2_2_21",100002,00:00:59:25,,,,,,,,,,,,
05/27/2026 02:30,05/27/2026 03:00,USTEC,Buy,0.200,30010.50000,30025.50000,0.0000,0.0000,1500.0,2.58,0.07,"NASDAQ_H1_Long_Strategy_28_2_1",100005,00:00:29:23,,,,,,,,,,,,
05/27/2026 02:30,05/27/2026 03:00,USTEC,Buy,0.100,30007.60000,30026.80000,0.0000,0.0000,1920.0,1.65,0.04,"NASDAQ_H1_Long_Strategy_15_2_1",100004,00:00:29:55,,,,,,,,,,,,
05/26/2026 17:35,05/26/2026 23:30,USTEC,Buy,0.100,30011.20000,29987.00000,0.0000,0.0000,-2420.0,-2.08,-0.05,"NASDAQ_H1_Long_Strategy_14_2_2",100003,00:05:54:46,,,,,,,,,,,,
05/26/2026 02:00,05/26/2026 23:30,XAUUSD,Buy,0.010,4574.80000,4506.65000,-0.0600,0.0000,-6815.0,-58.66,-1.46,"XAUUSD_Long_H1_Strategy_25_6_1",100006,00:21:30:00,1.2,15m,9185.0,20.70,424.0,4.24,-8761.0,-87.61,4.6,21.2,-7239.00,-72.39
05/26/2026 20:59,05/26/2026 22:57,XAUUSD,Sell,0.010,4489.28000,4508.61000,-0.0600,0.0000,-1933.0,-16.68,-0.41,"Master EA|XAUUSD|15m|High-Low B",0,00:01:57:08,10.2,11m,2477.0,3.55,544.0,5.44,-1933.0,-19.330000000000002,22.0,0.0,-2477.00,-24.77
05/26/2026 17:26,05/26/2026 20:24,BTCUSD,Buy,0.020,77958.00000,76047.00000,0.0000,0.0000,-1911.0,-32.86,-0.81,"BTCUSD_H1_Long_Strategy_24_6_1",100000,00:02:58:27,0.0,0s,1911.0,2000.00,0.0,0.0,-1911.0,-38.22,0.0,0.0,-1911.00,-38.22
05/26/2026 17:45,05/26/2026 19:12,BTCUSD,Sell,0.040,76736.00000,76156.00000,0.0000,0.0000,580.0,19.95,0.49,"Master EA|BTCUSD|15m|Engulfing",3,00:01:27:50,64.8,56m,366.77,0.54,580.0,17.4,-316.0,-9.48,64.7,100.0,0.00,0.00
05/26/2026 13:28,05/26/2026 16:00,USTEC,Buy,0.100,29812.50000,29846.00000,0.0000,0.0000,3350.0,2.88,0.07,"NASDAQ_H1_Long_Strategy_15_2_1",100004,00:02:31:55,,,,,,,,,,,,
05/26/2026 13:19,05/26/2026 16:00,USTEC,Buy,0.200,29805.90000,29846.00000,0.0000,0.0000,4010.0,6.89,0.17,"NASDAQ_H1_Long_Strategy_28_2_1",100005,00:02:40:13,,,,,,,,,,,,
05/25/2026 01:31,05/26/2026 03:18,XAUUSD,Buy,0.020,4561.01000,4543.33000,-0.1400,-0.9300,-1768.0,-31.46,-0.78,"Master EA|XAUUSD|15m|High-Low B",0,01:01:47:45,79.0,20h 22m,3571.0,0.98,1803.0,36.06,-1768.0,-35.36,50.5,0.0,-3571.00,-71.42
05/25/2026 04:00,05/26/2026 01:02,XAUUSD,Buy,0.010,4569.73000,4571.22000,-0.0600,-0.4700,149.0,0.75,0.02,"XAUUSD_Long_H1_Strategy_25_6_1",100006,00:21:02:15,36.0,7h 34m,2180.0,2.73,647.0,6.47,-1769.0,-17.69,26.8,79.4,-498.00,-4.98
