Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
05/31/2026 22:05,06/02/2026 05:22,XAUUSD,Sell,0.020,4520.46400,0.00000,4520.56400,4520.46400,0.0000,0.0000,10.0,0.20,0.01,01:07:17:12,83.0,1d 1h ,6999.4,0.35,7009.4,140.188,-2446.6,-48.932,74.1,26.0,-6999.40,-139.99
05/28/2026 15:13,06/01/2026 11:40,USDCAD,Sell,0.330,1.38346,0.00000,1.38021,1.38346,0.0000,0.0000,-32.5,-77.53,-2.11,03:20:27:10,80.2,3d 2h ,59.5,1.20,27.0,64.53,-32.5,-77.675,45.4,0.0,-59.50,-142.21
05/29/2026 15:03,05/29/2026 17:55,XAUUSD,Buy,0.030,4552.24700,0.00000,4575.17200,4552.24700,0.0000,0.0000,-2292.5,-68.78,-1.84,00:02:51:31,18.7,32m,4123.0,1.33,1769.8,53.093999999999994,-2353.2,-70.59599999999999,42.9,1.5,-4062.30,-121.87
05/29/2026 15:07,05/29/2026 15:41,XAUUSD,Buy,0.050,4571.44300,0.00000,4585.54400,4570.61100,0.0000,0.0000,-1493.3,-74.66,-1.96,00:00:33:30,35.3,11m,2783.0,2.80,732.6,36.63,-2050.4,-102.52000000000001,26.3,20.0,-2225.90,-111.30
05/28/2026 03:33,05/29/2026 14:52,GBPJPY,Sell,0.130,214.42500,0.00000,213.55700,214.42500,0.0000,0.0000,-86.8,-70.85,-1.82,01:11:18:46,8.5,3h 0m,107.5,4.19,20.7,16.973999999999997,-86.8,-71.17599999999999,19.3,0.0,-107.50,-88.15
05/21/2026 13:08,05/28/2026 14:13,USDJPY,Buy,0.220,159.18200,0.00000,159.20100,159.18200,0.0000,0.0000,-1.9,-2.63,-0.07,07:01:05:10,30.7,2d 3h ,56.3,1.02,42.4,58.51199999999999,-43.4,-59.891999999999996,49.4,48.4,-44.30,-61.13
05/26/2026 13:01,05/28/2026 14:13,USDJPY,Buy,0.380,159.22900,0.00000,159.25200,159.22900,0.0000,0.0000,-2.3,-5.49,-0.14,02:01:12:22,90.2,1d 20h ,41.4,0.18,39.1,93.44900000000001,-6.9,-16.491000000000003,85.0,10.0,-41.40,-98.95
05/28/2026 00:56,05/28/2026 14:13,USDCHF,Buy,0.260,0.78572,0.00000,0.78810,0.78572,0.0000,0.0000,-23.8,-78.76,-1.98,00:13:16:47,73.0,9h 41m,42.3,1.36,17.9,59.248999999999995,-24.4,-80.764,42.3,1.4,-41.70,-138.03
05/27/2026 17:00,05/28/2026 13:01,USDCHF,Buy,0.230,0.78661,0.00000,0.78659,0.78661,0.0000,0.0000,0.2,0.58,0.01,00:20:00:35,96.3,19h 16m,34.2,0.08,33.0,95.7,-2.6,-7.54,92.7,7.9,-32.80,-95.12
05/25/2026 20:40,05/27/2026 00:24,USDJPY,Buy,0.270,159.17800,0.00000,158.94600,159.17800,0.0000,0.0000,23.2,39.35,1.00,01:03:43:44,83.2,23h 4m,18.8,0.26,42.0,71.39999999999999,-10.8,-18.36,79.5,64.4,-18.80,-31.96
05/22/2026 13:11,05/26/2026 15:10,GBPJPY,Buy,0.170,214.16800,0.00000,214.05400,214.16800,0.0000,0.0000,11.4,12.16,0.31,04:01:59:28,42.4,1d 17h ,49.9,0.72,61.3,65.591,-44.1,-47.187000000000005,58.2,52.7,-49.90,-53.39
05/22/2026 00:59,05/24/2026 22:06,XAUUSD,Sell,0.020,4555.62200,0.00000,4527.17300,4555.62200,0.0000,0.0000,-2844.9,-56.89,-1.43,02:21:07:17,94.3,2d 17h ,6171.2,0.86,3326.3,66.52600000000001,-2844.9,-56.898,53.9,0.0,-6171.20,-123.42
05/21/2026 11:55,05/24/2026 21:05,USDJPY,Buy,0.320,158.78100,0.00000,159.14400,158.78100,0.0000,0.0000,-36.3,-73.16,-1.81,03:09:10:04,69.3,2d 8h ,54.9,1.95,18.6,37.572,-36.3,-73.326,33.9,0.0,-54.90,-110.90
05/22/2026 14:17,05/22/2026 16:16,EURUSD,Sell,0.420,1.16082,0.00000,1.15882,1.16082,0.0000,0.0000,-20.0,-84.00,-2.03,00:01:59:14,0.0,0s,20.0,20.00,0.0,0.0,-20.0,-84.0,0.0,0.0,-20.00,-84.00
05/21/2026 12:17,05/22/2026 08:20,USDCHF,Buy,0.210,0.78562,0.00000,0.78883,0.78562,0.0000,0.0000,-32.1,-85.81,-2.03,00:20:02:39,19.6,3h 55m,47.2,2.13,15.1,40.317,-32.1,-85.70700000000001,32.0,0.0,-47.20,-126.02
05/21/2026 13:39,05/21/2026 13:54,XAUUSD,Sell,0.020,4520.46700,0.00000,4489.10700,4520.46700,0.0000,0.0000,-3136.0,-62.72,-1.46,00:00:15:21,0.0,0s,3136.0,3333.33,0.0,0.0,-3136.0,-62.72,0.0,0.0,-3136.00,-62.72
05/20/2026 00:30,05/20/2026 15:16,USDCHF,Buy,0.250,0.78596,0.00000,0.78867,0.78596,0.0000,0.0000,-27.1,-86.20,-1.97,00:14:45:41,94.6,13h 57m,47.5,1.36,20.1,63.918000000000006,-27.4,-87.132,42.3,0.6,-47.20,-150.10
05/20/2026 01:27,05/20/2026 11:29,XAUUSD,Sell,0.040,4501.29600,0.00000,4479.05100,4501.29600,0.0000,0.0000,-2224.5,-88.98,-2.00,00:10:02:34,57.5,5h 46m,4664.6,0.91,2440.1,97.604,-2224.5,-88.98,52.3,0.0,-4664.60,-186.58
05/19/2026 05:22,05/19/2026 15:33,XAUUSD,Sell,0.020,0.00000,0.00000,4537.16900,4504.85500,0.0000,0.0000,3231.4,64.63,1.47,00:10:11:01,35.3,3h 35m,3581.0,0.33,6109.9,122.198,-2005.1,-40.102,75.3,64.5,-2878.50,-57.57
05/19/2026 04:00,05/19/2026 15:33,XAUUSD,Sell,0.010,0.00000,0.00000,4543.26500,4504.85500,0.0000,0.0000,3841.0,38.41,0.88,00:11:33:05,74.7,8h 37m,3581.0,0.21,6719.5,67.19500000000001,-1395.5,-13.955,82.8,64.5,-2878.50,-28.79
05/19/2026 01:22,05/19/2026 15:33,XAUUSD,Sell,0.020,0.00000,0.00000,4554.01200,4504.85500,0.0000,0.0000,4915.7,98.31,2.31,00:14:11:29,90.0,12h 46m,3581.0,0.21,7794.2,155.884,-1660.8,-33.216,82.4,69.6,-2878.50,-57.57
05/14/2026 17:37,05/15/2026 12:03,GBPJPY,Sell,0.080,0.00000,0.00000,212.28200,211.84100,0.0000,0.0000,44.1,22.25,0.53,00:18:26:04,100.0,18h 26m,74.4,0.01,97.9,48.95,0.0,0.0,100.0,45.0,-53.80,-26.90
05/15/2026 10:52,05/15/2026 12:03,USDCHF,Buy,0.230,0.00000,0.00000,0.78410,0.78618,0.0000,0.0000,20.8,60.84,1.45,00:01:11:25,97.2,1h 9m,2.6,0.06,21.1,61.82300000000001,-1.2,-3.516,94.6,98.7,-0.30,-0.88
05/14/2026 15:17,05/15/2026 12:03,USDCHF,Buy,0.250,0.00000,0.00000,0.78351,0.78618,0.0000,0.0000,26.7,84.89,2.08,00:20:46:20,77.6,16h 7m,26.4,0.20,31.1,98.89800000000001,-6.1,-19.398,83.6,88.2,-4.40,-13.99
05/14/2026 06:12,05/14/2026 13:40,EURUSD,Sell,0.390,0.00000,1.16871,1.17071,1.16871,0.0000,0.0000,20.0,78.00,1.94,00:07:28:05,37.8,2h 49m,14.2,0.71,20.0,78.0,-14.2,-55.379999999999995,58.5,100.0,0.00,0.00
05/12/2026 12:19,05/14/2026 06:48,USDCHF,Buy,0.200,0.78095,0.00000,0.78086,0.78095,0.0000,0.0000,0.9,2.30,0.06,01:18:29:36,71.4,1d 6h ,22.0,0.39,21.5,55.04,-8.3,-21.248,72.1,30.9,-20.60,-52.74
05/12/2026 07:03,05/14/2026 06:48,USDCHF,Buy,0.290,0.78095,0.00000,0.78035,0.78095,0.0000,0.0000,6.0,22.28,0.56,01:23:44:50,93.8,1d 20h ,22.0,0.15,26.6,98.686,-3.9,-14.469,87.2,32.5,-20.60,-76.43
05/11/2026 14:00,05/13/2026 16:03,XAUUSD,Sell,0.020,0.00000,0.00000,4737.04200,4698.88300,0.0000,0.0000,3815.9,76.31,1.95,02:02:03:33,92.7,1d 22h ,8203.0,0.36,9408.2,188.16400000000002,-3403.8,-68.07600000000001,73.4,56.4,-5592.30,-111.85
05/13/2026 01:16,05/13/2026 07:40,EURUSD,Sell,0.390,0.00000,1.17123,1.17323,1.17123,0.0000,0.0000,20.0,78.00,2.04,00:06:24:05,25.0,1h 36m,9.3,0.45,20.7,80.72999999999999,-9.3,-36.27,69.0,97.7,-0.70,-2.73
05/12/2026 07:03,05/13/2026 00:04,XAUUSD,Sell,0.030,4724.04200,0.00000,4691.69600,4724.04200,0.0000,0.0000,-3234.6,-97.04,-2.47,00:17:00:21,31.9,5h 25m,8203.0,0.68,4873.6,146.208,-3329.4,-99.882,59.4,1.2,-8108.20,-243.25
