Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
06/02/2026 15:29,06/02/2026 16:10,GBPCAD,Sell,0.060,0.00000,1.86365,1.86536,1.86359,-0.3600,0.0000,17.7,7.32,0.21,00:00:40:52,100.0,40m,8.7,0.04,26.4,11.351999999999999,0.0,0.0,100.0,67.0,-8.70,-3.74
06/01/2026 16:17,06/01/2026 16:24,GBPCAD,Sell,0.060,0.00000,1.85938,1.86109,1.85938,-0.3600,0.0000,17.1,7.05,0.20,00:00:06:45,14.3,57s,0.0,0.06,17.1,7.353000000000001,0.0,0.0,100.0,100.0,0.00,0.00
05/29/2026 18:12,06/01/2026 16:12,AUDCAD,Sell,0.050,0.00000,0.98936,0.99256,0.98936,-0.3000,-0.3100,32.0,10.95,0.31,02:22:00:21,99.9,2d 21h ,41.9,0.01,48.1,17.316,-0.4,-0.144,99.2,66.8,-16.10,-5.80
05/29/2026 23:32,06/01/2026 07:30,EURNZD,Buy,0.060,0.00000,0.00000,1.94722,1.95081,-0.3600,-0.2200,35.9,12.28,0.35,02:07:57:01,17.6,9h 50m,22.7,0.33,58.6,21.096,-19.4,-6.983999999999999,75.1,70.9,-22.70,-8.17
05/29/2026 18:10,06/01/2026 00:15,NZDCAD,Sell,0.060,0.00000,0.00000,0.82567,0.82533,-0.3600,-0.1000,3.4,1.02,0.03,02:06:04:59,9.6,5h 11m,55.278328,0.07,56.778328,24.982464320000002,-4.2,-1.848,93.1,12.5,-53.38,-23.49
05/29/2026 17:55,05/29/2026 17:58,GBPCHF,Buy,0.050,0.00000,1.05310,1.05025,1.05312,-0.3000,0.0000,28.7,18.07,0.52,00:00:03:10,,,,,,,,,,,,
05/29/2026 10:56,05/29/2026 16:38,EURNZD,Buy,0.060,1.94594,0.00000,1.95348,1.94591,-0.3600,0.0000,-75.7,-27.56,-0.79,00:05:42:39,0.0,0s,86.3,86.96,0.0,0.0,-86.3,-31.067999999999998,0.0,12.3,-75.70,-27.25
05/28/2026 15:37,05/28/2026 23:47,EURNZD,Buy,0.050,1.96332,0.00000,1.96973,1.96329,-0.3000,0.0000,-64.4,-19.41,-0.55,00:08:10:06,0.0,0s,98.5,99.01,0.0,0.0,-98.5,-29.549999999999997,0.0,34.6,-64.40,-19.32
05/28/2026 04:07,05/28/2026 07:30,NZDCAD,Sell,0.050,0.00000,0.00000,0.81804,0.81359,-0.3000,0.0000,44.5,15.75,0.45,00:03:22:32,100.0,3h 22m,29.3,0.02,52.8,19.008,0.0,0.0,100.0,84.3,-8.30,-2.99
05/28/2026 03:48,05/28/2026 06:45,NZDCAD,Sell,0.050,0.00000,0.00000,0.81667,0.81496,-0.3000,0.0000,17.1,5.87,0.17,00:02:57:00,100.0,2h 57m,26.8,0.03,39.1,14.076,0.0,0.0,100.0,43.7,-22.00,-7.92
05/28/2026 04:06,05/28/2026 06:32,NZDUSD,Sell,0.050,0.00000,0.58795,0.59065,0.58792,-0.3000,0.0000,27.3,13.35,0.38,00:02:25:36,100.0,2h 25m,22.4,0.02,42.3,21.15,0.0,0.0,100.0,64.5,-15.00,-7.50
05/28/2026 04:27,05/28/2026 04:30,EURAUD,Sell,0.050,0.00000,0.00000,1.63060,1.63049,-0.3000,0.0000,1.1,0.09,0.00,00:00:02:59,,,,,,,,,,,,
05/26/2026 22:10,05/27/2026 05:00,EURNZD,Sell,0.050,0.00000,1.98854,1.99310,1.98708,-0.3000,-0.0500,60.2,17.28,0.50,00:06:49:58,99.6,6h 48m,74.6,0.01,134.8,39.092,-0.7,-0.20299999999999999,99.5,44.9,-74.60,-21.63
05/25/2026 12:41,05/26/2026 08:15,AUDCAD,Sell,0.050,0.00000,0.00000,0.99020,0.98877,-0.3000,-0.3100,14.3,4.57,0.13,00:19:33:48,76.2,14h 54m,12.5,0.21,18.9,6.803999999999999,-4.0,-1.44,82.5,79.9,-4.60,-1.66
05/22/2026 16:09,05/25/2026 01:27,GBPCAD,Sell,0.050,1.86108,0.00000,1.85518,1.86111,-0.3000,-0.5400,-59.3,-22.32,-0.64,02:09:18:33,0.0,0s,62.1,62.11,0.0,0.0,-62.1,-22.355999999999998,0.0,4.5,-59.30,-21.35
05/22/2026 02:51,05/22/2026 10:15,NZDCAD,Sell,0.050,0.00000,0.00000,0.80999,0.80840,-0.3000,0.0000,15.9,5.46,0.16,00:07:23:41,86.5,6h 23m,10.2,0.12,26.1,9.396,-3.1,-1.1159999999999999,89.4,65.1,-10.20,-3.67
