Tags,Open Date,Close Date,Symbol,Action,Units/Lots,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
,05/27/2026 14:43,05/27/2026 15:40,AUDNZD,Buy,0.020,1.21171,1.20960,-0.1400,0.0000,-21.1,-2.63,-0.09,"[sl]",0,00:00:57:08,40.4,23m,27.4,3.35,6.3,0.756,-21.1,-2.532,23.0,0.0,-27.40,-3.29
,05/25/2026 16:57,,,Deposit,0.010,0.00000,0.00000,0.0000,0.0000,0.0,1.96,0,"PRTRF 88396392/to 20045787",0,00:00:00:00,,,,,,,,,,,,
,05/21/2026 04:31,05/21/2026 17:42,AUDCAD,Buy,0.010,0.98084,0.98350,-0.0700,0.0000,26.6,1.86,0.06,"from #142547283",0,00:13:10:32,47.9,6h 18m,40.2,1.31,26.9,1.883,-35.3,-2.471,43.2,99.5,-0.30,-0.02
,05/21/2026 04:31,05/21/2026 17:41,AUDCAD,Buy,0.010,0.98084,0.98352,-0.0700,0.0000,26.8,1.87,0.06,"to #142547470",0,00:13:10:22,47.9,6h 18m,40.2,1.31,26.9,1.883,-35.3,-2.471,43.2,99.8,-0.10,-0.01
,05/20/2026 23:08,05/21/2026 17:40,AUDCAD,Buy,0.010,0.98357,0.98344,-0.0700,0.0900,-1.3,-0.08,0.00,"from #142547261",0,00:18:31:43,0.0,0s,58.7,58.82,0.0,0.0,-58.7,-4.696000000000001,0.0,97.8,-1.30,-0.10
,05/21/2026 01:07,05/21/2026 17:40,AUDCAD,Buy,0.010,0.98283,0.98341,-0.0700,0.0000,5.8,0.35,0.01,"from #142547263",0,00:16:32:28,12.7,2h 6m,56.6,8.14,6.3,0.441,-51.3,-3.591,10.9,99.1,-0.50,-0.04
,05/20/2026 23:34,05/21/2026 17:39,AUDCAD,Buy,0.010,0.98323,0.98347,-0.0700,0.0900,2.4,0.19,0.01,"from #142547262",0,00:18:05:39,1.9,20m,56.6,23.09,2.4,0.168,-55.3,-3.871,4.2,100.0,0.00,0.00
,05/21/2026 03:08,05/21/2026 17:39,AUDCAD,Buy,0.020,0.98243,0.98347,-0.1400,0.0000,10.4,1.37,0.04,"from #142547267",3,00:14:31:53,17.3,2h 30m,61.5,4.66,11.0,1.65,-51.2,-7.68,17.7,99.0,-0.60,-0.09
,05/21/2026 04:30,05/21/2026 17:39,AUDCAD,Buy,0.010,0.98315,0.98348,-0.0700,0.0000,3.3,0.17,0.01,"from #142547269",3,00:13:09:50,0.9,7m,58.4,15.38,3.8,0.266,-58.4,-4.088,6.1,99.2,-0.50,-0.04
,05/21/2026 11:10,05/21/2026 17:39,AUDCAD,Sell,0.010,0.98109,0.98356,-0.0700,0.0000,-24.7,-1.86,-0.06,"from #142547229",0,00:06:28:55,16.2,1h 3m,35.4,2.31,10.7,0.749,-24.7,-1.729,30.2,0.0,-35.40,-2.48
