Tags,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(EUR),Min(pips),Min(EUR),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(EUR)
,06/02/2026 16:53,06/02/2026 16:55,NAS100,Buy,1.800,30391.10000,0.00000,30534.00000,30512.00000,0.0000,0.0000,-22.0,-35.10,-0.38,"",100001,00:00:02:37,,,,,,,,,,,,
,06/02/2026 16:53,06/02/2026 16:55,NAS100,Buy,1.800,30391.10000,0.00000,30534.00000,30519.00000,0.0000,0.0000,-15.0,-23.50,-0.25,"",100000,00:00:02:21,,,,,,,,,,,,
,06/02/2026 16:53,06/02/2026 16:54,NAS100,Buy,1.800,30391.10000,0.00000,30534.00000,30542.00000,0.0000,0.0000,8.0,12.52,0.14,"",100002,00:00:00:53,,,,,,,,,,,,
,06/02/2026 06:58,06/02/2026 09:53,USDJPY,Buy,0.320,159.63700,0.00000,159.73300,159.70900,0.0000,0.0000,-2.4,-4.13,-0.04,"",19000,00:02:55:00,0.0,0s,2.4,2.40,0.0,0.0,-2.4,-4.128,0.0,0.0,-2.40,-4.13
,06/01/2026 18:20,06/01/2026 19:37,NAS100,Buy,1.800,30274.80000,0.00000,30429.00000,30484.00000,0.0000,0.0000,55.0,85.33,0.93,"",100001,00:01:17:02,,,,,,,,,,,,
,06/01/2026 18:20,06/01/2026 19:36,NAS100,Buy,1.800,30274.80000,0.00000,30429.00000,30492.00000,0.0000,0.0000,63.0,98.03,1.08,"",100000,00:01:16:54,,,,,,,,,,,,
,06/01/2026 16:59,06/01/2026 17:02,NAS100,Sell,5.600,30425.40000,0.00000,30274.00000,30306.00000,0.0000,0.0000,-32.0,-154.37,-1.67,"",100100,00:00:02:16,,,,,,,,,,,,
,06/01/2026 16:47,06/01/2026 16:48,NAS100,Buy,1.800,30274.80000,0.00000,30428.00000,30421.00000,0.0000,0.0000,-7.0,-11.46,-0.12,"",100002,00:00:00:48,,,,,,,,,,,,
,06/01/2026 09:36,06/01/2026 10:12,USDJPY,Buy,0.320,159.36400,0.00000,159.50900,159.43500,0.0000,0.0000,-7.4,-12.74,-0.14,"",19000,00:00:36:03,0.0,0s,7.4,7.40,0.0,0.0,-7.4,-12.728,0.0,0.0,-7.40,-12.73
,05/29/2026 17:26,05/29/2026 18:15,NAS100,Sell,6.200,30416.30000,0.00000,30317.00000,30386.00000,0.0000,0.0000,-69.0,-362.15,-3.77,"",100100,00:00:48:55,,,,,,,,,,,,
,05/29/2026 16:46,05/29/2026 17:26,NAS100,Buy,2.000,30321.40000,0.00000,30419.00000,30317.00000,0.0000,0.0000,-102.0,-173.83,-1.78,"",100001,00:00:40:03,,,,,,,,,,,,
,05/29/2026 16:46,05/29/2026 17:26,NAS100,Buy,2.000,30321.40000,0.00000,30419.00000,30317.00000,0.0000,0.0000,-102.0,-173.83,-1.75,"",100000,00:00:40:03,,,,,,,,,,,,
,05/29/2026 16:45,05/29/2026 17:26,NAS100,Buy,2.000,30321.40000,0.00000,30420.00000,30317.00000,0.0000,0.0000,-103.0,-176.40,-1.74,"",100002,00:00:41:06,,,,,,,,,,,,
,05/29/2026 06:00,05/29/2026 08:14,USDJPY,Buy,0.350,159.24800,0.00000,159.33800,159.28900,0.0000,0.0000,-4.9,-9.25,-0.09,"",19000,00:02:13:17,0.0,0s,4.9,4.90,0.0,0.0,-4.9,-9.261000000000001,0.0,0.0,-4.90,-9.26
,05/28/2026 17:12,05/28/2026 22:30,NAS100,Buy,1.900,30015.60000,0.00000,30072.00000,30259.00000,0.0000,0.0000,187.0,304.99,3.10,"",100005,00:05:17:04,,,,,,,,,,,,
,05/28/2026 17:13,05/28/2026 22:30,NAS100,Buy,1.900,30015.60000,0.00000,30092.00000,30259.00000,0.0000,0.0000,167.0,272.54,2.85,"",100004,00:05:17:00,,,,,,,,,,,,
