Tags,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
,05/29/2026 10:35,06/01/2026 19:33,XAUUSD,Sell,0.200,0.00000,0.00000,4525.15000,4469.97000,0.0000,0.0000,5518.0,1103.60,0.20,"",0,03:08:57:24,22.4,18h 8m,7616.0,0.87,7468.0,1493.6000000000001,-6526.0,-1305.2,53.4,86.1,-1950.00,-390.00
,05/19/2026 06:40,05/29/2026 18:05,XAUUSD,Buy,0.250,0.00000,4580.93000,4554.18000,4580.93000,0.0000,0.0000,2675.0,668.75,0.12,"[tp 4580.93]",0,10:11:24:53,11.9,1d 5h ,21032.0,5.12,3623.0,905.75,-18546.0,-4636.5,16.3,95.7,-948.00,-237.00
,03/27/2026 12:38,05/29/2026 17:11,NQ_L,Sell,0.500,0.00000,0.00000,23493.20000,30381.00000,0.0000,0.0000,-6887.8,-3443.90,-0.62,"",,63:04:32:39,,,,,,,,,,,,
,05/20/2026 06:06,05/28/2026 16:05,XAUUSD,Sell,0.250,0.00000,0.00000,4455.41000,4436.33000,0.0000,0.0000,1908.0,477.00,0.09,"",0,08:09:59:12,12.3,1d ,12363.0,1.43,8669.0,2167.25,-12363.0,-3090.75,41.2,67.9,-6761.00,-1690.25
,03/26/2026 18:21,05/28/2026 12:20,XAUUSD,Sell,0.100,0.00000,0.00000,4401.12000,4390.79000,0.0000,0.0000,1033.0,103.30,0.02,"",,62:17:58:32,1.1,16h 33m,46612.0,17.64,2647.0,264.7,-46612.0,-4661.2,5.4,96.7,-1614.00,-161.40
,05/27/2026 13:48,05/27/2026 21:23,XAUUSD,Sell,0.250,0.00000,0.00000,4445.55000,4455.96000,0.0000,0.0000,-1041.0,-260.25,-0.05,"",0,00:07:34:44,32.8,2h 29m,3409.0,0.63,2096.0,524.0,-1313.0,-328.25,61.5,8.0,-3137.00,-784.25
,05/18/2026 03:44,05/27/2026 15:34,XAUUSD,Sell,0.100,0.00000,0.00000,4482.94000,4448.17000,0.0000,0.0000,3477.0,347.70,0.06,"",0,09:11:49:46,7.3,16h 37m,12126.0,1.89,5443.0,544.3000000000001,-10292.0,-1029.2,34.6,87.5,-1966.00,-196.60
,05/18/2026 03:29,05/27/2026 06:24,XAUUSD,Sell,0.200,0.00000,0.00000,4514.64000,4508.81000,0.0000,0.0000,583.0,116.60,0.02,"",0,09:02:55:09,45.4,4d 3h ,12126.0,1.25,5686.0,1137.2,-7122.0,-1424.4,44.4,60.2,-5103.00,-1020.60
,05/08/2026 17:00,05/21/2026 08:14,FDAX_L,Buy,1.000,0.00000,0.00000,24442.50000,24736.70000,0.0000,0.0000,294.2,341.88,0.06,"",0,12:15:13:20,,,,,,,,,,,,
,05/05/2026 10:31,05/21/2026 08:12,XAUUSD,Sell,0.100,0.00000,0.00000,4550.92000,4531.26000,0.0000,0.0000,1966.0,196.60,0.04,"",0,15:21:41:12,33.3,5d 7h ,22069.0,2.41,8981.0,898.1,-21639.0,-2163.9,29.3,77.1,-7015.00,-701.50
,04/29/2026 16:36,05/20/2026 18:27,XAUUSD,Sell,0.100,0.00000,0.00000,4531.49000,4531.58000,0.0000,0.0000,-9.0,-0.90,0.00,"",,21:01:51:02,8.2,1d 17h ,25657.0,3.35,7038.0,703.8000000000001,-23582.0,-2358.2000000000003,23.0,77.0,-7047.00,-704.70
,03/30/2026 22:05,05/20/2026 14:15,XAUUSD,Sell,0.100,0.00000,0.00000,4498.94000,4495.06000,0.0000,0.0000,388.0,38.80,0.01,"",,50:16:09:28,1.7,20h 40m,36830.0,10.55,3495.0,349.5,-36830.0,-3683.0,8.7,92.3,-3107.00,-310.70
,05/18/2026 09:28,05/18/2026 09:28,XAUUSD,Buy,0.200,0.00000,0.00000,4950.27000,4540.58000,0.0000,0.0000,-40969.0,8193.80,1.59,"",,00:00:00:00,,,,,,,,,,,,
,05/15/2026 11:17,05/15/2026 13:12,FDAX_L,Buy,4.000,0.00000,0.00000,24054.70000,24057.40000,0.0000,0.0000,2.7,12.57,0.00,"",0,00:01:55:10,,,,,,,,,,,,
,05/14/2026 18:28,05/14/2026 18:28,FDAX_L,Sell,2.000,0.00000,0.00000,24219.20000,24433.70000,0.0000,0.0000,-214.5,500.84,0.09,"",,00:00:00:00,,,,,,,,,,,,
,05/14/2026 16:41,05/14/2026 16:46,XAUUSD,Buy,0.250,0.00000,0.00000,4672.30000,4678.53000,0.0000,0.0000,623.0,155.75,0.03,"",0,00:00:04:52,20.0,58s,0.0,0.00,623.0,155.75,0.0,0.0,100.0,100.0,0.00,0.00
,05/11/2026 19:43,05/12/2026 02:52,XAUUSD,Buy,0.150,0.00000,4762.32000,4711.28000,4762.32000,0.0000,0.0000,5104.0,765.60,0.14,"[tp 4762.32]",0,00:07:09:19,100.0,7h 9m,5215.0,0.00,6183.0,927.4499999999999,0.0,0.0,100.0,82.5,-1079.00,-161.85
,05/07/2026 21:36,05/11/2026 18:24,XAUUSD,Buy,0.150,0.00000,0.00000,4714.42000,4737.77000,0.0000,0.0000,2335.0,350.25,0.06,"",0,03:20:48:44,74.9,2d 21h ,9546.0,1.88,3318.0,497.7,-6228.0,-934.1999999999999,34.8,89.7,-983.00,-147.45
,05/11/2026 17:09,05/11/2026 17:09,#NVDA_,Buy,1.000,0.00000,0.00000,171.70000,218.04000,0.0000,0.0000,46.3,-46.34,-0.01,"",,00:00:00:00,,,,,,,,,,,,
