Tags,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USC),Min(pips),Min(USC),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USC)
,06/03/2026 00:39,06/03/2026 01:01,XAUUSD,Buy,2.670,0.00000,0.00000,4490.15000,4479.58000,0.0000,0.0000,-1057.0,-2821.12,-0.36,"XAU ZA-03R 0.75 Ranging lvl",6555,00:00:22:00,22.8,5m,1103.0,22.99,46.0,122.82,-1057.0,-2822.19,4.2,0.0,-1103.00,-2945.01
,06/02/2026 18:51,06/02/2026 23:10,XAUUSD,Buy,2.680,0.00000,0.00000,4489.61000,4478.85000,0.0000,0.0000,-1076.0,-2883.68,-0.37,"XAU ZA-03R 0.75 Ranging lvl",6555,00:04:18:47,17.4,45m,1739.0,4.38,323.0,865.6400000000001,-1416.0,-3794.88,18.6,19.6,-1399.00,-3749.32
,06/02/2026 16:35,06/02/2026 18:43,XAUUSD,Buy,2.690,0.00000,0.00000,4488.95000,4479.14000,0.0000,0.0000,-981.0,-2639.97,-0.33,"XAU ZA-03R 0.75 Ranging lvl",6555,00:02:08:25,31.3,40m,1363.0,2.57,382.0,1027.58,-981.0,-2638.89,28.0,0.0,-1363.00,-3666.47
,06/02/2026 09:31,06/02/2026 14:00,XAUUSD,Buy,2.720,0.00000,0.00000,4522.95000,4498.66000,0.0000,0.0000,-2429.0,-6607.70,-0.83,"XAU ZA-03R 0.75 HL 1",6543,00:04:28:12,72.5,3h 14m,3572.0,2.13,1143.0,3108.96,-2429.0,-6606.88,32.0,0.0,-3572.00,-9715.84
,06/02/2026 04:06,06/02/2026 08:56,XAUUSD,Buy,2.710,0.00000,0.00000,4503.41000,4526.54000,0.0000,0.0000,2313.0,6270.12,0.79,"XAU ZA-03R 0.75 HL 2",6545,00:04:50:06,99.4,4h 48m,1345.0,0.05,3658.0,9913.18,-170.0,-460.7,95.6,64.9,-1345.00,-3644.95
,06/02/2026 05:30,06/02/2026 08:56,XAUUSD,Buy,2.710,0.00000,0.00000,4522.52000,4526.54000,0.0000,0.0000,402.0,1089.96,0.14,"XAU ZA-03R 0.75 HL 1",6543,00:03:26:49,86.9,2h 59m,1345.0,0.33,1747.0,4734.37,-576.0,-1560.96,75.2,42.1,-1345.00,-3644.95
,06/02/2026 07:14,06/02/2026 08:56,XAUUSD,Buy,2.710,0.00000,0.00000,4540.93000,4526.61000,0.0000,0.0000,-1432.0,-3880.18,-0.49,"XAU ZA-03R 0.75 HL 8",6551,00:01:42:16,0.0,0s,1432.0,1666.67,0.0,0.0,-1432.0,-3880.72,0.0,0.0,-1432.00,-3880.72
,06/02/2026 02:00,06/02/2026 03:49,XAUUSD,Buy,2.690,0.00000,0.00000,4479.18000,4499.03000,0.0000,0.0000,1985.0,5339.92,0.68,"XAU ZA-03R 0.75 Ranging lvl",6555,00:01:48:30,76.2,1h 22m,967.0,0.32,1985.0,5339.65,-639.0,-1718.9099999999999,75.6,100.0,0.00,0.00
,06/01/2026 16:54,06/02/2026 01:50,XAUUSD,Buy,2.700,0.00000,0.00000,4479.87000,4470.95000,0.0000,0.0000,-892.0,-2407.86,-0.31,"XAU ZA-03R 0.75 Ranging lvl",6555,00:08:55:50,90.5,8h 4m,2487.0,0.61,1545.0,4171.5,-942.0,-2543.4,62.1,2.0,-2437.00,-6579.90
,06/01/2026 15:35,06/01/2026 15:48,XAUUSD,Buy,2.710,0.00000,0.00000,4479.47000,4469.73000,0.0000,0.0000,-974.0,-2640.62,-0.33,"XAU ZA-03R 0.75 Ranging lvl",6555,00:00:12:43,0.0,0s,1014.0,1111.11,0.0,0.0,-1014.0,-2747.94,0.0,3.9,-974.00,-2639.54
