Tags,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USC),Min(pips),Min(USC),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USC)
,06/01/2026 06:00,06/01/2026 06:56,AUDNZD,Sell,0.570,1.25381,1.20281,1.20381,1.20281,0.0000,0.0000,10.0,34.04,0.04,"Perceptrader",22648400,00:00:56:06,92.9,52m,2.4,0.11,12.4,42.16,-1.4,-4.76,89.9,82.6,-2.40,-8.16
,05/28/2026 22:00,05/29/2026 11:13,AUDCAD,Buy,0.570,0.93777,0.98877,0.98777,0.98877,0.0000,0.0000,10.0,41.27,0.05,"Perceptrader",12648400,00:13:13:25,24.4,3h 13m,14.3,1.32,10.8,44.604,-14.3,-59.059000000000005,43.0,96.8,-0.80,-3.30
,05/28/2026 15:00,05/28/2026 23:01,AUDNZD,Sell,0.570,1.25743,1.20643,1.20743,1.20643,0.0000,0.0000,10.0,33.90,0.04,"Perceptrader",22648400,00:08:01:07,32.7,2h 37m,11.3,0.55,18.1,61.35900000000001,-9.9,-33.561,64.6,71.1,-8.10,-27.46
,05/28/2026 09:00,05/28/2026 12:53,GBPCHF,Sell,0.570,1.10715,1.05615,1.05715,1.05615,0.0000,0.0000,10.0,72.44,0.08,"Perceptrader",22648400,00:03:53:13,22.4,52m,10.1,0.63,10.9,78.91600000000001,-6.9,-49.956,61.2,94.9,-0.90,-6.52
,05/28/2026 03:00,05/28/2026 03:35,USDCAD,Buy,0.570,1.33531,1.38631,1.38531,1.38631,0.0000,0.0000,10.0,41.12,0.05,"Perceptrader[tp]",12648400,00:00:35:48,65.8,23m,2.1,0.19,11.0,45.21,-2.1,-8.631,84.0,92.4,-1.00,-4.11
,05/27/2026 03:00,05/27/2026 07:18,USDCAD,Buy,0.570,1.33119,1.38219,1.38119,1.38219,0.0000,0.0000,10.0,41.24,0.05,"Perceptrader",12648400,00:04:17:58,38.0,1h 38m,4.0,0.35,11.4,46.968,-4.0,-16.48,74.0,90.9,-1.40,-5.77
,05/27/2026 06:00,05/27/2026 06:45,AUDNZD,Sell,0.570,1.26829,1.21729,1.21829,1.21729,0.0000,0.0000,10.0,33.50,0.04,"Perceptrader[tp]",22648400,00:00:45:28,95.6,43m,7.6,0.08,12.8,42.88,0.0,0.0,100.0,78.1,-2.80,-9.38
,05/25/2026 15:00,05/26/2026 05:01,USDCAD,Buy,0.570,1.33017,1.38117,1.38017,1.38117,0.0000,0.0000,10.0,41.27,0.05,"Perceptrader",12648400,00:14:01:41,75.9,10h 38m,7.2,0.63,10.3,42.539,-6.5,-26.845,61.3,98.2,-0.30,-1.24
,05/25/2026 02:15,05/25/2026 13:30,GBPCHF,Buy,0.670,1.00805,1.05630,1.05414,1.05630,0.0000,0.0000,21.6,184.99,0.22,"Perceptrader #2",12648402,00:11:15:07,65.8,7h 24m,8.8,0.16,22.7,194.312,-3.6,-30.816000000000003,86.3,95.8,-1.10,-9.42
,05/22/2026 04:25,05/25/2026 13:30,GBPCHF,Buy,0.540,1.00805,1.05630,1.05619,1.05630,0.0000,0.0000,1.1,7.59,0.01,"Perceptrader #1",12648401,03:09:05:07,2.4,1h 56m,29.2,3.31,7.7,53.13,-25.5,-175.95000000000002,23.2,80.1,-6.60,-45.54
,05/21/2026 07:01,05/25/2026 13:30,GBPCHF,Buy,0.540,1.00805,1.05630,1.05805,1.05630,0.0000,0.0000,-17.5,-120.80,-0.14,"Perceptrader",12648400,04:06:28:41,1.3,1h 19m,47.2,9.05,4.7,32.43,-42.5,-293.25,10.0,53.0,-22.20,-153.18
,05/15/2026 15:19,05/24/2026 22:02,GBPUSD,Buy,0.150,0.00000,0.00000,1.33265,1.34711,0.0000,0.0000,144.6,216.90,0.26,"INFINITY SUPER AI",423164,09:06:42:59,73.0,6d 18h ,64.1,0.14,150.0,225.0,-21.1,-31.650000000000002,87.7,96.8,-5.40,-8.10
,05/14/2026 16:13,05/24/2026 22:02,GBPUSD,Buy,0.150,0.00000,0.00000,1.34608,1.34711,0.0000,0.0000,10.3,15.45,0.02,"INFINITY SUPER AI",423164,10:05:49:20,0.3,44m,155.4,9.90,15.7,23.549999999999997,-155.4,-233.10000000000002,9.2,96.8,-5.40,-8.10
,05/06/2026 20:30,05/24/2026 22:02,GBPUSD,Buy,0.150,0.00000,0.00000,1.35944,1.34711,0.0000,0.0000,-123.3,-184.95,-0.22,"INFINITY SUPER AI",423164,18:01:32:32,22.0,3d 23h ,342.3,5.24,54.9,82.35,-287.4,-431.09999999999997,16.0,47.9,-178.20,-267.30
,05/22/2026 18:00,05/24/2026 21:05,GBPUSD,Sell,0.010,1.34687,1.34287,1.34487,1.34687,0.0000,0.0000,-20.0,-2.00,0.00,"Chat_GPT_Server_Connection",423164,02:03:05:46,99.8,2d 2h ,40.7,0.97,20.7,2.07,-20.0,-2.0,50.9,0.0,-40.70,-4.07
,05/22/2026 03:00,05/22/2026 11:07,USDCAD,Buy,0.570,1.32892,1.37992,1.37892,1.37992,0.0000,0.0000,10.0,41.31,0.05,"Perceptrader",12648400,00:08:07:25,76.2,6h 11m,11.4,0.53,10.2,42.126,-5.4,-22.302,65.4,98.7,-0.20,-0.83
,05/21/2026 18:00,05/21/2026 18:54,GBPUSD,Sell,0.010,1.34624,1.34224,1.34424,1.34224,0.0000,0.0000,20.0,2.00,0.00,"Chat_GPT_Server_Connection",423164,00:00:54:57,43.7,24m,11.9,0.28,20.7,2.07,-5.7,-0.5700000000000001,78.4,97.3,-0.70,-0.07
,05/19/2026 04:35,05/21/2026 17:22,AUDCAD,Buy,2.560,0.94453,0.98604,0.98104,0.98604,0.0000,0.0000,50.0,929.22,1.10,"Perceptrader #6",12648406,02:12:46:41,33.4,20h 17m,69.7,1.24,50.0,928.9999999999999,-62.2,-1155.676,44.6,100.0,0.00,0.00
