Open Date,Close Date,Symbol,Action,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
05/06/2026 09:14,05/15/2026 11:49,USDJPY,Buy,156.43500,158.46800,-1.0500,13.1400,203.3,281.50,0.28,09:02:35:43,86.7,7d 21h ,78.5,0.31,216.9,288.47700000000003,-67.9,-90.30700000000002,76.2,95.2,-13.60,-18.09
04/23/2026 07:56,05/15/2026 11:49,EURUSD,Sell,1.16994,1.16352,-0.9400,7.0300,64.2,108.81,0.11,22:03:53:30,19.6,4d 8h ,129.8,1.34,67.1,107.36,-89.7,-143.52,42.8,98.2,-2.90,-4.64
04/23/2026 07:48,05/15/2026 11:49,AUDCHF,Buy,0.56132,0.56252,-0.6100,24.4700,12.0,49.82,0.05,22:04:01:43,82.6,18d 7h ,72.7,0.20,68.9,148.824,-13.9,-30.024000000000004,83.2,31.3,-56.90,-122.90
05/06/2026 09:08,05/15/2026 11:49,USDMXN,Sell,17.30380,17.35500,-0.5500,1.3800,-512.0,-31.62,-0.03,09:02:40:49,97.8,8d 21h ,2058.0,0.41,1462.0,87.72,-596.0,-35.76,71.0,4.1,-1974.00,-118.44
04/23/2026 07:51,05/15/2026 11:49,USDJPY,Buy,159.56800,158.46800,-0.8000,19.2700,-110.0,-92.59,-0.09,22:03:58:06,12.3,2d 17h ,489.1,3.53,107.9,108.97900000000001,-381.2,-385.012,22.1,55.4,-217.90,-220.08
04/23/2026 07:44,04/23/2026 07:46,AUDCHF,Buy,0.56136,0.56131,-0.3600,0.0000,-0.5,-0.99,0.00,00:00:02:02,,,,,,,,,,,,
04/16/2026 09:51,04/23/2026 07:29,EURUSD,Sell,1.18023,1.16983,-1.2400,2.2500,104.0,219.41,0.22,06:21:38:20,98.1,6d 18h ,78.9,0.42,106.7,224.07000000000002,-44.8,-94.08,70.4,98.2,-2.70,-5.67
03/04/2026 09:00,04/23/2026 07:29,USDMXN,Sell,17.68290,17.37190,-0.5000,2.1400,3110.0,180.67,0.18,49:22:28:57,40.7,20d 7h ,6695.9,0.98,4734.8,284.088,-4645.3,-278.718,50.5,82.7,-1624.80,-97.49
03/03/2026 08:39,04/23/2026 07:29,AUDCHF,Buy,0.55344,0.56134,-0.4600,45.6300,79.0,175.90,0.17,50:22:50:30,46.5,23d 16h ,125.9,0.96,84.3,139.095,-80.53858655136,-132.888667809744,51.1,96.8,-5.30,-8.74
04/09/2026 07:37,04/23/2026 07:29,USDMXN,Sell,17.44000,17.37190,-0.5000,1.6200,681.0,40.36,0.04,13:23:52:03,98.4,13d 18h ,2229.7,0.12,2787.8,167.268,-329.6,-19.776,89.4,32.4,-2106.80,-126.41
03/20/2026 10:22,04/23/2026 07:29,GBPCHF,Buy,1.05876,1.05952,-0.8100,41.1000,7.6,51.89,0.05,33:21:06:39,39.7,13d 10h ,102.5,2.51,39.7,60.74100000000001,-99.6,-152.388,28.5,77.0,-32.10,-49.11
04/16/2026 09:49,04/23/2026 07:29,AUDCHF,Buy,0.56134,0.56134,-0.4700,6.6400,0.0,6.17,0.01,06:21:40:33,13.2,21h 52m,59.9,7.21,7.3,0.0,-52.6,-0.0,12.2,87.8,-7.30,0.00
03/16/2026 10:13,04/23/2026 07:29,EURUSD,Sell,1.14339,1.16988,-0.9100,10.8100,-264.9,-413.94,-0.41,37:21:16:14,0.0,0s,401.5,416.67,0.0,0.0,-401.5,-642.4000000000001,0.0,34.0,-264.90,-423.84
03/03/2026 08:30,03/20/2026 10:19,GBPCHF,Buy,1.04423,1.05868,-0.9400,26.6900,144.5,282.15,0.28,17:01:49:13,60.1,10d 6h ,88.0,0.41,153.6,271.872,-63.2,-111.864,70.8,95.8,-9.10,-16.11
03/09/2026 09:55,03/18/2026 09:09,EURUSD,Sell,1.15478,1.15478,-0.9200,2.6700,0.0,1.75,0.00,08:23:14:16,67.9,6d 2h ,138.1,0.85,133.6,0.0,-112.9,-0.0,54.2,45.8,-133.60,0.00
03/03/2026 08:43,03/10/2026 20:27,EURUSD,Sell,1.16674,1.16675,-0.9300,2.7700,-0.1,1.68,0.00,07:11:44:09,99.6,7d 11h ,158.3,0.01,158.2,253.12,-1.8,-2.8800000000000003,98.9,1.1,-158.30,-253.28
03/03/2026 08:36,03/03/2026 08:39,AUDCHF,Buy,0.55362,0.55344,-0.3200,0.0000,-1.8,-2.40,0.00,00:00:02:59,,,,,,,,,,,,
02/16/2026 09:24,03/03/2026 08:27,EURUSD,Sell,1.18633,1.16674,-1.6600,11.2100,195.9,558.07,0.55,14:23:03:10,99.4,14d 20h ,84.9,0.02,196.7,550.7599999999999,-3.9,-10.92,98.1,99.6,-0.80,-2.24
02/03/2026 09:47,03/03/2026 08:27,AUDCHF,Buy,0.54751,0.55352,-0.7800,34.3200,60.1,202.78,0.20,27:22:40:01,26.4,7d 9h ,104.2,1.33,72.3,203.88599999999997,-96.4,-271.848,42.9,92.8,-12.20,-34.40
02/17/2026 09:23,03/03/2026 08:27,GBPCHF,Buy,1.04468,1.04392,-1.0200,20.7800,-7.6,5.16,0.01,13:23:03:39,45.3,6d 7h ,207.5,3.26,48.7,93.504,-158.8,-304.896,23.5,72.9,-56.30,-108.10
01/15/2026 09:42,03/03/2026 08:27,EURUSD,Sell,1.16288,1.16673,-1.2200,20.7200,-38.5,-61.35,-0.06,46:22:44:37,8.5,3d 23h ,457.7,8.98,45.9,96.39,-411.8,-864.7800000000001,10.0,81.6,-84.40,-177.24
01/28/2026 09:59,03/03/2026 08:27,USDMXN,Sell,17.18930,17.34680,-1.0000,7.4400,-1575.0,-175.14,-0.17,33:22:27:43,36.0,12d 5h ,4085.1,3.63,955.6,114.672,-3465.1,-415.81199999999995,21.6,42.8,-2530.60,-303.67
01/28/2026 10:02,03/03/2026 08:27,GBPCHF,Buy,1.05574,1.04392,-1.3800,66.5200,-118.2,-237.44,-0.23,33:22:25:02,30.8,10d 10h ,368.8,2.71,99.4,254.46400000000003,-269.4,-689.664,27.0,41.0,-217.60,-557.06
01/15/2026 09:39,02/17/2026 09:23,GBPCHF,Buy,1.07627,1.04442,-1.0100,43.5000,-318.5,-578.24,-0.57,32:23:44:13,0.0,0s,320.0,322.58,0.0,0.0,-320.0,-624.0,0.0,0.5,-318.50,-621.07
01/29/2026 09:22,02/11/2026 09:44,EURUSD,Sell,1.19876,1.19157,-1.6800,5.7400,71.9,205.38,0.20,13:00:21:38,100.0,13d ,147.9,0.00,214.0,599.1999999999999,0.0,0.0,100.0,33.6,-142.10,-397.88
01/22/2026 09:43,02/05/2026 14:43,AUDCHF,Buy,0.54074,0.54075,-0.7500,15.1700,0.1,14.71,0.01,14:04:59:58,28.8,4d 2h ,95.0,1.11,67.3,195.17,-74.6,-216.33999999999997,47.4,52.6,-67.20,-194.88
01/27/2026 09:58,01/29/2026 17:52,USDMXN,Sell,17.33640,17.33670,-1.0000,1.9100,-3.0,0.58,0.00,02:07:53:43,96.6,2d 5h ,2438.0,0.08,2435.0,267.85,-195.6,-21.516,92.6,7.3,-2438.00,-268.18
01/15/2026 09:40,01/27/2026 14:26,AUDCHF,Buy,0.53530,0.53529,-0.7400,9.6900,-0.1,8.66,0.01,12:04:45:50,81.9,9d 23h ,75.11139,0.56,74.8,216.92,-41.8,-121.21999999999998,64.2,35.8,-74.90,-217.21
