Tags,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
,06/01/2026 18:16,06/01/2026 20:43,EURUSD,Buy,0.140,1.16060,1.16360,1.16171,1.16371,-0.9800,0.0000,20.0,27.02,0.49,"[tp]",0,00:02:26:33,99.4,2h 25m,9.0,0.02,20.0,28.0,-0.3,-0.42,98.5,100.0,0.00,0.00
,05/29/2026 13:45,06/01/2026 15:28,CADJPY,Sell,0.150,0.00000,115.25000,115.33700,115.25000,-1.0500,-0.6000,8.7,6.53,0.12,"[tp]",0,03:01:43:19,69.4,2d 3h ,35.4,1.95,12.0,11.28,-23.4,-21.996,33.9,90.7,-3.30,-3.10
,05/29/2026 21:45,06/01/2026 01:04,EURUSD,Sell,0.150,0.00000,1.16520,1.16613,1.16520,-1.0500,0.3700,9.3,13.27,0.24,"[tp]",0,02:03:18:21,96.6,2d 1h ,5.4,0.39,9.3,13.950000000000001,3.6,5.4,163.2,100.0,0.00,0.00
,05/29/2026 21:44,06/01/2026 00:03,CADJPY,Sell,0.150,115.54500,115.37000,115.47300,115.57700,-1.0500,-0.6000,-10.4,-11.43,-0.21,"[sl]",0,02:02:18:37,97.8,2d 1h ,33.3,0.45,22.9,21.525999999999996,-10.4,-9.776,68.8,0.0,-33.30,-31.30
,05/29/2026 13:45,05/29/2026 16:21,EURUSD,Buy,0.150,0.00000,1.16525,1.16425,1.16524,-1.0500,0.0000,9.9,13.80,0.25,"[tp]",0,00:02:36:12,78.3,2h 2m,5.2,0.27,10.3,15.450000000000001,-2.8,-4.199999999999999,78.6,96.9,-0.40,-0.60
,05/29/2026 10:30,05/29/2026 11:00,CADJPY,Buy,0.150,115.38000,115.47000,115.42600,115.38000,-1.0500,0.0000,-4.6,-5.39,-0.10,"[sl]",0,00:00:29:53,50.0,14m,6.8,2.58,1.9,1.7859999999999998,-4.9,-4.606,27.9,4.4,-6.50,-6.11
,05/29/2026 04:13,05/29/2026 04:13,USDJPY,Sell,0.150,0.00000,0.00000,159.26900,159.27000,-1.0500,0.0000,-0.1,-1.14,-0.02,"",0,00:00:00:24,,,,,,,,,,,,
,05/28/2026 08:54,05/28/2026 17:37,CADJPY,Buy,0.100,0.00000,115.28000,115.15900,115.28300,-0.7000,0.0000,12.4,7.08,0.13,"[tp]",0,00:08:42:39,16.5,1h 26m,24.7,1.71,12.4,7.812,-21.2,-13.356,36.9,100.0,0.00,0.00
,05/27/2026 22:16,05/28/2026 02:28,EURUSD,Buy,0.150,1.16220,1.16400,1.16301,1.16219,-1.0500,-3.9800,-8.2,-17.33,-0.31,"[sl]",0,00:04:11:38,10.4,26m,10.1,4.32,1.9,2.8499999999999996,-8.2,-12.299999999999999,18.8,0.0,-10.10,-15.15
,05/27/2026 15:30,05/27/2026 22:13,EURUSD,Sell,0.150,0.00000,1.15820,1.16602,1.16295,-1.0500,0.0000,30.7,45.00,0.82,"",0,00:06:43:06,99.8,6h 42m,13.9,0.02,37.7,56.550000000000004,-0.8,-1.2000000000000002,97.9,81.8,-7.00,-10.50
,05/19/2026 16:18,05/26/2026 17:57,USDJPY,Buy,0.100,0.00000,159.31000,159.18100,159.31000,-0.7000,4.4500,12.9,11.85,0.22,"[tp]",0,07:01:39:49,34.0,2d 9h ,56.3,2.82,14.9,9.387,-42.0,-26.46,26.2,96.5,-2.00,-1.26
,05/14/2026 17:24,05/25/2026 01:27,GBPUSD,Buy,0.100,0.00000,1.34834,1.35104,1.34843,-0.7000,-3.0300,-26.1,-29.83,-0.54,"[tp]",0,10:08:03:25,0.0,0s,205.0,208.33,0.0,0.0,-205.0,-205.0,0.0,87.3,-26.10,-26.10
,05/20/2026 17:41,05/25/2026 01:01,GBPUSD,Buy,0.100,0.00000,1.34700,1.34251,1.34705,-0.7000,-1.6400,45.4,43.06,0.79,"[tp]",0,04:07:19:44,88.0,3d 18h ,62.0,0.72,45.4,45.4,-32.7,-32.7,58.1,100.0,0.00,0.00
,05/21/2026 06:36,,,Withdrawal,0.010,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,-50.00,0,"AutoTrf 88263816/to USD14917785",0,00:00:00:00,,,,,,,,,,,,
,05/20/2026 17:42,05/20/2026 18:16,EURUSD,Buy,0.100,0.00000,1.16445,1.16155,1.16442,-0.7000,0.0000,28.7,28.00,0.51,"[tp]",0,00:00:34:21,79.5,27m,10.3,0.08,28.7,28.7,-2.3,-2.3,92.6,100.0,0.00,0.00
,05/20/2026 17:38,,,Deposit,0.010,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,4.38,0,"Autotrf 88238321/fr 220106269",0,00:00:00:00,,,,,,,,,,,,
,05/20/2026 15:51,05/20/2026 17:02,GBPUSD,Buy,0.100,0.00000,1.34330,1.34018,1.33923,-0.7000,0.0000,-9.5,-10.20,-0.19,"",0,00:01:10:53,4.3,3m,14.3,2.25,4.4,4.4,-9.9,-9.9,30.8,2.8,-13.90,-13.90
,05/19/2026 19:27,05/20/2026 09:00,GBPUSD,Buy,0.100,1.33780,1.34245,1.33974,1.33740,-0.7000,-0.3400,-23.4,-24.44,-0.44,"[sl]",0,00:13:32:46,49.1,6h 39m,37.3,1.68,13.9,13.9,-23.4,-23.4,37.3,0.0,-37.30,-37.30
