Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
05/28/2026 05:12,05/28/2026 05:49,XAUUSD,Sell,0.010,4399.01000,0.00000,4400.45000,4399.04000,-0.0600,0.0000,141.0,1.35,0.20,"Super Gold V4",00:00:36:31,100.0,36m,2645.0,0.00,2786.0,27.86,0.0,0.0,100.0,5.1,-2645.00,-26.45
05/27/2026 13:46,05/27/2026 14:42,XAUUSD,Sell,0.020,4443.59000,0.00000,4450.92000,4443.93000,-0.1200,0.0000,699.0,13.86,2.10,"Gold G system[sl 4443.59]",00:00:56:33,1.8,1m,0.0,0.00,699.0,13.98,0.0,0.0,100.0,100.0,0.00,0.00
05/27/2026 09:31,05/27/2026 09:47,XAUUSD,Sell,0.020,4489.09000,0.00000,4479.87000,4489.20000,-0.1200,0.0000,-933.0,-18.78,-2.76,"Gold G system[sl 4489.09]",00:00:16:23,0.0,0s,1132.0,1250.00,0.0,0.0,-1132.0,-22.64,0.0,17.6,-933.00,-18.66
05/26/2026 02:18,05/26/2026 02:26,XAUUSD,Buy,0.020,4570.64000,0.00000,4579.82000,4570.37000,-0.1200,0.0000,-945.0,-19.02,-2.72,"Gold G system",00:00:08:25,,,,,,,,,,,,
05/25/2026 02:07,05/25/2026 02:58,XAUUSD,Buy,0.020,4569.87000,0.00000,4571.78000,4569.86000,-0.1200,0.0000,-192.0,-3.96,-0.56,"Gold G system[sl 4569.87]",00:00:51:18,0.0,0s,192.0,192.31,0.0,0.0,-192.0,-3.84,0.0,0.0,-192.00,-3.84
05/20/2026 04:36,05/20/2026 04:48,XAUUSD,Sell,0.020,4469.95000,0.00000,4463.54000,4470.16000,-0.1200,0.0000,-662.0,-13.36,-1.87,"Gold G system[sl 4469.95]",00:00:12:34,,,,,,,,,,,,
05/19/2026 16:31,05/19/2026 16:32,XAUUSD,Sell,0.020,4479.74000,0.00000,4479.00000,4480.37000,-0.1200,0.0000,-137.0,-2.86,-0.40,"Gold G system",00:00:01:29,,,,,,,,,,,,
05/19/2026 02:13,05/19/2026 03:04,XAUUSD,Buy,0.020,4579.91000,0.00000,4586.10000,4579.52000,-0.1200,0.0000,-658.0,-13.28,-1.81,"Gold G system[sl 4579.91]",00:00:50:37,0.0,0s,3907.0,5000.00,0.0,0.0,-3907.0,-78.14,0.0,83.2,-658.00,-13.16
05/18/2026 03:33,05/18/2026 03:36,XAUUSD,Sell,0.020,4502.09000,0.00000,4511.38000,4502.31000,-0.1200,0.0000,907.0,18.02,2.52,"Gold G system[sl 4502.09]",00:00:02:53,,,,,,,,,,,,
05/15/2026 03:25,05/15/2026 03:46,XAUUSD,Sell,0.020,4624.53000,0.00000,4636.71000,4624.54000,-0.1200,0.0000,1217.0,24.22,3.51,"Gold G system",00:00:21:03,100.0,21m,1537.0,0.00,2754.0,55.08,0.0,0.0,100.0,44.2,-1537.00,-30.74
05/14/2026 16:42,05/14/2026 16:44,XAUUSD,Sell,0.020,4677.15000,0.00000,4667.64000,4677.11000,-0.1200,0.0000,-947.0,-19.06,-2.69,"Gold G system[sl 4677.15]",00:00:02:15,,,,,,,,,,,,
05/12/2026 18:22,05/12/2026 18:26,XAUUSD,Sell,0.020,4651.73000,0.00000,4647.26000,4651.76000,-0.1200,0.0000,-450.0,-9.12,-1.27,"Gold G system",00:00:03:24,,,,,,,,,,,,
05/12/2026 02:52,05/12/2026 03:01,XAUUSD,Buy,0.020,4759.72000,0.00000,4765.17000,4759.64000,-0.1200,0.0000,-553.0,-11.18,-1.53,"Gold G system",00:00:08:33,0.0,0s,3618.0,5000.00,0.0,0.0,-3618.0,-72.36,0.0,84.7,-553.00,-11.06
05/11/2026 03:52,05/11/2026 03:59,XAUUSD,Sell,0.020,4684.45000,0.00000,4675.01000,4684.46000,-0.1200,0.0000,-945.0,-19.02,-2.54,"Gold G system[sl 4684.45]",00:00:07:02,0.0,0s,945.0,1000.00,0.0,0.0,-945.0,-18.900000000000002,0.0,0.0,-945.00,-18.90
05/07/2026 09:31,05/07/2026 09:47,XAUUSD,Buy,0.020,4740.34000,0.00000,4723.99000,4740.10000,-0.1200,0.0000,1611.0,32.10,4.48,"Gold G system",00:00:16:12,6.3,1m,0.0,0.00,1611.0,32.22,0.0,0.0,100.0,100.0,0.00,0.00
