Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
06/01/2026 16:25,06/01/2026 19:55,AUDCAD,Buy,0.120,0.00000,0.99029,0.98880,0.99028,0.0000,0.0000,14.8,0.13,0.05,00:03:30:43,61.7,2h 10m,18.7,0.70,14.9,0.149,-10.5,-0.105,58.7,99.6,-0.10,0.00
05/28/2026 17:20,06/01/2026 16:48,EURUSD,Sell,0.100,0.00000,1.16192,1.16518,1.16190,0.0000,0.0000,32.8,0.33,0.13,03:23:28:35,32.5,1d 7h ,49.7,0.63,41.6,0.41600000000000004,-26.2,-0.262,61.4,87.0,-8.80,-0.09
05/28/2026 10:15,06/01/2026 16:48,EURUSD,Sell,0.100,0.00000,1.16192,1.16166,1.16190,0.0000,0.0000,-2.4,-0.02,-0.01,04:06:33:35,3.9,3h 59m,74.1,4.84,12.7,0.127,-61.4,-0.614,17.1,79.6,-15.10,-0.15
05/29/2026 03:40,05/29/2026 10:18,AUDCAD,Buy,0.100,0.00000,0.98830,0.98681,0.98830,0.0000,0.0000,14.9,0.11,0.04,00:06:38:17,67.0,4h 26m,9.5,0.30,15.6,0.156,-4.7,-0.047,76.8,96.6,-0.70,-0.01
05/28/2026 07:30,05/28/2026 17:12,AUDCAD,Buy,0.100,0.00000,0.98760,0.98453,0.98756,0.0000,0.0000,30.3,0.22,0.09,00:09:42:58,95.1,9h 14m,17.5,0.10,32.6,0.326,-3.2,-0.032,91.1,93.6,-2.30,-0.02
05/27/2026 09:55,05/28/2026 17:12,AUDCAD,Buy,0.100,0.00000,0.98760,0.98766,0.98756,0.0000,0.0000,-1.0,-0.01,0.00,01:07:17:58,13.1,4h 6m,40.9,2.54,12.9,0.129,-32.7,-0.327,28.3,69.5,-13.90,-0.14
05/28/2026 06:25,05/28/2026 12:15,EURUSD,Buy,0.100,0.00000,1.16177,1.16027,1.16177,0.0000,0.0000,15.0,0.15,0.06,00:05:50:18,53.0,3h 5m,17.4,1.05,15.3,0.153,-16.1,-0.161,48.7,99.0,-0.30,0.00
05/25/2026 12:05,05/28/2026 06:31,AUDCAD,Sell,0.120,0.00000,0.98404,0.98992,0.98520,0.0000,0.0000,47.2,0.41,0.16,02:18:26:15,72.5,2d ,28.0,0.25,47.2,0.47200000000000003,-11.9,-0.11900000000000001,79.9,100.0,0.00,0.00
05/21/2026 20:45,05/28/2026 06:31,AUDCAD,Sell,0.100,0.00000,0.98404,0.98692,0.98520,0.0000,0.0000,17.2,0.13,0.05,06:09:46:15,54.3,3d 11h ,84.0,0.96,42.8,0.428,-41.2,-0.41200000000000003,51.0,69.5,-25.60,-0.26
05/21/2026 18:00,05/28/2026 06:31,AUDCAD,Sell,0.100,0.00000,0.98404,0.98373,0.98520,0.0000,0.0000,-14.7,-0.10,-0.04,06:12:31:15,4.4,6h 53m,84.0,6.71,10.9,0.109,-73.1,-0.731,13.0,69.5,-25.60,-0.26
05/21/2026 11:05,05/28/2026 06:31,AUDCAD,Sell,0.100,0.00000,0.98404,0.98071,0.98520,0.0000,0.0000,-44.9,-0.32,-0.12,06:19:26:15,0.4,39m,104.6,80.00,1.3,0.013000000000000001,-103.3,-1.033,1.2,55.8,-46.20,-0.46
05/25/2026 01:35,05/28/2026 04:56,EURUSD,Sell,0.100,0.00000,1.16114,1.16418,1.16115,0.0000,0.0000,30.3,0.30,0.12,03:03:21:06,71.3,2d 5h ,39.1,0.49,31.6,0.316,-15.5,-0.155,67.1,97.2,-1.30,-0.01
05/22/2026 20:00,05/28/2026 04:56,EURUSD,Sell,0.100,0.00000,1.16114,1.16109,1.16115,0.0000,0.0000,-0.6,-0.01,0.00,05:08:56:09,39.2,2d 2h ,53.9,5.57,8.2,0.16399999999999998,-45.7,-0.914,15.2,83.7,-8.80,-0.18
05/26/2026 10:40,05/26/2026 15:22,AUDCAD,Buy,0.100,0.00000,0.98996,0.98847,0.98996,0.0000,0.0000,14.9,0.11,0.04,00:04:42:54,90.2,4h 15m,7.7,0.16,16.0,0.16,-2.5,-0.025,86.5,94.1,-1.10,-0.01
05/22/2026 23:35,05/25/2026 00:02,EURUSD,Buy,0.100,0.00000,1.16169,1.16019,1.16350,0.0000,0.0000,33.1,0.33,0.13,02:00:27:16,99.4,2d ,1.9,0.03,35.0,0.35000000000000003,1.0,0.01,102.9,94.4,-1.90,-0.02
05/21/2026 21:55,05/22/2026 20:31,AUDCAD,Buy,0.100,0.00000,0.98618,0.98469,0.98619,0.0000,0.0000,15.0,0.11,0.04,00:22:36:32,40.5,9h 9m,32.8,1.37,15.0,0.15,-20.5,-0.20500000000000002,42.3,100.0,0.00,0.00
05/22/2026 16:50,05/22/2026 20:28,EURUSD,Buy,0.100,0.00000,1.16161,1.16011,1.16161,0.0000,0.0000,15.0,0.15,0.06,00:03:38:14,63.1,2h 17m,16.6,0.81,15.0,0.15,-12.2,-0.122,55.1,100.0,0.00,0.00
05/22/2026 16:10,05/22/2026 17:00,EURUSD,Sell,0.100,0.00000,1.15996,1.16142,1.15994,0.0000,0.0000,14.8,0.15,0.06,00:00:50:30,96.1,48m,5.1,0.17,19.8,0.198,-3.3,-0.033,85.7,78.4,-5.00,-0.05
05/22/2026 10:15,05/22/2026 16:11,EURUSD,Buy,0.100,0.00000,1.16176,1.16026,1.16175,0.0000,0.0000,14.9,0.15,0.06,00:05:56:24,50.2,2h 58m,22.2,0.62,14.9,0.149,-9.2,-0.092,61.8,100.0,0.00,0.00
05/21/2026 20:20,05/22/2026 14:01,EURUSD,Sell,0.100,0.00000,1.15953,1.16103,1.15953,0.0000,0.0000,15.0,0.15,0.06,00:17:41:42,27.7,4h 54m,18.2,1.18,15.4,0.154,-18.2,-0.182,45.8,98.8,-0.40,0.00
05/21/2026 13:40,05/21/2026 20:17,EURUSD,Buy,0.100,0.00000,1.16177,1.16026,1.16178,0.0000,0.0000,15.2,0.15,0.06,00:06:37:29,24.2,1h 36m,39.3,1.51,17.1,0.171,-25.9,-0.259,39.8,95.6,-1.90,-0.02
05/21/2026 11:15,05/21/2026 13:26,EURUSD,Sell,0.100,0.00000,1.16104,1.16255,1.16100,0.0000,0.0000,15.5,0.16,0.06,00:02:11:38,31.1,40m,11.3,0.52,16.3,0.163,-8.4,-0.084,66.0,96.8,-0.80,-0.01
05/21/2026 05:35,05/21/2026 11:11,AUDCAD,Buy,0.100,0.00000,0.98117,0.97804,0.98121,0.0000,0.0000,31.7,0.23,0.09,00:05:36:46,96.2,5h 23m,26.2,0.21,34.2,0.342,-7.3,-0.073,82.4,94.0,-2.50,-0.03
05/21/2026 04:35,05/21/2026 11:11,AUDCAD,Buy,0.100,0.00000,0.98117,0.98130,0.98121,0.0000,0.0000,-0.9,-0.01,0.00,00:06:36:46,0.8,3m,40.2,24.94,1.6,0.016,-39.9,-0.399,3.9,94.0,-2.50,-0.03
05/21/2026 10:20,05/21/2026 11:07,EURUSD,Buy,0.100,0.00000,1.16140,1.15993,1.16140,0.0000,0.0000,14.7,0.15,0.06,00:00:47:04,83.4,39m,6.5,0.31,14.7,0.147,-4.6,-0.046,76.2,100.0,0.00,0.00
05/21/2026 07:15,05/21/2026 09:43,AUDCAD,Sell,0.100,0.00000,0.97858,0.98008,0.97857,0.0000,0.0000,15.1,0.11,0.04,00:02:28:40,23.0,34m,12.4,0.54,16.8,0.168,-9.1,-0.091,64.9,93.4,-1.70,-0.02
05/20/2026 18:20,05/21/2026 04:52,AUDCAD,Sell,0.100,0.00000,0.97990,0.98453,0.97989,0.0000,0.0000,46.4,0.34,0.13,00:10:32:06,100.0,10h 32m,18.4,0.02,50.5,0.505,0.0,0.0,100.0,91.9,-4.10,-0.04
05/20/2026 15:35,05/21/2026 04:52,AUDCAD,Sell,0.100,0.00000,0.97990,0.98136,0.97989,0.0000,0.0000,14.7,0.11,0.04,00:13:17:06,15.6,2h 4m,53.0,1.92,18.8,0.188,-36.0,-0.36,34.3,92.5,-4.10,-0.04
05/20/2026 09:20,05/21/2026 04:52,AUDCAD,Sell,0.100,0.00000,0.97990,0.97832,0.97989,0.0000,0.0000,-15.7,-0.11,-0.04,00:19:32:06,3.5,41m,71.4,8.04,7.9,0.079,-63.5,-0.635,11.1,66.9,-23.60,-0.24
05/20/2026 18:20,05/20/2026 21:00,EURUSD,Sell,0.100,0.00000,1.16177,1.16324,1.16177,0.0000,0.0000,14.7,0.14,0.06,00:02:40:25,95.7,2h 33m,12.0,0.11,15.0,0.15,-1.7,-0.017,89.8,98.2,-0.30,0.00
05/19/2026 17:25,05/20/2026 17:17,EURUSD,Buy,0.100,0.00000,1.16157,1.16010,1.16161,0.0000,0.0000,15.1,0.15,0.06,00:23:52:03,48.8,11h 38m,30.6,1.19,15.1,0.151,-17.9,-0.179,45.8,100.0,0.00,0.00
05/19/2026 17:15,05/20/2026 17:16,AUDCAD,Buy,0.100,0.00000,0.98169,0.97711,0.98170,0.0000,0.0000,45.9,0.34,0.13,01:00:01:28,55.8,13h 24m,31.5,0.42,55.0,0.55,-22.9,-0.22899999999999998,70.6,88.3,-9.10,-0.09
05/19/2026 08:25,05/20/2026 17:16,AUDCAD,Buy,0.100,0.00000,0.98169,0.98019,0.98170,0.0000,0.0000,15.1,0.11,0.04,01:08:51:28,17.8,5h 50m,59.3,2.22,24.2,0.242,-53.7,-0.537,31.1,88.3,-9.10,-0.09
05/19/2026 03:55,05/20/2026 17:16,AUDCAD,Buy,0.100,0.00000,0.98169,0.98328,0.98170,0.0000,0.0000,-15.8,-0.11,-0.04,01:13:21:28,0.0,0s,84.6,84.75,0.0,0.0,-84.6,-0.846,0.0,81.3,-15.80,-0.16
05/19/2026 19:40,05/20/2026 03:58,AUDCAD,Sell,0.100,0.00000,0.97606,0.97756,0.97606,0.0000,0.0000,15.0,0.11,0.04,00:08:18:42,75.6,6h 17m,10.5,0.54,17.3,0.17300000000000001,-9.4,-0.094,64.8,91.4,-2.30,-0.02
05/18/2026 23:15,05/19/2026 05:05,EURUSD,Sell,0.100,0.00000,1.16418,1.16568,1.16419,0.0000,0.0000,14.9,0.15,0.06,00:05:50:41,61.6,3h 36m,14.0,0.32,15.2,0.152,-4.9,-0.049,75.6,98.5,-0.30,0.00
05/18/2026 15:50,05/19/2026 04:00,AUDCAD,Sell,0.100,0.00000,0.98292,0.98612,0.98290,0.0000,0.0000,32.2,0.24,0.10,00:12:10:12,98.5,11h 59m,29.2,0.08,32.4,0.324,-2.7,-0.027000000000000003,92.3,99.4,-0.20,0.00
05/18/2026 10:30,05/19/2026 04:00,AUDCAD,Sell,0.100,0.00000,0.98292,0.98272,0.98290,0.0000,0.0000,-1.8,-0.01,0.00,00:17:30:12,2.9,30m,39.5,13.12,2.8,0.027999999999999997,-36.7,-0.36700000000000005,7.1,88.4,-4.60,-0.05
05/18/2026 17:35,05/19/2026 02:25,AUDCAD,Buy,0.100,0.00000,0.98551,0.98398,0.98558,0.0000,0.0000,16.0,0.12,0.05,00:08:50:46,67.3,5h 57m,17.0,0.60,18.2,0.182,-11.0,-0.11,62.3,92.5,-2.20,-0.02
05/18/2026 11:35,05/18/2026 13:58,EURUSD,Sell,0.100,0.00000,1.16291,1.16441,1.16289,0.0000,0.0000,15.2,0.15,0.06,00:02:23:25,99.4,2h 22m,6.3,0.01,16.0,0.16,-0.1,-0.001,99.4,95.0,-0.80,-0.01
05/18/2026 03:00,05/18/2026 10:26,AUDCAD,Buy,0.100,0.00000,0.98286,0.98135,0.98286,0.0000,0.0000,15.1,0.10,0.04,00:07:26:24,16.6,1h 14m,14.8,0.98,15.1,0.151,-14.8,-0.14800000000000002,50.5,100.0,0.00,0.00
05/15/2026 19:55,05/18/2026 02:58,AUDCAD,Sell,0.100,0.00000,0.98119,0.98269,0.98119,0.0000,0.0000,15.0,0.11,0.04,02:07:03:07,89.2,2d 1h ,32.4,0.49,23.6,0.23600000000000002,-11.5,-0.115,67.2,75.5,-8.60,-0.09
05/15/2026 08:50,05/15/2026 19:54,AUDCAD,Buy,0.110,0.00000,0.98980,0.98472,0.98279,0.0000,0.0000,-19.3,-0.15,-0.06,00:11:04:28,24.0,2h 39m,38.2,1.92,13.2,0.132,-25.4,-0.254,34.2,15.8,-32.50,-0.33
05/15/2026 05:00,05/15/2026 19:54,AUDCAD,Buy,0.100,0.00000,0.98980,0.98783,0.98285,0.0000,0.0000,-49.8,-0.36,-0.14,00:14:54:22,14.6,2h 10m,65.9,6.01,9.4,0.094,-56.5,-0.5650000000000001,14.3,10.2,-59.20,-0.59
05/14/2026 17:10,05/15/2026 19:54,AUDCAD,Buy,0.100,0.00000,0.98980,0.99093,0.98285,0.0000,0.0000,-80.8,-0.59,-0.23,01:02:44:06,17.5,4h 40m,98.8,6.72,12.8,0.128,-86.0,-0.86,13.0,5.3,-93.60,-0.94
05/13/2026 23:00,05/15/2026 19:53,AUDCAD,Buy,0.100,0.00000,0.98980,0.99416,0.98280,0.0000,0.0000,-113.6,-0.82,-0.32,01:20:53:29,13.6,6h 6m,127.5,12.87,9.2,0.092,-118.3,-1.183,7.2,3.7,-122.80,-1.23
04/02/2026 17:40,05/15/2026 19:53,AUDCAD,Sell,0.100,0.00000,0.98052,0.96169,0.98308,0.0000,0.0000,-213.9,-1.56,-0.61,43:02:13:26,6.6,2d 20h ,349.4,21.28,15.7,0.157,-333.7,-3.3369999999999997,4.5,34.3,-229.60,-2.30
04/06/2026 11:40,05/15/2026 19:53,AUDCAD,Sell,0.100,0.00000,0.98052,0.96493,0.98308,0.0000,0.0000,-181.5,-1.33,-0.52,39:08:13:25,2.8,1d 2h ,339.7,8.11,37.3,0.373,-302.4,-3.024,11.0,35.6,-218.80,-2.19
04/08/2026 01:35,05/15/2026 19:53,AUDCAD,Sell,0.140,0.00000,0.98052,0.97178,0.98308,0.0000,0.0000,-113.0,-1.15,-0.45,37:18:18:24,0.2,1h 48m,240.2,37.17,6.3,0.063,-233.9,-2.339,2.6,50.3,-119.30,-1.19
04/07/2026 22:55,05/15/2026 19:53,AUDCAD,Sell,0.110,0.00000,0.98052,0.96827,0.98308,0.0000,0.0000,-148.1,-1.19,-0.46,37:20:58:24,0.2,1h 49m,273.2,64.10,4.2,0.042,-269.0,-2.69,1.5,44.3,-152.30,-1.52
04/08/2026 02:05,05/15/2026 19:53,AUDCAD,Sell,0.230,0.00000,0.98052,0.97856,0.98307,0.0000,0.0000,-45.1,-0.75,-0.29,37:17:48:22,40.6,15d 7h ,240.2,2.24,74.1,1.482,-166.1,-3.322,30.8,50.4,-119.20,-2.38
04/15/2026 21:55,05/15/2026 19:53,AUDCAD,Sell,0.290,0.00000,0.98052,0.98478,0.98307,0.0000,0.0000,17.1,0.36,0.14,29:21:58:22,68.7,20d 13h ,224.8,0.86,120.9,2.418,-103.9,-2.0780000000000003,53.8,53.8,-103.80,-2.08
05/08/2026 15:35,05/15/2026 19:53,AUDCAD,Sell,1.000,0.00000,0.98052,0.99112,0.98307,0.0000,0.0000,80.5,5.86,2.31,07:04:18:20,68.1,4d 21h ,79.8,0.51,84.8,5.936,-43.6,-3.0520000000000005,66.0,96.7,-4.30,-0.30
04/02/2026 15:35,05/15/2026 19:53,AUDCAD,Sell,0.100,0.00000,0.98052,0.95781,0.98307,0.0000,0.0000,-252.6,-1.84,-0.72,43:04:18:20,0.0,0s,372.5,384.62,0.0,0.0,-372.5,-3.725,0.0,32.2,-252.60,-2.53
05/15/2026 13:10,05/15/2026 15:37,EURUSD,Sell,0.100,0.00000,1.16234,1.16333,1.16234,0.0000,0.0000,9.9,0.10,0.04,00:02:27:33,36.1,53m,21.4,2.08,10.3,0.10300000000000001,-21.4,-0.214,32.5,98.7,-0.40,0.00
05/15/2026 05:50,05/15/2026 08:01,AUDCAD,Sell,0.100,0.00000,0.98708,0.98808,0.98702,0.0000,0.0000,10.6,0.08,0.03,00:02:11:33,32.6,42m,6.9,0.57,12.2,0.122,-6.9,-0.069,63.9,91.6,-1.60,-0.02
05/15/2026 04:30,05/15/2026 05:02,AUDCAD,Sell,0.100,0.00000,0.98753,0.98854,0.98752,0.0000,0.0000,10.2,0.08,0.03,00:00:32:24,57.6,18m,5.7,0.41,10.6,0.106,-4.3,-0.043,71.1,97.3,-0.40,0.00
