Tags,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
,06/01/2026 22:00,06/01/2026 22:02,XAUUSD,Buy,0.010,0.00000,0.00000,4486.79000,4487.42000,-0.0800,0.0000,63.0,0.55,0.10,"QA[XAUUSD]5442[T1/S01]",5442,00:00:02:00,,,,,,,,,,,,
,06/01/2026 22:00,06/01/2026 22:02,XAUUSD,Buy,0.010,0.00000,0.00000,4486.79000,4487.42000,-0.0800,0.0000,63.0,0.55,0.10,"QQ[XAUUSD]1234[T1/S01]",1234,00:00:02:00,,,,,,,,,,,,
,05/29/2026 11:51,05/29/2026 12:01,XAUUSD,Buy,0.010,0.00000,0.00000,4510.28000,4516.22000,-0.0800,0.0000,594.0,5.86,1.10,"QQ[XAUUSD]1234[T4/S08]",1234,00:00:10:00,100.0,10m,92.0,0.00,684.0,6.84,0.0,0.0,100.0,86.8,-90.00,-0.90
,05/29/2026 11:49,05/29/2026 12:01,XAUUSD,Buy,0.010,0.00000,0.00000,4512.38000,4516.41000,-0.0800,0.0000,403.0,3.95,0.75,"QQ[XAUUSD]1234[T4/S08]",1234,00:00:12:00,83.4,10m,231.0,0.49,474.0,4.74,-231.0,-2.31,67.2,89.9,-71.00,-0.71
,05/29/2026 11:35,05/29/2026 12:01,XAUUSD,Buy,0.010,0.00000,0.00000,4515.21000,4515.87000,-0.0800,0.0000,66.0,0.58,0.11,"QQ[XAUUSD]1234[T4/S08]",1234,00:00:26:00,15.4,4m,578.0,2.69,191.0,1.9100000000000001,-514.0,-5.14,27.1,82.3,-125.00,-1.25
,05/29/2026 11:30,05/29/2026 12:01,XAUUSD,Buy,0.010,0.00000,0.00000,4517.22000,4517.27000,-0.0800,0.0000,5.0,-0.03,-0.01,"QQ[XAUUSD]1234[T4/S08]",1234,00:00:31:00,3.3,1m,715.0,144.93,5.0,0.05,-715.0,-7.15,0.7,100.0,0.00,0.00
,05/29/2026 11:25,05/29/2026 11:28,XAUUSD,Buy,0.010,0.00000,0.00000,4515.64000,4517.35000,-0.0800,0.0000,171.0,1.63,0.31,"QQ[XAUUSD]1234[T4/S08]",1234,00:00:03:00,,,,,,,,,,,,
,05/28/2026 22:45,05/28/2026 22:51,XAUUSD,Buy,0.010,0.00000,0.00000,4499.44000,4500.05000,-0.0800,0.0000,61.0,0.53,0.10,"QQ[XAUUSD]1234[T2/S03]",1234,00:00:06:00,,,,,,,,,,,,
,05/28/2026 22:45,05/28/2026 22:45,XAUUSD,Buy,0.010,0.00000,0.00000,4499.44000,4499.94000,-0.0800,0.0000,50.0,0.42,0.08,"QA[XAUUSD]5442[T2/S03]",5442,00:00:00:01,,,,,,,,,,,,
,05/28/2026 22:30,05/28/2026 22:31,XAUUSD,Buy,0.010,0.00000,0.00000,4500.00000,4500.74000,-0.0800,0.0000,74.0,0.66,0.13,"QQ[XAUUSD]1234[T2/S03]",1234,00:00:01:00,,,,,,,,,,,,
