Open Date,Close Date,Symbol,Action,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(JPY),Min(pips),Min(JPY),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(JPY)
05/28/2026 17:13,05/29/2026 14:00,XAUUSD,Buy,4459.91000,4539.20000,0.0000,-3529.0000,7929.0,425897.00,4.91,00:20:47:00,100.0,20h 47m,2721.0,0.00,8788.0,475958.07999999996,0.0,0.0,100.0,90.2,-859.00,-46523.44
05/26/2026 19:17,05/27/2026 22:00,XAUUSD,Sell,4499.79000,4454.96000,0.0000,1336.0000,4483.0,172946.00,2.03,01:02:42:50,63.6,16h 59m,5427.0,0.29,9554.0,365727.12,-2723.0,-104236.44,77.8,58.7,-5071.00,-194117.88
05/26/2026 20:30,05/27/2026 18:00,XAUUSD,Sell,4498.26000,4435.23000,0.0000,557.0000,6303.0,101097.00,1.20,00:21:29:15,58.6,12h 35m,4878.0,0.31,9401.0,149945.94999999998,-2876.0,-45872.2,76.6,74.8,-3098.00,-49413.10
05/25/2026 01:05,05/25/2026 09:05,XAUUSD,Buy,4551.30000,4550.98000,0.0000,0.0000,-32.0,-1627.00,-0.02,00:08:00:14,99.8,7h 59m,2270.0,0.01,2238.0,113779.92000000001,-32.0,-1626.88,98.6,0.0,-2270.00,-115406.80
05/22/2026 17:03,05/25/2026 01:05,XAUUSD,Sell,4503.72000,4551.98000,0.0000,0.0000,-4826.0,-153309.00,-1.79,02:08:01:43,0.0,0s,5282.0,10000.00,0.0,0.0,-5282.0,-167809.13999999998,0.0,8.6,-4826.00,-153322.02
05/21/2026 20:21,05/22/2026 18:00,XAUUSD,Buy,4545.39000,4501.36000,0.0000,-851.0000,-4403.0,-56898.00,-0.66,00:21:38:46,0.0,0s,5148.0,10000.00,0.0,0.0,-5148.0,-65534.04,0.0,14.5,-4403.00,-56050.19
05/19/2026 16:25,05/20/2026 13:30,XAUUSD,Sell,4502.93000,4489.11000,0.0000,530.0000,1382.0,20312.00,0.24,00:21:04:58,91.4,19h 16m,4835.0,0.16,4639.0,66384.09,-754.0,-10789.74,86.0,39.6,-3257.00,-46607.67
05/19/2026 01:05,05/19/2026 22:00,XAUUSD,Buy,4571.26000,4494.55000,0.0000,0.0000,-7671.0,-97604.00,-1.12,00:20:55:06,0.0,0s,9519.0,10000.00,0.0,0.0,-9519.0,-121081.68000000001,0.0,19.4,-7671.00,-97575.12
05/14/2026 10:36,05/15/2026 03:39,XAUUSD,Buy,4717.07000,4620.83000,0.0000,-1074.0000,-9624.0,-153559.00,-1.74,00:17:02:39,0.0,0s,10932.0,0.00,0.0,0.0,-10932.0,-173162.88,0.0,12.0,-9624.00,-152444.16
05/14/2026 07:00,05/14/2026 07:32,XAUUSD,Sell,4668.91000,4710.42000,0.0000,0.0000,-4151.0,-176894.00,-1.96,00:00:31:59,0.0,0s,4151.0,5000.00,0.0,0.0,-4151.0,-176874.11,0.0,0.0,-4151.00,-176874.11
05/12/2026 18:22,05/13/2026 15:30,XAUUSD,Sell,4651.53000,4680.29000,0.0000,589.0000,-2876.0,-44817.00,-0.49,00:21:07:21,0.0,0s,7346.0,10000.00,0.0,0.0,-7346.0,-115993.34,0.0,60.8,-2876.00,-45412.04
05/12/2026 18:17,05/12/2026 22:33,XAUUSD,Sell,4661.53000,4708.21000,0.0000,0.0000,-4668.0,-176510.00,-1.91,00:04:15:49,0.0,0s,5620.0,10000.00,0.0,0.0,-5620.0,-212492.2,0.0,16.9,-4668.00,-176497.08
05/11/2026 16:16,05/12/2026 04:39,XAUUSD,Buy,4726.49000,4725.82000,0.0000,-940.0000,-67.0,-1890.00,-0.02,00:12:22:33,65.6,8h 7m,5153.0,0.34,4459.0,63228.619999999995,-1527.0,-21652.86,74.5,24.4,-4526.00,-64178.68
05/08/2026 21:00,05/11/2026 18:00,XAUUSD,Buy,4726.49000,4723.76000,0.0000,-888.0000,-273.0,-4317.00,-0.05,02:20:59:36,3.9,2h 41m,7435.0,4.30,1730.0,21728.8,-7435.0,-93383.6,18.9,78.1,-2003.00,-25157.68
05/11/2026 16:45,05/11/2026 17:32,XAUUSD,Buy,4747.84000,4715.03000,0.0000,0.0000,-3281.0,-175247.00,-1.86,00:00:46:24,0.0,0s,3338.0,5000.00,0.0,0.0,-3338.0,-178282.58,0.0,1.7,-3281.00,-175238.21
05/11/2026 01:05,05/11/2026 15:22,XAUUSD,Sell,4684.44000,4685.57000,0.0000,0.0000,-113.0,-1598.00,-0.02,00:14:17:36,63.4,9h 3m,9165.0,1.84,3230.0,45672.200000000004,-5935.0,-83920.90000000001,35.2,63.5,-3343.00,-47270.02
05/06/2026 05:47,05/07/2026 02:00,XAUUSD,Buy,4638.63000,4694.11000,0.0000,-2865.0000,5548.0,75197.00,0.80,00:20:12:36,100.0,20h 12m,5123.0,0.00,8310.0,116921.7,0.0,0.0,100.0,66.8,-2762.00,-38861.34
05/06/2026 02:12,05/06/2026 22:00,XAUUSD,Buy,4584.56000,4686.01000,0.0000,0.0000,10145.0,507727.00,5.74,00:19:47:56,100.0,19h 47m,5123.0,0.00,13717.0,686535.85,0.0,0.0,100.0,74.0,-3572.00,-178778.60
05/04/2026 13:02,05/05/2026 15:11,XAUUSD,Sell,4566.16000,4567.04000,0.0000,1438.0000,-88.0,-2031.00,-0.02,01:02:09:31,86.0,22h 29m,7543.0,0.32,5711.0,225127.62,-1832.0,-72217.44,75.7,23.1,-5799.00,-228596.58
05/04/2026 13:03,05/05/2026 10:30,XAUUSD,Sell,4561.97000,4549.45000,0.0000,575.0000,1252.0,20259.00,0.23,00:21:26:14,93.8,20h 6m,5021.0,0.33,5292.0,83190.24,-1767.0,-27777.24,75.0,42.8,-4040.00,-63508.80
05/01/2026 17:02,05/04/2026 13:21,XAUUSD,Buy,4640.11000,4531.29000,0.0000,0.0000,-10882.0,-153940.00,-1.72,02:20:19:45,0.0,0s,10882.0,0.00,0.0,0.0,-10882.0,-153980.30000000002,0.0,0.0,-10882.00,-153980.30
05/01/2026 17:11,05/01/2026 21:16,XAUUSD,Buy,4643.50000,4615.05000,0.0000,0.0000,-2845.0,-165351.00,-1.81,00:04:04:53,0.0,0s,3515.0,5000.00,0.0,0.0,-3515.0,-204291.8,0.0,19.1,-2845.00,-165351.40
04/30/2026 10:57,04/30/2026 19:57,XAUUSD,Buy,4605.22000,4605.35000,0.0000,0.0000,13.0,183.00,0.00,00:09:00:17,100.0,9h 0m,3951.0,0.00,3964.0,55813.12,0.0,0.0,100.0,0.3,-3951.00,-55630.08
04/30/2026 10:57,04/30/2026 19:57,XAUUSD,Buy,4605.26000,4605.40000,0.0000,0.0000,14.0,723.00,0.01,00:09:00:16,100.0,9h 0m,3946.0,0.00,3960.0,204494.4,0.0,0.0,100.0,0.4,-3946.00,-203771.44
04/27/2026 18:02,04/28/2026 22:00,XAUUSD,Sell,4670.67000,4594.81000,0.0000,1384.0000,7586.0,291973.00,3.30,01:03:57:34,66.1,18h 28m,4073.0,0.26,11162.0,427616.22000000003,-2944.0,-112784.64000000001,79.1,74.6,-3576.00,-136996.56
04/27/2026 06:41,04/27/2026 15:41,XAUUSD,Buy,4727.81000,4697.44000,0.0000,0.0000,-3037.0,-169207.00,-1.88,00:09:00:02,0.0,0s,5928.0,10000.00,0.0,0.0,-5928.0,-330308.16,0.0,48.8,-3037.00,-169221.64
04/24/2026 17:13,04/24/2026 23:07,XAUUSD,Buy,4740.21000,4709.95000,0.0000,0.0000,-3026.0,-168826.00,-1.84,00:05:53:59,0.0,0s,3465.0,5000.00,0.0,0.0,-3465.0,-193312.35,0.0,12.7,-3026.00,-168820.54
04/22/2026 11:23,04/23/2026 08:30,XAUUSD,Sell,4754.49000,4704.56000,0.0000,1639.0000,4993.0,73348.00,0.81,00:21:06:38,97.7,20h 37m,4883.0,0.05,5555.0,79769.8,-297.0,-4264.92,94.9,90.4,-562.00,-8070.32
04/21/2026 15:30,04/22/2026 08:19,XAUUSD,Sell,4769.34000,4769.46000,0.0000,1458.0000,-12.0,980.00,0.01,00:16:49:06,99.1,16h 40m,9841.0,0.01,9770.0,389139.1,-71.0,-2827.93,99.3,0.6,-9782.00,-389617.06
04/21/2026 17:40,04/22/2026 04:39,XAUUSD,Sell,4752.09000,4752.10000,0.0000,642.0000,-1.0,624.00,0.01,00:10:59:22,74.9,8h 13m,9431.0,0.15,8207.0,147726.0,-1224.0,-22032.0,87.0,13.0,-8208.00,-147744.00
04/20/2026 02:23,04/20/2026 22:30,XAUUSD,Sell,4768.75000,4817.63000,0.0000,0.0000,-4888.0,-93150.00,-1.01,00:20:06:08,0.0,0s,6298.0,10000.00,0.0,0.0,-6298.0,-120039.87999999999,0.0,22.4,-4888.00,-93165.28
04/20/2026 01:05,04/20/2026 15:21,XAUUSD,Sell,4773.43000,4820.22000,0.0000,0.0000,-4679.0,-208241.00,-2.21,00:14:16:03,0.0,0s,5290.0,10000.00,0.0,0.0,-5290.0,-235457.9,0.0,11.6,-4679.00,-208262.29
04/17/2026 15:48,04/17/2026 23:44,XAUUSD,Buy,4834.18000,4833.92000,0.0000,0.0000,-26.0,-412.00,0.00,00:07:56:06,63.5,5h 2m,4469.0,0.15,3872.0,61371.2,-597.0,-9462.449999999999,86.6,12.8,-3898.00,-61783.30
04/17/2026 15:48,04/17/2026 23:44,XAUUSD,Buy,4834.18000,4833.92000,0.0000,0.0000,-26.0,-1443.00,-0.02,00:07:56:06,63.5,5h 2m,4469.0,0.15,3872.0,214896.0,-597.0,-33133.5,86.6,12.8,-3898.00,-216339.00
04/16/2026 16:54,04/17/2026 15:46,XAUUSD,Sell,4789.88000,4830.21000,0.0000,1667.0000,-4033.0,-177746.00,-1.85,00:22:51:43,27.3,6h 14m,11477.0,4.51,2082.0,92628.18000000001,-9395.0,-417983.55000000005,18.1,46.7,-6115.00,-272056.35
04/16/2026 16:54,04/17/2026 14:00,XAUUSD,Sell,4789.88000,4788.68000,0.0000,715.0000,120.0,3007.00,0.03,00:21:05:29,30.0,6h 19m,11477.0,4.51,2082.0,39766.200000000004,-9395.0,-179444.5,18.1,82.9,-1962.00,-37474.20
04/16/2026 03:00,04/16/2026 16:52,XAUUSD,Buy,4829.03000,4795.22000,0.0000,0.0000,-3381.0,-182981.00,-1.87,00:13:52:43,7.9,1h 5m,4844.0,6.05,687.0,37180.439999999995,-4157.0,-224976.84,14.2,16.0,-4068.00,-220160.16
04/14/2026 10:05,04/15/2026 07:00,XAUUSD,Buy,4791.09000,4823.19000,0.0000,-2742.0000,3210.0,119742.00,1.24,00:20:54:19,84.5,17h 39m,5541.0,0.39,7318.0,279254.87999999995,-2818.0,-107534.87999999999,72.2,59.5,-4108.00,-156761.28
04/14/2026 03:41,04/15/2026 01:14,XAUUSD,Buy,4774.94000,4845.10000,0.0000,-1028.0000,7016.0,99269.00,1.04,00:21:32:52,78.0,16h 48m,3067.0,0.21,7514.0,107450.20000000001,-1571.0,-22465.300000000003,82.7,94.5,-498.00,-7121.40
04/13/2026 01:05,04/13/2026 21:30,XAUUSD,Sell,4669.41000,4728.00000,0.0000,0.0000,-5859.0,-65371.00,-0.68,00:20:25:07,0.0,0s,7675.0,10000.00,0.0,0.0,-7675.0,-85653.0,0.0,23.7,-5859.00,-65386.44
04/10/2026 17:24,04/13/2026 14:00,XAUUSD,Buy,4789.79000,4724.11000,0.0000,-693.0000,-6568.0,-63611.00,-0.66,02:20:35:22,0.0,0s,14287.0,0.00,0.0,0.0,-14287.0,-136869.46,0.0,54.0,-6568.00,-62921.44
04/07/2026 22:20,04/08/2026 19:00,XAUUSD,Buy,4703.10000,4756.18000,0.0000,-2401.0000,5308.0,165753.00,1.74,00:20:39:10,99.6,20h 34m,14326.0,0.00,14259.0,451725.12,-67.0,-2122.56,99.5,37.5,-8951.00,-283567.68
04/07/2026 17:04,04/08/2026 01:54,XAUUSD,Sell,4625.66000,4794.93000,0.0000,342.0000,-16927.0,-161176.00,-1.67,00:08:50:13,0.0,0s,22003.0,0.00,0.0,0.0,-22003.0,-209908.62,0.0,23.1,-16927.00,-161483.58
03/31/2026 16:54,04/01/2026 13:30,XAUUSD,Buy,4606.06000,4728.97000,0.0000,-8148.0000,12291.0,284319.00,3.03,00:20:36:04,100.0,20h 36m,5254.0,0.00,15456.0,367852.8,0.0,0.0,100.0,79.5,-3165.00,-75327.00
03/31/2026 04:19,04/01/2026 02:00,XAUUSD,Buy,4570.20000,4680.92000,0.0000,-2173.0000,11072.0,68124.00,0.73,00:21:40:09,72.1,15h 37m,4549.0,0.24,15132.0,96088.2,-3591.0,-22802.85,80.8,78.3,-4060.00,-25781.00
03/31/2026 04:19,04/01/2026 01:14,XAUUSD,Buy,4570.20000,4662.88000,0.0000,-7061.0000,9268.0,184256.00,2.02,00:20:54:07,71.0,14h 50m,5864.0,0.24,15132.0,312324.48,-3591.0,-74118.24,80.8,68.7,-5864.00,-121032.96
