Open Date,Close Date,Symbol,Action,Open Price,Close Price,Pips,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
06/02/2026 18:11,06/02/2026 19:04,XAUUSD,Buy,4506.44000,4499.98000,-646.0,-0.31,00:00:52:25,0.0,0s,646.0,666.67,0.0,,-646.0,,0.0,0.0,-646.00,
06/02/2026 16:39,06/02/2026 18:36,XAUUSD,Sell,4510.28000,4508.08000,220.0,0.11,00:01:56:53,0.9,1m,0.0,0.00,220.0,,0.0,,100.0,100.0,0.00,
06/02/2026 15:55,06/02/2026 18:36,XAUUSD,Sell,4515.26000,4508.26000,700.0,0.34,00:02:41:14,100.0,2h 41m,1616.0,0.00,2316.0,,0.0,,100.0,30.2,-1616.00,
06/02/2026 15:53,06/02/2026 18:36,XAUUSD,Sell,4516.23000,4508.54000,769.0,0.38,00:02:42:53,100.0,2h 42m,1644.0,0.00,2413.0,,0.0,,100.0,31.9,-1644.00,
06/02/2026 12:07,06/02/2026 18:36,XAUUSD,Sell,4529.85000,4508.58000,2127.0,1.05,00:06:28:36,98.5,6h 22m,1670.0,0.09,3797.0,,-356.0,,91.4,59.8,-1670.00,
06/02/2026 11:55,06/02/2026 18:36,XAUUSD,Sell,4527.44000,4508.76000,1868.0,0.93,00:06:40:36,95.3,6h 21m,1688.0,0.17,3556.0,,-597.0,,85.6,59.4,-1688.00,
06/02/2026 12:09,,,Withdrawal,0.00000,0.00000,0.0,0,00:00:00:00,,,,,,,,,,,,
06/02/2026 07:25,06/02/2026 11:52,XAUUSD,Buy,4505.51000,4528.88000,2337.0,1.14,00:04:26:22,100.0,4h 26m,1158.0,0.00,3178.0,,0.0,,100.0,73.5,-841.00,
06/02/2026 06:51,06/02/2026 11:52,XAUUSD,Buy,4497.93000,4528.87000,3094.0,1.54,00:05:01:10,100.0,5h 1m,1428.0,0.00,4206.0,,0.0,,100.0,73.6,-1112.00,
06/02/2026 06:29,06/02/2026 11:52,XAUUSD,Buy,4496.19000,4528.79000,3260.0,1.65,00:05:22:55,100.0,5h 22m,1428.0,0.00,4380.0,,0.0,,100.0,74.4,-1120.00,
06/02/2026 04:46,06/02/2026 11:52,XAUUSD,Buy,4482.37000,4528.77000,4640.0,2.40,00:07:06:05,100.0,7h 6m,1428.0,0.00,5762.0,,0.0,,100.0,80.5,-1122.00,
06/02/2026 04:01,06/02/2026 04:46,XAUUSD,Sell,4478.23000,4481.60000,-337.0,-0.17,00:00:44:08,0.0,0s,337.0,344.83,0.0,,-337.0,,0.0,0.0,-337.00,
06/01/2026 20:54,06/02/2026 04:01,XAUUSD,Buy,4491.13000,4477.55000,-1358.0,-0.70,00:07:07:40,1.7,7m,2993.0,6.15,419.0,,-2574.0,,14.0,40.6,-1777.00,
06/01/2026 20:41,06/02/2026 04:01,XAUUSD,Buy,4484.82000,4477.62000,-720.0,-0.37,00:07:20:39,36.2,2h 39m,2993.0,1.85,1050.0,,-1943.0,,35.1,40.9,-1770.00,
06/01/2026 18:13,06/02/2026 04:01,XAUUSD,Buy,4464.52000,4476.37000,1185.0,0.61,00:09:48:13,100.0,9h 48m,2993.0,0.00,3080.0,,0.0,,100.0,38.5,-1895.00,
